Date,Close,Open,High,Low,Volume
1980-12-12,0.13,0.13,0.13,0.13,2093900.0
1980-12-15,0.12,0.12,0.12,0.12,785200.0
1980-12-16,0.11,0.11,0.11,0.11,472000.0
1980-12-17,0.12,0.12,0.12,0.12,385900.0
1980-12-18,0.12,0.12,0.12,0.12,327900.0
1980-12-19,0.13,0.13,0.13,0.13,217100.0
1980-12-22,0.13,0.13,0.13,0.13,166800.0
1980-12-23,0.14,0.14,0.14,0.14,209600.0
1980-12-24,0.15,0.15,0.15,0.15,214300.0
1980-12-26,0.16,0.16,0.16,0.16,248100.0
1980-12-29,0.16,0.16,0.16,0.16,415900.0
1980-12-30,0.16,0.16,0.16,0.16,307500.0
1980-12-31,0.15,0.15,0.15,0.15,159600.0
1981-01-02,0.15,0.15,0.16,0.15,96700.0
1981-01-05,0.15,0.15,0.15,0.15,159500.0
1981-01-06,0.14,0.14,0.14,0.14,201600.0
1981-01-07,0.14,0.14,0.14,0.14,248600.0
1981-01-08,0.14,0.14,0.14,0.14,177800.0
1981-01-09,0.14,0.14,0.14,0.14,96000.0
1981-01-12,0.14,0.14,0.14,0.14,105800.0
1981-01-13,0.14,0.14,0.14,0.14,102900.0
1981-01-14,0.14,0.14,0.14,0.14,63800.0
1981-01-15,0.14,0.14,0.14,0.14,62800.0
1981-01-16,0.14,0.14,0.14,0.14,59800.0
1981-01-19,0.15,0.15,0.15,0.15,185600.0
1981-01-20,0.14,0.14,0.14,0.14,134300.0
1981-01-21,0.15,0.15,0.15,0.15,71000.0
1981-01-22,0.15,0.15,0.15,0.15,158700.0
1981-01-23,0.15,0.15,0.15,0.15,50100.0
1981-01-26,0.14,0.14,0.14,0.14,110000.0
1981-01-27,0.14,0.14,0.14,0.14,105800.0
1981-01-28,0.14,0.14,0.14,0.14,125700.0
1981-01-29,0.13,0.13,0.13,0.13,196000.0
1981-01-30,0.13,0.13,0.13,0.13,206200.0
1981-02-02,0.12,0.12,0.12,0.12,106100.0
1981-02-03,0.12,0.12,0.12,0.12,85500.0
1981-02-04,0.13,0.13,0.13,0.13,124400.0
1981-02-05,0.13,0.13,0.13,0.13,35400.0
1981-02-06,0.13,0.13,0.13,0.13,61900.0
1981-02-09,0.12,0.12,0.12,0.12,74800.0
1981-02-10,0.12,0.12,0.12,0.12,81900.0
1981-02-11,0.12,0.12,0.12,0.12,61800.0
1981-02-12,0.12,0.12,0.12,0.12,65000.0
1981-02-13,0.11,0.11,0.12,0.11,49800.0
1981-02-17,0.12,0.12,0.12,0.12,54800.0
1981-02-18,0.12,0.12,0.12,0.12,85900.0
1981-02-19,0.11,0.11,0.12,0.11,99600.0
1981-02-20,0.11,0.11,0.11,0.11,108800.0
1981-02-23,0.11,0.11,0.11,0.11,63000.0
