Date,Close,Open,High,Low,Volume
9/14/1995,2.25,2.17,2.27,2.17,13582843.0
9/15/1995,2.25,2.22,2.27,2.19,3998851.0
9/18/1995,2.25,2.22,2.3,2.22,1414978.0
9/19/1995,2.22,2.22,2.3,2.22,1372386.0
9/20/1995,2.25,2.22,2.3,2.22,682407.0
9/21/1995,2.27,2.22,2.27,2.22,1118731.0
9/22/1995,2.22,2.22,2.27,2.22,653066.0
9/25/1995,2.25,2.22,2.27,2.22,624672.0
9/26/1995,2.22,2.22,2.27,2.22,722159.0
9/27/1995,2.25,2.27,2.3,2.22,1172680.0
9/28/1995,2.22,2.27,2.27,2.22,72878.0
9/29/1995,2.3,2.28,2.3,2.25,249869.0
10/2/1995,2.25,2.25,2.32,2.25,269744.0
10/3/1995,2.32,2.25,2.32,2.25,576402.0
10/4/1995,2.3,2.32,2.35,2.27,296246.0
10/5/1995,2.34,2.3,2.38,2.3,455253.0
10/6/1995,2.38,2.3,2.38,2.3,524346.0
10/9/1995,2.38,2.3,2.38,2.3,60574.0
10/10/1995,2.27,2.3,2.32,2.27,1135768.0
10/11/1995,2.3,2.27,2.3,2.27,147649.0
10/12/1995,2.34,2.27,2.38,2.27,337891.0
10/13/1995,2.34,2.34,2.38,2.3,1254077.0
10/16/1995,2.32,2.3,2.34,2.3,106005.0
10/17/1995,2.31,2.3,2.38,2.3,134399.0
10/18/1995,2.32,2.38,2.38,2.31,60574.0
10/19/1995,2.31,2.38,2.38,2.31,426859.0
10/20/1995,2.26,2.31,2.38,2.26,367231.0
10/23/1995,2.26,2.3,2.3,2.26,453360.0
10/24/1995,2.28,2.26,2.32,2.26,1415924.0
10/25/1995,2.28,2.32,2.32,2.28,339784.0
10/26/1995,2.28,2.28,2.32,2.28,252708.0
10/27/1995,2.34,2.28,2.35,2.28,569777.0
10/30/1995,2.3,2.31,2.35,2.3,137238.0
10/31/1995,2.32,2.3,2.35,2.3,160900.0
11/1/1995,2.31,2.3,2.32,2.3,215795.0
11/2/1995,2.31,2.32,2.32,2.3,188348.0
11/3/1995,2.31,2.32,2.32,2.3,72878.0
11/6/1995,2.28,2.3,2.32,2.27,244190.0
11/7/1995,2.3,2.27,2.3,2.25,383321.0
11/8/1995,2.25,2.25,2.25,2.25,17036.0
11/9/1995,2.25,2.25,2.3,2.25,70985.0
11/10/1995,2.19,2.25,2.25,2.19,187401.0
11/13/1995,2.22,2.19,2.25,2.18,503523.0
11/14/1995,2.22,2.25,2.25,2.18,67199.0
11/15/1995,2.17,2.17,2.23,2.17,17982.0
11/16/1995,2.18,2.17,2.19,2.15,306657.0
11/17/1995,2.13,2.15,2.15,2.1,265959.0
11/20/1995,2.11,2.11,2.14,2.11,79503.0
11/21/1995,2.14,2.11,2.14,2.11,3785.0
11/22/1995,2.19,2.14,2.19,2.13,115469.0
11/24/1995,2.14,2.14,2.14,2.14,18929.0
