Date,Close,Open,High,Low,Volume
1980-03-17,0.81,0.81,0.82,0.8,28700.0
1980-03-18,0.82,0.82,0.83,0.81,40200.0
1980-03-19,0.84,0.84,0.84,0.82,33900.0
1980-03-20,0.83,0.83,0.86,0.83,75500.0
1980-03-21,0.83,0.83,0.84,0.83,25300.0
1980-03-24,0.83,0.83,0.84,0.83,19300.0
1980-03-25,0.83,0.83,0.84,0.82,23400.0
1980-03-26,0.84,0.84,0.84,0.82,57800.0
1980-03-27,0.81,0.81,0.83,0.81,19100.0
1980-03-28,0.83,0.83,0.84,0.83,11400.0
1980-03-31,0.84,0.84,0.85,0.83,6200.0
1980-04-01,0.85,0.85,0.86,0.84,5000.0
1980-04-02,0.89,0.89,0.9,0.85,18800.0
1980-04-03,0.91,0.91,0.92,0.9,36700.0
1980-04-07,0.9,0.9,0.91,0.9,11500.0
1980-04-08,0.88,0.88,0.89,0.88,33600.0
1980-04-09,0.88,0.88,0.88,0.88,8600.0
1980-04-10,0.89,0.89,0.9,0.89,7800.0
1980-04-11,0.9,0.9,0.91,0.9,17600.0
1980-04-14,0.89,0.89,0.89,0.89,5100.0
1980-04-15,0.89,0.89,0.9,0.89,4900.0
1980-04-16,0.9,0.9,0.91,0.9,52900.0
1980-04-17,0.89,0.89,0.89,0.89,34000.0
1980-04-18,0.89,0.89,0.9,0.89,9700.0
1980-04-21,0.89,0.89,0.9,0.89,9400.0
1980-04-22,0.9,0.9,0.92,0.9,27900.0
1980-04-23,0.91,0.91,0.91,0.9,15500.0
1980-04-24,0.91,0.91,0.91,0.9,6100.0
1980-04-25,0.91,0.91,0.91,0.91,3000.0
1980-04-28,0.92,0.92,0.92,0.91,8600.0
1980-04-29,0.92,0.92,0.92,0.92,28900.0
1980-04-30,0.91,0.91,0.92,0.91,10700.0
1980-05-01,0.94,0.94,0.94,0.93,12400.0
1980-05-02,0.93,0.93,0.95,0.93,5400.0
1980-05-05,0.94,0.94,0.94,0.93,11300.0
1980-05-06,0.94,0.94,0.95,0.94,9300.0
1980-05-07,0.94,0.94,0.95,0.93,10100.0
1980-05-08,0.94,0.94,0.95,0.94,33300.0
1980-05-09,0.94,0.94,0.95,0.93,16600.0
1980-05-12,0.95,0.95,0.95,0.94,3500.0
1980-05-13,0.95,0.95,0.96,0.95,8000.0
1980-05-14,0.96,0.96,0.97,0.95,10900.0
1980-05-15,0.96,0.96,0.97,0.95,1800.0
1980-05-16,0.95,0.95,0.96,0.95,200.0
1980-05-19,0.94,0.94,0.95,0.94,35400.0
1980-05-20,0.95,0.95,0.95,0.94,34400.0
1980-05-21,0.95,0.95,0.96,0.95,9200.0
1980-05-22,0.96,0.96,0.96,0.96,7800.0
1980-05-23,0.97,0.97,0.98,0.97,33500.0
1980-05-27,0.96,0.96,0.96,0.95,5700.0
1980-05-28,0.96,0.96,0.96,0.95,6000.0
1980-05-29,0.96,0.96,0.97,0.96,900.0
1980-05-30,0.96,0.96,0.96,0.95,85600.0
1980-06-02,0.95,0.95,0.96,0.95,5400.0
1980-06-03,0.95,0.95,0.95,0.94,52900.0
1980-06-04,0.96,0.96,0.96,0.94,11600.0
1980-06-05,0.96,0.96,0.96,0.95,43400.0
1980-06-06,0.97,0.97,0.97,0.96,61200.0
1980-06-09,0.95,0.95,0.96,0.95,14300.0
1980-06-10,0.94,0.94,0.96,0.94,15400.0
1980-06-11,0.95,0.95,0.95,0.94,20300.0
1980-06-12,0.95,0.95,0.96,0.95,9700.0
1980-06-13,0.95,0.95,0.95,0.93,7400.0
1980-06-16,0.95,0.95,0.95,0.94,3500.0
1980-06-17,0.96,0.96,0.96,0.94,28300.0
1980-06-18,0.95,0.95,0.95,0.94,27800.0
1980-06-19,0.94,0.94,0.95,0.93,14800.0
1980-06-20,0.91,0.91,0.94,0.89,26500.0
1980-06-23,0.92,0.92,0.92,0.91,17200.0
1980-06-24,0.94,0.94,0.95,0.92,79500.0
1980-06-25,0.95,0.95,0.96,0.95,37000.0
1980-06-26,0.95,0.95,0.96,0.95,10800.0
1980-06-27,0.95,0.95,0.95,0.94,34000.0
1980-06-30,0.94,0.94,0.95,0.94,4600.0
1980-07-01,0.95,0.95,0.95,0.95,33700.0
1980-07-02,0.96,0.96,0.96,0.95,15800.0
1980-07-03,0.99,0.99,0.99,0.96,87100.0
1980-07-07,1.03,1.03,1.03,1.0,34600.0
1980-07-08,1.06,1.06,1.06,1.04,30200.0
1980-07-09,1.07,1.07,1.08,1.04,14700.0
1980-07-10,1.02,1.02,1.06,1.02,42900.0
1980-07-11,1.01,1.01,1.02,1.01,52200.0
1980-07-14,1.05,1.05,1.05,1.02,34800.0
1980-07-15,1.07,1.07,1.08,1.06,46900.0
1980-07-16,1.06,1.06,1.07,1.06,12600.0
1980-07-17,1.09,1.09,1.09,1.07,15600.0
1980-07-18,1.1,1.1,1.1,1.08,59500.0
1980-07-21,1.1,1.1,1.1,1.1,16600.0
1980-07-22,1.08,1.08,1.1,1.08,12700.0
1980-07-23,1.09,1.09,1.09,1.08,4500.0
1980-07-24,1.09,1.09,1.1,1.08,19900.0
1980-07-25,1.1,1.1,1.1,1.08,4700.0
1980-07-28,1.09,1.09,1.1,1.09,18900.0
1980-07-29,1.09,1.09,1.09,1.08,14800.0
1980-07-30,1.09,1.09,1.1,1.09,8100.0
1980-07-31,1.09,1.09,1.1,1.08,39300.0
1980-08-01,1.1,1.1,1.1,1.08,31200.0
1980-08-04,1.12,1.12,1.12,1.09,10400.0
1980-08-05,1.17,1.17,1.18,1.14,31700.0
1980-08-06,1.17,1.17,1.22,1.15,43600.0
1980-08-07,1.19,1.19,1.19,1.18,40000.0
1980-08-08,1.18,1.18,1.2,1.17,17100.0
1980-08-11,1.15,1.15,1.17,1.14,12300.0
1980-08-12,1.14,1.14,1.15,1.13,20000.0
1980-08-13,1.13,1.13,1.14,1.12,8200.0
1980-08-14,1.14,1.14,1.14,1.13,12800.0
1980-08-15,1.15,1.15,1.15,1.14,10100.0
1980-08-18,1.13,1.13,1.15,1.13,13400.0
1980-08-19,1.15,1.15,1.15,1.13,12800.0
1980-08-20,1.14,1.14,1.15,1.14,5700.0
1980-08-21,1.18,1.18,1.18,1.15,17000.0
1980-08-22,1.24,1.24,1.24,1.2,23100.0
1980-08-25,1.23,1.23,1.26,1.22,14900.0
1980-08-26,1.21,1.21,1.23,1.2,70200.0
1980-08-27,1.2,1.2,1.21,1.2,2700.0
1980-08-28,1.21,1.21,1.22,1.2,12500.0
1980-08-29,1.19,1.19,1.21,1.19,1600.0
1980-09-02,1.19,1.19,1.2,1.19,27600.0
1980-09-03,1.22,1.22,1.22,1.21,29800.0
1980-09-04,1.22,1.22,1.23,1.21,14800.0
1980-09-05,1.22,1.22,1.23,1.22,8600.0
1980-09-08,1.22,1.22,1.24,1.22,22900.0
1980-09-09,1.21,1.21,1.23,1.21,27100.0
1980-09-10,1.22,1.22,1.24,1.21,6800.0
1980-09-11,1.2,1.2,1.22,1.2,5100.0
1980-09-12,1.18,1.18,1.21,1.17,11400.0
1980-09-15,1.19,1.19,1.19,1.17,10100.0
1980-09-16,1.18,1.18,1.19,1.18,10700.0
1980-09-17,1.18,1.18,1.19,1.18,5700.0
1980-09-18,1.21,1.21,1.21,1.19,26400.0
1980-09-19,1.23,1.23,1.24,1.19,10100.0
1980-09-22,1.23,1.23,1.23,1.21,12000.0
1980-09-23,1.25,1.25,1.28,1.23,17200.0
1980-09-24,1.27,1.27,1.27,1.22,17300.0
1980-09-25,1.26,1.26,1.26,1.25,12400.0
1980-09-26,1.19,1.19,1.24,1.19,14400.0
1980-09-29,1.17,1.17,1.18,1.15,16200.0
1980-09-30,1.16,1.16,1.16,1.15,2700.0
1980-10-01,1.16,1.16,1.18,1.16,93600.0
1980-10-02,1.13,1.13,1.16,1.12,9800.0
1980-10-03,1.13,1.13,1.14,1.13,16400.0
1980-10-06,1.15,1.15,1.15,1.13,23200.0
