Date,Close,Open,High,Low,Volume
1985-06-28,0.5,0.5,0.51,0.5,613700.0
1985-07-01,0.5,0.5,0.51,0.5,271300.0
1985-07-02,0.52,0.52,0.53,0.52,99100.0
1985-07-03,0.52,0.52,0.53,0.52,54800.0
1985-07-05,0.53,0.53,0.54,0.53,47000.0
1985-07-08,0.51,0.51,0.52,0.51,70400.0
1985-07-09,0.5,0.5,0.51,0.5,40700.0
1985-07-10,0.51,0.51,0.52,0.51,34900.0
1985-07-11,0.52,0.52,0.53,0.52,49500.0
1985-07-12,0.52,0.52,0.53,0.52,23200.0
1985-07-15,0.52,0.52,0.54,0.52,15500.0
1985-07-16,0.56,0.56,0.57,0.56,85300.0
1985-07-17,0.58,0.58,0.59,0.58,48300.0
1985-07-18,0.56,0.56,0.57,0.56,34800.0
1985-07-19,0.56,0.56,0.57,0.56,24900.0
1985-07-22,0.56,0.56,0.57,0.56,82600.0
1985-07-23,0.57,0.57,0.58,0.57,25700.0
1985-07-24,0.57,0.57,0.58,0.57,25300.0
1985-07-25,0.59,0.59,0.61,0.59,56400.0
1985-07-26,0.6,0.6,0.61,0.6,16600.0
1985-07-29,0.61,0.61,0.63,0.61,20800.0
1985-07-30,0.6,0.6,0.63,0.6,15500.0
1985-07-31,0.63,0.63,0.64,0.63,44600.0
1985-08-01,0.65,0.65,0.66,0.65,102800.0
1985-08-02,0.67,0.67,0.7,0.67,87900.0
1985-08-05,0.65,0.65,0.66,0.65,47700.0
1985-08-06,0.63,0.63,0.64,0.63,41600.0
1985-08-07,0.6,0.6,0.61,0.6,28700.0
1985-08-08,0.64,0.64,0.65,0.64,11100.0
1985-08-09,0.65,0.65,0.66,0.65,15600.0
1985-08-12,0.65,0.65,0.66,0.65,12100.0
1985-08-13,0.66,0.66,0.67,0.66,10000.0
1985-08-14,0.67,0.67,0.69,0.67,24400.0
1985-08-15,0.67,0.67,0.69,0.67,14600.0
1985-08-16,0.66,0.66,0.68,0.66,8200.0
1985-08-19,0.64,0.64,0.66,0.64,20500.0
1985-08-20,0.6,0.6,0.61,0.6,55900.0
1985-08-21,0.6,0.6,0.61,0.6,10700.0
1985-08-22,0.6,0.6,0.63,0.6,1500.0
1985-08-23,0.66,0.66,0.67,0.66,56900.0
1985-08-26,0.66,0.66,0.67,0.66,20800.0
1985-08-27,0.66,0.66,0.68,0.66,47200.0
