Date,Close,Open,High,Low,Volume
11/25/1986,30.75,30.37,30.75,30.25,323700.0
11/26/1986,30.87,30.75,30.87,30.62,199800.0
11/28/1986,30.75,30.5,30.87,30.5,1001900.0
12/1/1986,30.0,30.25,30.25,29.75,845100.0
12/2/1986,30.5,30.0,30.5,29.87,1869100.0
12/3/1986,30.25,30.25,30.5,30.12,303800.0
12/4/1986,30.12,30.12,30.25,29.87,312500.0
12/5/1986,29.87,30.0,30.12,29.75,142800.0
12/8/1986,29.5,29.75,29.75,29.25,221500.0
12/9/1986,29.5,29.5,29.62,29.25,161600.0
12/10/1986,29.62,29.5,29.87,29.5,196200.0
12/11/1986,29.75,29.62,29.87,29.5,121300.0
12/12/1986,29.5,29.5,29.75,29.37,101500.0
12/15/1986,29.37,29.37,29.5,29.12,190400.0
12/16/1986,29.87,29.37,29.87,29.25,376800.0
12/17/1986,29.75,29.62,30.0,29.5,374000.0
12/18/1986,29.25,29.62,29.87,29.0,296500.0
12/19/1986,29.5,29.25,29.5,29.0,158000.0
12/22/1986,29.12,29.37,29.5,28.87,225600.0
12/23/1986,29.25,29.25,29.37,29.12,298300.0
12/24/1986,29.25,29.12,29.37,29.0,60300.0
12/26/1986,29.12,29.12,29.37,29.0,38000.0
12/29/1986,29.12,29.12,29.37,29.0,206500.0
12/30/1986,29.0,29.0,29.12,28.75,162900.0
12/31/1986,28.62,28.87,29.0,28.62,364800.0
1/2/1987,29.12,28.75,29.12,28.75,52800.0
1/5/1987,29.75,29.25,29.75,29.25,51700.0
1/6/1987,30.12,29.62,30.37,29.62,127900.0
1/7/1987,30.37,30.25,30.5,30.12,266500.0
1/8/1987,30.5,30.37,30.87,30.37,596700.0
1/9/1987,30.75,30.75,31.12,30.62,128900.0
1/12/1987,30.75,30.87,31.0,30.62,244600.0
1/13/1987,30.5,30.87,30.87,30.25,352700.0
1/14/1987,30.37,30.5,30.62,30.37,131200.0
1/15/1987,30.75,30.37,30.75,30.12,122800.0
1/16/1987,31.0,30.87,31.25,30.75,244700.0
1/19/1987,30.75,31.0,31.12,30.62,274700.0
1/20/1987,30.62,30.62,31.0,30.62,134000.0
1/21/1987,30.62,30.5,30.87,30.37,173700.0
1/22/1987,30.87,30.5,30.87,30.37,161100.0
1/23/1987,30.87,30.75,31.12,30.75,197600.0
