Date,Close,Open,High,Low,Volume
3/17/1980,16.25,,16.5,16.25,59000.0
3/18/1980,16.38,,16.38,16.25,59100.0
3/19/1980,16.38,,16.5,16.25,64000.0
3/20/1980,16.25,,16.38,16.25,58300.0
3/21/1980,16.25,,16.38,16.13,69600.0
3/24/1980,16.0,,16.25,15.88,116000.0
3/25/1980,15.88,,16.0,15.75,106700.0
3/26/1980,15.63,,16.0,15.63,59200.0
3/27/1980,15.25,,15.75,15.25,87500.0
3/28/1980,15.63,,15.63,15.25,88900.0
3/31/1980,16.0,,16.0,15.63,86500.0
4/1/1980,16.25,,16.25,15.88,67700.0
4/2/1980,16.63,,16.88,16.38,110500.0
4/3/1980,17.25,,17.25,16.63,132700.0
4/7/1980,17.0,,17.25,16.75,54200.0
4/8/1980,17.13,,17.13,16.88,68300.0
4/9/1980,17.25,,17.38,16.88,53900.0
4/10/1980,17.75,,17.75,17.38,70000.0
4/11/1980,17.63,,18.0,17.5,67500.0
4/14/1980,17.25,,17.75,17.25,87100.0
4/15/1980,17.25,,17.38,17.13,107100.0
4/16/1980,17.63,,17.88,17.38,138700.0
4/17/1980,18.0,,18.13,17.63,94200.0
4/18/1980,18.63,,18.75,18.13,82500.0
4/21/1980,18.38,,18.88,18.38,76600.0
4/22/1980,18.63,,18.63,18.38,85100.0
4/23/1980,18.38,,18.63,18.38,74100.0
4/24/1980,18.5,,18.63,18.25,163200.0
4/25/1980,18.38,,18.5,18.13,107300.0
4/28/1980,18.5,,18.75,18.38,55800.0
4/29/1980,18.63,,18.75,18.5,60300.0
4/30/1980,18.75,,18.75,18.5,131800.0
5/1/1980,18.75,,18.88,18.5,51200.0
5/2/1980,18.75,,18.88,18.63,208300.0
5/5/1980,18.13,,18.25,17.88,188400.0
5/6/1980,18.13,,18.5,18.13,96500.0
5/7/1980,18.88,,19.0,18.38,95400.0
5/8/1980,18.75,,19.0,18.63,103700.0
5/9/1980,18.63,,18.75,18.38,45400.0
5/12/1980,18.38,,18.75,18.38,180900.0
5/13/1980,18.75,,18.75,18.38,170500.0
5/14/1980,18.88,,18.88,18.63,87900.0
5/15/1980,18.88,,18.88,18.75,83800.0
5/16/1980,18.88,,18.88,18.5,51000.0
5/19/1980,18.63,,18.88,18.5,61400.0
5/20/1980,18.5,,18.63,18.38,50500.0
5/21/1980,18.75,,18.75,18.38,80500.0
5/22/1980,18.5,,18.75,18.5,66700.0
5/23/1980,18.75,,18.75,18.5,72500.0
5/27/1980,19.25,,19.25,18.63,352600.0
5/28/1980,19.38,,19.75,19.25,144600.0
