Date,Close,Open,High,Low,Volume
1991-06-26,3.28,,3.36,3.11,2699600.0
1991-06-27,3.32,,3.44,3.26,996800.0
1991-06-28,3.3,,3.4,3.24,385900.0
1991-07-01,3.32,,3.36,3.28,288500.0
1991-07-02,3.36,,3.36,3.32,205700.0
1991-07-03,3.32,,3.36,3.24,196600.0
1991-07-05,3.2,,3.32,3.2,37300.0
1991-07-08,3.2,,3.32,3.2,89000.0
1991-07-09,3.44,,3.48,3.2,501700.0
1991-07-10,3.72,,3.72,3.48,200400.0
1991-07-11,3.78,,3.88,3.64,365600.0
1991-07-12,3.72,,3.84,3.68,118700.0
1991-07-15,3.72,,3.76,3.68,65400.0
1991-07-16,3.92,,3.92,3.68,248300.0
1991-07-17,4.13,,4.21,3.84,605500.0
1991-07-18,4.13,,4.25,4.05,607800.0
1991-07-19,3.92,,4.17,3.92,235800.0
1991-07-22,3.92,,4.05,3.92,80800.0
1991-07-23,3.74,,3.96,3.7,126700.0
1991-07-24,3.64,,3.84,3.64,84800.0
1991-07-25,3.6,,3.72,3.6,34200.0
1991-07-26,3.64,,3.64,3.56,80000.0
1991-07-29,3.68,,3.68,3.56,12600.0
1991-07-30,3.96,,3.98,3.6,102000.0
1991-07-31,4.05,,4.09,3.92,224900.0
1991-08-01,4.09,,4.09,4.0,51900.0
1991-08-02,4.05,,4.13,4.05,117800.0
1991-08-05,3.96,,4.13,3.96,120800.0
1991-08-06,4.0,,4.0,3.88,22800.0
1991-08-07,4.0,,4.0,3.96,34100.0
1991-08-08,4.0,,4.0,3.96,72600.0
1991-08-09,3.94,,4.0,3.92,57200.0
1991-08-12,3.92,,3.92,3.84,21500.0
1991-08-13,3.92,,3.92,3.84,21300.0
1991-08-14,3.96,,3.96,3.84,19900.0
1991-08-15,3.96,,3.96,3.88,26300.0
1991-08-16,3.92,,4.0,3.88,15100.0
1991-08-19,3.74,,3.8,3.6,67100.0
1991-08-20,3.88,,3.88,3.76,43300.0
1991-08-21,3.88,,3.96,3.84,66700.0
1991-08-22,3.96,,3.96,3.88,8600.0
1991-08-23,4.0,,4.05,3.88,19000.0
1991-08-26,4.05,,4.05,3.96,3200.0
1991-08-27,4.21,,4.21,3.96,89800.0
1991-08-28,4.33,,4.41,4.17,105900.0
1991-08-29,4.27,,4.33,4.25,43400.0
1991-08-30,4.29,,4.33,4.25,26300.0
1991-09-03,4.29,,4.29,4.25,38500.0
1991-09-04,4.25,,4.31,4.25,72700.0
1991-09-05,4.25,,4.29,4.25,24000.0
1991-09-06,4.25,,4.29,4.25,111300.0
1991-09-09,4.29,,4.29,4.25,17700.0
1991-09-10,4.25,,4.29,4.25,44500.0
1991-09-11,4.33,,4.37,4.25,70700.0
1991-09-12,4.33,,4.39,4.33,68000.0
1991-09-13,4.37,,4.41,4.33,59800.0
1991-09-16,4.37,,4.45,4.33,49200.0
