Date,Close,Open,High,Low,Volume
2004-02-05,24.7,23.75,24.94,23.25,27565300.0
2004-02-06,24.85,24.71,24.94,24.15,5284400.0
2004-02-09,24.47,24.6,24.7,24.0,3252900.0
2004-02-10,24.35,24.15,24.47,24.05,1651600.0
2004-02-11,24.25,24.28,24.5,24.15,2010200.0
2004-02-12,24.68,24.19,25.0,24.17,1637500.0
2004-02-13,24.7,24.79,24.84,24.28,612000.0
2004-02-17,24.6,24.75,24.9,24.5,592500.0
2004-02-18,25.4,24.6,25.4,24.35,805700.0
2004-02-19,25.68,25.25,25.98,25.25,1494600.0
2004-02-20,25.35,25.69,25.69,25.0,742000.0
2004-02-23,24.55,25.39,25.39,24.35,1331800.0
2004-02-24,24.8,24.4,24.97,24.21,963600.0
2004-02-25,24.85,24.8,25.0,24.7,321700.0
2004-02-26,25.24,24.85,25.27,24.6,617200.0
2004-02-27,25.74,25.15,25.75,25.11,1569100.0
2004-03-01,25.8,25.74,26.19,25.7,851700.0
2004-03-02,25.94,25.95,25.95,25.1,595600.0
2004-03-03,25.48,25.7,25.8,25.35,457000.0
2004-03-04,25.21,25.48,25.75,24.75,1060200.0
2004-03-05,25.55,25.02,25.64,25.0,450200.0
2004-03-08,25.48,25.55,25.65,25.17,370100.0
2004-03-09,25.0,25.5,25.51,24.71,816200.0
2004-03-10,24.65,24.8,24.85,24.4,1034300.0
2004-03-11,24.2,24.15,24.65,24.15,2538500.0
2004-03-12,24.5,24.34,24.65,24.25,1501700.0
2004-03-15,24.0,24.75,24.75,23.74,1595900.0
2004-03-16,24.23,24.5,24.55,24.18,1539800.0
2004-03-17,24.07,24.2,24.5,24.06,1051700.0
2004-03-18,23.8,24.07,24.1,23.71,1006800.0
2004-03-19,23.74,23.75,23.84,23.4,759200.0
2004-03-22,23.7,23.4,23.75,23.09,1018700.0
2004-03-23,24.0,23.75,24.0,23.51,678300.0
2004-03-24,23.8,24.0,24.05,23.77,510900.0
2004-03-25,23.96,23.65,24.06,23.49,1499800.0
2004-03-26,24.1,23.87,24.34,23.87,887500.0
2004-03-29,24.37,24.11,24.44,24.11,823900.0
2004-03-30,24.72,24.2,24.75,24.18,739300.0
2004-03-31,25.15,24.75,25.29,24.6,728500.0
2004-04-01,25.25,25.25,25.4,24.78,1568800.0
2004-04-02,25.22,25.36,25.41,24.75,1166400.0
2004-04-05,25.51,25.05,25.53,24.9,544200.0
2004-04-06,25.94,25.45,26.0,25.25,697900.0
2004-04-07,25.73,25.75,25.86,25.4,444100.0
2004-04-08,26.22,25.84,26.26,25.7,657400.0
2004-04-12,25.88,26.15,26.25,25.71,804000.0
2004-04-13,25.25,25.98,26.16,25.15,860800.0
2004-04-14,25.19,25.25,25.45,24.97,1518700.0
2004-04-15,25.25,25.3,25.75,25.07,1406600.0
2004-04-16,25.54,25.3,25.64,25.05,272100.0
2004-04-19,25.73,25.45,26.13,25.45,627800.0
2004-04-20,25.55,25.7,25.8,25.4,926200.0
2004-04-21,25.2,25.5,25.58,25.0,980800.0
2004-04-22,25.2,25.35,25.44,25.0,568200.0
2004-04-23,25.03,25.2,25.22,24.86,355900.0
2004-04-26,24.9,24.85,25.0,24.65,238900.0
2004-04-27,25.17,24.85,25.27,24.84,171900.0
2004-04-28,25.0,25.25,25.25,24.92,256100.0
2004-04-29,24.72,24.89,24.95,24.6,298200.0
2004-04-30,24.36,24.63,25.0,24.34,608100.0
2004-05-03,25.0,24.56,25.04,24.45,514800.0
2004-05-04,24.75,24.95,25.02,24.5,953800.0
2004-05-05,24.69,24.9,25.0,24.6,304700.0
2004-05-06,24.65,24.7,24.96,24.29,319600.0
2004-05-07,24.1,24.5,24.8,23.55,564500.0
2004-05-10,24.0,24.0,24.05,23.48,479000.0
2004-05-11,24.26,23.94,24.49,23.72,418400.0
2004-05-12,24.4,24.65,24.72,23.56,1549800.0
2004-05-13,24.99,24.25,25.28,24.08,753400.0
2004-05-14,25.0,24.99,25.15,24.85,750400.0
2004-05-17,24.37,24.8,24.8,24.25,569600.0
2004-05-18,24.84,24.5,25.05,24.41,852100.0
2004-05-19,24.75,24.8,25.0,24.64,434400.0
2004-05-20,25.0,24.75,25.0,24.7,546500.0
2004-05-21,24.93,24.99,25.0,24.88,469600.0
2004-05-24,25.0,25.05,25.05,24.82,532500.0
2004-05-25,24.65,25.0,25.01,24.52,1171200.0
2004-05-26,24.8,24.7,24.84,24.38,349200.0
2004-05-27,24.6,24.7,24.99,24.55,615900.0
2004-05-28,25.1,24.65,25.1,24.45,283900.0
2004-06-01,25.16,25.0,25.29,24.9,939300.0
2004-06-02,25.4,25.41,25.49,25.15,505900.0
2004-06-03,25.63,25.43,25.7,25.29,397700.0
2004-06-04,25.8,25.55,25.85,25.45,240100.0
2004-06-07,25.55,25.9,25.91,25.49,336400.0
2004-06-08,25.58,25.37,25.6,25.24,614300.0
2004-06-09,25.52,25.7,25.9,25.48,846300.0
2004-06-10,25.46,25.6,25.6,25.4,543700.0
2004-06-14,25.45,25.46,25.46,25.08,177900.0
2004-06-15,25.68,25.5,25.85,25.44,559400.0
2004-06-16,25.53,25.5,25.72,25.48,192800.0
2004-06-17,25.78,25.5,25.79,25.45,282200.0
2004-06-18,25.35,25.65,25.72,25.07,801400.0
2004-06-21,25.3,25.41,25.44,25.24,207700.0
2004-06-22,25.3,25.32,25.4,25.1,268200.0
2004-06-23,25.28,25.35,25.48,25.12,183200.0
2004-06-24,25.45,25.1,25.8,25.1,507100.0
2004-06-25,25.99,25.55,25.99,25.44,2769000.0
2004-06-28,26.2,25.99,26.25,25.92,604400.0
2004-06-29,26.47,26.1,26.59,26.0,486600.0
2004-06-30,26.38,26.52,26.57,26.25,566700.0
2004-07-01,26.3,26.38,26.41,26.18,461600.0
2004-07-02,26.07,26.25,26.36,26.0,489000.0
2004-07-06,25.85,26.06,26.06,25.71,246200.0
2004-07-07,26.0,25.82,26.0,25.8,416800.0
2004-07-08,25.85,26.0,26.0,25.8,224500.0
2004-07-09,25.85,25.92,25.98,25.71,155700.0
2004-07-12,25.97,25.9,26.0,25.8,93700.0
2004-07-13,26.0,25.97,26.03,25.82,545400.0
2004-07-14,25.78,26.0,26.0,25.51,203100.0
2004-07-15,25.47,25.63,25.74,25.31,292100.0
2004-07-16,25.48,25.48,25.61,25.29,342200.0
2004-07-19,25.55,25.4,25.6,25.35,280600.0
2004-07-20,25.48,25.45,25.55,25.33,647000.0
2004-07-21,25.44,25.54,25.58,25.44,740200.0
2004-07-22,24.7,25.4,25.4,24.69,1169000.0
2004-07-23,24.3,24.65,24.65,24.16,1022700.0
2004-07-26,23.9,24.36,24.45,23.86,704200.0
2004-07-27,24.62,23.96,25.0,23.91,483600.0
2004-07-28,24.43,24.85,24.85,24.31,452500.0
2004-07-29,24.4,24.45,24.66,24.33,331400.0
2004-07-30,24.4,24.4,24.45,24.29,392900.0
2004-08-02,24.77,24.35,24.86,24.21,225600.0
2004-08-03,25.15,25.0,25.41,24.81,556400.0
2004-08-04,25.05,25.1,25.16,24.92,119900.0
2004-08-05,25.66,25.0,25.76,25.0,1014300.0
2004-08-06,25.65,25.6,25.79,25.48,542200.0
2004-08-09,25.84,25.6,25.98,25.55,208700.0
2004-08-10,25.95,25.9,26.05,25.89,309600.0
2004-08-11,25.7,26.1,26.1,25.61,471200.0
2004-08-12,25.16,25.6,25.7,25.15,307000.0
2004-08-13,25.1,25.33,25.33,25.05,451300.0
2004-08-16,25.3,24.95,25.43,24.95,442500.0
2004-08-17,25.65,25.24,25.73,25.2,281600.0
2004-08-18,25.85,25.68,25.88,25.65,269400.0
2004-08-19,25.8,25.6,25.99,25.6,303800.0
2004-08-20,25.8,25.75,25.84,25.65,187800.0
2004-08-23,25.91,25.67,26.02,25.67,190800.0
2004-08-24,25.99,25.8,26.0,25.8,192500.0
2004-08-25,25.97,25.99,26.01,25.89,294300.0
