Date,Close,Open,High,Low,Volume
1984-06-20,1.84,,1.88,1.84,250500.0
1984-06-21,1.78,,1.84,1.78,78300.0
1984-06-22,1.78,,1.81,1.78,28700.0
1984-06-25,1.75,,1.81,1.75,12800.0
1984-06-26,1.72,,1.75,1.72,16200.0
1984-06-27,1.75,,1.78,1.75,26700.0
1984-06-28,1.75,,1.78,1.75,26500.0
1984-06-29,1.81,,1.88,1.81,26000.0
1984-07-02,1.81,,1.88,1.81,18100.0
1984-07-03,1.81,,1.88,1.81,6000.0
1984-07-05,1.84,,1.91,1.84,13500.0
1984-07-06,1.84,,1.91,1.84,300.0
1984-07-09,1.84,,1.88,1.84,9600.0
1984-07-10,1.84,,1.91,1.84,11200.0
1984-07-11,1.84,,1.91,1.84,10300.0
1984-07-12,1.81,,1.88,1.81,7300.0
1984-07-13,1.81,,1.88,1.81,40400.0
1984-07-16,1.81,,1.88,1.81,4000.0
1984-07-17,1.81,,1.88,1.81,41800.0
1984-07-18,1.81,,1.88,1.81,52600.0
1984-07-19,1.81,,1.88,1.81,50500.0
1984-07-20,1.81,,1.88,1.81,6700.0
1984-07-23,1.84,,1.91,1.84,19200.0
1984-07-24,1.88,,1.97,1.88,10300.0
1984-07-25,1.88,,1.97,1.88,300.0
1984-07-26,1.97,,2.03,1.97,18400.0
1984-07-27,2.03,,2.13,2.03,16000.0
1984-07-30,2.03,,2.13,2.03,19200.0
1984-07-31,2.03,,2.13,2.03,16400.0
1984-08-01,2.03,,2.13,2.03,15500.0
1984-08-02,2.09,,2.16,2.09,12900.0
1984-08-03,2.13,,2.22,2.13,9000.0
1984-08-06,2.16,,2.25,2.16,6500.0
1984-08-07,2.16,,2.25,2.16,3000.0
1984-08-08,2.22,,2.28,2.22,2400.0
1984-08-09,2.22,,2.28,2.22,5000.0
1984-08-10,2.25,,2.31,2.25,2400.0
1984-08-13,2.25,,2.31,2.25,20100.0
1984-08-14,2.25,,2.31,2.25,10000.0
1984-08-15,2.25,,2.31,2.25,9400.0
1984-08-16,2.28,,2.38,2.28,8500.0
1984-08-17,2.34,,2.41,2.34,20800.0
1984-08-20,2.38,,2.44,2.38,5000.0
1984-08-21,2.41,,2.44,2.41,6600.0
1984-08-22,2.44,,2.5,2.44,27900.0
1984-08-23,2.47,,2.53,2.47,7200.0
1984-08-24,2.47,,2.56,2.47,100.0
1984-08-28,2.5,,2.56,2.5,1200.0
1984-08-29,2.63,,2.69,2.63,59700.0
1984-08-30,2.66,,2.72,2.66,1600.0
1984-08-31,2.66,,2.75,2.66,400.0
1984-09-04,2.66,,2.75,2.66,8600.0
1984-09-05,2.66,,2.72,2.66,3900.0
1984-09-06,2.66,,2.75,2.66,91200.0
1984-09-07,2.69,,2.75,2.69,21300.0
1984-09-10,2.69,,2.75,2.69,13400.0
1984-09-11,2.69,,2.75,2.69,600.0
1984-09-12,2.69,,2.75,2.69,1300.0
1984-09-13,2.69,,2.75,2.69,3900.0
1984-09-14,2.69,,2.75,2.69,1500.0
1984-09-17,2.72,,2.78,2.72,3200.0
1984-09-18,2.72,,2.81,2.72,13600.0
1984-09-19,2.72,,2.81,2.72,5000.0
1984-09-20,2.72,,2.78,2.72,10200.0
1984-09-21,3.03,,3.09,3.03,50600.0
1984-09-24,3.03,,3.09,3.03,13000.0
1984-09-25,3.03,,3.09,3.03,7500.0
1984-09-26,3.03,,3.09,3.03,5200.0
1984-09-27,3.03,,3.09,3.03,1500.0
1984-09-28,3.03,,3.09,3.03,3700.0
1984-10-01,3.03,,3.09,3.03,23400.0
1984-10-02,3.06,,3.13,3.06,2100.0
1984-10-03,3.06,,3.13,3.06,1300.0
