Date,Close,Open,High,Low,Volume
1994-02-22,7.25,7.25,7.31,7.25,10400.0
1994-02-23,6.94,7.13,7.13,6.75,15800.0
1994-02-24,6.81,6.94,6.94,6.81,16000.0
1994-02-25,6.44,6.69,6.69,6.25,24900.0
1994-02-28,6.63,6.5,6.75,6.44,85200.0
1994-03-01,6.56,6.63,6.63,6.5,20800.0
1994-03-02,6.56,6.44,6.56,6.44,33500.0
1994-03-03,6.5,6.63,6.63,6.5,13900.0
1994-03-04,6.75,6.5,6.75,6.44,179100.0
1994-03-07,6.75,6.44,6.81,6.44,345400.0
1994-03-08,6.81,6.75,6.81,6.75,257600.0
1994-03-09,6.88,6.81,6.88,6.81,270200.0
1994-03-10,6.88,6.88,6.88,6.81,916100.0
1994-03-11,7.19,6.94,7.19,6.94,947700.0
1994-03-14,7.56,7.19,7.63,7.19,706900.0
1994-03-15,7.44,7.56,7.69,7.44,832600.0
1994-03-16,7.44,7.44,7.44,7.31,358500.0
1994-03-17,7.56,7.44,7.69,7.44,485600.0
1994-03-18,7.63,7.63,7.69,7.63,589000.0
1994-03-21,7.69,7.63,7.69,7.63,329700.0
1994-03-22,7.81,7.69,7.88,7.69,187000.0
1994-03-23,7.88,7.81,7.94,7.75,215100.0
1994-03-24,7.75,7.81,7.88,7.75,373500.0
1994-03-25,7.69,7.81,7.81,7.63,185000.0
1994-03-28,7.63,7.69,7.69,7.63,558100.0
1994-03-29,7.5,7.63,7.69,7.5,297900.0
1994-03-30,7.38,7.5,7.5,7.31,326500.0
1994-03-31,7.38,7.38,7.44,7.25,224200.0
1994-04-04,7.38,7.13,7.38,7.13,193300.0
1994-04-05,7.63,7.31,7.69,7.31,180800.0
1994-04-06,7.38,7.63,7.69,7.38,275700.0
1994-04-07,7.44,7.5,7.5,7.38,169200.0
1994-04-08,7.5,7.31,7.5,7.31,83000.0
1994-04-11,7.25,7.56,7.63,7.25,212400.0
1994-04-12,7.13,7.13,7.25,7.13,301400.0
1994-04-13,7.0,7.13,7.31,7.0,252300.0
1994-04-14,6.94,7.06,7.06,6.94,189100.0
1994-04-15,6.88,6.88,7.06,6.88,98800.0
1994-04-18,7.25,7.0,7.25,7.0,92400.0
1994-04-19,7.25,7.19,7.31,7.19,61100.0
1994-04-20,7.13,7.31,7.31,7.13,100700.0
1994-04-21,6.88,7.13,7.31,6.88,429100.0
1994-04-22,7.25,7.0,7.25,7.0,205700.0
1994-04-25,7.63,7.19,7.63,7.19,165300.0
1994-04-26,7.38,7.56,7.56,7.25,156700.0
1994-04-28,7.31,7.31,7.31,7.13,80800.0
1994-04-29,7.25,7.25,7.31,7.19,172300.0
1994-05-02,7.19,7.19,7.31,7.06,67900.0
1994-05-03,7.19,7.25,7.44,7.13,187600.0
1994-05-04,7.31,7.13,7.38,7.13,245900.0
1994-05-05,7.25,7.31,7.31,7.19,76400.0
1994-05-06,7.25,7.25,7.31,7.25,136400.0
1994-05-09,7.25,7.25,7.31,7.25,80800.0
1994-05-10,7.5,7.25,7.5,7.25,154100.0
1994-05-11,7.56,7.5,7.69,7.5,194300.0
1994-05-12,7.75,7.5,7.75,7.5,77500.0
1994-05-13,7.38,7.69,7.75,7.38,52600.0
1994-05-16,7.44,7.38,7.56,7.38,103400.0
1994-05-17,7.5,7.5,7.56,7.44,211300.0
1994-05-18,7.5,7.5,7.5,7.44,65400.0
1994-05-19,7.56,7.44,7.63,7.38,99700.0
1994-05-20,7.38,7.5,7.56,7.38,59800.0
1994-05-23,7.25,7.31,7.38,7.25,97800.0
1994-05-24,7.56,7.44,7.56,7.38,79100.0
1994-05-25,7.69,7.5,7.75,7.5,52400.0
1994-05-26,7.75,7.75,7.75,7.56,172900.0
1994-05-27,7.81,7.69,7.81,7.63,149000.0
1994-05-31,8.06,7.94,8.25,7.88,228200.0
1994-06-01,7.88,8.06,8.06,7.88,134100.0
1994-06-02,7.88,8.0,8.06,7.81,40500.0
1994-06-03,7.75,7.81,7.94,7.63,198700.0
