Date,Close,Open,High,Low,Volume
1993-06-03,14.69,14.88,15.0,14.5,28301500.0
1993-06-04,14.31,14.56,14.69,14.31,6322200.0
1993-06-07,14.06,14.13,14.25,14.0,5021900.0
1993-06-08,13.88,14.06,14.13,13.81,3487300.0
1993-06-09,14.13,13.94,14.25,13.94,2021600.0
1993-06-10,14.0,14.06,14.13,13.94,1302700.0
1993-06-11,14.0,14.0,14.19,14.0,1320800.0
1993-06-14,13.88,14.06,14.13,13.88,903100.0
1993-06-15,13.94,14.0,14.0,13.88,1128800.0
1993-06-16,14.0,13.94,14.0,13.88,1195800.0
1993-06-17,14.0,14.0,14.13,13.94,1063400.0
1993-06-18,13.81,14.0,14.0,13.81,1064300.0
1993-06-21,13.69,13.81,13.81,13.56,1050500.0
1993-06-22,13.88,13.69,13.88,13.69,796800.0
1993-06-23,13.81,13.88,14.0,13.81,974000.0
1993-06-24,14.06,13.81,14.06,13.63,1652600.0
1993-06-25,14.25,14.25,14.31,14.06,1234000.0
1993-06-28,14.5,14.19,14.5,14.19,1261300.0
1993-06-29,14.38,14.44,14.5,14.13,595400.0
1993-06-30,14.5,14.5,14.63,14.44,1276900.0
1993-07-01,14.31,14.69,14.75,14.31,1428900.0
1993-07-02,14.38,14.44,14.44,14.31,538600.0
1993-07-06,14.31,14.44,14.56,14.31,618800.0
1993-07-07,14.25,14.25,14.38,14.19,833600.0
1993-07-08,14.44,14.31,14.5,14.25,794300.0
1993-07-09,14.25,14.56,14.63,14.25,865600.0
1993-07-12,14.13,14.38,14.38,13.94,869300.0
1993-07-13,14.31,14.19,14.44,14.19,652500.0
1993-07-14,14.63,14.31,14.63,14.31,902800.0
1993-07-15,14.69,14.63,14.69,14.56,617700.0
1993-07-16,14.94,14.88,15.06,14.75,1295100.0
1993-07-19,15.19,15.0,15.19,14.94,1295000.0
1993-07-20,15.31,15.75,15.75,15.31,1988800.0
1993-07-21,14.94,15.44,15.44,14.94,889500.0
1993-07-22,14.81,15.0,15.0,14.75,547600.0
1993-07-23,14.94,14.81,15.06,14.81,530200.0
1993-07-26,15.25,15.0,15.25,14.94,495000.0
1993-07-27,15.25,15.25,15.56,15.25,471100.0
1993-07-28,15.19,15.25,15.31,15.13,173100.0
1993-07-29,15.25,15.06,15.38,15.0,535200.0
1993-07-30,15.56,15.25,15.56,15.25,635600.0
1993-08-02,15.5,15.56,15.69,15.44,531100.0
1993-08-03,15.69,15.56,15.81,15.56,658000.0
1993-08-04,15.63,15.75,15.88,15.5,376100.0
1993-08-05,15.25,15.69,15.69,15.25,455300.0
1993-08-06,15.5,15.44,15.63,15.44,359100.0
1993-08-09,15.5,15.5,15.56,15.38,246000.0
1993-08-10,15.31,15.5,15.63,15.31,804300.0
1993-08-11,15.25,15.44,15.44,15.19,168700.0
1993-08-12,15.13,15.25,15.25,15.0,248100.0
1993-08-13,15.0,15.19,15.19,15.0,187600.0
1993-08-16,14.88,14.94,15.06,14.81,533900.0
1993-08-17,15.0,14.88,15.13,14.88,534700.0
1993-08-18,15.19,15.06,15.19,15.06,404900.0
1993-08-19,15.63,15.19,15.63,15.19,430600.0
1993-08-20,16.0,15.56,16.0,15.56,1478500.0
1993-08-23,16.0,16.06,16.06,15.88,426500.0
1993-08-24,15.94,15.88,16.06,15.88,379900.0
1993-08-25,15.88,15.88,16.0,15.88,475600.0
1993-08-26,16.0,15.94,16.0,15.75,360600.0
1993-08-27,16.0,16.0,16.06,15.94,158300.0
1993-08-30,15.63,15.88,15.94,15.56,472900.0
1993-08-31,15.5,15.5,15.63,15.44,295000.0
1993-09-01,15.94,15.69,15.94,15.69,177700.0
1993-09-02,15.81,15.88,16.0,15.75,341100.0
1993-09-03,15.94,15.81,16.06,15.81,275200.0
1993-09-07,16.13,16.06,16.38,16.0,436500.0
1993-09-08,15.88,16.0,16.0,15.81,683900.0
1993-09-09,15.94,15.75,16.06,15.75,312700.0
1993-09-10,16.06,16.0,16.13,16.0,332300.0
1993-09-13,16.0,16.06,16.13,15.94,172300.0
1993-09-14,16.38,16.06,16.38,16.0,226600.0
1993-09-15,16.06,16.13,16.13,15.94,299600.0
1993-09-16,16.13,16.0,16.13,15.88,201700.0
1993-09-17,16.13,16.0,16.13,15.88,250800.0
1993-09-20,16.0,16.06,16.06,15.88,283700.0
1993-09-21,15.88,15.94,15.94,15.69,408100.0
1993-09-22,16.0,15.88,16.06,15.88,472900.0
1993-09-23,16.19,15.88,16.19,15.88,346800.0
1993-09-24,16.06,16.13,16.19,16.06,537100.0
1993-09-27,16.5,16.19,16.56,16.19,573000.0
1993-09-28,16.63,16.5,16.69,16.38,554600.0
1993-09-29,16.25,16.5,16.63,16.19,303900.0
1993-09-30,15.88,16.31,16.31,15.88,437700.0
1993-10-01,16.19,16.0,16.19,15.88,202400.0
1993-10-04,16.19,16.19,16.38,16.13,214700.0
1993-10-05,16.56,16.19,16.56,16.19,207200.0
1993-10-06,16.5,16.5,16.56,16.31,275600.0
1993-10-07,16.44,16.44,16.63,16.44,220500.0
1993-10-08,16.5,16.69,16.75,16.38,200200.0
1993-10-11,16.63,16.56,16.69,16.5,140100.0
1993-10-12,16.63,16.63,16.88,16.63,388800.0
1993-10-13,16.69,16.63,16.75,16.56,120200.0
1993-10-14,17.0,16.75,17.13,16.75,331600.0
