Date,Close,Open,High,Low,Volume
11/18/2013,48.48,49.75,50.0,47.49,587184.0
11/19/2013,45.8,48.99,49.0,45.3,1682041.0
11/20/2013,44.65,45.98,46.0,43.99,1106908.0
11/21/2013,43.79,44.5,45.15,43.04,730214.0
11/22/2013,43.99,43.9,44.1,43.25,947693.0
11/25/2013,44.18,44.28,45.62,43.7,727314.0
11/26/2013,43.2,45.0,45.0,43.04,873717.0
11/27/2013,43.24,43.55,43.55,42.5,1153343.0
11/29/2013,43.24,42.75,43.85,42.75,949924.0
12/2/2013,43.14,43.9,44.74,41.52,5130708.0
12/3/2013,42.9,42.8,44.9,42.7,3239252.0
12/4/2013,41.83,42.43,42.61,41.65,2777748.0
12/5/2013,41.05,42.28,42.28,40.63,3380502.0
12/6/2013,40.7,40.75,41.06,40.64,4662340.0
12/9/2013,41.18,40.7,41.27,40.24,3073953.0
12/10/2013,42.56,41.07,42.84,41.04,3289354.0
12/11/2013,42.46,42.32,43.02,42.0,3367890.0
12/12/2013,42.97,42.01,43.1,42.0,1770490.0
12/13/2013,43.25,42.92,43.8,42.92,683791.0
12/16/2013,43.69,43.01,43.99,42.11,1953878.0
12/17/2013,43.75,43.43,44.0,43.16,1396938.0
12/18/2013,44.27,43.65,44.5,43.1,1225195.0
12/19/2013,44.45,43.96,44.5,43.82,593011.0
12/20/2013,44.26,44.3,44.45,43.91,2878557.0
12/23/2013,44.65,44.17,44.85,43.55,773646.0
12/24/2013,44.58,44.76,45.02,44.25,304706.0
12/26/2013,44.7,44.86,45.01,44.44,513177.0
12/27/2013,44.64,44.77,44.97,44.09,393256.0
12/30/2013,44.12,44.45,44.88,44.0,381478.0
12/31/2013,44.19,44.23,44.5,43.76,874161.0
1/2/2014,43.65,44.08,44.18,43.27,992872.0
1/3/2014,43.96,43.57,44.32,43.17,378396.0
1/6/2014,43.68,43.97,43.98,43.37,597834.0
1/7/2014,43.87,42.16,43.98,42.16,1371252.0
1/8/2014,43.88,44.02,44.36,43.4,1407140.0
1/9/2014,44.13,43.89,44.25,43.84,1093527.0
1/10/2014,45.73,44.17,46.08,44.02,2008621.0
1/13/2014,47.04,45.7,47.44,45.2,2278501.0
1/14/2014,47.8,47.16,47.89,46.91,2338221.0
1/15/2014,47.5,47.97,49.19,47.26,1732951.0
1/16/2014,47.4,47.28,47.68,47.04,1178666.0
1/17/2014,48.0,47.52,48.24,47.0,1572137.0
1/21/2014,48.17,49.38,49.38,47.94,1570433.0
1/22/2014,48.51,48.11,49.16,48.08,682208.0
1/23/2014,47.72,48.68,48.68,47.58,867599.0
1/24/2014,46.84,47.62,47.71,45.83,1417529.0
1/27/2014,46.6,45.2,48.0,45.2,717829.0
1/28/2014,47.73,46.77,47.88,46.77,721686.0
1/29/2014,47.78,47.35,48.48,47.13,800899.0
1/30/2014,49.42,47.91,49.63,47.83,1247052.0
1/31/2014,49.35,49.25,49.96,49.03,2011057.0
2/3/2014,47.44,49.35,49.94,47.2,1184839.0
2/4/2014,48.05,47.44,48.48,47.32,891295.0
2/6/2014,49.24,47.5,49.27,47.5,1168384.0
2/7/2014,49.94,49.33,50.27,49.33,1837821.0
2/10/2014,49.84,49.99,50.12,49.45,763357.0
2/11/2014,49.89,49.73,50.41,49.33,1447661.0
2/12/2014,50.0,49.92,51.0,49.73,1405279.0
2/13/2014,50.12,49.98,50.44,49.59,694986.0
2/14/2014,49.63,50.15,50.25,49.59,891951.0
2/18/2014,50.11,49.72,50.86,49.72,2748462.0
2/19/2014,49.16,49.84,50.34,49.03,1076067.0
2/20/2014,51.52,50.23,52.78,49.1,2623555.0
2/21/2014,52.37,51.75,52.79,51.75,2198698.0
2/24/2014,52.86,52.36,53.11,52.36,669573.0
2/25/2014,54.56,53.0,54.58,52.93,1117594.0
2/26/2014,54.66,54.83,55.78,54.18,1880124.0
2/27/2014,55.35,54.69,55.53,54.21,1139863.0
2/28/2014,54.35,55.09,55.32,53.82,1198525.0
3/3/2014,53.49,54.67,54.93,53.08,659634.0
3/4/2014,54.0,53.71,55.0,53.48,1189909.0
3/5/2014,53.95,53.9,54.31,53.38,394973.0
3/6/2014,53.19,53.99,54.1,53.04,617421.0
3/7/2014,53.39,53.44,53.78,52.59,776145.0
3/10/2014,53.29,53.2,53.67,52.24,1155349.0
