Date,Close,Open,High,Low,Volume
2019-06-11,11.18,11.11,11.35,11.06,268169400.0
2019-06-12,11.25,11.21,11.35,11.11,16955751.0
2019-06-13,11.02,11.19,11.19,10.79,15375399.0
2019-06-14,10.93,11.0,11.04,10.85,12995016.0
2019-06-17,10.65,10.77,10.83,10.61,11991150.0
2019-06-18,10.8,10.73,10.8,10.66,6940340.0
2019-06-19,10.59,10.75,10.77,10.46,7823884.0
2019-06-20,10.87,10.72,10.95,10.71,7407696.0
2019-06-21,11.02,10.93,11.06,10.85,15210912.0
2019-06-24,11.14,11.05,11.19,10.79,23175767.0
2019-06-25,11.46,11.22,11.5,11.15,12368227.0
2019-06-26,11.51,11.4,11.54,11.33,9356126.0
2019-06-27,11.49,11.57,11.6,11.47,5419324.0
2019-06-28,11.49,11.41,11.5,11.37,7604545.0
2019-07-01,11.43,11.38,11.43,11.3,7831894.0
2019-07-02,11.58,11.47,11.6,11.45,6608736.0
2019-07-03,11.68,11.76,11.77,11.65,3013458.0
2019-07-05,11.61,11.58,11.65,11.55,3565063.0
2019-07-08,11.44,11.48,11.51,11.35,3031014.0
2019-07-09,11.02,11.28,11.28,10.94,6699071.0
2019-07-10,10.96,11.03,11.11,10.94,3642419.0
2019-07-11,11.08,10.94,11.08,10.87,4404543.0
2019-07-12,11.15,11.1,11.16,10.99,5162567.0
2019-07-15,11.08,11.0,11.08,10.9,3025163.0
2019-07-16,10.9,11.09,11.09,10.82,5764858.0
2019-07-17,11.18,10.93,11.23,10.89,8203866.0
2019-07-18,11.28,11.17,11.37,10.88,8345719.0
2019-07-19,11.27,11.33,11.41,11.24,3358112.0
2019-07-22,10.74,11.07,11.07,10.66,8515464.0
2019-07-23,10.86,10.8,10.88,10.76,2969530.0
2019-07-24,10.79,10.84,10.9,10.67,3836784.0
2019-07-25,10.98,10.76,11.1,10.76,5477810.0
2019-07-26,10.96,10.93,11.13,10.83,3171773.0
2019-07-29,10.87,10.96,10.96,10.77,1736629.0
2019-07-30,10.61,10.79,10.82,10.52,3826461.0
2019-07-31,10.6,10.65,10.95,10.58,6685894.0
2019-08-01,10.51,10.61,10.74,10.48,3703248.0
2019-08-02,10.54,10.58,10.72,10.52,3722701.0
2019-08-05,10.3,10.52,10.61,10.28,5603145.0
2019-08-06,10.24,10.3,10.35,10.11,4701463.0
2019-08-07,10.43,10.16,10.46,10.13,5080965.0
2019-08-08,10.61,10.41,10.65,10.41,5529700.0
2019-08-09,10.47,10.61,10.65,10.38,3043162.0
2019-08-12,10.27,10.34,10.41,10.22,3628276.0
2019-08-13,10.43,10.2,10.52,10.15,3282534.0
2019-08-14,9.95,10.31,10.31,9.92,5040521.0
2019-08-15,9.7,9.87,9.9,9.69,3684899.0
2019-08-16,9.92,9.8,9.95,9.71,4034392.0
2019-08-19,10.11,9.99,10.28,9.98,4407214.0
2019-08-20,9.97,10.02,10.13,9.93,5153430.0
2019-08-21,9.65,9.85,9.94,9.32,5604218.0
2019-08-22,9.54,9.65,9.71,9.39,7288567.0
2019-08-23,9.44,9.55,9.72,9.39,8490203.0
2019-08-26,9.72,9.51,9.72,9.47,3921716.0
2019-08-27,9.78,9.75,9.92,9.66,8439977.0
2019-08-28,9.71,9.74,9.83,9.6,4492233.0
2019-08-29,9.74,9.72,9.82,9.66,3479390.0
2019-08-30,9.82,9.81,9.88,9.74,3963166.0
2019-09-03,9.71,9.84,9.85,9.65,3920586.0
2019-09-04,9.71,9.75,9.79,9.64,3760547.0
2019-09-05,9.77,9.83,9.92,9.73,4043084.0
2019-09-06,9.87,9.77,9.88,9.77,4116645.0
2019-09-09,9.81,9.86,9.86,9.72,5987146.0
2019-09-10,10.06,9.67,10.11,9.61,8869181.0
2019-09-11,10.14,9.96,10.15,9.95,5624759.0
2019-09-12,10.1,10.05,10.12,9.91,6843663.0
2019-09-13,10.22,10.14,10.39,10.11,7566295.0
2019-09-16,9.67,10.02,10.1,9.63,5847807.0
2019-09-17,9.76,9.7,9.76,9.64,4650019.0
2019-09-18,9.82,9.8,9.91,9.71,3945746.0
2019-09-19,9.79,9.81,9.95,9.75,4722671.0
2019-09-20,9.66,9.74,9.77,9.62,14366655.0
2019-09-23,9.65,9.56,9.73,9.55,4666333.0
2019-09-24,9.6,9.7,9.73,9.58,4375166.0
2019-09-25,9.65,9.64,9.72,9.6,2931800.0
2019-09-26,9.61,9.69,9.71,9.54,3572570.0
2019-09-27,9.73,9.66,9.75,9.62,4738120.0
2019-09-30,9.75,9.69,9.87,9.64,6016611.0
2019-10-01,9.55,9.75,9.83,9.51,4468248.0
2019-10-02,9.42,9.47,9.51,9.33,6013907.0
