Date,Close,Open,High,Low,Volume
2005-10-28,4.81,4.4,4.81,4.4,73000.0
2005-10-31,5.61,5.61,5.61,5.21,58500.0
2005-11-01,5.61,5.61,5.85,5.61,32500.0
2005-11-02,5.61,5.61,5.61,5.61,8000.0
2005-11-03,5.61,5.61,5.61,5.61,16000.0
2005-11-07,6.01,6.01,6.01,6.01,4000.0
2005-11-09,6.01,6.01,6.01,6.01,37000.0
2005-11-10,6.01,6.01,6.01,6.01,12000.0
2005-11-11,6.01,6.01,6.41,5.97,73000.0
2005-11-14,6.01,6.01,6.01,6.01,16000.0
2005-11-15,6.01,6.01,6.01,6.01,4000.0
2005-11-16,6.01,6.01,6.01,6.01,44000.0
2005-11-17,6.41,6.01,6.41,6.01,8000.0
2005-11-21,6.01,6.01,6.01,6.01,12000.0
2005-11-25,6.41,6.41,6.41,6.41,1.0
2005-11-28,5.69,5.69,5.69,5.69,4000.0
2005-11-29,5.61,5.69,5.69,5.61,34000.0
2005-12-05,5.61,5.61,5.61,5.61,26000.0
2005-12-06,5.69,5.69,5.69,5.69,30000.0
2005-12-08,5.61,5.61,5.61,5.61,4000.0
2005-12-12,5.61,5.61,5.61,5.61,8000.0
2005-12-13,5.61,5.61,5.61,5.61,16000.0
2005-12-15,5.61,5.61,5.61,5.61,4000.0
2005-12-16,5.61,5.61,5.61,5.61,715.0
2005-12-21,5.29,5.29,5.29,5.29,4000.0
2005-12-22,5.21,5.21,5.21,5.21,12000.0
2006-01-10,5.21,5.21,5.21,5.21,2300.0
2006-01-13,4.81,4.81,4.81,4.81,35700.0
2006-01-16,4.97,4.97,4.97,4.97,4000.0
2006-01-23,4.97,4.97,4.97,4.97,4000.0
2006-01-30,5.21,5.21,5.21,5.21,12000.0
2006-02-03,4.81,4.81,4.81,4.81,4000.0
2006-02-09,4.81,4.81,4.81,4.81,4055.0
2006-02-15,4.81,4.81,4.81,4.81,12000.0
2006-03-08,4.65,4.81,4.81,4.65,15285.0
2006-03-10,4.65,4.65,4.65,4.65,20000.0
2006-03-15,4.65,5.61,5.61,4.65,2500.0
2006-03-22,4.81,4.81,4.81,4.81,10000.0
2006-03-30,4.81,4.81,4.81,4.81,20000.0
2006-04-06,5.61,4.81,5.61,4.81,50000.0
2006-04-18,6.01,6.01,6.01,6.01,4000.0
2006-04-19,6.01,6.01,6.01,6.01,2500.0
2006-04-21,6.01,6.01,6.01,6.01,4000.0
2006-04-26,5.61,5.61,5.61,5.61,12000.0
2006-05-03,6.01,5.77,6.01,5.77,18000.0
2006-05-04,6.41,6.01,6.41,6.01,20000.0
2006-05-05,6.01,6.41,6.41,6.01,5000.0
2006-05-08,6.01,6.01,6.01,6.01,4000.0
2006-05-09,7.21,7.21,7.21,7.21,20000.0
2006-05-10,8.01,7.21,8.01,7.21,34499.0
2006-05-11,7.77,8.01,8.01,7.77,1500.0
2006-05-22,6.41,6.41,6.41,6.41,3945.0
2006-05-23,6.41,6.41,6.41,6.41,4000.0
2006-05-26,6.57,6.57,6.57,6.57,4000.0
2006-06-05,6.41,6.41,6.41,6.41,515.0
2006-06-09,6.01,6.01,6.01,6.01,20000.0
2006-06-13,6.01,6.01,6.01,6.01,1000.0
2006-07-03,6.01,6.01,6.01,6.01,9200.0
2006-07-18,5.61,5.61,5.61,5.61,4000.0
2006-07-25,5.61,5.61,5.61,5.61,16000.0
2006-08-08,5.21,5.61,5.61,5.21,11000.0
2006-08-10,5.21,5.21,5.21,5.21,20000.0
