Date,Close,Open,High,Low,Volume
1997-05-15,0.1,0.12,0.13,0.1,6013000.0
1997-05-16,0.09,0.1,0.1,0.09,1225000.0
1997-05-19,0.09,0.09,0.09,0.08,508900.0
1997-05-20,0.08,0.09,0.09,0.08,455600.0
1997-05-21,0.07,0.08,0.08,0.07,1571100.0
1997-05-22,0.07,0.07,0.07,0.07,972800.0
1997-05-23,0.08,0.07,0.08,0.07,1328100.0
1997-05-27,0.08,0.08,0.08,0.07,724800.0
1997-05-28,0.08,0.08,0.08,0.08,381200.0
1997-05-29,0.08,0.08,0.08,0.07,289400.0
1997-05-30,0.08,0.08,0.08,0.07,216200.0
1997-06-02,0.08,0.08,0.08,0.08,49300.0
1997-06-03,0.07,0.08,0.08,0.07,98600.0
1997-06-04,0.07,0.07,0.07,0.07,256700.0
1997-06-05,0.08,0.07,0.08,0.07,472700.0
1997-06-06,0.08,0.08,0.09,0.08,650600.0
1997-06-09,0.08,0.08,0.09,0.08,196000.0
1997-06-10,0.08,0.09,0.09,0.08,454900.0
1997-06-11,0.08,0.08,0.08,0.08,99000.0
1997-06-12,0.08,0.08,0.08,0.08,136000.0
1997-06-13,0.08,0.08,0.08,0.08,57800.0
1997-06-16,0.08,0.08,0.08,0.08,76100.0
1997-06-17,0.08,0.08,0.08,0.07,392200.0
1997-06-18,0.08,0.08,0.08,0.08,205400.0
1997-06-19,0.08,0.08,0.08,0.08,83600.0
1997-06-20,0.08,0.08,0.08,0.08,282300.0
1997-06-23,0.08,0.08,0.08,0.07,87300.0
1997-06-24,0.08,0.08,0.08,0.07,62600.0
1997-06-25,0.08,0.08,0.08,0.07,175500.0
1997-06-26,0.08,0.08,0.08,0.08,265800.0
1997-06-27,0.07,0.08,0.08,0.07,99000.0
1997-06-30,0.08,0.08,0.08,0.07,228900.0
1997-07-01,0.08,0.08,0.08,0.08,107700.0
1997-07-02,0.08,0.08,0.08,0.08,323500.0
1997-07-03,0.1,0.08,0.1,0.08,1048100.0
1997-07-07,0.1,0.09,0.1,0.09,671100.0
1997-07-08,0.12,0.1,0.12,0.1,1293100.0
1997-07-09,0.12,0.12,0.12,0.11,688500.0
1997-07-10,0.13,0.12,0.13,0.12,754300.0
1997-07-11,0.11,0.13,0.13,0.11,877600.0
1997-07-14,0.11,0.12,0.12,0.11,383700.0
1997-07-15,0.12,0.11,0.12,0.11,772000.0
1997-07-16,0.12,0.12,0.12,0.12,252000.0
1997-07-17,0.11,0.12,0.12,0.11,264100.0
1997-07-18,0.11,0.11,0.11,0.11,65000.0
1997-07-21,0.11,0.11,0.11,0.11,47900.0
1997-07-22,0.11,0.11,0.11,0.1,130300.0
1997-07-23,0.11,0.11,0.12,0.11,271600.0
1997-07-24,0.11,0.12,0.12,0.11,101400.0
1997-07-25,0.11,0.11,0.11,0.11,51700.0
1997-07-28,0.12,0.11,0.12,0.11,214500.0
1997-07-29,0.12,0.12,0.13,0.12,401200.0
1997-07-30,0.12,0.13,0.13,0.12,209800.0
1997-07-31,0.12,0.12,0.12,0.12,121200.0
1997-08-01,0.12,0.12,0.12,0.11,299000.0
1997-08-04,0.12,0.12,0.12,0.12,222600.0
1997-08-05,0.11,0.12,0.12,0.11,252700.0
1997-08-06,0.11,0.11,0.12,0.11,103600.0
1997-08-07,0.11,0.11,0.11,0.11,169400.0
1997-08-08,0.11,0.11,0.12,0.11,184300.0
1997-08-11,0.12,0.11,0.12,0.11,103300.0
1997-08-12,0.11,0.11,0.12,0.11,47600.0
1997-08-13,0.11,0.11,0.11,0.11,49200.0
1997-08-14,0.11,0.11,0.11,0.11,86800.0
1997-08-15,0.11,0.11,0.11,0.1,133100.0
1997-08-18,0.1,0.1,0.1,0.1,148700.0
1997-08-19,0.11,0.1,0.11,0.1,83600.0
1997-08-20,0.11,0.11,0.11,0.1,82900.0
1997-08-21,0.11,0.11,0.11,0.1,52000.0
1997-08-22,0.11,0.11,0.11,0.1,59400.0
1997-08-25,0.11,0.11,0.11,0.11,93900.0
1997-08-26,0.12,0.11,0.12,0.11,217500.0
1997-08-27,0.12,0.12,0.12,0.11,116000.0
1997-08-28,0.12,0.12,0.12,0.11,95600.0
1997-08-29,0.12,0.12,0.12,0.12,60200.0
1997-09-02,0.12,0.12,0.12,0.12,61000.0
1997-09-03,0.12,0.12,0.12,0.12,163700.0
1997-09-04,0.13,0.12,0.13,0.12,279000.0
1997-09-05,0.13,0.13,0.13,0.12,159000.0
1997-09-08,0.15,0.13,0.15,0.13,470700.0
1997-09-09,0.16,0.16,0.17,0.15,747600.0
1997-09-10,0.17,0.17,0.17,0.16,322200.0
1997-09-11,0.16,0.17,0.17,0.15,355200.0
1997-09-12,0.18,0.16,0.18,0.16,277800.0
1997-09-15,0.15,0.18,0.18,0.15,464900.0
1997-09-16,0.17,0.16,0.18,0.16,536000.0
1997-09-17,0.17,0.17,0.18,0.17,217300.0
1997-09-18,0.16,0.17,0.17,0.16,177400.0
1997-09-19,0.2,0.17,0.2,0.17,744100.0
1997-09-22,0.23,0.2,0.23,0.2,1411800.0
1997-09-23,0.23,0.22,0.23,0.22,640300.0
1997-09-24,0.22,0.23,0.24,0.21,683400.0
1997-09-25,0.2,0.22,0.22,0.2,414000.0
1997-09-26,0.21,0.2,0.21,0.2,227600.0
1997-09-29,0.2,0.21,0.21,0.2,197600.0
1997-09-30,0.22,0.2,0.22,0.19,437900.0
1997-10-01,0.2,0.22,0.23,0.2,416600.0
1997-10-02,0.2,0.2,0.21,0.2,156400.0
1997-10-03,0.2,0.2,0.21,0.2,97000.0
1997-10-06,0.21,0.2,0.21,0.2,169000.0
1997-10-07,0.2,0.2,0.21,0.2,145200.0
1997-10-08,0.2,0.21,0.21,0.2,233900.0
1997-10-09,0.19,0.2,0.2,0.19,329200.0
1997-10-10,0.2,0.19,0.2,0.18,315600.0
1997-10-13,0.2,0.2,0.2,0.2,67900.0
1997-10-14,0.2,0.2,0.21,0.19,128900.0
1997-10-15,0.2,0.2,0.2,0.19,196300.0
1997-10-16,0.18,0.2,0.2,0.18,290100.0
1997-10-17,0.18,0.18,0.18,0.18,211200.0
1997-10-20,0.19,0.18,0.19,0.18,409400.0
1997-10-21,0.22,0.2,0.22,0.19,1008000.0
1997-10-22,0.23,0.22,0.23,0.22,434000.0
1997-10-23,0.23,0.21,0.23,0.21,471400.0
1997-10-24,0.25,0.24,0.25,0.23,791000.0
1997-10-27,0.21,0.24,0.25,0.21,507600.0
1997-10-28,0.25,0.2,0.25,0.19,976600.0
1997-10-29,0.27,0.26,0.28,0.25,593900.0
1997-10-30,0.26,0.26,0.27,0.25,397500.0
1997-10-31,0.25,0.27,0.27,0.25,418900.0
1997-11-03,0.25,0.26,0.26,0.25,166600.0
1997-11-04,0.25,0.25,0.25,0.24,197100.0
1997-11-05,0.24,0.25,0.26,0.24,257800.0
1997-11-06,0.23,0.25,0.25,0.23,242800.0
1997-11-07,0.22,0.22,0.23,0.22,218900.0
1997-11-10,0.21,0.23,0.23,0.21,230400.0
1997-11-11,0.2,0.21,0.22,0.2,359400.0
1997-11-12,0.19,0.19,0.21,0.18,723600.0
1997-11-13,0.19,0.2,0.2,0.19,357500.0
1997-11-14,0.21,0.2,0.21,0.19,489100.0
1997-11-17,0.22,0.21,0.23,0.21,616200.0
1997-11-18,0.22,0.22,0.22,0.22,155500.0
1997-11-19,0.23,0.22,0.23,0.22,211200.0
1997-11-20,0.23,0.23,0.23,0.23,493600.0
1997-11-21,0.22,0.23,0.23,0.22,216900.0
1997-11-24,0.21,0.22,0.22,0.21,168300.0
1997-11-25,0.21,0.21,0.22,0.2,275400.0
1997-11-26,0.21,0.21,0.22,0.21,135900.0
1997-11-28,0.21,0.21,0.22,0.21,133600.0
1997-12-01,0.21,0.21,0.22,0.21,198600.0
1997-12-02,0.21,0.21,0.22,0.21,105200.0
1997-12-03,0.22,0.21,0.22,0.21,107500.0
1997-12-04,0.23,0.22,0.23,0.22,253200.0
1997-12-05,0.23,0.22,0.23,0.22,221800.0
1997-12-08,0.24,0.23,0.24,0.23,397200.0
1997-12-09,0.23,0.23,0.24,0.23,111000.0
1997-12-10,0.23,0.23,0.23,0.22,120400.0
1997-12-11,0.23,0.22,0.24,0.22,417900.0
1997-12-12,0.23,0.23,0.24,0.22,222700.0
1997-12-15,0.23,0.23,0.23,0.22,141200.0
1997-12-16,0.22,0.23,0.23,0.22,140600.0
1997-12-17,0.22,0.22,0.22,0.21,511700.0
1997-12-18,0.21,0.22,0.22,0.21,267000.0
1997-12-19,0.23,0.21,0.23,0.21,396100.0
1997-12-22,0.23,0.23,0.24,0.22,362700.0
1997-12-23,0.23,0.23,0.24,0.23,98100.0
1997-12-24,0.23,0.23,0.24,0.22,194700.0
1997-12-26,0.23,0.23,0.23,0.22,40600.0
1997-12-29,0.24,0.23,0.24,0.23,212700.0
1997-12-30,0.24,0.24,0.25,0.24,523800.0
1997-12-31,0.25,0.24,0.25,0.24,370500.0
1998-01-02,0.25,0.25,0.25,0.24,138400.0
1998-01-05,0.24,0.24,0.25,0.24,299200.0
1998-01-06,0.24,0.23,0.24,0.23,347900.0
1998-01-07,0.24,0.24,0.24,0.23,227100.0
1998-01-08,0.23,0.23,0.24,0.23,502300.0
1998-01-09,0.21,0.23,0.23,0.21,553600.0
1998-01-12,0.22,0.21,0.22,0.21,616800.0
1998-01-13,0.23,0.22,0.23,0.22,610100.0
1998-01-14,0.24,0.23,0.24,0.23,708800.0
1998-01-15,0.25,0.24,0.25,0.24,501200.0
1998-01-16,0.24,0.25,0.25,0.24,213600.0
1998-01-20,0.25,0.24,0.25,0.24,455600.0
1998-01-21,0.25,0.25,0.26,0.24,728200.0
1998-01-22,0.26,0.25,0.26,0.25,789300.0
1998-01-23,0.25,0.27,0.27,0.25,759900.0
1998-01-26,0.24,0.25,0.25,0.24,392700.0
1998-01-27,0.24,0.24,0.24,0.23,342000.0
1998-01-28,0.24,0.24,0.24,0.23,441100.0
1998-01-29,0.25,0.24,0.25,0.24,403000.0
1998-01-30,0.25,0.25,0.25,0.24,310200.0
1998-02-02,0.26,0.25,0.26,0.25,576100.0
1998-02-03,0.26,0.26,0.26,0.25,369100.0
1998-02-04,0.25,0.25,0.26,0.25,102900.0
1998-02-05,0.25,0.26,0.26,0.24,486000.0
1998-02-06,0.25,0.25,0.25,0.24,176900.0
1998-02-09,0.24,0.25,0.25,0.24,218900.0
1998-02-10,0.27,0.24,0.27,0.24,1024700.0
1998-02-11,0.26,0.26,0.27,0.26,539500.0
1998-02-12,0.26,0.26,0.27,0.26,253000.0
1998-02-13,0.26,0.26,0.26,0.26,701700.0
1998-02-17,0.26,0.26,0.26,0.25,198000.0
1998-02-18,0.25,0.26,0.26,0.25,247600.0
1998-02-19,0.26,0.26,0.26,0.25,369700.0
1998-02-20,0.26,0.26,0.26,0.26,225300.0
1998-02-23,0.27,0.26,0.27,0.26,331500.0
1998-02-24,0.27,0.27,0.28,0.27,1162100.0
1998-02-25,0.27,0.27,0.28,0.26,562100.0
1998-02-26,0.3,0.27,0.3,0.27,1281100.0
1998-02-27,0.32,0.3,0.33,0.3,2058900.0
1998-03-02,0.32,0.32,0.33,0.31,913100.0
1998-03-03,0.3,0.31,0.32,0.3,668000.0
1998-03-04,0.31,0.3,0.31,0.29,609500.0
1998-03-05,0.31,0.3,0.33,0.3,1000100.0
1998-03-06,0.32,0.32,0.32,0.31,490600.0
1998-03-09,0.35,0.32,0.36,0.32,1921300.0
1998-03-10,0.35,0.36,0.37,0.34,2062500.0
1998-03-11,0.33,0.34,0.34,0.33,1029100.0
1998-03-12,0.33,0.33,0.34,0.32,816600.0
1998-03-13,0.33,0.33,0.34,0.32,543600.0
1998-03-16,0.33,0.33,0.34,0.33,276000.0
1998-03-17,0.33,0.33,0.33,0.32,258400.0
1998-03-18,0.36,0.33,0.36,0.33,1138300.0
1998-03-19,0.35,0.36,0.36,0.35,1009600.0
1998-03-20,0.35,0.35,0.35,0.35,534400.0
1998-03-23,0.35,0.35,0.35,0.34,250400.0
1998-03-24,0.35,0.34,0.36,0.34,473400.0
1998-03-25,0.34,0.35,0.36,0.34,940800.0
1998-03-26,0.34,0.34,0.35,0.33,656500.0
1998-03-27,0.35,0.35,0.36,0.34,637200.0
1998-03-30,0.36,0.36,0.36,0.35,458400.0
1998-03-31,0.36,0.36,0.36,0.35,547100.0
1998-04-01,0.38,0.36,0.38,0.35,1204300.0
1998-04-02,0.4,0.38,0.4,0.37,1386900.0
1998-04-03,0.39,0.4,0.4,0.38,974500.0
1998-04-06,0.37,0.39,0.39,0.37,918700.0
1998-04-07,0.36,0.36,0.36,0.35,974600.0
1998-04-08,0.37,0.36,0.37,0.36,942900.0
1998-04-09,0.4,0.38,0.4,0.38,1336200.0
1998-04-13,0.39,0.4,0.4,0.38,915000.0
1998-04-14,0.4,0.39,0.42,0.39,1360300.0
1998-04-15,0.4,0.41,0.42,0.39,932700.0
1998-04-16,0.41,0.4,0.41,0.39,1353700.0
