Date,Close,Open,High,Low,Volume
2014-06-06,3.44,3.45,3.75,3.44,116081376.0
2014-06-09,3.45,3.52,3.56,3.44,11469376.0
2014-06-10,3.75,3.45,3.75,3.45,15787376.0
2014-06-11,3.97,3.75,3.97,3.67,10584832.0
2014-06-12,4.13,3.98,4.24,3.94,11808864.0
2014-06-13,4.35,4.28,4.5,4.19,17061152.0
2014-06-16,4.47,4.45,4.47,4.23,6673824.0
2014-06-17,4.36,4.49,4.54,4.31,4475472.0
2014-06-18,4.31,4.38,4.44,4.24,3340352.0
2014-06-19,4.1,4.25,4.3,4.03,10448320.0
2014-06-20,4.07,4.07,4.28,4.03,4707632.0
2014-06-23,4.11,4.06,4.22,4.06,1864288.0
2014-06-24,4.02,4.15,4.17,3.99,3084464.0
2014-06-25,4.03,3.99,4.08,3.88,2978784.0
2014-06-26,3.99,4.05,4.05,3.91,1553824.0
2014-06-27,3.91,3.99,3.99,3.89,3915840.0
2014-06-30,3.9,3.88,4.08,3.88,3711488.0
2014-07-01,4.75,4.19,4.8,4.13,26563600.0
2014-07-02,4.71,4.92,5.03,4.58,18024544.0
2014-07-03,4.78,4.78,4.85,4.63,3902144.0
2014-07-07,4.51,4.7,4.83,4.5,5067168.0
2014-07-08,4.34,4.5,4.5,3.95,18859184.0
2014-07-09,4.49,4.33,4.56,4.13,5958880.0
2014-07-10,4.23,4.22,4.38,4.2,4749520.0
2014-07-11,4.35,4.3,4.41,4.27,3067696.0
2014-07-14,4.31,4.46,4.5,4.28,2095392.0
2014-07-15,4.17,4.34,4.41,4.13,3617488.0
2014-07-16,4.03,4.19,4.25,3.98,3962880.0
2014-07-17,3.99,3.99,4.1,3.94,2083536.0
2014-07-18,4.0,4.0,4.06,3.96,1980144.0
2014-07-21,3.95,4.01,4.05,3.94,2299232.0
2014-07-22,4.09,3.99,4.19,3.97,3774176.0
2014-07-23,4.05,4.12,4.17,4.03,2366656.0
2014-07-24,4.02,4.07,4.14,3.99,2922320.0
2014-07-25,3.98,4.01,4.05,3.91,1849024.0
2014-07-28,3.96,4.03,4.03,3.94,1145536.0
2014-07-29,3.99,3.97,4.0,3.95,1702208.0
2014-07-30,4.24,4.03,4.24,4.0,9729440.0
2014-07-31,4.13,4.15,4.19,4.07,4123424.0
2014-08-01,4.1,4.11,4.22,4.08,3098832.0
2014-08-04,4.33,4.12,4.34,4.11,4089424.0
2014-08-05,4.51,4.3,4.56,4.25,6439056.0
2014-08-06,4.43,4.46,4.53,4.35,3610144.0
2014-08-07,4.51,4.49,4.54,4.45,6676240.0
2014-08-08,4.5,4.95,4.99,4.47,22834176.0
2014-08-11,4.37,4.54,4.59,4.21,11848352.0
2014-08-12,4.44,4.34,4.48,4.34,3567696.0
2014-08-13,4.37,4.45,4.5,4.33,4376000.0
2014-08-14,4.43,4.36,4.48,4.3,4266064.0
2014-08-15,4.36,4.46,4.46,4.34,2265216.0
2014-08-18,4.41,4.43,4.46,4.33,2814160.0
2014-08-19,4.69,4.42,4.7,4.39,7650048.0
2014-08-20,4.78,4.65,4.83,4.56,6337536.0
2014-08-21,4.83,4.74,4.9,4.71,6964368.0
2014-08-22,4.73,4.78,4.81,4.7,2841984.0
2014-08-25,4.72,4.75,4.84,4.68,2838352.0
2014-08-26,4.76,4.72,4.8,4.67,2603392.0
2014-08-27,5.2,4.75,5.22,4.75,11587248.0
2014-08-28,5.22,5.19,5.24,5.1,5493264.0
2014-08-29,5.24,5.31,5.36,5.17,5288336.0
2014-09-02,5.38,5.32,5.42,5.26,5274976.0
2014-09-03,5.35,5.45,5.47,5.31,5365680.0
2014-09-04,5.47,5.34,5.58,5.32,5163264.0
2014-09-05,5.7,5.46,5.71,5.38,3760304.0
2014-09-08,5.48,5.7,5.87,5.36,11846880.0
2014-09-09,5.27,5.5,5.56,5.24,5438688.0
2014-09-10,5.55,5.31,5.55,5.2,5292400.0
2014-09-11,5.55,5.51,5.68,5.48,2881024.0
2014-09-12,5.39,5.56,5.59,5.31,3121472.0
2014-09-15,5.18,5.46,5.52,5.16,6560240.0
2014-09-16,5.25,5.14,5.33,5.05,4295296.0
2014-09-17,5.22,5.3,5.37,5.2,3212848.0
2014-09-18,5.38,5.28,5.4,5.25,3768432.0
2014-09-19,5.48,5.43,5.48,5.31,8355760.0
2014-09-22,5.24,5.43,5.54,5.22,7271872.0
2014-09-23,5.28,5.22,5.39,5.19,4716912.0
2014-09-24,5.44,5.2,5.49,5.2,4486496.0
2014-09-25,5.27,5.42,5.53,5.24,5271312.0
2014-09-26,5.32,5.27,5.37,5.27,4633504.0
2014-09-29,5.83,5.28,5.86,5.25,12205152.0
2014-09-30,5.52,5.85,5.93,5.41,17621536.0
2014-10-01,5.25,5.5,5.53,5.2,9644000.0
2014-10-02,5.26,5.28,5.32,4.98,7669664.0
2014-10-03,5.36,5.36,5.44,5.22,5515952.0
2014-10-06,5.29,5.37,5.41,5.18,5783296.0
2014-10-07,5.18,5.2,5.28,5.14,7203120.0
2014-10-08,5.53,5.27,5.56,5.19,9485872.0
2014-10-09,5.36,5.53,5.64,5.29,8337984.0
2014-10-10,4.88,5.29,5.42,4.86,21909152.0
2014-10-13,4.61,4.91,4.98,4.58,9666944.0
