Date,Close,Open,High,Low,Volume
1996-06-20,2.97,3.0,3.13,2.94,3159700.0
1996-06-21,3.0,3.03,3.09,3.0,470300.0
1996-06-24,3.22,3.06,3.22,3.0,401500.0
1996-06-25,3.16,3.22,3.28,3.16,473900.0
1996-06-26,3.16,3.19,3.19,3.13,99800.0
1996-06-27,3.25,3.19,3.34,3.16,87100.0
1996-06-28,3.28,3.25,3.34,3.25,39300.0
1996-07-01,3.22,3.31,3.31,3.22,29300.0
1996-07-02,3.25,3.22,3.25,3.22,21400.0
1996-07-03,3.41,3.19,3.41,3.19,92600.0
1996-07-05,3.25,3.31,3.31,3.22,59700.0
1996-07-08,3.28,3.19,3.28,3.19,13800.0
1996-07-09,3.27,3.28,3.31,3.19,153400.0
1996-07-10,3.28,3.25,3.28,3.19,46000.0
1996-07-11,3.13,3.25,3.28,3.09,91900.0
1996-07-12,3.09,3.09,3.13,3.06,13700.0
1996-07-15,2.97,3.03,3.09,2.94,39700.0
1996-07-16,2.72,2.97,3.0,2.72,47700.0
1996-07-17,3.03,2.78,3.09,2.75,29400.0
1996-07-18,3.19,3.03,3.19,3.03,31900.0
1996-07-19,3.22,3.22,3.22,3.16,7700.0
1996-07-22,3.19,3.16,3.22,3.13,44400.0
1996-07-23,3.09,3.19,3.22,3.09,20800.0
1996-07-24,3.13,3.09,3.13,2.97,11600.0
1996-07-25,3.09,3.09,3.13,3.09,6400.0
1996-07-26,3.09,3.09,3.13,3.09,39900.0
1996-07-29,3.06,3.06,3.08,3.06,6800.0
1996-07-30,2.94,3.06,3.06,2.94,36300.0
1996-07-31,2.91,2.91,2.97,2.91,29700.0
1996-08-01,2.91,3.0,3.0,2.91,3900.0
1996-08-02,3.13,3.0,3.13,3.0,33600.0
1996-08-05,3.13,3.06,3.13,3.06,15100.0
1996-08-06,3.19,3.13,3.19,3.09,38000.0
1996-08-07,3.22,3.22,3.28,3.13,45100.0
1996-08-08,3.31,3.22,3.34,3.22,34200.0
1996-08-09,3.34,3.31,3.34,3.28,58300.0
1996-08-12,3.38,3.38,3.38,3.31,44900.0
1996-08-13,3.34,3.28,3.34,3.25,23300.0
1996-08-14,3.28,3.34,3.34,3.28,32800.0
1996-08-15,3.28,3.25,3.28,3.19,9100.0
1996-08-16,3.23,3.25,3.25,3.19,10100.0
1996-08-19,3.09,3.25,3.28,3.09,23000.0
1996-08-20,3.03,3.13,3.13,3.03,8200.0
1996-08-21,2.88,3.03,3.06,2.88,15100.0
1996-08-22,2.84,2.91,2.91,2.81,105400.0
1996-08-23,2.78,2.78,2.88,2.75,25500.0
1996-08-26,2.72,2.72,2.75,2.72,11200.0
1996-08-27,2.75,2.75,2.75,2.63,38400.0
1996-08-28,2.81,2.63,2.81,2.63,7100.0
1996-08-29,2.81,2.69,2.81,2.69,5900.0
1996-08-30,2.84,2.81,2.88,2.75,74300.0
1996-09-03,2.75,2.75,2.75,2.75,2800.0
1996-09-04,2.81,2.84,2.91,2.81,191900.0
1996-09-05,2.78,2.81,2.81,2.69,83000.0
1996-09-06,2.69,2.75,2.75,2.69,7900.0
1996-09-09,2.75,2.75,2.75,2.66,20000.0
1996-09-10,2.69,2.66,2.69,2.66,30900.0
1996-09-11,2.72,2.75,2.75,2.56,152300.0
1996-09-12,2.66,2.59,2.66,2.59,18500.0
1996-09-13,2.75,2.59,2.78,2.59,157100.0
1996-09-16,2.78,2.78,2.88,2.75,78800.0
1996-09-17,3.06,2.81,3.09,2.81,147500.0
1996-09-18,3.0,3.06,3.09,3.0,41800.0
1996-09-19,3.0,3.03,3.06,3.0,39000.0
1996-09-20,3.0,3.09,3.09,3.0,9000.0
1996-09-23,2.91,3.0,3.0,2.84,54200.0
1996-09-24,2.81,2.84,2.94,2.81,14400.0
1996-09-25,2.81,2.81,2.94,2.81,2100.0
1996-09-26,2.84,2.94,2.94,2.81,137000.0
1996-09-27,2.94,2.91,2.94,2.84,76200.0
1996-09-30,2.91,2.88,2.94,2.88,11000.0
1996-10-01,2.88,2.88,2.94,2.88,22600.0
1996-10-02,2.94,2.94,3.0,2.88,5000.0
1996-10-03,3.16,3.0,3.16,3.0,38000.0
1996-10-04,3.19,3.19,3.28,3.19,9500.0
1996-10-07,3.28,3.31,3.31,3.19,22600.0
1996-10-08,3.31,3.25,3.31,3.25,12800.0
1996-10-09,3.28,3.31,3.31,3.25,14400.0
1996-10-10,3.25,3.25,3.3,3.25,55200.0
1996-10-11,3.44,3.34,3.56,3.25,56600.0
1996-10-14,3.53,3.56,3.56,3.44,74600.0
1996-10-15,3.75,3.5,3.78,3.5,35700.0
1996-10-16,3.77,3.72,3.78,3.72,52200.0
1996-10-17,3.84,3.84,3.84,3.75,62500.0
1996-10-18,3.78,3.78,3.84,3.78,69100.0
1996-10-21,3.72,3.88,3.88,3.72,69400.0
1996-10-22,3.44,3.63,3.72,3.34,36700.0
1996-10-23,3.19,3.34,3.44,3.16,26300.0
1996-10-24,3.13,3.19,3.19,3.13,2700.0
1996-10-25,3.25,3.19,3.25,3.13,30400.0
1996-10-28,3.28,3.25,3.28,3.25,95300.0
1996-10-29,3.25,3.25,3.25,3.13,30600.0
1996-10-30,3.0,3.16,3.19,3.0,20500.0
1996-10-31,3.06,3.0,3.06,2.94,11200.0
1996-11-01,3.0,3.03,3.06,3.0,10000.0
1996-11-04,3.03,3.09,3.09,3.0,11300.0
1996-11-05,3.09,3.09,3.09,3.02,91200.0
1996-11-06,3.13,3.09,3.19,3.06,76100.0
1996-11-07,3.13,3.19,3.19,3.13,15200.0
1996-11-08,3.09,3.19,3.19,3.09,8200.0
1996-11-11,3.13,3.06,3.13,3.06,1700.0
1996-11-12,3.03,3.13,3.13,3.0,4700.0
1996-11-13,3.05,3.0,3.06,3.0,34400.0
1996-11-14,3.0,3.03,3.03,3.0,17300.0
1996-11-15,3.0,2.97,3.0,2.97,2100.0
1996-11-18,3.0,3.0,3.0,3.0,100.0
1996-11-19,2.94,3.0,3.0,2.94,21400.0
1996-11-20,2.97,2.97,2.97,2.97,13900.0
1996-11-21,2.88,3.0,3.0,2.88,7100.0
1996-11-22,2.88,2.97,2.97,2.88,1700.0
1996-11-25,2.84,2.97,2.97,2.84,15900.0
1996-11-26,2.84,2.88,2.91,2.84,54300.0
1996-11-27,2.91,2.84,2.91,2.84,17900.0
1996-12-02,2.91,2.84,2.91,2.84,2300.0
1996-12-03,2.91,2.84,2.91,2.84,1100.0
1996-12-04,2.81,2.84,2.91,2.81,25700.0
1996-12-05,2.81,2.81,2.91,2.81,800.0
1996-12-06,2.78,2.84,2.84,2.78,3100.0
1996-12-09,2.75,2.78,2.78,2.75,400.0
1996-12-10,2.91,2.75,3.03,2.75,19600.0
1996-12-11,3.19,2.97,3.19,2.91,14600.0
1996-12-12,3.19,3.09,3.19,3.06,1900.0
1996-12-13,3.19,3.06,3.19,3.06,3900.0
1996-12-16,3.16,3.16,3.16,3.16,11900.0
1996-12-17,3.66,3.06,3.66,3.06,48400.0
1996-12-18,3.63,3.66,3.66,3.56,123800.0
1996-12-19,3.59,3.66,3.69,3.59,25100.0
1996-12-20,3.41,3.63,3.63,3.41,19800.0
1996-12-23,3.25,3.41,3.41,3.25,105200.0
1996-12-26,3.25,3.25,3.28,3.19,27800.0
1996-12-27,3.34,3.31,3.34,3.31,16100.0
1996-12-30,3.31,3.34,3.44,3.31,61200.0
1996-12-31,3.38,3.28,3.38,3.28,46800.0
1997-01-02,3.25,3.31,3.31,3.25,6500.0
1997-01-03,3.22,3.31,3.31,3.22,191000.0
1997-01-06,3.22,3.22,3.25,3.22,8100.0
1997-01-07,3.22,3.22,3.22,3.19,75900.0
1997-01-08,2.0,2.13,2.13,1.94,1716000.0
1997-01-09,2.0,2.0,2.03,1.97,1036400.0
1997-01-10,2.03,2.03,2.06,2.0,156100.0
1997-01-13,2.22,2.03,2.25,2.0,302500.0
1997-01-14,2.28,2.25,2.34,2.22,380400.0
1997-01-15,2.25,2.34,2.34,2.22,268000.0
1997-01-16,2.25,2.22,2.28,2.22,74100.0
1997-01-17,2.28,2.22,2.31,2.22,57900.0
1997-01-20,2.41,2.31,2.41,2.28,56600.0
1997-01-21,2.44,2.41,2.5,2.38,75700.0
1997-01-22,2.5,2.48,2.5,2.47,32300.0
1997-01-23,2.5,2.5,2.5,2.47,20700.0
1997-01-24,2.31,2.5,2.5,2.28,26600.0
1997-01-27,2.31,2.38,2.38,2.31,6100.0
1997-01-28,2.38,2.38,2.44,2.34,35000.0
1997-01-29,2.31,2.41,2.41,2.25,9900.0
1997-01-30,2.34,2.31,2.34,2.25,11300.0
1997-01-31,2.38,2.31,2.38,2.31,6400.0
1997-02-03,2.38,2.38,2.38,2.31,8800.0
1997-02-04,2.31,2.38,2.38,2.31,11700.0
1997-02-05,2.25,2.38,2.38,2.19,30000.0
1997-02-06,2.25,2.16,2.25,2.16,3500.0
1997-02-07,2.22,2.25,2.25,2.13,21900.0
1997-02-10,2.22,2.22,2.22,2.13,12400.0
1997-02-11,2.19,2.25,2.25,2.19,11400.0
1997-02-12,2.31,2.25,2.31,2.19,6500.0
1997-02-13,2.34,2.31,2.38,2.28,18800.0
1997-02-14,2.25,2.38,2.38,2.22,50900.0
1997-02-18,2.28,2.25,2.28,2.19,25400.0
1997-02-19,2.16,2.28,2.28,2.16,35500.0
1997-02-20,2.16,2.22,2.23,2.09,45900.0
1997-02-21,2.03,2.09,2.13,2.03,24400.0
1997-02-24,2.0,2.0,2.06,1.97,50800.0
1997-02-25,2.06,2.03,2.09,1.97,55300.0
1997-02-26,2.09,2.06,2.13,2.03,15600.0
1997-02-28,2.06,2.13,2.13,2.06,3100.0
1997-03-03,1.97,2.13,2.13,1.97,20400.0
1997-03-04,1.97,1.97,2.03,1.94,38600.0
1997-03-05,2.0,1.97,2.0,1.94,46000.0
1997-03-06,2.0,2.0,2.03,2.0,29800.0
1997-03-07,2.0,2.0,2.06,2.0,32900.0
1997-03-10,2.03,2.06,2.09,2.0,10700.0
1997-03-11,2.13,2.13,2.13,2.13,1600.0
1997-03-12,2.13,2.13,2.16,2.06,11100.0
1997-03-13,2.19,2.16,2.19,2.13,34100.0
1997-03-14,2.16,2.16,2.19,2.16,10100.0
1997-03-17,2.19,2.13,2.19,2.09,10600.0
1997-03-18,2.09,2.19,2.19,2.09,12100.0
1997-03-19,2.06,2.19,2.19,2.06,11600.0
1997-03-20,2.16,2.16,2.16,2.06,4500.0
1997-03-21,2.0,2.06,2.13,1.97,22600.0
1997-03-24,1.97,2.03,2.03,1.94,34300.0
1997-03-25,1.94,1.97,2.0,1.91,5900.0
1997-03-26,2.0,2.0,2.0,1.94,5500.0
1997-03-27,2.06,2.0,2.06,1.94,49900.0
1997-03-31,2.03,2.06,2.06,1.94,1100.0
1997-04-01,1.78,1.94,2.03,1.78,53200.0
1997-04-02,1.72,1.81,1.81,1.72,22400.0
1997-04-03,1.78,1.75,1.78,1.72,52100.0
1997-04-04,1.75,1.72,1.78,1.72,28900.0
1997-04-07,1.72,1.75,1.78,1.71,27400.0
1997-04-08,1.75,1.72,1.78,1.72,83000.0
1997-04-09,1.72,1.75,1.75,1.69,55100.0
1997-04-10,1.72,1.69,1.72,1.69,36700.0
1997-04-11,1.66,1.72,1.72,1.63,58800.0
1997-04-14,1.59,1.69,1.69,1.59,145500.0
1997-04-15,1.63,1.63,1.63,1.59,23000.0
1997-04-16,1.63,1.63,1.63,1.59,104000.0
1997-04-17,1.5,1.63,1.63,1.47,67600.0
1997-04-18,1.5,1.5,1.5,1.44,117500.0
1997-04-21,1.53,1.5,1.53,1.41,100700.0
1997-04-22,1.41,1.44,1.5,1.34,74200.0
1997-04-23,1.41,1.41,1.41,1.38,38800.0
1997-04-24,1.53,1.44,1.53,1.41,135100.0
1997-04-25,1.53,1.53,1.56,1.53,48800.0
1997-04-28,1.53,1.53,1.56,1.5,33300.0
1997-04-29,1.56,1.53,1.56,1.5,27800.0
1997-04-30,1.72,1.56,1.72,1.5,288700.0
1997-05-01,1.69,1.72,1.72,1.63,32900.0
1997-05-02,1.66,1.59,1.69,1.59,7000.0
1997-05-05,1.59,1.69,1.69,1.59,29100.0
1997-05-06,1.59,1.69,1.69,1.59,34500.0
1997-05-07,1.59,1.63,1.63,1.56,20800.0
1997-05-08,1.56,1.59,1.63,1.55,14800.0
1997-05-09,1.59,1.59,1.59,1.56,18400.0
1997-05-12,1.59,1.59,1.63,1.56,40100.0
1997-05-13,1.59,1.61,1.66,1.59,108700.0
1997-05-14,1.63,1.63,1.66,1.59,72100.0
1997-05-15,1.59,1.66,1.66,1.59,84500.0
1997-05-16,1.66,1.66,1.66,1.59,22600.0
1997-05-19,1.69,1.66,1.69,1.59,48100.0
1997-05-20,1.81,1.69,1.81,1.66,61600.0
1997-05-21,2.0,1.78,2.03,1.78,64000.0
