Date,Close,Open,High,Low,Volume
1980-03-17,3.99,,4.03,3.94,31400.0
1980-03-18,3.97,,4.0,3.94,43500.0
1980-03-19,4.04,,4.1,4.02,99300.0
1980-03-20,4.03,,4.04,4.02,16700.0
1980-03-21,4.03,,4.03,3.99,12300.0
1980-03-24,3.89,,4.0,3.89,86100.0
1980-03-25,3.84,,3.9,3.83,13000.0
1980-03-26,3.86,,3.9,3.83,10900.0
1980-03-27,3.83,,3.84,3.81,15400.0
1980-03-28,4.0,,4.04,3.86,17600.0
1980-03-31,4.02,,4.03,3.99,21000.0
1980-04-01,3.96,,4.02,3.93,38900.0
1980-04-02,3.9,,3.93,3.81,116200.0
1980-04-03,3.77,,3.81,3.73,48400.0
1980-04-07,3.78,,3.8,3.74,73500.0
1980-04-08,3.81,,3.84,3.73,56300.0
1980-04-09,3.94,,3.96,3.87,24500.0
1980-04-10,4.04,,4.04,3.99,4700.0
1980-04-11,4.23,,4.23,4.1,9500.0
1980-04-14,4.19,,4.23,4.19,15400.0
1980-04-15,4.16,,4.19,4.13,16500.0
1980-04-16,4.07,,4.13,4.06,52900.0
1980-04-17,3.93,,4.07,3.93,52000.0
1980-04-18,3.84,,3.96,3.81,31300.0
1980-04-21,3.78,,3.81,3.77,16200.0
1980-04-22,4.07,,4.07,3.81,43800.0
1980-04-23,4.09,,4.16,4.03,36500.0
1980-04-24,4.19,,4.22,4.07,9800.0
1980-04-25,4.26,,4.31,4.18,4100.0
1980-04-28,4.28,,4.29,4.23,12800.0
1980-04-29,4.32,,4.35,4.25,29600.0
1980-04-30,4.39,,4.39,4.29,30900.0
1980-05-01,4.38,,4.48,4.38,78300.0
1980-05-02,4.33,,4.36,4.32,42100.0
1980-05-05,4.36,,4.39,4.36,78800.0
1980-05-06,4.38,,4.41,4.32,70400.0
1980-05-07,4.28,,4.38,4.28,37900.0
1980-05-08,4.16,,4.28,4.16,15500.0
1980-05-09,4.04,,4.16,4.02,9200.0
1980-05-12,3.93,,4.02,3.87,71000.0
1980-05-13,3.94,,3.94,3.87,69900.0
1980-05-14,4.0,,4.02,3.93,51300.0
1980-05-15,3.94,,4.0,3.94,78400.0
1980-05-16,3.96,,3.97,3.91,14600.0
1980-05-19,3.96,,3.99,3.94,46600.0
1980-05-20,3.99,,3.99,3.93,9700.0
