Date,Close,Open,High,Low,Volume
11/17/2011,17.87,17.8,18.36,17.8,17557455.0
11/18/2011,17.59,17.88,18.03,17.38,2718534.0
11/21/2011,17.0,17.59,17.78,16.77,2366386.0
11/22/2011,16.67,17.0,17.35,16.46,2988699.0
11/23/2011,16.44,16.5,16.54,16.1,1061402.0
11/25/2011,16.46,16.37,16.6,16.33,279587.0
11/28/2011,16.79,16.63,17.02,16.48,700339.0
11/29/2011,16.74,16.75,16.75,16.5,533922.0
11/30/2011,17.46,16.88,17.97,16.85,569672.0
12/1/2011,17.43,17.55,17.63,17.04,479860.0
12/2/2011,17.9,17.55,17.97,17.51,584430.0
12/5/2011,18.23,17.97,18.35,17.92,2067749.0
12/6/2011,18.54,18.13,18.64,18.1,524093.0
12/7/2011,18.43,18.37,18.51,18.28,165822.0
12/8/2011,18.17,18.19,18.38,18.11,377863.0
12/9/2011,18.22,18.11,18.41,17.8,492604.0
12/12/2011,18.02,17.92,18.08,17.8,431409.0
12/13/2011,17.85,18.13,18.28,17.77,558659.0
12/14/2011,17.29,17.66,17.75,17.21,1052559.0
12/15/2011,17.56,17.57,18.33,17.41,712851.0
12/16/2011,17.56,17.56,18.01,17.37,210671.0
12/19/2011,17.58,17.65,17.73,17.39,148987.0
12/20/2011,18.01,17.95,18.17,17.73,320145.0
12/21/2011,17.92,17.9,18.16,17.83,268566.0
12/22/2011,18.25,17.95,18.3,17.95,374423.0
12/23/2011,18.38,18.28,18.8,18.12,542458.0
12/27/2011,18.13,19.17,19.17,17.91,443056.0
12/28/2011,17.75,18.23,18.28,17.66,144723.0
12/29/2011,17.94,17.77,17.95,17.61,289009.0
12/30/2011,18.04,17.97,18.13,17.66,127922.0
1/3/2012,18.63,18.52,19.21,18.23,980223.0
1/4/2012,18.88,19.46,19.46,18.3,393645.0
1/5/2012,18.54,18.8,18.8,18.23,672457.0
1/6/2012,18.89,18.54,19.12,18.43,578891.0
1/9/2012,19.02,18.94,19.02,18.83,418721.0
1/10/2012,19.96,19.2,20.1,19.2,948750.0
1/11/2012,20.06,19.93,20.12,19.76,229414.0
1/12/2012,20.68,20.19,20.94,19.98,1013331.0
1/13/2012,20.77,20.55,21.21,20.34,540809.0
1/17/2012,20.4,20.9,21.05,20.33,887716.0
1/18/2012,20.52,20.28,20.94,20.28,569633.0
1/19/2012,21.0,20.67,21.08,20.6,956462.0
1/20/2012,21.02,20.96,21.1,20.89,531921.0
1/23/2012,21.34,21.09,21.63,21.01,489508.0
1/24/2012,21.62,21.19,21.67,21.09,408024.0
1/25/2012,21.58,21.62,21.69,21.33,603646.0
1/26/2012,21.74,21.65,22.31,21.08,801528.0
1/27/2012,22.75,22.58,22.95,21.92,2554765.0
1/30/2012,22.68,22.74,23.08,22.25,675115.0
1/31/2012,22.47,22.84,23.03,22.25,553508.0
2/1/2012,23.95,22.72,24.03,22.61,712931.0
2/2/2012,24.26,23.56,24.32,23.34,571643.0
2/3/2012,25.76,24.49,25.99,24.47,2728300.0
2/6/2012,25.56,25.65,25.78,25.04,1650388.0
2/7/2012,25.19,25.55,25.55,24.86,791821.0
2/8/2012,25.04,25.28,25.34,24.37,1511010.0
2/9/2012,24.96,25.12,25.14,24.64,1509744.0
2/10/2012,25.16,24.7,25.27,24.59,1489783.0
2/13/2012,25.14,25.14,25.34,25.07,1477595.0
2/14/2012,24.34,24.45,24.7,24.08,8621698.0
2/15/2012,24.61,24.49,24.97,24.4,4789248.0
2/16/2012,25.4,24.71,25.79,24.59,4869442.0
2/17/2012,26.21,25.6,26.38,25.27,4487477.0
2/21/2012,25.91,27.56,27.62,25.41,3841379.0
2/22/2012,25.98,26.01,26.26,25.39,1451649.0
2/23/2012,25.97,26.11,26.3,25.6,1172020.0
2/24/2012,26.29,25.92,26.59,25.8,1116956.0
2/27/2012,26.21,26.29,26.49,25.99,2161606.0
2/28/2012,26.7,26.36,26.95,26.3,1289750.0
2/29/2012,26.8,26.95,27.18,26.48,2462009.0
3/1/2012,26.8,26.91,27.21,26.28,2565220.0
3/2/2012,27.08,26.58,27.21,26.58,1627275.0
3/5/2012,26.5,27.05,27.33,26.26,1848382.0
