Date,Close,Open,High,Low,Volume
1997-05-28,21.0,20.63,21.38,20.63,1862700.0
1997-05-29,21.38,21.0,21.38,21.0,296800.0
1997-05-30,22.0,21.13,22.13,21.13,220400.0
1997-06-02,22.0,22.13,22.25,21.5,66800.0
1997-06-03,22.13,21.75,22.13,21.63,180000.0
1997-06-04,21.88,22.25,22.25,21.75,99900.0
1997-06-05,21.88,21.5,21.88,21.25,291600.0
1997-06-06,21.5,21.63,21.63,21.38,133300.0
1997-06-09,21.5,21.5,21.75,21.5,78900.0
1997-06-10,21.75,21.5,21.75,21.5,57600.0
1997-06-11,21.25,21.38,21.63,21.13,146600.0
1997-06-12,21.38,21.25,21.63,21.13,73300.0
1997-06-13,21.25,21.25,21.38,21.25,134200.0
1997-06-16,21.63,21.25,21.63,21.25,73200.0
1997-06-17,21.38,21.38,21.5,21.38,53300.0
1997-06-18,21.5,21.5,21.63,21.38,54100.0
1997-06-19,21.5,21.5,21.63,21.5,46500.0
1997-06-20,21.63,21.5,21.75,21.5,37800.0
1997-06-23,21.38,21.63,21.88,21.38,80800.0
1997-06-24,21.56,21.56,21.56,21.25,116000.0
1997-06-25,21.69,21.5,21.69,21.31,127400.0
1997-06-26,21.69,21.69,21.81,21.5,52100.0
1997-06-27,21.75,21.5,21.88,21.44,44500.0
1997-06-30,21.94,21.75,21.94,21.44,60300.0
1997-07-01,22.5,21.63,22.63,21.63,121300.0
1997-07-02,22.56,22.5,22.56,22.13,77300.0
1997-07-03,22.75,22.63,22.81,22.44,46000.0
1997-07-07,22.75,22.75,23.0,22.63,122200.0
1997-07-08,22.75,22.75,22.75,22.38,50400.0
1997-07-09,22.75,22.75,22.94,22.5,97000.0
1997-07-10,22.75,22.75,22.88,22.63,99000.0
1997-07-11,22.94,22.75,22.94,22.25,137100.0
1997-07-14,23.56,22.94,23.88,22.94,106600.0
1997-07-15,23.81,23.31,24.0,23.25,85400.0
1997-07-16,24.0,24.0,24.25,23.75,68800.0
1997-07-17,23.94,23.75,24.19,23.63,53000.0
1997-07-18,23.94,23.81,23.94,23.75,126500.0
1997-07-21,24.0,23.88,24.0,23.75,111800.0
1997-07-22,24.0,24.0,24.0,23.81,38800.0
1997-07-23,24.31,24.0,24.31,23.88,180000.0
1997-07-24,24.06,24.06,24.19,24.0,47600.0
1997-07-25,24.25,24.13,24.31,24.0,25500.0
1997-07-28,24.31,24.31,24.5,24.19,96800.0
1997-07-29,24.44,24.25,24.44,24.06,19900.0
1997-07-30,24.56,24.44,24.63,24.38,59600.0
1997-07-31,24.69,24.63,25.0,24.63,83500.0
1997-08-01,24.81,24.81,25.06,24.63,18700.0
1997-08-04,25.75,24.69,25.81,24.69,25700.0
1997-08-05,25.5,25.69,25.69,24.88,393700.0
1997-08-06,25.44,25.5,25.5,25.31,59700.0
1997-08-07,25.56,25.69,25.75,25.56,23800.0
1997-08-08,26.0,25.5,26.0,25.38,25500.0
1997-08-11,25.63,26.19,26.19,25.63,9600.0
1997-08-12,25.5,25.81,25.88,25.5,44600.0
1997-08-13,25.56,25.56,25.81,25.56,47300.0
1997-08-14,25.63,25.56,25.88,25.56,8800.0
1997-08-15,25.56,25.56,25.56,25.56,2800.0
1997-08-18,25.56,25.56,25.63,25.56,4900.0
1997-08-19,26.06,25.56,26.13,25.56,22600.0
1997-08-20,26.06,26.0,26.19,26.0,68800.0
1997-08-21,26.06,26.19,26.31,26.0,43200.0
1997-08-22,26.13,26.0,26.25,25.94,22000.0
1997-08-25,26.25,26.25,26.5,26.13,16300.0
1997-08-26,25.63,26.0,26.19,25.63,19200.0
1997-08-27,25.75,25.75,25.88,25.69,3900.0
1997-08-28,26.13,25.81,26.25,25.81,8300.0
1997-08-29,26.19,26.13,26.25,26.0,4600.0
1997-09-02,26.19,26.13,26.31,25.94,14600.0
1997-09-03,27.06,26.19,27.06,26.13,19000.0
1997-09-04,27.63,26.94,27.63,26.88,31100.0
1997-09-05,28.5,27.38,28.5,27.38,51700.0
1997-09-08,27.56,28.25,28.38,27.56,90400.0
1997-09-09,27.0,27.44,27.44,26.75,22700.0
1997-09-10,26.13,26.94,27.0,26.0,41300.0
1997-09-11,26.38,26.13,26.44,26.13,102800.0
1997-09-12,26.13,26.13,26.44,26.0,21500.0
1997-09-15,26.75,26.06,26.88,26.06,9500.0
1997-09-16,27.31,26.75,27.38,26.75,9700.0
1997-09-17,27.0,27.56,27.63,26.88,41100.0
1997-09-18,27.06,27.25,27.25,27.06,4400.0
1997-09-19,26.69,26.81,27.0,26.69,50600.0
1997-09-22,27.06,26.63,27.06,26.5,51900.0
1997-09-23,27.19,27.25,27.25,26.94,111200.0
1997-09-24,26.81,27.13,27.25,26.5,60700.0
1997-09-25,27.13,26.75,27.38,26.56,18700.0
1997-09-26,27.31,27.13,27.38,27.13,4200.0
1997-09-29,27.81,27.25,28.0,27.25,8000.0
1997-09-30,28.56,27.75,28.56,27.75,12100.0
1997-10-01,29.0,28.44,29.0,28.44,9900.0
1997-10-02,28.69,29.0,29.0,28.69,8100.0
1997-10-03,28.69,28.75,28.88,28.63,4200.0
1997-10-06,28.56,28.63,28.81,28.56,5400.0
1997-10-07,28.75,28.56,28.75,28.44,46900.0
1997-10-08,28.0,28.38,28.38,27.88,10900.0
1997-10-09,28.13,28.13,28.19,28.0,12500.0
1997-10-10,28.44,28.25,28.56,28.25,17600.0
1997-10-13,28.5,28.38,28.5,28.38,3600.0
1997-10-14,28.38,28.56,28.56,28.38,5600.0
1997-10-15,28.31,28.31,28.38,28.31,2300.0
1997-10-16,28.56,28.38,28.56,28.31,5400.0
1997-10-17,27.81,28.38,28.56,27.81,14100.0
1997-10-20,27.38,27.63,27.63,27.38,9800.0
1997-10-21,27.31,27.31,27.38,27.19,3100.0
1997-10-22,27.63,27.5,27.63,27.44,87700.0
1997-10-23,27.38,27.44,27.44,27.19,77700.0
1997-10-24,27.63,27.19,27.63,27.19,4400.0
1997-10-27,27.25,27.38,27.38,27.0,199500.0
1997-10-28,27.0,27.0,27.0,26.63,24300.0
1997-10-29,27.94,27.19,27.94,27.06,7900.0
1997-10-30,27.94,27.94,27.94,27.94,500.0
1997-10-31,27.44,27.81,28.06,27.44,5600.0
1997-11-03,27.75,27.63,27.75,27.5,80700.0
1997-11-04,28.0,27.63,28.0,27.38,24300.0
1997-11-05,29.25,28.13,29.25,28.13,68900.0
1997-11-06,29.25,29.0,29.38,29.0,38600.0
1997-11-07,28.88,29.0,29.0,28.88,6900.0
1997-11-10,28.25,29.0,29.0,28.25,29500.0
1997-11-11,27.94,28.13,28.25,27.94,2300.0
1997-11-12,27.75,28.06,28.06,27.69,28000.0
1997-11-13,27.5,27.75,27.75,27.5,6800.0
1997-11-14,27.56,27.5,27.75,27.38,3700.0
1997-11-17,27.88,27.69,27.88,27.63,6800.0
1997-11-18,28.31,28.0,28.31,28.0,2700.0
1997-11-19,28.63,28.31,28.63,28.31,13200.0
1997-11-20,30.13,29.0,30.5,29.0,61700.0
1997-11-21,30.5,30.38,30.5,30.19,62400.0
1997-11-24,30.88,30.38,30.88,30.31,17800.0
1997-11-25,31.75,31.0,31.88,30.88,17400.0
1997-11-26,31.44,31.88,31.88,31.44,94200.0
1997-11-28,31.13,31.56,31.56,31.13,12600.0
1997-12-01,30.25,30.69,30.69,29.88,60200.0
1997-12-02,30.31,29.94,30.31,29.88,36600.0
1997-12-03,29.06,30.25,30.44,29.0,85000.0
1997-12-04,29.13,29.19,29.31,29.0,68600.0
1997-12-05,29.19,29.13,29.19,29.0,13500.0
1997-12-08,29.44,29.19,29.44,29.13,39800.0
1997-12-09,30.25,29.69,30.63,29.69,233300.0
1997-12-10,30.06,30.25,30.44,30.0,55900.0
1997-12-11,29.94,29.94,30.13,29.88,32000.0
1997-12-12,30.44,29.81,30.5,29.69,26900.0
1997-12-15,30.63,30.5,30.63,30.06,31300.0
1997-12-16,30.38,30.5,30.63,29.88,154800.0
1997-12-17,30.56,30.25,30.56,30.0,150100.0
1997-12-18,30.0,30.44,30.44,29.81,62900.0
1997-12-19,29.94,29.75,29.94,29.63,35200.0
1997-12-22,30.94,30.0,30.94,30.0,6000.0
1997-12-23,30.63,30.94,31.06,30.63,5900.0
1997-12-24,30.38,30.56,30.56,30.25,2100.0
1997-12-26,30.31,30.44,30.44,30.31,2200.0
1997-12-29,30.5,30.25,30.5,30.13,28200.0
1997-12-30,31.19,30.69,31.38,30.69,14100.0
1997-12-31,31.56,31.31,31.88,31.31,20800.0
1998-01-02,31.69,31.38,31.69,31.38,3400.0
1998-01-05,31.81,31.81,32.0,31.69,26000.0
1998-01-06,32.38,32.0,32.38,32.0,24200.0
1998-01-07,31.94,31.81,32.0,31.81,76300.0
1998-01-08,31.69,32.0,32.0,31.56,29400.0
1998-01-09,31.44,31.75,31.75,31.44,15600.0
1998-01-12,30.75,31.19,31.19,30.75,30600.0
1998-01-13,32.0,30.94,32.13,30.75,91600.0
1998-01-14,32.0,31.94,32.0,31.88,58700.0
1998-01-15,32.0,32.0,32.0,31.69,33000.0
1998-01-16,32.44,32.25,32.69,32.25,90400.0
1998-01-20,32.31,32.63,32.63,32.25,25400.0
1998-01-21,32.19,32.19,32.31,32.06,27200.0
1998-01-22,31.94,32.13,32.25,31.19,14300.0
1998-01-23,32.0,31.94,32.0,31.63,122400.0
1998-01-26,32.06,32.13,32.13,31.69,11300.0
1998-01-27,32.19,31.94,32.25,31.94,25400.0
1998-01-28,32.13,32.06,32.31,31.94,32700.0
1998-01-29,32.44,32.0,32.44,32.0,57500.0
1998-01-30,33.38,32.38,33.5,32.38,30000.0
1998-02-02,33.25,33.56,33.69,33.19,12700.0
1998-02-03,32.69,33.0,33.06,32.56,8800.0
1998-02-04,33.25,32.75,33.81,32.75,8200.0
1998-02-05,33.06,33.13,33.38,32.81,13500.0
1998-02-06,33.38,32.94,33.38,32.94,6800.0
1998-02-09,33.94,33.44,34.56,33.44,11500.0
1998-02-10,33.69,33.75,34.06,33.44,11900.0
1998-02-11,32.88,33.94,34.13,32.38,176500.0
1998-02-12,32.94,33.06,33.38,32.81,19800.0
1998-02-13,32.75,33.06,33.06,32.75,4800.0
1998-02-17,32.5,32.81,32.81,32.0,27900.0
1998-02-18,31.94,32.06,32.63,31.94,11200.0
1998-02-19,31.56,31.94,32.0,31.5,7400.0
1998-02-20,31.0,31.31,31.31,29.88,36300.0
1998-02-23,31.0,31.13,31.38,30.81,72900.0
