Date,Close,Open,High,Low,Volume
1994-03-11,20.88,20.63,20.88,20.63,2359000.0
1994-03-14,20.63,20.75,20.75,20.63,536500.0
1994-03-15,20.63,20.63,20.75,20.63,215700.0
1994-03-16,21.38,20.63,21.38,20.63,338600.0
1994-03-17,21.13,21.13,21.38,20.88,195900.0
1994-03-18,21.0,20.88,21.13,20.75,285700.0
1994-03-21,20.88,20.88,21.0,20.88,38900.0
1994-03-22,20.75,20.88,20.88,20.75,78400.0
1994-03-23,21.25,20.75,21.5,20.75,209200.0
1994-03-24,21.0,21.0,21.13,21.0,155000.0
1994-03-25,21.0,21.0,21.13,21.0,91500.0
1994-03-28,21.13,21.13,21.13,20.88,111200.0
1994-03-29,20.63,21.13,21.13,20.63,101200.0
1994-03-30,20.5,20.63,20.75,20.38,105000.0
1994-03-31,20.63,20.5,20.63,20.5,108300.0
1994-04-04,20.13,20.38,20.38,20.0,42300.0
1994-04-05,20.75,20.25,20.88,20.25,55600.0
1994-04-06,20.88,20.88,20.88,20.75,31800.0
1994-04-07,20.75,20.88,21.0,20.75,52000.0
1994-04-08,20.5,20.75,20.75,20.5,24000.0
1994-04-11,20.38,20.5,20.63,20.38,44400.0
1994-04-12,20.5,20.5,20.5,20.25,15100.0
1994-04-13,20.38,20.5,20.5,20.38,30500.0
1994-04-14,20.38,20.5,20.5,20.38,38800.0
1994-04-15,20.13,20.5,20.5,20.13,12200.0
1994-04-18,20.13,20.13,20.38,20.13,39800.0
1994-04-19,20.25,20.38,20.38,20.25,24500.0
1994-04-20,20.25,20.25,20.25,20.13,72000.0
1994-04-21,20.25,20.38,20.38,20.25,15000.0
1994-04-22,20.5,20.38,20.5,20.13,20700.0
1994-04-25,20.25,20.38,20.5,20.25,27300.0
1994-04-26,20.5,20.38,20.5,20.38,64000.0
1994-04-28,20.63,20.63,20.75,20.5,27100.0
1994-04-29,20.5,20.5,20.63,20.5,5500.0
1994-05-02,20.63,20.63,20.63,20.5,11700.0
1994-05-03,20.5,20.63,20.63,20.38,29000.0
1994-05-04,20.25,20.38,20.5,20.25,39600.0
