Date,Close,Open,High,Low,Volume
2009-08-06,1.62,1.65,1.69,1.56,241984090.0
2009-08-07,1.64,1.62,1.68,1.6,24542720.0
2009-08-10,1.6,1.66,1.66,1.56,24209150.0
2009-08-11,1.57,1.6,1.6,1.55,23053710.0
2009-08-12,1.6,1.62,1.62,1.57,14512930.0
2009-08-13,1.66,1.6,1.67,1.6,11505590.0
2009-08-14,1.66,1.65,1.7,1.63,6377820.0
2009-08-17,1.62,1.63,1.64,1.62,2543880.0
2009-08-18,1.71,1.65,1.72,1.64,14466160.0
2009-08-19,1.79,1.68,1.79,1.68,20707630.0
2009-08-20,1.78,1.8,1.8,1.73,18820770.0
2009-08-21,1.78,1.78,1.8,1.76,8635110.0
2009-08-24,1.75,1.75,1.79,1.73,10215840.0
2009-08-25,1.79,1.77,1.79,1.76,5307240.0
2009-08-26,1.79,1.77,1.79,1.72,7085740.0
2009-08-27,1.82,1.79,1.82,1.76,11611000.0
2009-08-28,1.85,1.81,1.9,1.8,12949490.0
2009-08-31,1.82,1.84,1.84,1.78,10047190.0
2009-09-01,1.79,1.83,1.84,1.69,13834800.0
2009-09-02,1.77,1.78,1.83,1.75,12933880.0
2009-09-03,1.75,1.8,1.8,1.7,36576070.0
2009-09-04,1.78,1.78,1.8,1.75,11585840.0
2009-09-08,1.77,1.78,1.79,1.75,5748900.0
2009-09-09,1.73,1.79,1.79,1.72,5511810.0
2009-09-10,1.71,1.7,1.75,1.7,4151990.0
2009-09-11,1.69,1.7,1.73,1.65,6202810.0
2009-09-14,1.67,1.66,1.69,1.63,16144910.0
2009-09-15,1.72,1.73,1.74,1.66,19871870.0
2009-09-16,1.76,1.74,1.78,1.71,20223690.0
2009-09-17,1.66,1.77,1.79,1.65,14463510.0
2009-09-18,1.62,1.66,1.7,1.62,8998150.0
2009-09-21,1.66,1.63,1.66,1.59,5529560.0
2009-09-22,1.73,1.7,1.74,1.68,11140120.0
2009-09-23,1.74,1.76,1.78,1.73,5302810.0
2009-09-24,1.75,1.73,1.78,1.68,7787130.0
2009-09-25,1.71,1.75,1.75,1.71,4684350.0
2009-09-28,1.77,1.73,1.79,1.7,2335280.0
2009-09-29,1.7,1.76,1.78,1.7,3566730.0
2009-09-30,1.71,1.7,1.73,1.7,5125890.0
2009-10-01,1.63,1.7,1.71,1.62,6604880.0
2009-10-02,1.61,1.62,1.64,1.59,6295030.0
2009-10-05,1.65,1.61,1.65,1.6,1888210.0
2009-10-06,1.65,1.67,1.72,1.64,4693720.0
2009-10-07,1.61,1.66,1.66,1.59,2916870.0
2009-10-08,1.6,1.61,1.62,1.59,5572220.0
2009-10-09,1.63,1.6,1.65,1.59,8704660.0
2009-10-12,1.63,1.62,1.65,1.6,12887390.0
2009-10-13,1.65,1.62,1.67,1.62,5572880.0
2009-10-14,1.69,1.68,1.7,1.65,6988870.0
2009-10-15,1.72,1.74,1.8,1.71,20919290.0
2009-10-16,1.64,1.72,1.72,1.62,12637450.0
2009-10-19,1.62,1.65,1.66,1.61,21428090.0
2009-10-20,1.65,1.63,1.67,1.63,4889300.0
2009-10-21,1.65,1.64,1.69,1.61,2337050.0
2009-10-22,1.63,1.63,1.63,1.56,9833910.0
2009-10-23,1.61,1.61,1.64,1.59,11340650.0
2009-10-26,1.58,1.59,1.61,1.58,1623290.0
2009-10-27,1.55,1.6,1.6,1.53,3287580.0
2009-10-28,1.49,1.55,1.55,1.49,6219700.0
2009-10-29,1.5,1.5,1.52,1.47,11832630.0
2009-10-30,1.5,1.51,1.52,1.49,2780900.0
2009-11-02,1.49,1.51,1.51,1.47,2765410.0
2009-11-03,1.45,1.47,1.48,1.44,3636120.0
2009-11-04,1.48,1.46,1.53,1.43,8052180.0
2009-11-05,1.53,1.5,1.57,1.49,2740820.0
2009-11-06,1.53,1.53,1.57,1.49,2574470.0
2009-11-09,1.57,1.53,1.57,1.51,2529010.0
2009-11-10,1.55,1.57,1.57,1.52,1467650.0
2009-11-11,1.54,1.55,1.55,1.51,1534150.0
2009-11-12,1.56,1.54,1.6,1.54,1299070.0
2009-11-13,1.56,1.56,1.58,1.54,621000.0
2009-11-16,1.6,1.56,1.62,1.55,1559190.0
2009-11-17,1.61,1.58,1.62,1.56,984140.0
2009-11-18,1.6,1.62,1.62,1.58,1154760.0
2009-11-19,1.56,1.58,1.59,1.53,1165640.0
2009-11-20,1.54,1.56,1.57,1.53,4236590.0
2009-11-23,1.52,1.55,1.56,1.52,4652130.0
2009-11-24,1.53,1.51,1.53,1.5,5227190.0
2009-11-25,1.55,1.54,1.6,1.54,1352980.0
2009-11-27,1.59,1.51,1.59,1.51,615790.0
2009-11-30,1.59,1.59,1.6,1.53,2764490.0
2009-12-01,1.6,1.59,1.63,1.59,4177940.0
2009-12-02,1.56,1.6,1.61,1.54,8464140.0
2009-12-03,1.59,1.56,1.59,1.56,5078450.0
2009-12-04,1.65,1.64,1.67,1.56,9467900.0
2009-12-07,1.69,1.65,1.69,1.65,3085880.0
2009-12-08,1.68,1.66,1.7,1.66,2494080.0
2009-12-09,1.68,1.66,1.68,1.63,966180.0
2009-12-10,1.68,1.68,1.7,1.68,2554230.0
2009-12-11,1.66,1.67,1.67,1.65,773120.0
2009-12-14,1.69,1.67,1.69,1.67,2247360.0
2009-12-15,1.67,1.69,1.69,1.67,1404000.0
2009-12-16,1.7,1.69,1.71,1.67,3156310.0
2009-12-17,1.63,1.69,1.7,1.61,1489390.0
2009-12-18,1.64,1.63,1.68,1.62,4178010.0
2009-12-21,1.65,1.68,1.69,1.64,1442480.0
2009-12-22,1.67,1.65,1.67,1.62,3127000.0
2009-12-23,1.68,1.68,1.68,1.67,2234070.0
2009-12-24,1.68,1.67,1.7,1.67,307130.0
2009-12-28,1.74,1.68,1.78,1.68,7953250.0
2009-12-29,1.75,1.75,1.77,1.74,2275670.0
2009-12-30,1.77,1.73,1.78,1.73,3024940.0
2009-12-31,1.83,1.76,1.83,1.76,5557950.0
2010-01-04,1.89,1.83,1.89,1.8,5386450.0
2010-01-05,1.9,1.9,1.92,1.81,3010370.0
2010-01-06,1.92,1.9,1.93,1.86,5330350.0
