Date,Close,Open,High,Low,Volume
3/17/1980,2.34,,2.36,2.31,2700.0
3/18/1980,2.38,,2.38,2.33,1900.0
3/19/1980,2.33,,2.38,2.31,11400.0
3/20/1980,2.34,,2.34,2.33,8100.0
3/21/1980,2.31,,2.34,2.31,4000.0
3/24/1980,2.28,,2.33,2.28,6000.0
3/25/1980,2.22,,2.25,2.22,8000.0
3/26/1980,2.2,,2.28,2.17,9200.0
3/27/1980,2.13,,2.17,2.08,13100.0
3/28/1980,2.16,,2.17,2.09,30500.0
3/31/1980,2.17,,2.19,2.14,13900.0
4/1/1980,2.19,,2.19,2.16,36600.0
4/2/1980,2.2,,2.22,2.19,29700.0
4/3/1980,2.14,,2.2,2.13,3600.0
4/7/1980,2.09,,2.16,2.09,6700.0
4/8/1980,2.19,,2.19,2.09,2800.0
4/9/1980,2.14,,2.2,2.13,22300.0
4/10/1980,2.14,,2.16,2.14,9900.0
4/11/1980,2.06,,2.13,2.06,6400.0
4/14/1980,2.0,,2.0,1.94,8300.0
4/15/1980,2.0,,2.03,2.0,13100.0
4/16/1980,1.97,,1.98,1.94,138200.0
4/17/1980,1.95,,1.98,1.95,4600.0
4/18/1980,1.94,,1.97,1.94,16100.0
4/21/1980,1.97,,1.98,1.94,1100.0
4/22/1980,1.97,,2.03,1.97,25900.0
4/23/1980,2.0,,2.02,1.94,22900.0
4/24/1980,1.97,,2.02,1.97,36600.0
4/25/1980,1.98,,1.98,1.94,12600.0
4/28/1980,2.09,,2.09,1.98,5200.0
4/29/1980,2.08,,2.09,2.08,600.0
4/30/1980,2.09,,2.13,2.08,4700.0
5/1/1980,2.17,,2.17,2.08,2800.0
5/2/1980,2.14,,2.14,2.11,7600.0
5/5/1980,2.14,,2.14,2.14,400.0
5/6/1980,2.06,,2.13,2.06,24100.0
5/7/1980,2.14,,2.14,2.06,3400.0
5/8/1980,2.16,,2.16,2.11,5300.0
5/9/1980,2.17,,2.19,2.16,8800.0
5/12/1980,2.25,,2.28,2.17,6300.0
5/13/1980,2.27,,2.3,2.25,2500.0
5/14/1980,2.27,,2.31,2.27,8100.0
5/15/1980,2.25,,2.28,2.25,1900.0
5/16/1980,2.28,,2.28,2.25,2600.0
5/19/1980,2.3,,2.31,2.28,16700.0
5/20/1980,2.28,,2.28,2.28,3500.0
5/21/1980,2.3,,2.31,2.28,2600.0
5/22/1980,2.28,,2.31,2.28,15900.0
5/23/1980,2.31,,2.31,2.28,3900.0
5/27/1980,2.31,,2.31,2.28,2500.0
5/28/1980,2.31,,2.31,2.28,1800.0
5/29/1980,2.25,,2.28,2.22,4700.0
5/30/1980,2.25,,2.27,2.23,1200.0
6/2/1980,2.23,,2.25,2.23,1000.0
6/3/1980,2.25,,2.27,2.25,3100.0
6/4/1980,2.25,,2.28,2.25,8300.0
6/5/1980,2.25,,2.28,2.22,4500.0
6/6/1980,2.28,,2.28,2.25,3100.0
6/9/1980,2.28,,2.28,2.25,1500.0
6/10/1980,2.25,,2.28,2.25,2700.0
6/11/1980,2.25,,2.27,2.25,3300.0
6/12/1980,2.25,,2.27,2.25,5500.0
6/13/1980,2.28,,2.31,2.27,14900.0
6/16/1980,2.3,,2.3,2.28,6300.0
6/17/1980,2.28,,2.31,2.27,17000.0
6/18/1980,2.28,,2.3,2.28,15200.0
6/19/1980,2.28,,2.28,2.25,32500.0
6/20/1980,2.17,,2.23,2.17,14200.0
6/23/1980,2.19,,2.2,2.13,15000.0
6/24/1980,2.2,,2.2,2.16,11300.0
6/25/1980,2.25,,2.25,2.2,25700.0
6/26/1980,2.19,,2.27,2.19,25100.0
6/27/1980,2.19,,2.19,2.14,39000.0
6/30/1980,2.22,,2.22,2.17,21600.0
7/1/1980,2.22,,2.22,2.17,11900.0
7/2/1980,2.25,,2.28,2.2,11400.0
7/3/1980,2.28,,2.3,2.27,51900.0
7/7/1980,2.25,,2.25,2.25,6300.0
7/8/1980,2.3,,2.31,2.25,10400.0
7/9/1980,2.33,,2.33,2.3,8100.0
7/10/1980,2.3,,2.34,2.3,18100.0
7/11/1980,2.36,,2.36,2.3,6500.0
7/14/1980,2.44,,2.44,2.34,144400.0
7/15/1980,2.38,,2.5,2.38,71100.0
7/16/1980,2.44,,2.48,2.34,6400.0
7/17/1980,2.41,,2.44,2.41,13800.0
7/18/1980,2.42,,2.45,2.38,195100.0
7/21/1980,2.44,,2.44,2.39,13600.0
7/22/1980,2.5,,2.5,2.42,11000.0
7/23/1980,2.47,,2.47,2.45,6200.0
7/24/1980,2.48,,2.48,2.45,2100.0
7/25/1980,2.45,,2.52,2.45,7900.0
7/28/1980,2.47,,2.47,2.44,5200.0
7/29/1980,2.34,,2.44,2.34,5300.0
7/30/1980,2.39,,2.39,2.31,7600.0
7/31/1980,2.42,,2.42,2.33,2800.0
8/1/1980,2.38,,2.42,2.36,3500.0
8/4/1980,2.31,,2.34,2.28,5200.0
8/5/1980,2.34,,2.34,2.3,4900.0
8/6/1980,2.36,,2.36,2.34,20500.0
8/7/1980,2.38,,2.41,2.36,40300.0
8/8/1980,2.67,,2.67,2.41,40000.0
8/11/1980,2.86,,3.05,2.72,55400.0
8/12/1980,2.81,,2.91,2.81,31100.0
8/13/1980,2.88,,2.91,2.8,8700.0
8/14/1980,2.94,,2.97,2.88,12900.0
8/15/1980,2.92,,2.97,2.91,45500.0
8/18/1980,2.88,,2.94,2.86,8900.0
8/19/1980,2.72,,2.83,2.72,15200.0
8/20/1980,2.69,,2.72,2.69,11000.0
8/21/1980,2.78,,2.78,2.72,1200.0
8/22/1980,2.88,,2.88,2.81,2900.0
