Date,Close,Open,High,Low,Volume
2008-04-23,20.6,20.6,21.45,20.22,23404025.0
2008-04-24,20.81,20.72,21.0,20.31,4960820.0
2008-04-25,21.17,21.0,21.25,20.7,1956798.0
2008-04-28,21.0,21.49,21.49,20.81,709378.0
2008-04-29,21.07,21.39,21.39,20.82,859643.0
2008-04-30,21.15,21.08,21.2,20.92,893241.0
2008-05-01,21.91,21.22,22.0,21.0,2998955.0
2008-05-02,22.01,22.16,22.16,21.49,1639357.0
2008-05-05,21.91,22.45,22.45,21.56,578944.0
2008-05-06,21.55,21.8,21.86,21.37,1040181.0
2008-05-07,21.21,21.5,21.6,20.65,1240063.0
2008-05-08,21.25,21.23,21.3,21.03,888049.0
2008-05-09,21.67,21.25,21.84,21.03,550394.0
2008-05-12,21.5,21.7,21.74,21.28,1167927.0
2008-05-13,21.32,21.53,21.54,20.8,1783861.0
2008-05-14,21.3,20.51,21.48,20.51,649169.0
2008-05-15,21.16,21.45,21.46,21.1,470309.0
2008-05-16,21.62,21.43,21.65,21.1,1002319.0
2008-05-19,21.75,21.89,22.09,21.55,802836.0
2008-05-20,21.65,21.97,21.97,21.45,504059.0
2008-05-21,21.16,21.85,21.85,21.05,407047.0
2008-05-22,21.35,21.37,21.45,21.12,274583.0
2008-05-23,21.14,21.25,21.25,21.0,464183.0
2008-05-27,21.23,21.49,21.49,21.05,320210.0
2008-05-28,21.41,21.1,21.42,21.07,403723.0
2008-05-29,21.06,21.39,21.5,21.05,384557.0
2008-05-30,21.5,21.1,21.5,21.05,784275.0
2008-06-02,21.6,22.37,22.37,21.2,414823.0
2008-06-03,21.32,21.86,21.9,21.29,445962.0
2008-06-04,21.57,21.1,21.64,21.07,850244.0
2008-06-05,21.8,21.49,21.89,21.49,567360.0
2008-06-06,22.1,21.75,22.25,21.75,1588847.0
2008-06-09,22.33,22.3,22.39,22.1,377662.0
2008-06-10,21.85,22.11,22.25,21.84,593999.0
2008-06-11,21.71,21.72,22.43,21.2,692288.0
2008-06-12,21.85,22.11,22.11,21.47,394327.0
2008-06-13,22.39,22.14,22.4,21.71,460440.0
2008-06-16,22.75,22.47,23.0,22.24,782930.0
2008-06-17,23.18,22.75,23.51,22.3,1194301.0
2008-06-18,23.04,23.0,23.19,22.41,723269.0
2008-06-19,22.89,23.09,23.09,22.7,683491.0
2008-06-20,23.0,22.7,23.2,22.38,1330300.0
2008-06-23,22.75,22.96,22.96,22.67,390474.0
2008-06-24,22.88,22.78,22.96,22.31,666848.0
2008-06-25,23.37,23.08,23.37,22.85,716965.0
2008-06-26,22.62,23.05,23.65,22.14,1993195.0
2008-06-27,22.52,22.0,23.14,21.95,4484833.0
2008-06-30,22.18,22.99,22.99,21.19,861604.0
2008-07-01,22.88,22.4,23.09,22.21,476781.0
2008-07-02,22.65,23.0,23.23,22.46,492400.0
2008-07-03,21.8,22.46,22.61,21.17,331965.0
2008-07-07,21.49,21.8,22.06,21.31,246722.0
2008-07-08,21.7,21.39,21.7,21.29,281495.0
2008-07-09,21.59,21.73,21.76,21.41,182851.0
2008-07-10,21.26,21.69,21.69,20.3,530125.0
2008-07-11,20.03,20.74,20.81,19.24,1062445.0
2008-07-14,19.71,20.03,20.19,19.62,543075.0
2008-07-15,18.91,19.42,19.43,18.09,1191918.0
2008-07-16,19.4,18.97,19.55,18.9,464543.0
2008-07-17,19.7,19.79,19.79,19.07,232294.0
2008-07-18,19.55,19.0,19.83,19.0,308418.0
2008-07-21,19.72,19.83,19.9,19.45,148498.0
2008-07-22,19.93,19.58,20.05,19.58,144322.0
2008-07-23,19.69,19.85,19.99,19.63,214888.0
2008-07-24,18.87,19.93,19.96,18.55,518243.0
2008-07-25,19.15,19.15,19.26,18.59,240966.0
2008-07-28,18.63,19.25,19.66,18.5,241832.0
2008-07-29,19.0,18.89,19.23,18.72,289020.0
2008-07-30,19.46,19.34,19.67,19.1,251319.0
2008-07-31,19.25,20.48,20.48,18.63,579102.0
2008-08-01,19.29,19.39,19.83,19.25,389643.0
2008-08-04,19.6,19.44,19.87,19.05,324309.0
2008-08-05,20.34,19.85,20.34,19.65,336493.0
2008-08-06,20.1,20.35,20.35,19.53,343502.0
2008-08-07,20.15,20.2,20.22,19.9,376843.0
2008-08-08,20.07,20.29,20.36,19.95,268127.0
2008-08-11,20.77,21.09,21.37,20.65,958279.0
2008-08-12,20.87,20.7,21.33,20.7,729017.0
2008-08-13,21.09,20.88,21.39,20.86,515702.0
2008-08-14,20.98,21.17,21.5,20.83,567812.0
2008-08-15,20.75,21.2,21.2,20.52,370736.0
2008-08-18,21.15,20.93,21.2,20.8,546448.0
2008-08-19,21.92,21.25,22.25,21.15,782703.0
2008-08-20,21.9,22.09,22.49,21.41,801240.0
2008-08-21,21.9,21.94,22.05,21.34,719900.0
2008-08-22,21.95,21.99,22.0,21.56,307016.0
2008-08-25,21.77,21.77,22.55,21.45,245710.0
2008-08-26,21.61,21.89,21.94,21.38,228092.0
2008-08-27,21.72,21.76,21.77,21.4,215924.0
2008-08-28,22.11,21.88,22.25,21.1,383621.0
2008-08-29,22.95,21.84,23.12,21.54,1008904.0
2008-09-02,22.8,23.0,23.0,22.05,652336.0
2008-09-03,21.87,22.67,22.79,21.62,295354.0
2008-09-04,21.47,21.77,22.12,21.47,409216.0
2008-09-05,20.97,21.28,21.28,20.58,443454.0
2008-09-08,20.91,21.5,21.5,20.73,381905.0
2008-09-09,20.65,20.85,21.23,20.65,517451.0
2008-09-10,21.08,20.5,21.12,20.5,591763.0
2008-09-11,21.07,21.1,21.13,20.8,327485.0
2008-09-12,21.03,20.97,21.34,20.96,231544.0
2008-09-15,20.3,20.99,21.3,20.27,403863.0
2008-09-16,20.36,20.16,20.58,19.66,422477.0
2008-09-17,19.91,20.45,20.6,19.73,370811.0
2008-09-18,20.25,20.01,20.32,19.59,565811.0
2008-09-19,20.0,21.26,21.26,19.57,340076.0
2008-09-22,19.66,20.0,20.35,19.65,314094.0
2008-09-23,19.34,19.82,19.82,19.06,387964.0
2008-09-24,19.6,19.62,19.76,19.23,522675.0
2008-09-25,20.0,19.67,20.16,19.51,304372.0
2008-09-26,19.15,19.9,20.12,19.09,540946.0
2008-09-29,20.1,19.17,20.22,18.75,1045157.0
2008-09-30,21.5,20.44,21.8,19.43,1171613.0
2008-10-01,20.17,21.19,21.47,20.02,525186.0
2008-10-02,20.12,20.19,20.38,19.41,435487.0
2008-10-03,19.93,20.4,20.65,19.72,521097.0
2008-10-06,19.52,19.57,19.98,18.8,771747.0
2008-10-07,19.62,19.85,20.34,19.35,511740.0
2008-10-08,19.07,18.97,19.73,18.4,775864.0
2008-10-09,18.69,19.3,19.79,18.53,868183.0
2008-10-10,18.3,18.14,18.6,16.47,743393.0
2008-10-13,19.4,18.56,20.14,18.22,508399.0
2008-10-14,19.13,19.81,21.0,18.84,665663.0
2008-10-15,18.1,18.8,19.1,17.77,250322.0
2008-10-16,18.42,18.53,18.54,17.02,462894.0
2008-10-17,19.13,18.01,19.32,17.75,365074.0
2008-10-20,19.76,18.77,19.76,18.61,250488.0
2008-10-21,19.69,19.29,20.32,18.85,276075.0
2008-10-22,18.97,19.45,19.45,18.41,304159.0
2008-10-23,18.75,18.62,19.13,18.2,584358.0
2008-10-24,18.01,18.47,18.53,17.51,314037.0
2008-10-27,17.16,17.94,18.12,17.16,348230.0
2008-10-28,19.35,17.56,19.35,17.54,352829.0
2008-10-29,18.66,19.2,19.5,18.35,219383.0
2008-10-30,19.87,19.03,20.19,18.5,333583.0
2008-10-31,20.28,20.01,20.44,19.71,476947.0
2008-11-03,20.31,19.82,20.59,19.82,335113.0
2008-11-04,20.15,20.75,21.24,19.52,427323.0
2008-11-05,19.48,20.0,20.57,19.12,455991.0
2008-11-06,18.93,19.48,19.86,18.51,383426.0
2008-11-07,19.35,19.18,19.73,19.15,212466.0
2008-11-10,19.43,19.68,20.0,19.1,427037.0
2008-11-11,19.79,19.05,19.91,18.97,514783.0
2008-11-12,18.93,19.72,20.1,18.83,684946.0
2008-11-13,20.88,19.14,20.88,18.89,573239.0
2008-11-14,19.5,20.24,20.41,19.48,683659.0
2008-11-17,19.55,19.12,19.78,19.12,324610.0
2008-11-18,19.93,19.51,19.93,19.11,551418.0
2008-11-19,19.3,19.73,20.36,19.03,656831.0
2008-11-20,18.9,19.07,19.84,18.85,672574.0
2008-11-21,20.0,19.07,20.0,18.95,540876.0
2008-11-24,20.69,20.06,20.9,19.47,547678.0
2008-11-25,20.82,20.91,21.49,20.47,1980262.0
2008-11-26,20.1,20.41,20.65,19.71,422271.0
2008-11-28,20.28,20.23,20.63,20.02,220578.0
2008-12-01,19.07,19.9,19.99,18.96,402613.0
2008-12-02,18.97,19.34,19.49,17.85,1204750.0
2008-12-03,20.21,18.92,20.5,18.54,520828.0
2008-12-04,20.27,20.0,20.48,19.6,420310.0
2008-12-05,20.49,20.0,20.97,19.77,632072.0
2008-12-08,20.96,20.97,21.33,20.6,648149.0
