Date,Close,Open,High,Low,Volume
3/17/1980,1.87,,1.9,1.87,51600.0
3/18/1980,1.92,,1.92,1.85,256300.0
3/19/1980,1.92,,1.94,1.9,62001.0
3/20/1980,1.88,,1.91,1.87,71400.0
3/21/1980,1.89,,1.9,1.86,82200.0
3/24/1980,1.87,,1.89,1.86,130000.0
3/25/1980,1.89,,1.9,1.86,17800.0
3/26/1980,1.95,,1.96,1.9,59601.0
3/27/1980,2.05,,2.05,1.91,76900.0
3/28/1980,2.09,,2.1,2.02,79000.0
3/31/1980,2.16,,2.19,1.8,88900.0
4/1/1980,2.12,,2.16,2.11,95001.0
4/2/1980,2.17,,2.22,2.11,114900.0
4/3/1980,2.13,,2.2,2.13,73101.0
4/7/1980,2.06,,2.13,2.06,64600.0
4/8/1980,2.1,,2.1,2.01,168000.0
4/9/1980,2.13,,2.14,2.11,36100.0
4/10/1980,2.22,,2.23,2.15,113700.0
4/11/1980,2.23,,2.25,2.2,111801.0
4/14/1980,2.18,,2.22,2.18,62901.0
4/15/1980,2.18,,2.2,2.17,93700.0
4/16/1980,2.2,,2.23,2.2,156300.0
4/17/1980,2.21,,2.21,2.19,22701.0
4/18/1980,2.26,,2.28,2.23,156000.0
4/21/1980,2.23,,2.26,2.23,33501.0
4/22/1980,2.34,,2.34,2.26,142200.0
4/23/1980,2.38,,2.42,2.34,245500.0
4/24/1980,2.43,,2.44,2.38,88300.0
4/25/1980,2.43,,2.43,2.38,43701.0
4/28/1980,2.48,,2.51,2.42,92800.0
4/29/1980,2.51,,2.52,2.47,95800.0
4/30/1980,2.47,,2.49,2.46,123400.0
5/1/1980,2.43,,2.45,2.42,85300.0
5/2/1980,2.4,,2.43,2.4,67900.0
5/5/1980,2.41,,2.43,2.39,130900.0
5/6/1980,2.47,,2.5,2.42,185700.0
5/7/1980,2.48,,2.49,2.46,104700.0
5/8/1980,2.43,,2.45,2.43,140001.0
5/9/1980,2.38,,2.44,2.38,108100.0
5/12/1980,2.39,,2.4,2.35,74400.0
5/13/1980,2.42,,2.44,2.39,120900.0
5/14/1980,2.45,,2.46,2.44,126400.0
5/15/1980,2.45,,2.47,2.45,65800.0
5/16/1980,2.45,,2.46,2.45,44200.0
5/19/1980,2.46,,2.48,2.44,120100.0
5/20/1980,2.46,,2.46,2.42,102700.0
5/21/1980,2.45,,2.46,2.42,187200.0
5/22/1980,2.45,,2.45,2.44,93400.0
5/23/1980,2.53,,2.55,2.47,375201.0
5/27/1980,2.51,,2.51,2.48,70701.0
5/28/1980,2.48,,2.5,2.46,39501.0
5/29/1980,2.42,,2.48,2.4,146500.0
5/30/1980,2.49,,2.49,2.42,64401.0
6/2/1980,2.46,,2.49,2.46,88701.0
6/3/1980,2.45,,2.48,2.45,100701.0
6/4/1980,2.5,,2.52,2.46,99801.0
6/5/1980,2.5,,2.54,2.49,149100.0
6/6/1980,2.51,,2.51,2.5,62700.0
6/9/1980,2.5,,2.51,2.49,144100.0
6/10/1980,2.56,,2.56,2.5,203700.0
6/11/1980,2.62,,2.63,2.55,169600.0
6/12/1980,2.62,,2.64,2.58,307900.0
6/13/1980,2.66,,2.66,2.62,215601.0
6/16/1980,2.58,,2.62,2.56,117900.0
6/17/1980,2.56,,2.61,2.56,116001.0
6/18/1980,2.56,,2.57,2.56,70900.0
6/19/1980,2.56,,2.57,2.56,109600.0
6/20/1980,2.56,,2.57,2.56,58800.0
6/23/1980,2.59,,2.61,2.56,37900.0
6/24/1980,2.61,,2.61,2.59,34900.0
6/25/1980,2.64,,2.66,2.61,38301.0
6/26/1980,2.66,,2.66,2.63,92100.0
6/27/1980,2.57,,2.59,2.56,250200.0
6/30/1980,2.56,,2.56,2.54,64800.0
7/1/1980,2.56,,2.56,2.54,114700.0
7/2/1980,2.57,,2.58,2.56,82900.0
7/3/1980,2.6,,2.62,2.56,59301.0
7/7/1980,2.56,,2.61,2.56,55300.0
7/8/1980,2.52,,2.56,2.5,60201.0
7/9/1980,2.49,,2.52,2.47,149400.0
7/10/1980,2.51,,2.51,2.49,97701.0
7/11/1980,2.51,,2.51,2.48,89500.0
7/14/1980,2.49,,2.53,2.49,80100.0
7/15/1980,2.5,,2.53,2.47,85900.0
7/16/1980,2.58,,2.58,2.5,86200.0
7/17/1980,2.62,,2.64,2.58,157101.0
7/18/1980,2.6,,2.64,2.6,147400.0
7/21/1980,2.58,,2.61,2.56,61800.0
7/22/1980,2.62,,2.64,2.59,115401.0
7/23/1980,2.6,,2.62,2.59,95100.0
7/24/1980,2.58,,2.61,2.57,112000.0
7/25/1980,2.57,,2.59,2.56,106000.0
7/28/1980,2.62,,2.62,2.56,42201.0
7/29/1980,2.68,,2.68,2.61,100101.0
7/30/1980,2.72,,2.75,2.67,136101.0
7/31/1980,2.74,,2.75,2.69,99300.0
8/1/1980,2.74,,2.75,2.69,97000.0
8/4/1980,2.72,,2.73,2.69,95800.0
8/5/1980,2.68,,2.72,2.68,83800.0
8/6/1980,2.68,,2.71,2.67,72700.0
8/7/1980,2.68,,2.7,2.66,48801.0
8/8/1980,2.69,,2.7,2.67,78201.0
8/11/1980,2.74,,2.74,2.68,42000.0
8/12/1980,2.72,,2.75,2.72,44400.0
8/13/1980,2.7,,2.75,2.69,36000.0
8/14/1980,2.7,,2.71,2.69,420700.0
8/15/1980,2.69,,2.72,2.68,88000.0
8/18/1980,2.67,,2.69,2.65,163701.0
8/19/1980,2.67,,2.68,2.65,39900.0
8/20/1980,2.7,,2.7,2.68,181300.0
8/21/1980,2.72,,2.72,2.69,53700.0
8/22/1980,2.72,,2.81,2.72,160500.0
8/25/1980,2.67,,2.71,2.65,47400.0
8/26/1980,2.64,,2.67,2.64,61101.0
8/27/1980,2.64,,2.65,2.61,68001.0
8/28/1980,2.56,,2.63,2.56,75400.0
8/29/1980,2.56,,2.57,2.54,34800.0
9/2/1980,2.64,,2.66,2.55,46800.0
9/3/1980,2.64,,2.66,2.59,148800.0
9/4/1980,2.62,,2.69,2.62,324201.0
9/5/1980,2.59,,2.63,2.56,77001.0
9/8/1980,2.53,,2.6,2.53,94500.0
9/9/1980,2.56,,2.56,2.5,50200.0
9/10/1980,2.62,,2.64,2.58,75400.0
9/11/1980,2.61,,2.64,2.61,71601.0
9/12/1980,2.58,,2.62,2.58,65200.0
9/15/1980,2.56,,2.59,2.55,47700.0
9/16/1980,2.6,,2.63,2.56,54900.0
9/17/1980,2.74,,2.75,2.61,92001.0
9/18/1980,2.76,,2.8,2.76,204400.0
9/19/1980,2.78,,2.79,2.74,31401.0
9/22/1980,2.85,,2.86,2.72,165201.0
9/23/1980,2.9,,2.96,2.83,192700.0
9/24/1980,2.94,,2.95,2.88,107901.0
9/25/1980,2.8,,2.94,2.8,68800.0
9/26/1980,2.76,,2.78,2.73,73200.0
9/29/1980,2.58,,2.66,2.58,189700.0
9/30/1980,2.65,,2.67,2.58,57900.0
10/1/1980,2.64,,2.66,2.62,39201.0
10/2/1980,2.66,,2.67,2.63,44301.0
10/3/1980,2.7,,2.73,2.66,115900.0
10/6/1980,2.78,,2.78,2.7,56301.0
10/7/1980,2.77,,2.78,2.76,109900.0
10/8/1980,2.79,,2.81,2.77,86400.0
10/9/1980,2.78,,2.8,2.78,93700.0
10/10/1980,2.71,,2.78,2.69,129400.0
10/13/1980,2.71,,2.71,2.67,66300.0
10/14/1980,2.7,,2.74,2.7,79401.0
10/15/1980,2.78,,2.78,2.67,99000.0
10/16/1980,2.69,,2.79,2.69,89901.0
10/17/1980,2.7,,2.73,2.68,66000.0
10/20/1980,2.65,,2.68,2.62,106701.0
10/21/1980,2.58,,2.65,2.56,161800.0
10/22/1980,2.56,,2.57,2.53,100101.0
10/23/1980,2.53,,2.59,2.51,153300.0
10/24/1980,2.49,,2.51,2.46,83400.0
10/27/1980,2.41,,2.49,2.4,230200.0
10/28/1980,2.42,,2.43,2.36,81201.0
10/29/1980,2.34,,2.41,2.34,344800.0
10/30/1980,2.33,,2.38,2.32,174201.0
10/31/1980,2.45,,2.47,2.33,52000.0
11/3/1980,2.51,,2.51,2.46,44800.0
11/5/1980,2.55,,2.66,2.53,243300.0
11/6/1980,2.46,,2.55,2.45,68601.0
11/7/1980,2.47,,2.49,2.45,96300.0
11/10/1980,2.5,,2.51,2.47,87000.0
11/11/1980,2.54,,2.55,2.49,76300.0
11/12/1980,2.57,,2.59,2.54,182800.0
11/13/1980,2.64,,2.65,2.57,134601.0
11/14/1980,2.62,,2.65,2.6,79900.0
11/17/1980,2.6,,2.63,2.57,93100.0
11/18/1980,2.63,,2.66,2.62,65301.0
11/19/1980,2.64,,2.67,2.62,34401.0
11/20/1980,2.57,,2.61,2.56,142600.0
11/21/1980,2.54,,2.58,2.54,145401.0
11/24/1980,2.49,,2.53,2.49,64401.0
11/25/1980,2.54,,2.56,2.49,214600.0
11/26/1980,2.55,,2.56,2.52,124600.0
11/28/1980,2.54,,2.55,2.52,36501.0
12/1/1980,2.54,,2.56,2.52,74500.0
12/2/1980,2.67,,2.67,2.53,56001.0
12/3/1980,2.67,,2.67,2.64,79900.0
12/4/1980,2.7,,2.72,2.66,72100.0
12/5/1980,2.58,,2.67,2.58,82200.0
12/8/1980,2.51,,2.6,2.5,50500.0
12/9/1980,2.58,,2.6,2.53,70701.0
12/10/1980,2.61,,2.67,2.59,131700.0
12/11/1980,2.56,,2.62,2.56,110200.0
12/12/1980,2.58,,2.58,2.56,48900.0
12/15/1980,2.67,,2.7,2.56,82401.0
12/16/1980,2.75,,2.77,2.65,55800.0
12/17/1980,2.86,,2.88,2.81,468801.0
12/18/1980,2.84,,2.93,2.84,654700.0
12/19/1980,2.88,,2.89,2.8,195700.0
12/22/1980,2.91,,2.92,2.83,290500.0
12/23/1980,2.85,,2.9,2.84,47601.0
12/24/1980,2.92,,2.92,2.84,34200.0
12/26/1980,2.93,,2.93,2.87,73500.0
12/29/1980,2.91,,2.95,2.89,54300.0
12/30/1980,2.94,,2.94,2.89,84201.0
12/31/1980,2.95,,2.95,2.91,51300.0
1/2/1981,2.93,,2.96,2.93,43000.0
1/5/1981,3.04,,3.04,2.93,291501.0
1/6/1981,3.21,,3.23,3.04,425400.0
1/7/1981,3.21,,3.22,3.0,255100.0
1/8/1981,3.2,,3.3,3.17,299301.0
1/9/1981,3.18,,3.21,3.11,129900.0
1/12/1981,3.18,,3.22,3.16,93600.0
1/13/1981,3.17,,3.17,3.13,76000.0
1/14/1981,3.11,,3.16,3.11,93201.0
1/15/1981,3.07,,3.11,3.05,82101.0
1/16/1981,3.1,,3.11,3.07,187701.0
1/19/1981,3.1,,3.13,3.08,87600.0
1/20/1981,3.1,,3.19,3.1,122400.0
1/21/1981,3.15,,3.17,3.1,109800.0
1/22/1981,3.05,,3.15,3.04,75501.0
1/23/1981,3.02,,3.11,3.02,124101.0
1/26/1981,3.04,,3.06,3.02,151300.0
1/27/1981,3.11,,3.11,3.06,168801.0
1/28/1981,3.1,,3.12,3.08,107200.0
1/29/1981,3.14,,3.18,3.09,65601.0
1/30/1981,3.19,,3.23,3.13,219000.0
2/2/1981,3.18,,3.21,3.11,135100.0
2/3/1981,3.2,,3.22,3.18,208000.0
2/4/1981,3.21,,3.21,3.18,97900.0
2/5/1981,3.2,,3.21,3.15,223701.0
2/6/1981,3.22,,3.23,3.21,162801.0
2/9/1981,3.22,,3.25,3.21,92800.0
2/10/1981,3.22,,3.25,3.21,166701.0
2/11/1981,3.18,,3.23,3.15,75100.0
2/12/1981,3.11,,3.17,3.11,77700.0
2/13/1981,3.1,,3.13,3.08,119800.0
2/17/1981,3.11,,3.14,3.1,54900.0
2/18/1981,3.11,,3.12,3.04,137800.0
2/19/1981,3.04,,3.11,2.99,126400.0
2/20/1981,2.99,,3.04,2.95,29200.0
2/23/1981,3.13,,3.17,2.99,118200.0
2/24/1981,3.13,,3.13,3.08,100401.0
2/25/1981,3.16,,3.19,3.13,86500.0
2/26/1981,3.23,,3.24,3.13,71200.0
2/27/1981,3.24,,3.33,3.22,114501.0
3/2/1981,3.23,,3.26,3.21,53400.0
3/3/1981,3.23,,3.28,3.22,67300.0
3/4/1981,3.29,,3.31,3.23,87900.0
3/5/1981,3.19,,3.28,3.16,126000.0
3/6/1981,3.26,,3.26,3.18,77601.0
3/9/1981,3.31,,3.32,3.24,60600.0
