Date,Close,Open,High,Low,Volume
3/17/1980,5.47,,5.77,5.46,193600.0
3/18/1980,5.59,,5.59,5.42,516901.0
3/19/1980,5.69,,5.73,5.57,181401.0
3/20/1980,5.59,,5.73,5.58,184601.0
3/21/1980,5.56,,5.61,5.54,124000.0
3/24/1980,5.19,,5.56,5.19,183901.0
3/25/1980,5.54,,5.61,5.11,473001.0
3/26/1980,5.04,,5.56,5.04,687401.0
3/27/1980,5.38,,5.43,4.67,813200.0
3/28/1980,5.33,,5.42,5.16,456501.0
3/31/1980,5.26,,5.31,5.17,255401.0
4/1/1980,5.28,,5.28,5.21,174701.0
4/2/1980,5.4,,5.48,5.3,226101.0
4/3/1980,5.48,,5.49,5.43,194601.0
4/7/1980,5.36,,5.47,5.31,182400.0
4/8/1980,5.49,,5.54,5.35,211001.0
4/9/1980,5.68,,5.68,5.51,300501.0
4/10/1980,5.75,,5.85,5.62,267101.0
4/11/1980,5.74,,5.79,5.72,103600.0
4/14/1980,5.64,,5.73,5.61,134000.0
4/15/1980,5.41,,5.57,5.39,207400.0
4/16/1980,5.2,,5.56,5.15,258000.0
4/17/1980,5.2,,5.3,5.15,273701.0
4/18/1980,5.04,,5.3,5.02,292701.0
4/21/1980,4.98,,5.07,4.89,225600.0
4/22/1980,5.44,,5.52,5.15,590901.0
4/23/1980,5.39,,5.48,5.32,445701.0
4/24/1980,5.44,,5.48,5.39,306701.0
4/25/1980,5.56,,5.57,5.39,326301.0
4/28/1980,5.57,,5.69,5.56,259101.0
4/29/1980,5.56,,5.61,5.54,178600.0
4/30/1980,5.41,,5.56,5.32,229101.0
5/1/1980,5.26,,5.41,5.09,294800.0
5/2/1980,5.04,,5.19,4.89,768501.0
5/5/1980,5.33,,5.33,5.07,366501.0
5/6/1980,5.07,,5.3,5.06,328901.0
5/7/1980,4.98,,5.13,4.91,366200.0
5/8/1980,4.87,,5.06,4.83,528600.0
5/9/1980,4.82,,4.87,4.74,270600.0
5/12/1980,5.02,,5.04,4.85,236701.0
5/13/1980,5.07,,5.07,4.94,231400.0
5/14/1980,5.07,,5.15,5.04,286800.0
5/15/1980,5.0,,5.11,4.98,136701.0
5/16/1980,4.96,,5.04,4.94,165000.0
5/19/1980,4.98,,5.0,4.87,130000.0
5/20/1980,4.83,,4.98,4.82,246901.0
5/21/1980,4.94,,4.94,4.74,238000.0
5/22/1980,5.04,,5.11,4.87,211200.0
5/23/1980,5.07,,5.15,5.04,416600.0
5/27/1980,4.98,,5.11,4.98,193800.0
5/28/1980,4.98,,5.02,4.87,500901.0
5/29/1980,4.89,,4.98,4.87,307600.0
5/30/1980,5.09,,5.13,4.85,193400.0
6/2/1980,5.15,,5.26,5.06,224701.0
6/3/1980,5.15,,5.2,5.11,225501.0
6/4/1980,5.28,,5.32,5.13,340701.0
6/5/1980,5.17,,5.28,5.13,193301.0
6/6/1980,5.06,,5.17,5.02,233301.0
6/9/1980,5.07,,5.09,5.0,237200.0
6/10/1980,5.19,,5.19,5.02,281501.0
6/11/1980,5.46,,5.46,5.19,530400.0
6/12/1980,5.37,,5.54,5.3,516101.0
6/13/1980,5.46,,5.46,5.35,199901.0
6/16/1980,5.44,,5.46,5.35,159600.0
6/17/1980,5.37,,5.44,5.35,135701.0
6/18/1980,5.39,,5.41,5.28,141301.0
6/19/1980,5.19,,5.35,5.17,202301.0
6/20/1980,5.22,,5.26,5.17,166501.0
6/23/1980,5.3,,5.32,5.2,182800.0
6/24/1980,5.41,,5.46,5.32,376101.0
6/25/1980,5.46,,5.52,5.41,465000.0
6/26/1980,5.32,,5.44,5.26,266800.0
6/27/1980,5.32,,5.35,5.26,118000.0
6/30/1980,5.19,,5.28,5.13,153200.0
7/1/1980,5.24,,5.24,5.13,168501.0
7/2/1980,5.32,,5.41,5.2,175600.0
7/3/1980,5.44,,5.46,5.3,391701.0
7/7/1980,5.48,,5.48,5.37,285901.0
7/8/1980,5.63,,5.63,5.43,401600.0
7/9/1980,5.67,,5.76,5.61,659200.0
7/10/1980,5.57,,5.65,5.52,341701.0
7/11/1980,5.57,,5.61,5.52,223800.0
7/14/1980,5.72,,5.72,5.56,333501.0
7/15/1980,5.69,,5.83,5.67,474600.0
7/16/1980,5.78,,5.83,5.7,424901.0
7/17/1980,5.85,,5.89,5.78,436000.0
7/18/1980,5.89,,5.96,5.85,420101.0
7/21/1980,6.04,,6.04,5.82,347101.0
7/22/1980,5.89,,6.04,5.85,492701.0
7/23/1980,5.78,,5.94,5.72,379501.0
7/24/1980,5.76,,5.82,5.65,273400.0
7/25/1980,5.69,,5.74,5.63,266901.0
7/28/1980,5.72,,5.74,5.61,267101.0
7/29/1980,5.78,,5.8,5.7,301000.0
7/30/1980,5.69,,5.8,5.67,319701.0
7/31/1980,5.67,,5.69,5.59,223701.0
8/1/1980,5.61,,5.69,5.48,220400.0
8/4/1980,5.74,,5.78,5.56,208400.0
8/5/1980,5.48,,5.69,5.44,820200.0
8/6/1980,5.54,,5.54,5.43,341600.0
8/7/1980,5.52,,5.57,5.48,569301.0
8/8/1980,5.57,,5.65,5.5,826800.0
8/11/1980,5.69,,5.7,5.56,363600.0
8/12/1980,5.57,,5.72,5.56,290901.0
8/13/1980,5.54,,5.63,5.54,245101.0
8/14/1980,5.56,,5.59,5.48,383800.0
8/15/1980,5.5,,5.59,5.5,398600.0
8/18/1980,5.59,,5.65,5.43,370701.0
8/19/1980,5.57,,5.69,5.54,503200.0
8/20/1980,5.82,,5.82,5.61,344000.0
8/21/1980,5.8,,5.83,5.76,302400.0
8/22/1980,5.8,,5.89,5.8,304800.0
