Date,Close,Open,High,Low,Volume
1980-03-17,1.41,,1.47,1.41,7200.0
1980-03-18,1.39,,1.41,1.38,17500.0
1980-03-19,1.44,,1.45,1.41,11000.0
1980-03-20,1.44,,1.44,1.44,3300.0
1980-03-21,1.44,,1.45,1.42,8300.0
1980-03-24,1.38,,1.47,1.38,12600.0
1980-03-25,1.36,,1.39,1.36,20000.0
1980-03-26,1.34,,1.38,1.34,9600.0
1980-03-27,1.3,,1.31,1.3,28400.0
1980-03-28,1.38,,1.38,1.3,29000.0
1980-03-31,1.42,,1.42,1.38,21900.0
1980-04-01,1.47,,1.48,1.44,4000.0
1980-04-02,1.52,,1.52,1.5,4000.0
1980-04-03,1.53,,1.55,1.5,8200.0
1980-04-07,1.53,,1.53,1.52,8700.0
1980-04-08,1.53,,1.53,1.52,6800.0
1980-04-09,1.56,,1.56,1.53,20800.0
1980-04-10,1.63,,1.63,1.59,10300.0
1980-04-11,1.63,,1.64,1.63,7900.0
1980-04-14,1.63,,1.66,1.63,21000.0
1980-04-15,1.59,,1.59,1.58,5400.0
1980-04-16,1.64,,1.66,1.63,51400.0
1980-04-17,1.69,,1.69,1.64,15100.0
1980-04-18,1.69,,1.75,1.69,36500.0
1980-04-21,1.69,,1.7,1.69,16200.0
1980-04-22,1.69,,1.7,1.67,8400.0
1980-04-23,1.7,,1.77,1.7,18100.0
1980-04-24,1.7,,1.72,1.7,18600.0
1980-04-25,1.69,,1.69,1.67,1400.0
1980-04-28,1.7,,1.72,1.7,5600.0
1980-04-29,1.7,,1.72,1.69,17000.0
1980-04-30,1.69,,1.7,1.69,6800.0
1980-05-01,1.7,,1.72,1.69,7200.0
1980-05-02,1.7,,1.72,1.7,10300.0
1980-05-05,1.77,,1.77,1.7,13600.0
1980-05-06,1.78,,1.8,1.75,19500.0
1980-05-07,1.89,,1.95,1.81,91600.0
1980-05-08,1.84,,1.89,1.84,33600.0
1980-05-09,1.8,,1.83,1.8,22200.0
1980-05-12,1.75,,1.78,1.75,9600.0
1980-05-13,1.75,,1.8,1.75,3100.0
1980-05-14,1.78,,1.83,1.75,76800.0
1980-05-15,1.75,,1.78,1.75,23400.0
1980-05-16,1.75,,1.8,1.75,6500.0
1980-05-19,1.72,,1.73,1.7,16000.0
1980-05-20,1.77,,1.77,1.75,5500.0
1980-05-21,1.73,,1.75,1.73,3100.0
1980-05-22,1.75,,1.77,1.75,8200.0
1980-05-23,1.77,,1.78,1.75,4300.0
1980-05-27,1.77,,1.77,1.77,600.0
1980-05-28,1.77,,1.77,1.75,1500.0
1980-05-29,1.77,,1.77,1.77,1800.0
1980-05-30,1.8,,1.81,1.8,29800.0
1980-06-02,1.78,,1.78,1.77,2400.0
1980-06-03,1.77,,1.8,1.77,8600.0
1980-06-04,1.77,,1.77,1.77,4300.0
1980-06-05,1.81,,1.83,1.78,7200.0
1980-06-06,1.84,,1.84,1.83,5100.0
1980-06-09,1.84,,1.84,1.83,14100.0
1980-06-10,1.81,,1.84,1.81,7300.0
1980-06-11,1.81,,1.83,1.78,9100.0
1980-06-12,1.78,,1.81,1.78,1900.0
1980-06-13,1.8,,1.81,1.8,12500.0
1980-06-16,1.83,,1.83,1.81,4600.0
1980-06-17,1.84,,1.86,1.84,15500.0
1980-06-18,1.77,,1.84,1.77,8300.0
1980-06-19,1.73,,1.78,1.73,8700.0
1980-06-20,1.72,,1.73,1.72,1500.0
1980-06-23,1.75,,1.75,1.72,1600.0
1980-06-24,1.75,,1.75,1.73,4500.0
1980-06-25,1.75,,1.78,1.73,21400.0
1980-06-26,1.78,,1.78,1.75,7100.0
1980-06-27,1.83,,1.83,1.75,12500.0
1980-06-30,1.84,,1.86,1.83,23200.0
1980-07-01,1.84,,1.84,1.8,7800.0
1980-07-02,1.92,,1.97,1.84,46700.0
1980-07-03,1.92,,1.97,1.92,46200.0
1980-07-07,1.95,,1.98,1.94,90700.0
1980-07-08,2.0,,2.02,1.97,53800.0
1980-07-09,1.98,,2.08,1.98,21100.0
1980-07-10,1.95,,1.97,1.94,8000.0
1980-07-11,2.0,,2.0,1.92,7600.0
1980-07-14,1.98,,2.03,1.98,18800.0
1980-07-15,2.0,,2.05,2.0,41400.0
1980-07-16,2.03,,2.05,2.0,14300.0
1980-07-17,2.02,,2.05,2.02,16400.0
1980-07-18,2.06,,2.08,2.02,249100.0
1980-07-21,2.0,,2.06,2.0,14600.0
1980-07-22,1.98,,2.03,1.98,8200.0
1980-07-23,1.95,,1.95,1.89,9700.0
1980-07-24,1.88,,1.97,1.88,11800.0
1980-07-25,1.89,,1.89,1.88,6800.0
1980-07-28,1.94,,1.94,1.89,29400.0
1980-07-29,2.0,,2.0,1.95,34700.0
1980-07-30,2.03,,2.03,1.98,68000.0
1980-07-31,1.94,,2.0,1.94,5400.0
1980-08-01,1.97,,1.98,1.94,8200.0
1980-08-04,2.02,,2.03,1.98,19900.0
1980-08-05,2.0,,2.0,2.0,5400.0
1980-08-06,1.98,,2.0,1.97,8500.0
1980-08-07,2.03,,2.05,2.02,27400.0
1980-08-08,1.98,,2.05,1.97,23900.0
1980-08-11,2.02,,2.03,2.0,8900.0
1980-08-12,1.98,,2.02,1.97,18000.0
1980-08-13,1.92,,1.97,1.92,9700.0
1980-08-14,1.95,,1.97,1.89,7000.0
1980-08-15,1.98,,1.98,1.92,9600.0
1980-08-18,1.94,,1.98,1.92,47000.0
1980-08-19,1.91,,1.94,1.89,28600.0
1980-08-20,1.91,,1.91,1.88,9600.0
1980-08-21,1.89,,1.91,1.89,143600.0
1980-08-22,1.89,,1.91,1.86,14100.0
1980-08-25,1.89,,1.91,1.88,31200.0
1980-08-26,1.91,,1.92,1.89,6400.0
1980-08-27,1.91,,1.91,1.89,7900.0
1980-08-28,1.91,,1.91,1.89,20200.0
1980-08-29,1.89,,1.89,1.86,12300.0
1980-09-02,1.91,,1.91,1.86,11800.0
1980-09-03,1.94,,1.95,1.89,72500.0
1980-09-04,1.95,,1.98,1.95,25400.0
1980-09-05,1.94,,1.97,1.94,11100.0
1980-09-08,1.91,,1.97,1.91,31400.0
1980-09-09,1.92,,1.92,1.89,28400.0
1980-09-10,1.94,,1.95,1.91,17000.0
1980-09-11,1.94,,1.97,1.94,26100.0
1980-09-12,1.92,,1.97,1.92,213100.0
1980-09-15,1.84,,1.94,1.78,576600.0
1980-09-16,1.84,,1.86,1.81,27800.0
1980-09-17,1.86,,1.86,1.81,86600.0
1980-09-18,1.86,,1.88,1.81,28600.0
1980-09-19,1.81,,1.84,1.81,66800.0
1980-09-22,1.8,,1.83,1.78,8200.0
1980-09-23,1.78,,1.83,1.78,123400.0
1980-09-24,1.78,,1.81,1.77,130100.0
1980-09-25,1.78,,1.81,1.77,94600.0
1980-09-26,1.72,,1.78,1.72,163600.0
1980-09-29,1.67,,1.72,1.64,106900.0
1980-09-30,1.66,,1.67,1.63,12000.0
1980-10-01,1.63,,1.66,1.63,5200.0
1980-10-02,1.64,,1.64,1.63,7200.0
1980-10-03,1.64,,1.67,1.63,23000.0
1980-10-06,1.66,,1.67,1.64,24200.0
1980-10-07,1.64,,1.66,1.64,3800.0
1980-10-08,1.67,,1.67,1.66,4000.0
1980-10-09,1.67,,1.7,1.66,8100.0
1980-10-10,1.67,,1.67,1.64,17800.0
1980-10-13,1.67,,1.67,1.66,12300.0
1980-10-14,1.66,,1.67,1.64,9100.0
1980-10-15,1.67,,1.67,1.64,16200.0
1980-10-16,1.64,,1.66,1.64,6900.0
1980-10-17,1.63,,1.64,1.63,129000.0
1980-10-20,1.64,,1.66,1.59,52400.0
1980-10-21,1.63,,1.66,1.61,21700.0
1980-10-22,1.61,,1.63,1.59,23400.0
1980-10-23,1.66,,1.66,1.63,33400.0
1980-10-24,1.64,,1.66,1.61,40400.0
1980-10-27,1.63,,1.66,1.63,22900.0
1980-10-28,1.64,,1.64,1.61,10800.0
1980-10-29,1.66,,1.66,1.63,5200.0
1980-10-30,1.64,,1.64,1.63,17000.0
1980-10-31,1.64,,1.66,1.63,10800.0
1980-11-03,1.66,,1.67,1.61,26600.0
1980-11-05,1.69,,1.72,1.69,27000.0
1980-11-06,1.63,,1.67,1.63,26600.0
1980-11-07,1.59,,1.66,1.59,7500.0
1980-11-10,1.58,,1.63,1.58,31400.0
1980-11-11,1.63,,1.63,1.59,11300.0
1980-11-12,1.69,,1.69,1.61,34800.0
1980-11-13,1.67,,1.67,1.64,6000.0
1980-11-14,1.61,,1.66,1.61,8300.0
1980-11-17,1.64,,1.66,1.59,8700.0
1980-11-18,1.61,,1.64,1.61,20000.0
1980-11-19,1.61,,1.63,1.61,12600.0
1980-11-20,1.61,,1.63,1.61,81600.0
1980-11-21,1.61,,1.63,1.61,11300.0
1980-11-24,1.64,,1.67,1.61,32800.0
1980-11-25,1.66,,1.66,1.64,24800.0
1980-11-26,1.64,,1.69,1.64,37100.0
1980-11-28,1.64,,1.64,1.63,7800.0
1980-12-01,1.61,,1.63,1.59,10100.0
1980-12-02,1.63,,1.63,1.61,3900.0
1980-12-03,1.58,,1.61,1.58,29500.0
1980-12-04,1.59,,1.61,1.59,15300.0
1980-12-05,1.58,,1.61,1.58,11000.0
1980-12-08,1.56,,1.58,1.56,10800.0
1980-12-09,1.55,,1.58,1.55,12300.0
1980-12-10,1.55,,1.56,1.55,19300.0
1980-12-11,1.55,,1.56,1.55,33500.0
1980-12-12,1.56,,1.56,1.55,7200.0
1980-12-15,1.56,,1.58,1.56,8800.0
1980-12-16,1.56,,1.58,1.55,7200.0
1980-12-17,1.59,,1.61,1.56,33100.0
1980-12-18,1.69,,1.72,1.61,50100.0
1980-12-19,1.67,,1.7,1.66,6300.0
1980-12-22,1.69,,1.69,1.66,6500.0
1980-12-23,1.73,,1.75,1.69,19400.0
1980-12-24,1.72,,1.72,1.69,83800.0
1980-12-26,1.72,,1.72,1.7,1300.0
1980-12-29,1.69,,1.7,1.69,8500.0
1980-12-30,1.67,,1.69,1.67,6500.0
1980-12-31,1.69,,1.7,1.69,19800.0
1981-01-02,1.69,,1.7,1.69,7900.0
1981-01-05,1.78,,1.78,1.7,11000.0
1981-01-06,1.78,,1.81,1.77,16800.0
1981-01-07,1.77,,1.78,1.63,21100.0
1981-01-08,1.73,,1.78,1.72,38900.0
1981-01-09,1.73,,1.75,1.7,9400.0
1981-01-12,1.7,,1.73,1.69,24700.0
1981-01-13,1.69,,1.7,1.67,21000.0
1981-01-14,1.69,,1.7,1.69,8800.0
1981-01-15,1.66,,1.67,1.64,4800.0
1981-01-16,1.69,,1.72,1.64,12000.0
1981-01-19,1.7,,1.7,1.69,9300.0
1981-01-20,1.69,,1.7,1.67,9200.0
1981-01-21,1.7,,1.72,1.69,4800.0
1981-01-22,1.7,,1.75,1.7,10800.0
1981-01-23,1.69,,1.7,1.69,9300.0
1981-01-26,1.69,,1.69,1.69,4400.0
1981-01-27,1.66,,1.69,1.66,5800.0
1981-01-28,1.69,,1.69,1.66,32700.0
1981-01-29,1.67,,1.7,1.66,8500.0
1981-01-30,1.69,,1.7,1.69,4800.0
1981-02-02,1.67,,1.7,1.66,10900.0
1981-02-03,1.69,,1.72,1.66,34800.0
1981-02-04,1.72,,1.73,1.72,14700.0
1981-02-05,1.75,,1.77,1.72,12400.0
1981-02-06,1.8,,1.81,1.75,17800.0
1981-02-09,1.78,,1.8,1.77,21700.0
1981-02-10,1.83,,1.83,1.78,15000.0
1981-02-11,1.86,,1.86,1.8,13600.0
1981-02-12,1.84,,1.91,1.84,43500.0
1981-02-13,1.81,,1.84,1.81,19000.0
1981-02-17,1.78,,1.83,1.77,9600.0
1981-02-18,1.77,,1.78,1.75,6000.0
1981-02-19,1.77,,1.81,1.77,22300.0
1981-02-20,1.81,,1.81,1.77,6800.0
1981-02-23,1.84,,1.88,1.83,6500.0
1981-02-24,1.86,,1.88,1.83,11300.0
1981-02-25,1.84,,1.84,1.83,15000.0
1981-02-26,1.84,,1.84,1.83,4000.0
1981-02-27,1.86,,1.86,1.84,14400.0
1981-03-02,1.83,,1.84,1.81,11400.0
1981-03-03,1.83,,1.84,1.83,39100.0
1981-03-04,1.91,,1.91,1.84,38500.0
1981-03-05,1.91,,1.92,1.89,27100.0
1981-03-06,1.89,,1.91,1.88,30100.0
1981-03-09,1.84,,1.89,1.84,13000.0
1981-03-10,1.86,,1.88,1.86,15700.0
1981-03-11,1.88,,1.88,1.88,19400.0
1981-03-12,1.88,,1.88,1.86,4000.0
1981-03-13,1.91,,1.91,1.89,15300.0
1981-03-16,1.91,,1.91,1.89,5400.0
1981-03-17,1.94,,1.97,1.91,25600.0
1981-03-18,1.95,,1.95,1.94,14900.0
1981-03-19,1.97,,1.97,1.94,16200.0
1981-03-20,1.98,,1.98,1.97,36900.0
1981-03-23,2.03,,2.05,1.98,50800.0
1981-03-24,2.06,,2.06,2.03,91200.0
1981-03-25,2.08,,2.08,2.05,38700.0
1981-03-26,2.08,,2.08,2.06,19500.0
1981-03-27,2.05,,2.08,2.05,20800.0
1981-03-30,2.02,,2.05,2.02,12400.0
1981-03-31,2.06,,2.08,2.03,30900.0
1981-04-01,2.05,,2.08,2.05,35900.0
1981-04-02,2.03,,2.06,2.02,10300.0
1981-04-03,2.05,,2.06,2.05,17100.0
1981-04-06,2.03,,2.05,2.03,15000.0
