Date,Close,Open,High,Low,Volume
1980-03-17,2.32,,2.36,2.31,90200.0
1980-03-18,2.36,,2.37,2.29,86600.0
1980-03-19,2.44,,2.45,2.41,41400.0
1980-03-20,2.37,,2.42,2.37,34400.0
1980-03-21,2.38,,2.38,2.36,25600.0
1980-03-24,2.35,,2.39,2.35,39500.0
1980-03-25,2.35,,2.36,2.33,49600.0
1980-03-26,2.34,,2.4,2.34,128600.0
1980-03-27,2.25,,2.32,2.23,145600.0
1980-03-28,2.42,,2.43,2.28,109800.0
1980-03-31,2.49,,2.52,2.41,38400.0
1980-04-01,2.5,,2.5,2.47,39900.0
1980-04-02,2.53,,2.53,2.49,22000.0
1980-04-03,2.44,,2.52,2.44,23300.0
1980-04-07,2.4,,2.49,2.4,34700.0
1980-04-08,2.49,,2.5,2.4,53500.0
1980-04-09,2.54,,2.55,2.5,18100.0
1980-04-10,2.56,,2.56,2.55,69700.0
1980-04-11,2.61,,2.62,2.56,43700.0
1980-04-14,2.61,,2.62,2.58,42500.0
1980-04-15,2.59,,2.65,2.59,141900.0
1980-04-16,2.58,,2.62,2.58,29700.0
1980-04-17,2.58,,2.59,2.56,142100.0
1980-04-18,2.56,,2.59,2.56,18200.0
1980-04-21,2.57,,2.57,2.56,24100.0
1980-04-22,2.62,,2.64,2.58,44600.0
1980-04-23,2.68,,2.72,2.68,125700.0
1980-04-24,2.76,,2.79,2.67,121100.0
1980-04-25,2.75,,2.78,2.72,51000.0
1980-04-28,2.77,,2.79,2.73,57200.0
1980-04-29,2.78,,2.8,2.76,90300.0
1980-04-30,2.75,,2.76,2.73,53500.0
1980-05-01,2.74,,2.76,2.73,52200.0
1980-05-02,2.72,,2.73,2.71,63800.0
1980-05-05,2.76,,2.77,2.73,44100.0
1980-05-06,2.76,,2.8,2.76,49600.0
1980-05-07,2.75,,2.77,2.74,61800.0
1980-05-08,2.75,,2.77,2.74,36800.0
1980-05-09,2.72,,2.74,2.72,39800.0
1980-05-12,2.7,,2.72,2.69,22000.0
1980-05-13,2.76,,2.77,2.7,25800.0
1980-05-14,2.77,,2.79,2.76,199800.0
1980-05-15,2.74,,2.78,2.72,73200.0
1980-05-16,2.76,,2.76,2.72,71800.0
1980-05-19,2.77,,2.77,2.76,55600.0
1980-05-20,2.78,,2.79,2.77,75000.0
1980-05-21,2.76,,2.79,2.76,46500.0
1980-05-22,2.8,,2.8,2.77,60600.0
1980-05-23,2.84,,2.84,2.82,66400.0
1980-05-27,2.86,,2.87,2.85,100400.0
1980-05-28,2.86,,2.86,2.84,75400.0
1980-05-29,2.85,,2.86,2.83,39800.0
1980-05-30,2.86,,2.86,2.83,22500.0
1980-06-02,2.88,,2.89,2.87,64000.0
1980-06-03,2.88,,2.89,2.86,54000.0
1980-06-04,2.88,,2.9,2.86,90900.0
1980-06-05,2.83,,2.9,2.83,165400.0
1980-06-06,2.83,,2.84,2.79,51900.0
1980-06-09,2.82,,2.83,2.79,14000.0
1980-06-10,2.82,,2.84,2.79,59000.0
1980-06-11,2.85,,2.85,2.83,57100.0
1980-06-12,2.85,,2.86,2.85,135100.0
1980-06-13,2.86,,2.87,2.85,37300.0
1980-06-16,2.87,,2.89,2.86,14100.0
1980-06-17,2.87,,2.9,2.86,49400.0
1980-06-18,2.84,,2.86,2.81,60400.0
1980-06-19,2.82,,2.82,2.79,43400.0
1980-06-20,2.79,,2.82,2.78,99000.0
1980-06-23,2.79,,2.8,2.78,24200.0
