Date,Close,Open,High,Low,Volume
3/17/1980,1.78,,1.81,1.78,22100.0
3/18/1980,1.77,,1.78,1.75,115200.0
3/19/1980,1.81,,1.81,1.78,12700.0
3/20/1980,1.81,,1.83,1.8,24100.0
3/21/1980,1.75,,1.82,1.75,8700.0
3/24/1980,1.73,,1.75,1.73,28000.0
3/25/1980,1.67,,1.74,1.67,35200.0
3/26/1980,1.68,,1.71,1.67,59600.0
3/27/1980,1.64,,1.67,1.6,12000.0
3/28/1980,1.77,,1.77,1.66,30400.0
3/31/1980,1.8,,1.8,1.74,15100.0
4/1/1980,1.84,,1.84,1.79,37800.0
4/2/1980,1.9,,1.9,1.87,6800.0
4/3/1980,1.88,,1.92,1.88,21000.0
4/7/1980,1.89,,1.9,1.88,13500.0
4/8/1980,1.9,,1.92,1.9,2700.0
4/9/1980,2.04,,2.07,1.93,29600.0
4/10/1980,2.03,,2.13,2.03,33700.0
4/11/1980,2.1,,2.1,2.03,32400.0
4/14/1980,2.07,,2.12,2.06,19300.0
4/15/1980,2.02,,2.06,2.02,18300.0
4/16/1980,2.0,,2.06,2.0,20300.0
4/17/1980,2.02,,2.03,2.0,13500.0
4/18/1980,2.02,,2.03,2.02,2700.0
4/21/1980,1.99,,2.02,1.99,8200.0
4/22/1980,2.07,,2.07,2.01,21400.0
4/23/1980,2.04,,2.09,2.02,32100.0
4/24/1980,2.07,,2.09,2.02,32500.0
4/25/1980,2.13,,2.15,2.06,24500.0
4/28/1980,2.13,,2.15,2.13,8100.0
4/29/1980,2.15,,2.15,2.11,9100.0
4/30/1980,2.15,,2.15,2.1,6600.0
5/1/1980,2.09,,2.13,2.09,3900.0
5/2/1980,2.12,,2.12,2.07,14800.0
5/5/1980,2.1,,2.12,2.09,5500.0
5/6/1980,2.1,,2.12,2.09,6300.0
5/7/1980,2.1,,2.12,2.08,9600.0
5/8/1980,2.09,,2.09,2.08,11900.0
5/9/1980,2.09,,2.09,2.06,17100.0
5/12/1980,2.06,,2.07,2.05,9800.0
5/13/1980,2.07,,2.07,2.06,21600.0
5/14/1980,2.08,,2.09,2.07,2800.0
5/15/1980,2.09,,2.1,2.08,13100.0
5/16/1980,2.09,,2.09,2.08,5300.0
5/19/1980,2.09,,2.1,2.07,6200.0
5/20/1980,2.08,,2.09,2.06,4300.0
5/21/1980,2.08,,2.08,2.06,1400.0
5/22/1980,2.07,,2.09,2.06,5700.0
5/23/1980,2.09,,2.09,2.07,13100.0
