Date,Close,Open,High,Low,Volume
1983-09-23,0.03,,0.03,0.03,2800.0
1983-09-26,0.06,,0.06,0.06,2301.0
1983-09-27,0.06,,0.07,0.06,4301.0
1983-09-28,0.06,,0.06,0.06,1401.0
1983-09-29,0.06,,0.06,0.06,2000.0
1983-09-30,0.06,,0.06,0.06,3801.0
1983-10-03,0.06,,0.06,0.06,501.0
1983-10-04,0.06,,0.06,0.06,1501.0
1983-10-05,0.06,,0.06,0.06,1200.0
1983-10-06,0.06,,0.06,0.06,2400.0
1983-10-07,0.06,,0.07,0.06,3301.0
1983-10-10,0.06,,0.07,0.06,1501.0
1983-10-12,0.06,,0.06,0.06,1200.0
1983-10-13,0.06,,0.06,0.06,1001.0
1983-10-14,0.06,,0.06,0.06,1401.0
1983-10-17,0.06,,0.06,0.06,301.0
1983-10-18,0.06,,0.06,0.06,4301.0
1983-10-19,0.06,,0.06,0.06,21.0
1983-10-20,0.06,,0.06,0.06,2501.0
1983-10-21,0.06,,0.06,0.06,2400.0
1983-10-24,0.06,,0.06,0.06,1301.0
1983-10-25,0.06,,0.06,0.06,501.0
1983-10-26,0.06,,0.06,0.06,201.0
1983-10-27,0.06,,0.06,0.06,701.0
1983-10-28,0.06,,0.06,0.06,601.0
1983-10-31,0.06,,0.06,0.06,201.0
1983-11-01,0.06,,0.06,0.06,400.0
1983-11-02,0.06,,0.06,0.06,101.0
1983-11-03,0.06,,0.06,0.06,2301.0
1983-11-04,0.06,,0.06,0.06,1001.0
1983-11-07,0.05,,0.06,0.05,1401.0
1983-11-08,0.05,,0.06,0.05,701.0
1983-11-10,0.05,,0.06,0.05,400.0
1983-11-14,0.05,,0.06,0.05,101.0
1983-11-15,0.05,,0.06,0.05,201.0
1983-11-18,0.05,,0.06,0.05,201.0
1983-11-22,0.06,,0.06,0.06,3101.0
1983-11-23,0.06,,0.06,0.06,201.0
1983-11-28,0.06,,0.06,0.06,61.0
1983-11-30,0.06,,0.06,0.06,301.0
1983-12-01,0.06,,0.06,0.06,800.0
1983-12-02,0.06,,0.06,0.06,2301.0
1983-12-05,0.06,,0.06,0.06,1701.0
1983-12-06,0.06,,0.06,0.06,400.0
1983-12-07,0.06,,0.06,0.06,1301.0
1983-12-08,0.06,,0.06,0.06,501.0
1983-12-09,0.06,,0.06,0.06,2800.0
1983-12-12,0.06,,0.06,0.06,201.0
1983-12-14,0.06,,0.06,0.06,2000.0
1983-12-15,0.06,,0.06,0.06,1001.0
1983-12-16,0.06,,0.06,0.06,11.0
1983-12-19,0.06,,0.06,0.06,2400.0
1983-12-20,0.06,,0.06,0.06,1200.0
1983-12-22,0.06,,0.06,0.06,201.0
1983-12-23,0.06,,0.07,0.06,5200.0
1983-12-27,0.06,,0.06,0.06,800.0
1983-12-28,0.06,,0.07,0.06,1200.0
1983-12-30,0.06,,0.07,0.06,901.0
1984-01-03,0.06,,0.07,0.06,101.0
1984-01-09,0.06,,0.07,0.06,3501.0
1984-01-12,0.06,,0.07,0.06,601.0
1984-01-16,0.06,,0.07,0.06,1600.0
1984-01-17,0.06,,0.07,0.06,101.0
1984-01-18,0.06,,0.07,0.06,101.0
1984-01-19,0.07,,0.07,0.07,1801.0
1984-01-20,0.07,,0.07,0.07,601.0
1984-01-23,0.07,,0.07,0.07,2301.0
1984-01-24,0.07,,0.07,0.07,2501.0
1984-01-25,0.07,,0.07,0.07,201.0
1984-01-26,0.07,,0.07,0.07,4301.0
1984-01-27,0.07,,0.07,0.07,201.0
1984-01-30,0.07,,0.07,0.07,800.0
1984-01-31,0.07,,0.07,0.07,101.0
1984-02-01,0.07,,0.07,0.07,701.0
1984-02-02,0.07,,0.07,0.07,2000.0
1984-02-03,0.07,,0.07,0.07,1200.0
1984-02-06,0.07,,0.07,0.07,1001.0
1984-02-07,0.06,,0.07,0.06,1801.0
1984-02-08,0.06,,0.06,0.06,1600.0
1984-02-09,0.06,,0.06,0.06,800.0
1984-02-10,0.06,,0.06,0.06,301.0
1984-02-13,0.06,,0.07,0.06,1600.0
1984-02-14,0.07,,0.07,0.07,1301.0
1984-02-15,0.07,,0.07,0.07,2201.0
1984-02-16,0.07,,0.07,0.07,501.0
1984-02-17,0.07,,0.07,0.07,400.0
1984-02-21,0.07,,0.07,0.07,1401.0
1984-02-23,0.07,,0.07,0.07,501.0
1984-02-24,0.07,,0.07,0.07,101.0
1984-02-27,0.07,,0.07,0.07,301.0
1984-02-28,0.07,,0.07,0.07,1200.0
1984-02-29,0.07,,0.07,0.07,1501.0
1984-03-01,0.07,,0.07,0.07,501.0
1984-03-05,0.07,,0.07,0.07,1001.0
1984-03-07,0.06,,0.07,0.06,2301.0
1984-03-09,0.06,,0.07,0.06,1301.0
1984-03-13,0.06,,0.07,0.06,201.0
1984-03-15,0.06,,0.07,0.06,201.0
1984-03-19,0.06,,0.07,0.06,1401.0
1984-03-20,0.07,,0.07,0.07,1001.0
1984-03-21,0.07,,0.07,0.07,101.0
1984-03-22,0.07,,0.07,0.07,800.0
1984-03-23,0.07,,0.07,0.07,901.0
1984-03-26,0.07,,0.07,0.07,3101.0
1984-03-27,0.07,,0.07,0.07,1101.0
1984-03-28,0.07,,0.08,0.07,2000.0
1984-03-30,0.07,,0.07,0.07,1701.0
1984-04-02,0.07,,0.07,0.07,501.0
1984-04-03,0.07,,0.08,0.07,601.0
1984-04-04,0.07,,0.08,0.07,201.0
1984-04-06,0.07,,0.08,0.07,1001.0
1984-04-09,0.07,,0.08,0.07,2000.0
1984-04-10,0.07,,0.07,0.07,1001.0
1984-04-11,0.07,,0.07,0.07,601.0
1984-04-12,0.07,,0.07,0.07,301.0
1984-04-13,0.07,,0.07,0.07,1200.0
1984-04-17,0.07,,0.08,0.07,900.0
1984-04-18,0.07,,0.08,0.07,600.0
1984-04-19,0.07,,0.08,0.07,200.0
1984-04-24,0.07,,0.07,0.07,1500.0
1984-04-27,0.07,,0.07,0.07,1900.0
1984-04-30,0.07,,0.07,0.07,1000.0
1984-05-01,0.07,,0.08,0.07,4100.0
1984-05-02,0.07,,0.08,0.07,1000.0
1984-05-03,0.07,,0.07,0.07,3400.0
1984-05-04,0.07,,0.07,0.07,1100.0
1984-05-07,0.07,,0.07,0.07,1800.0
1984-05-08,0.07,,0.07,0.07,2700.0
1984-05-09,0.07,,0.07,0.07,400.0
1984-05-10,0.07,,0.07,0.07,200.0
1984-05-11,0.08,,0.08,0.08,3800.0
1984-05-14,0.07,,0.08,0.07,1000.0
1984-05-15,0.07,,0.08,0.07,100.0
1984-05-16,0.07,,0.08,0.07,1200.0
1984-05-17,0.08,,0.08,0.08,5200.0
1984-05-18,0.08,,0.08,0.08,1100.0
1984-05-21,0.08,,0.08,0.08,1000.0
1984-05-22,0.08,,0.08,0.08,6000.0
1984-05-23,0.08,,0.08,0.08,100.0
1984-05-24,0.08,,0.08,0.08,1100.0
1984-05-25,0.08,,0.08,0.08,600.0
1984-05-29,0.08,,0.08,0.08,1000.0
1984-05-30,0.08,,0.08,0.08,500.0
1984-05-31,0.08,,0.08,0.08,700.0
1984-06-01,0.08,,0.08,0.08,1200.0
1984-06-04,0.08,,0.08,0.08,1400.0
1984-06-05,0.08,,0.08,0.08,100.0
1984-06-06,0.08,,0.08,0.08,700.0
1984-06-07,0.08,,0.08,0.08,1000.0
1984-06-11,0.07,,0.08,0.07,900.0
1984-06-12,0.07,,0.08,0.07,400.0
1984-06-13,0.07,,0.07,0.07,1500.0
1984-06-14,0.07,,0.07,0.07,800.0
1984-06-15,0.07,,0.07,0.07,1500.0
1984-06-21,0.07,,0.07,0.07,51.0
1984-06-22,0.07,,0.07,0.07,51.0
1984-06-25,0.07,,0.07,0.07,11.0
1984-06-26,0.07,,0.07,0.07,12500.0
1984-06-27,0.07,,0.07,0.07,200.0
1984-06-29,0.07,,0.07,0.07,1200.0
1984-07-03,0.07,,0.07,0.07,1000.0
1984-07-05,0.07,,0.07,0.07,1200.0
1984-07-06,0.07,,0.07,0.07,500.0
1984-07-10,0.07,,0.07,0.07,200.0
1984-07-12,0.07,,0.07,0.07,500.0
1984-07-13,0.07,,0.07,0.07,1000.0
1984-07-16,0.07,,0.07,0.07,6100.0
1984-07-18,0.07,,0.07,0.07,500.0
1984-07-19,0.07,,0.07,0.07,500.0
1984-07-20,0.07,,0.07,0.07,800.0
1984-07-23,0.07,,0.07,0.07,2500.0
1984-07-24,0.07,,0.07,0.07,500.0
1984-07-25,0.07,,0.07,0.07,700.0
1984-07-26,0.08,,0.08,0.08,1800.0
1984-07-27,0.08,,0.08,0.08,3000.0
1984-07-30,0.08,,0.08,0.08,2000.0
1984-07-31,0.08,,0.08,0.08,400.0
1984-08-01,0.08,,0.08,0.08,1200.0
1984-08-02,0.09,,0.09,0.09,3400.0
1984-08-03,0.09,,0.09,0.09,4700.0
1984-08-06,0.09,,0.09,0.09,1300.0
1984-08-08,0.09,,0.09,0.09,700.0
1984-08-09,0.09,,0.09,0.09,500.0
1984-08-10,0.08,,0.09,0.08,1800.0
1984-08-13,0.08,,0.09,0.08,100.0
1984-08-14,0.08,,0.09,0.08,1300.0
1984-08-15,0.08,,0.09,0.08,1200.0
1984-08-16,0.08,,0.09,0.08,3000.0
1984-08-17,0.09,,0.09,0.09,500.0
1984-08-23,0.09,,0.09,0.09,100.0
1984-08-24,0.09,,0.09,0.09,1100.0
1984-08-27,0.09,,0.09,0.09,200.0
1984-08-28,0.09,,0.09,0.09,500.0
1984-08-29,0.09,,0.09,0.09,6000.0
1984-08-30,0.09,,0.09,0.09,5700.0
1984-08-31,0.09,,0.09,0.09,4500.0
1984-09-04,0.09,,0.09,0.09,3400.0
1984-09-05,0.09,,0.09,0.09,5000.0
1984-09-06,0.09,,0.09,0.09,2000.0
1984-09-07,0.09,,0.09,0.09,700.0
1984-09-10,0.09,,0.09,0.09,1300.0
1984-09-11,0.09,,0.09,0.09,5100.0
1984-09-12,0.09,,0.09,0.09,1400.0
1984-09-13,0.09,,0.09,0.09,1400.0
1984-09-14,0.09,,0.09,0.09,200.0
1984-09-17,0.09,,0.09,0.09,2100.0
1984-09-18,0.09,,0.09,0.09,9000.0
1984-09-19,0.09,,0.09,0.09,4500.0
1984-09-20,0.09,,0.09,0.09,9000.0
1984-09-21,0.09,,0.09,0.09,1500.0
1984-09-24,0.09,,0.09,0.09,700.0
1984-09-25,0.09,,0.09,0.09,3000.0
1984-09-26,0.09,,0.09,0.09,400.0
1984-09-27,0.09,,0.09,0.09,5700.0
1984-09-28,0.09,,0.09,0.09,2800.0
1984-10-01,0.09,,0.09,0.09,200.0
1984-10-02,0.09,,0.1,0.09,9500.0
1984-10-03,0.09,,0.1,0.09,500.0
1984-10-04,0.09,,0.1,0.09,300.0
1984-10-05,0.09,,0.1,0.09,1400.0
1984-10-08,0.09,,0.1,0.09,2600.0
1984-10-09,0.09,,0.1,0.09,2100.0
1984-10-10,0.09,,0.1,0.09,200.0
1984-10-11,0.09,,0.1,0.09,3500.0
1984-10-12,0.1,,0.1,0.1,2700.0
1984-10-15,0.1,,0.1,0.1,1100.0
1984-10-16,0.1,,0.1,0.1,3300.0
1984-10-17,0.1,,0.1,0.1,300.0
1984-10-18,0.1,,0.1,0.1,5700.0
1984-10-19,0.1,,0.1,0.1,1300.0
1984-10-22,0.1,,0.1,0.1,600.0
1984-10-23,0.1,,0.1,0.1,1100.0
1984-10-24,0.1,,0.1,0.1,5900.0
1984-10-25,0.1,,0.11,0.1,1300.0
1984-10-26,0.1,,0.1,0.1,1400.0
1984-10-29,0.1,,0.1,0.1,500.0
1984-10-30,0.1,,0.1,0.1,100.0
1984-10-31,0.1,,0.1,0.1,5800.0
1984-11-01,0.1,,0.11,0.1,3300.0
1984-11-02,0.1,,0.11,0.1,1000.0
1984-11-05,0.1,,0.11,0.1,400.0
1984-11-06,0.1,,0.11,0.1,200.0
1984-11-07,0.1,,0.1,0.1,1000.0
1984-11-08,0.1,,0.1,0.1,1100.0
1984-11-09,0.1,,0.1,0.1,100.0
1984-11-12,0.1,,0.11,0.1,400.0
1984-11-14,0.1,,0.11,0.1,5100.0
1984-11-15,0.1,,0.1,0.1,400.0
1984-11-19,0.1,,0.1,0.1,600.0
1984-11-20,0.1,,0.1,0.1,4300.0
1984-11-21,0.1,,0.1,0.1,100.0
1984-11-23,0.1,,0.11,0.1,5300.0
1984-11-26,0.1,,0.11,0.1,1000.0
1984-11-27,0.1,,0.11,0.1,2500.0
1984-11-28,0.1,,0.1,0.1,200.0
1984-11-29,0.1,,0.1,0.1,300.0
1984-11-30,0.1,,0.1,0.1,300.0
1984-12-03,0.1,,0.1,0.1,500.0
1984-12-04,0.1,,0.1,0.1,800.0
1984-12-05,0.1,,0.1,0.1,2000.0
1984-12-06,0.09,,0.1,0.09,3100.0
1984-12-07,0.09,,0.09,0.09,400.0
1984-12-10,0.09,,0.09,0.09,1200.0
1984-12-11,0.1,,0.1,0.1,4400.0
1984-12-12,0.1,,0.1,0.1,200.0
1984-12-13,0.1,,0.1,0.1,5900.0
1984-12-14,0.1,,0.1,0.1,3400.0
1984-12-17,0.11,,0.11,0.11,3500.0
1984-12-18,0.11,,0.11,0.11,4000.0
1984-12-19,0.11,,0.11,0.11,1300.0
1984-12-20,0.11,,0.11,0.11,100.0
