Date,Close,Open,High,Low,Volume
2017-12-01,1735.3,1726.8,1736.49,1704.12,397707.0
2017-12-04,1723.24,1740.0,1749.82,1721.3,502807.0
2017-12-05,1724.88,1725.82,1741.07,1721.44,380794.0
2017-12-06,1719.04,1716.71,1727.38,1701.9,397566.0
2017-12-07,1719.62,1705.89,1722.29,1690.34,504233.0
2017-12-08,1719.84,1729.6,1739.78,1715.83,385822.0
2017-12-11,1715.52,1720.71,1733.0,1712.74,325691.0
2017-12-12,1723.72,1715.0,1733.4,1713.54,457244.0
2017-12-13,1742.61,1732.0,1746.11,1725.17,385982.0
2017-12-14,1760.92,1744.99,1768.53,1742.67,459036.0
2017-12-15,1760.0,1770.05,1775.73,1758.38,610711.0
2017-12-18,1781.35,1776.87,1786.75,1767.6,392922.0
2017-12-19,1780.62,1783.11,1793.57,1768.96,381957.0
2017-12-20,1774.0,1782.9,1786.54,1770.65,406743.0
2017-12-21,1778.79,1775.14,1788.95,1773.03,246562.0
2017-12-22,1775.26,1778.37,1786.23,1773.09,215291.0
2017-12-26,1755.32,1772.32,1775.26,1752.65,232624.0
2017-12-27,1757.88,1754.24,1761.82,1748.87,222577.0
2017-12-28,1764.09,1758.4,1764.99,1754.37,168900.0
2017-12-29,1737.74,1765.44,1769.99,1737.41,298021.0
2018-01-02,1784.75,1750.09,1790.66,1744.5,475542.0
2018-01-03,1824.16,1790.23,1829.02,1785.0,525606.0
2018-01-04,1807.25,1838.54,1848.9,1802.03,592572.0
2018-01-05,1823.54,1820.18,1825.5,1805.8,358593.0
2018-01-08,1851.81,1827.49,1874.95,1825.19,556178.0
2018-01-09,1865.29,1863.2,1876.73,1857.5,369617.0
2018-01-10,1872.91,1855.52,1873.55,1855.42,274399.0
2018-01-11,1893.1,1880.0,1900.86,1877.88,385893.0
2018-01-12,1919.4,1898.04,1925.98,1890.01,555315.0
2018-01-16,1919.47,1930.71,1949.83,1914.96,604897.0
2018-01-17,1949.9,1927.55,1958.96,1918.68,516066.0
2018-01-18,1926.71,1948.65,1957.49,1925.97,398621.0
2018-01-19,1910.21,1931.48,1933.8,1901.03,634513.0
2018-01-22,1915.77,1910.0,1926.69,1901.0,398161.0
2018-01-23,1962.94,1927.55,1969.36,1924.99,472045.0
