Date,Close,Open,High,Low,Volume
1987-04-06,18.63,,19.0,18.38,157000.0
1987-04-07,18.0,,18.63,18.0,295600.0
1987-04-08,18.75,,18.88,18.25,479700.0
1987-04-09,17.88,,18.75,17.88,850800.0
1987-04-10,18.13,,18.25,17.88,224000.0
1987-04-13,17.63,,18.13,17.5,304700.0
1987-04-14,16.13,,17.5,15.88,168300.0
1987-04-15,17.5,,17.5,16.38,423900.0
1987-04-16,18.0,,18.13,17.75,231400.0
1987-04-20,17.75,,18.0,17.75,139300.0
1987-04-21,17.63,,17.88,17.5,287200.0
1987-04-22,17.25,,17.75,16.88,290500.0
1987-04-23,17.38,,17.63,17.25,230700.0
1987-04-24,16.88,,17.5,16.88,143300.0
1987-04-27,16.5,,16.75,16.0,466500.0
1987-04-28,17.13,,17.5,16.5,272200.0
1987-04-29,17.25,,17.5,17.25,374500.0
1987-04-30,18.0,,18.0,17.25,845800.0
1987-05-01,18.0,,18.38,17.88,713800.0
1987-05-04,18.5,,18.63,18.0,212200.0
1987-05-05,19.38,,19.38,18.0,46600.0
1987-05-06,20.75,,20.75,19.25,37800.0
1987-05-07,22.25,,22.38,21.88,478790.0
1987-05-08,21.88,,22.13,21.63,365400.0
1987-05-11,22.5,,23.38,21.88,815000.0
1987-05-12,22.5,,22.63,22.25,422900.0
1987-05-13,21.88,,22.63,21.63,231300.0
1987-05-14,21.75,,22.0,21.5,341500.0
1987-05-15,21.38,,22.0,21.13,408700.0
1987-05-18,21.0,,21.13,20.5,386200.0
1987-05-19,20.75,,21.0,20.63,270200.0
1987-05-20,20.13,,20.63,20.13,308100.0
1987-05-21,20.38,,20.5,19.75,258900.0
1987-05-22,20.75,,20.75,20.25,255700.0
1987-05-26,21.75,,22.0,20.63,400600.0
1987-05-27,21.63,,21.88,21.5,211500.0
1987-05-28,21.5,,21.63,20.5,165000.0
1987-05-29,21.88,,21.88,21.25,288100.0
1987-06-01,21.88,,22.13,21.75,363100.0
1987-06-02,21.63,,21.88,21.5,215500.0
1987-06-03,21.75,,21.88,21.5,442000.0
1987-06-04,22.0,,22.0,21.75,576100.0
1987-06-05,21.88,,22.13,21.75,294100.0
1987-06-08,22.25,,22.25,21.88,310200.0
1987-06-09,22.0,,22.38,21.88,853800.0
1987-06-10,22.0,,22.75,22.0,340700.0
1987-06-11,21.75,,22.13,21.75,89100.0
1987-06-12,21.25,,21.75,21.13,378700.0
1987-06-15,21.75,,22.0,21.25,269500.0
1987-06-16,21.88,,21.88,21.63,160300.0
1987-06-17,21.75,,22.0,21.75,276100.0
1987-06-18,21.38,,21.63,21.25,59300.0
1987-06-19,21.88,,21.88,21.38,284500.0
1987-06-22,22.0,,22.25,21.75,544800.0
1987-06-23,22.0,,22.0,21.63,442000.0
1987-06-24,21.75,,21.88,21.5,241800.0
1987-06-25,21.88,,22.0,21.63,179500.0
1987-06-26,21.5,,22.0,21.5,389200.0
1987-06-29,22.38,,22.5,21.88,1020900.0
1987-06-30,22.75,,23.38,22.5,693400.0
1987-07-01,24.13,,24.25,23.0,560600.0
1987-07-02,24.63,,24.88,24.25,635100.0
1987-07-06,25.25,,25.25,24.75,786500.0
1987-07-07,26.25,,26.38,25.25,1092300.0
1987-07-08,25.75,,26.5,25.38,1016400.0
1987-07-09,26.75,,26.75,25.88,992200.0
1987-07-10,26.25,,26.63,26.0,466900.0
1987-07-13,26.0,,26.63,25.63,441800.0
1987-07-14,26.13,,26.13,25.5,853500.0
1987-07-15,26.38,,26.88,25.75,818800.0
1987-07-16,26.88,,26.88,26.25,392400.0
1987-07-17,27.25,,27.25,26.63,1079000.0
1987-07-20,27.0,,27.25,26.88,403300.0
1987-07-21,26.13,,27.0,26.13,498900.0
1987-07-22,25.38,,25.88,25.13,673700.0
1987-07-23,24.25,,25.25,24.0,489300.0
1987-07-24,24.38,,24.88,24.25,373400.0
1987-07-27,25.75,,25.88,24.38,431500.0
1987-07-28,26.25,,26.25,25.5,508500.0
1987-07-29,26.75,,27.13,26.38,961200.0
1987-07-30,26.63,,27.0,26.25,350900.0
1987-07-31,26.25,,26.63,25.63,325300.0
1987-08-03,26.75,,27.38,26.63,832100.0
1987-08-04,26.63,,26.75,26.13,336300.0
1987-08-05,25.75,,26.63,25.38,498200.0
1987-08-06,26.0,,26.13,25.5,320800.0
1987-08-07,26.13,,26.5,26.0,228200.0
1987-08-10,26.38,,26.38,25.88,332500.0
1987-08-11,26.5,,26.5,26.25,436700.0
1987-08-12,25.88,,26.5,25.75,329000.0
1987-08-13,25.88,,26.0,25.38,360400.0
1987-08-14,25.63,,26.0,25.5,470100.0
1987-08-17,25.0,,25.63,24.75,442400.0
1987-08-18,24.0,,24.25,23.63,865600.0
1987-08-19,24.0,,24.13,23.63,499100.0
1987-08-20,24.25,,24.63,23.88,593300.0
1987-08-21,24.38,,24.75,24.25,435300.0
1987-08-24,23.5,,23.88,23.38,298000.0
1987-08-25,23.13,,23.75,22.5,955900.0
1987-08-26,23.38,,23.5,23.13,664200.0
1987-08-27,24.63,,24.63,23.5,1531200.0
1987-08-28,24.25,,25.0,24.13,248000.0
1987-08-31,25.25,,25.25,24.25,427800.0
1987-09-01,24.63,,25.75,24.63,569800.0
1987-09-02,24.63,,24.88,24.25,256400.0
1987-09-03,24.38,,24.75,23.88,291400.0
1987-09-04,24.0,,24.38,24.0,288600.0
1987-09-08,24.38,,24.5,23.75,713100.0
1987-09-09,24.0,,24.38,23.88,265100.0
1987-09-10,24.5,,24.63,24.0,275400.0
1987-09-11,25.5,,25.5,24.5,736400.0
1987-09-14,25.13,,25.88,24.75,338200.0
1987-09-15,25.13,,25.25,24.75,110500.0
1987-09-16,24.63,,25.63,24.63,236400.0
1987-09-17,24.63,,25.25,24.63,297900.0
1987-09-18,24.88,,25.0,24.75,307200.0
1987-09-21,24.63,,25.13,24.63,413800.0
1987-09-22,25.38,,25.38,24.63,403500.0
1987-09-23,25.0,,25.5,24.13,302900.0
1987-09-24,24.63,,25.0,24.63,144000.0
1987-09-25,24.88,,24.88,24.25,431600.0
1987-09-28,25.38,,25.63,25.0,295000.0
1987-09-29,25.0,,25.5,25.0,137000.0
1987-09-30,24.63,,24.75,24.13,278100.0
1987-10-01,25.0,,25.38,24.88,204000.0
1987-10-02,25.75,,25.75,25.13,255100.0
1987-10-05,26.0,,26.13,25.63,872600.0
1987-10-06,24.75,,26.25,24.75,340300.0
1987-10-07,24.25,,24.63,23.5,501700.0
1987-10-08,23.5,,24.38,22.63,515900.0
1987-10-09,23.38,,23.63,23.0,137900.0
1987-10-12,23.0,,23.38,22.75,130300.0
1987-10-13,22.63,,23.13,22.5,169200.0
1987-10-14,22.25,,22.63,22.25,357500.0
1987-10-15,22.75,,23.0,21.75,403400.0
1987-10-16,20.88,,22.75,20.88,597700.0
1987-10-19,13.25,,20.13,13.25,1071400.0
1987-10-20,13.25,,15.38,11.63,1932100.0
1987-10-21,17.0,,17.63,15.0,1706400.0
1987-10-22,16.5,,17.0,14.5,786800.0
1987-10-23,15.5,,16.25,14.75,335400.0
1987-10-26,12.75,,14.63,12.63,484600.0
1987-10-27,14.25,,14.5,13.63,555200.0
1987-10-28,13.5,,13.75,13.0,925100.0
1987-10-29,15.38,,15.5,13.25,370000.0
1987-10-30,16.88,,17.38,16.0,548000.0
1987-11-02,17.13,,17.63,16.25,220200.0
1987-11-03,16.63,,17.25,16.13,328100.0
1987-11-04,15.0,,16.0,15.0,226200.0
1987-11-05,15.38,,16.0,14.63,344900.0
1987-11-06,15.25,,15.5,15.0,322300.0
1987-11-09,14.63,,14.88,14.38,290000.0
1987-11-10,13.5,,14.13,13.25,339400.0
1987-11-11,13.88,,14.13,13.88,371500.0
1987-11-12,14.38,,15.13,14.25,372900.0
1987-11-13,14.25,,14.75,14.25,180700.0
1987-11-16,14.5,,14.88,14.38,127800.0
1987-11-17,14.25,,14.63,14.13,224000.0
1987-11-18,14.0,,14.13,13.5,548900.0
1987-11-19,13.0,,13.88,12.88,676200.0
1987-11-20,12.5,,12.5,11.88,1432900.0
1987-11-23,13.13,,13.13,12.5,238500.0
1987-11-24,13.0,,13.38,13.0,272400.0
1987-11-25,13.0,,13.5,12.88,390100.0
1987-11-27,12.63,,13.0,12.5,111900.0
1987-11-30,11.63,,12.13,11.13,493500.0
1987-12-01,11.75,,12.13,11.75,322300.0
1987-12-02,12.38,,12.5,11.63,830700.0
1987-12-03,12.13,,12.63,11.88,508600.0
1987-12-04,12.25,,12.25,11.88,159300.0
1987-12-07,12.38,,12.5,12.0,214500.0
1987-12-08,13.0,,13.25,12.25,736700.0
1987-12-09,13.38,,13.75,12.88,305000.0
1987-12-10,13.0,,13.5,12.88,284300.0
1987-12-11,13.38,,13.5,13.0,215700.0
1987-12-14,13.13,,13.5,12.75,607000.0
1987-12-15,12.5,,13.0,12.13,1436300.0
1987-12-16,12.88,,12.88,12.13,727500.0
1987-12-17,12.75,,13.13,12.75,602400.0
1987-12-18,13.13,,13.13,12.5,838300.0
1987-12-21,13.0,,13.38,12.88,692700.0
1987-12-22,13.63,,13.88,12.88,763700.0
1987-12-23,14.75,,14.88,13.5,644100.0
1987-12-24,14.63,,14.88,14.63,106600.0
1987-12-28,14.38,,14.38,14.13,118200.0
1987-12-29,13.5,,14.38,13.5,139500.0
1987-12-30,13.5,,13.88,13.5,172300.0
1987-12-31,13.63,,13.75,13.5,193000.0
1988-01-04,14.25,,14.25,13.63,401100.0
1988-01-05,14.5,,15.0,14.38,518300.0
1988-01-06,15.25,,15.25,14.38,263800.0
1988-01-07,16.13,,16.38,14.88,517500.0
1988-01-08,14.5,,16.13,14.38,356500.0
1988-01-11,14.38,,14.75,13.63,247500.0
1988-01-12,13.88,,14.13,13.5,284300.0
1988-01-13,14.38,,14.75,13.5,254800.0
1988-01-14,14.0,,14.5,13.75,323300.0
1988-01-15,14.25,,14.5,14.0,374000.0
1988-01-18,14.25,,14.38,14.13,204800.0
1988-01-19,14.0,,14.5,13.75,123400.0
1988-01-20,13.88,,14.0,13.5,131100.0
1988-01-21,13.75,,14.0,13.5,234400.0
1988-01-22,14.0,,14.0,13.75,120600.0
1988-01-25,14.63,,14.75,13.88,219200.0
1988-01-26,14.88,,15.25,14.63,246600.0
1988-01-27,14.75,,15.13,14.63,220400.0
1988-01-28,15.13,,15.38,14.88,306600.0
