Date,Close,Open,High,Low,Volume
6/22/2005,12.98,13.89,14.08,12.53,8498048.0
6/23/2005,12.99,12.97,13.12,12.74,1060413.0
6/24/2005,12.91,13.16,13.16,12.74,398179.0
6/27/2005,12.78,13.08,13.08,12.62,221037.0
6/28/2005,13.45,12.78,13.45,12.78,521729.0
6/29/2005,13.48,13.45,13.52,13.29,230276.0
6/30/2005,13.62,13.45,13.66,13.37,479394.0
7/1/2005,13.66,13.71,13.79,13.58,147943.0
7/5/2005,13.5,13.66,13.66,13.45,336430.0
7/6/2005,13.29,13.49,13.5,13.24,135299.0
7/7/2005,13.45,13.2,13.45,13.12,251426.0
7/8/2005,13.62,13.49,13.62,13.37,106207.0
7/11/2005,13.66,13.72,14.29,13.45,414109.0
7/12/2005,13.74,13.58,13.87,13.52,390189.0
7/13/2005,13.72,13.68,14.13,13.66,245167.0
7/14/2005,13.61,13.79,13.87,13.54,173097.0
7/15/2005,13.65,13.62,13.75,13.5,220725.0
7/18/2005,13.71,13.61,13.79,13.59,359200.0
7/19/2005,13.67,13.79,13.87,13.62,985785.0
7/20/2005,13.97,13.62,14.08,13.62,271775.0
7/21/2005,13.9,13.98,14.21,13.86,199162.0
7/22/2005,13.96,14.0,14.04,13.64,220303.0
7/25/2005,13.97,13.99,14.24,13.87,217727.0
7/26/2005,15.05,14.46,15.48,14.21,1347156.0
7/27/2005,15.85,15.48,15.97,14.79,1203397.0
7/28/2005,16.97,17.61,17.66,16.65,1152771.0
7/29/2005,16.82,16.97,17.32,16.2,287267.0
8/1/2005,16.68,16.82,16.88,16.24,219907.0
8/2/2005,16.62,17.24,17.25,16.43,415568.0
8/3/2005,16.46,16.61,16.78,15.99,208932.0
8/4/2005,16.67,15.83,16.82,15.54,242602.0
8/5/2005,16.5,16.68,16.68,16.19,185082.0
8/8/2005,15.59,16.37,16.78,14.79,208625.0
8/9/2005,15.97,15.51,16.36,14.83,165343.0
8/10/2005,16.04,15.98,16.4,15.51,90281.0
8/11/2005,15.89,15.93,16.1,15.36,62943.0
8/12/2005,15.53,15.23,15.77,15.19,65514.0
8/15/2005,16.13,15.46,16.25,15.35,139642.0
8/16/2005,16.14,16.36,16.41,15.61,133751.0
8/17/2005,15.9,16.1,16.48,15.63,92612.0
8/18/2005,16.36,15.96,16.65,15.96,73390.0
8/19/2005,16.36,16.2,16.42,16.07,70062.0
8/22/2005,16.28,16.3,16.4,16.18,274788.0
8/23/2005,16.2,16.19,16.31,15.56,101497.0
8/24/2005,16.25,16.38,16.68,16.1,97286.0
8/25/2005,15.86,16.25,16.43,15.58,59945.0
8/26/2005,15.34,15.94,15.94,15.18,108552.0
8/29/2005,15.88,15.69,16.38,15.62,277190.0
8/30/2005,15.8,15.88,16.17,15.77,85207.0
8/31/2005,17.07,15.83,17.45,15.6,825186.0
9/1/2005,18.13,17.45,18.36,17.24,648022.0
9/2/2005,18.5,18.29,19.09,18.17,348035.0
9/6/2005,18.79,18.84,18.86,17.79,204689.0
9/7/2005,18.14,18.52,18.84,18.08,198472.0
9/8/2005,17.69,17.99,18.42,16.92,179695.0
9/9/2005,17.89,17.57,18.41,17.57,90927.0
9/12/2005,17.41,18.41,18.5,16.62,184859.0
9/13/2005,17.26,17.25,17.49,16.85,99512.0
9/14/2005,17.57,17.26,17.83,16.9,82375.0
9/15/2005,18.23,17.66,18.39,17.1,127973.0
9/16/2005,18.36,18.45,18.46,17.71,85523.0
9/19/2005,18.63,18.13,18.92,18.08,110882.0
9/20/2005,18.35,18.68,18.68,18.25,81895.0
9/21/2005,18.05,18.08,18.79,17.49,92661.0
9/22/2005,18.92,18.32,19.06,18.13,181220.0
9/23/2005,18.83,19.05,19.05,17.93,184743.0
9/26/2005,19.32,19.13,19.59,18.89,224717.0
9/27/2005,18.89,19.37,19.42,18.75,101941.0
9/28/2005,19.17,19.27,19.54,18.92,128966.0
9/29/2005,18.99,19.26,19.34,18.75,125180.0
9/30/2005,18.78,19.04,19.33,18.71,752489.0
10/3/2005,19.37,19.26,19.53,18.71,345488.0
10/4/2005,19.63,19.47,19.84,19.28,670494.0
10/5/2005,18.63,19.68,19.69,18.34,288998.0
10/6/2005,17.81,18.53,18.67,17.41,250973.0
10/7/2005,18.18,17.94,18.47,17.84,125925.0
10/10/2005,17.78,18.28,18.31,17.64,126829.0
10/11/2005,17.23,17.74,17.98,16.9,153786.0
10/12/2005,16.08,16.98,17.31,15.75,327542.0
10/13/2005,16.04,16.02,16.25,15.33,150293.0
10/14/2005,16.32,16.05,16.61,15.81,242299.0
10/17/2005,16.9,16.36,16.99,16.29,106195.0
10/18/2005,16.59,17.02,17.02,16.27,82381.0
10/19/2005,17.13,16.46,17.28,16.32,198592.0
10/20/2005,16.42,17.17,18.11,16.38,128779.0
10/21/2005,17.42,16.81,17.92,16.56,141612.0
10/24/2005,17.49,16.82,17.74,16.78,147340.0
10/25/2005,18.08,17.62,18.21,17.57,286228.0
10/26/2005,18.06,18.1,18.12,17.83,177530.0
10/27/2005,16.46,18.9,18.9,15.52,450873.0
10/28/2005,16.4,16.66,16.85,16.24,203582.0
10/31/2005,16.44,16.56,16.78,15.81,219324.0
11/1/2005,16.45,16.48,16.74,16.19,306212.0
11/2/2005,16.72,16.34,16.82,16.31,284970.0
11/3/2005,16.6,17.0,17.1,16.5,266847.0
11/4/2005,16.22,16.67,16.67,16.12,148043.0
11/7/2005,15.9,16.38,16.38,15.86,93639.0
11/8/2005,15.02,15.73,15.73,14.46,368478.0
11/9/2005,15.14,14.72,15.35,14.58,137262.0
11/10/2005,15.31,15.25,15.95,15.08,172230.0
11/11/2005,15.72,15.26,15.85,15.26,124312.0
11/14/2005,15.68,15.93,16.02,15.51,103066.0
11/15/2005,15.59,15.57,15.93,15.56,122036.0
11/16/2005,15.21,15.71,15.71,15.18,122968.0
11/17/2005,15.46,15.33,15.55,14.59,293438.0
11/18/2005,16.25,15.6,16.33,15.18,263731.0
11/21/2005,16.07,16.13,16.31,15.99,198318.0
11/22/2005,16.69,16.0,16.81,16.0,220219.0
11/23/2005,16.87,16.79,16.9,16.69,129825.0
11/25/2005,16.8,16.86,16.94,16.78,12560.0
11/28/2005,16.94,16.82,17.03,16.82,370300.0
11/29/2005,16.66,16.86,17.03,16.62,550811.0
11/30/2005,16.73,16.56,17.02,16.25,198238.0
12/1/2005,17.17,17.01,17.24,16.11,128700.0
12/2/2005,16.3,17.18,17.18,16.1,396600.0
12/5/2005,16.3,16.3,16.44,16.13,240528.0
12/6/2005,16.18,16.48,16.48,16.14,207332.0
12/7/2005,15.79,16.18,16.3,15.79,143121.0
12/8/2005,15.96,15.65,15.98,15.35,131062.0
12/9/2005,16.39,15.88,16.41,15.72,65112.0
12/12/2005,16.57,16.5,16.64,16.07,166915.0
12/13/2005,16.95,16.5,16.98,16.41,194314.0
12/14/2005,17.62,17.02,17.65,16.99,341436.0
12/15/2005,17.84,17.48,17.84,17.48,92830.0
12/16/2005,18.55,17.88,18.64,17.88,373373.0
12/19/2005,18.42,18.48,18.5,18.08,136775.0
12/20/2005,18.31,18.25,18.71,18.1,84692.0
