Date,Close,Open,High,Low,Volume
1980-03-17,1.98,,2.0,1.97,126200.0
1980-03-18,2.02,,2.03,1.96,119700.0
1980-03-19,2.02,,2.04,2.01,157800.0
1980-03-20,2.0,,2.02,2.0,40900.0
1980-03-21,1.98,,2.02,1.98,41200.0
1980-03-24,1.95,,2.01,1.95,127300.0
1980-03-25,1.95,,1.98,1.95,63500.0
1980-03-26,1.95,,1.98,1.95,71800.0
1980-03-27,1.92,,1.95,1.91,83300.0
1980-03-28,2.0,,2.0,1.92,123900.0
1980-03-31,2.04,,2.05,1.99,154100.0
1980-04-01,2.09,,2.1,2.05,83300.0
1980-04-02,2.1,,2.13,2.07,58100.0
1980-04-03,2.15,,2.16,2.1,97400.0
1980-04-07,2.11,,2.13,2.11,63400.0
1980-04-08,2.13,,2.13,2.1,54800.0
1980-04-09,2.16,,2.17,2.14,74600.0
1980-04-10,2.19,,2.19,2.17,85900.0
1980-04-11,2.19,,2.23,2.19,127000.0
1980-04-14,2.15,,2.19,2.15,61600.0
1980-04-15,2.14,,2.17,2.13,53300.0
1980-04-16,2.09,,2.16,2.09,94500.0
1980-04-17,2.04,,2.09,2.02,201300.0
1980-04-18,2.04,,2.05,2.03,60900.0
1980-04-21,2.02,,2.05,2.02,27900.0
1980-04-22,2.08,,2.09,2.05,131700.0
1980-04-23,2.13,,2.15,2.09,99800.0
1980-04-24,2.19,,2.2,2.13,200700.0
1980-04-25,2.2,,2.2,2.15,80800.0
1980-04-28,2.19,,2.2,2.17,71200.0
1980-04-29,2.18,,2.2,2.17,133000.0
1980-04-30,2.18,,2.2,2.17,160000.0
1980-05-01,2.18,,2.2,2.18,169300.0
1980-05-02,2.19,,2.2,2.18,37700.0
1980-05-05,2.17,,2.19,2.16,125900.0
1980-05-06,2.24,,2.27,2.19,224400.0
1980-05-07,2.28,,2.28,2.24,88700.0
1980-05-08,2.3,,2.3,2.27,61600.0
1980-05-09,2.31,,2.34,2.29,176500.0
1980-05-12,2.35,,2.37,2.3,69700.0
1980-05-13,2.35,,2.36,2.34,100100.0
1980-05-14,2.38,,2.39,2.34,148900.0
1980-05-15,2.37,,2.41,2.36,130800.0
1980-05-16,2.38,,2.38,2.35,124700.0
1980-05-19,2.36,,2.38,2.34,16800.0
1980-05-20,2.36,,2.37,2.35,82500.0
1980-05-21,2.37,,2.38,2.35,121600.0
1980-05-22,2.41,,2.41,2.35,90400.0
1980-05-23,2.38,,2.42,2.38,106000.0
1980-05-27,2.38,,2.39,2.36,80500.0
1980-05-28,2.36,,2.38,2.34,94300.0
1980-05-29,2.35,,2.37,2.34,69700.0
1980-05-30,2.34,,2.34,2.3,105700.0
1980-06-02,2.3,,2.34,2.3,92500.0
1980-06-03,2.28,,2.31,2.28,126200.0
1980-06-04,2.38,,2.38,2.28,96600.0
1980-06-05,2.42,,2.44,2.38,172300.0
1980-06-06,2.48,,2.48,2.41,149300.0
1980-06-09,2.48,,2.49,2.46,209100.0
1980-06-10,2.49,,2.51,2.48,294900.0
1980-06-11,2.45,,2.48,2.44,134300.0
1980-06-12,2.47,,2.48,2.46,157500.0
1980-06-13,2.5,,2.53,2.48,155100.0
1980-06-16,2.5,,2.52,2.49,51300.0
1980-06-17,2.52,,2.52,2.5,61100.0
1980-06-18,2.5,,2.51,2.48,132900.0
1980-06-19,2.48,,2.5,2.48,193400.0
1980-06-20,2.48,,2.49,2.47,34200.0
1980-06-23,2.47,,2.48,2.47,49800.0
1980-06-24,2.5,,2.52,2.46,87100.0
1980-06-25,2.55,,2.59,2.51,149700.0
1980-06-26,2.52,,2.56,2.52,141500.0
1980-06-27,2.51,,2.53,2.5,109500.0
1980-06-30,2.43,,2.48,2.42,97100.0
1980-07-01,2.41,,2.43,2.38,78500.0
1980-07-02,2.45,,2.45,2.41,79100.0
1980-07-03,2.52,,2.52,2.46,53700.0
1980-07-07,2.54,,2.56,2.52,52500.0
1980-07-08,2.5,,2.55,2.5,58700.0
1980-07-09,2.51,,2.53,2.5,80600.0
1980-07-10,2.53,,2.55,2.5,111100.0
1980-07-11,2.56,,2.56,2.54,119900.0
1980-07-14,2.63,,2.64,2.56,126100.0
1980-07-15,2.64,,2.71,2.64,130900.0
1980-07-16,2.65,,2.68,2.63,99500.0
1980-07-17,2.78,,2.78,2.7,133400.0
1980-07-18,2.77,,2.8,2.74,114800.0
1980-07-21,2.77,,2.79,2.75,82000.0
1980-07-22,2.77,,2.8,2.76,186400.0
1980-07-23,2.73,,2.77,2.71,227800.0
1980-07-24,2.73,,2.74,2.7,103800.0
1980-07-25,2.72,,2.73,2.7,58400.0
1980-07-28,2.77,,2.77,2.72,103800.0
1980-07-29,2.76,,2.77,2.75,59700.0
1980-07-30,2.79,,2.8,2.77,60100.0
1980-07-31,2.86,,2.88,2.78,223900.0
1980-08-01,2.9,,2.9,2.84,120000.0
1980-08-04,2.87,,2.89,2.84,96100.0
1980-08-05,2.86,,2.88,2.84,144600.0
1980-08-06,2.87,,2.87,2.82,117600.0
1980-08-07,2.93,,2.94,2.86,154100.0
1980-08-08,2.9,,2.95,2.85,79400.0
1980-08-11,2.9,,2.91,2.86,65600.0
1980-08-12,2.9,,2.92,2.9,94300.0
1980-08-13,2.86,,2.91,2.86,71400.0
1980-08-14,2.93,,2.93,2.87,60000.0
1980-08-15,2.91,,2.94,2.88,47300.0
1980-08-18,2.85,,2.9,2.84,99900.0
1980-08-19,2.84,,2.85,2.82,76100.0
1980-08-20,2.84,,2.84,2.82,108100.0
1980-08-21,2.84,,2.85,2.84,55500.0
1980-08-22,2.85,,2.89,2.84,95100.0
1980-08-25,2.82,,2.84,2.82,19600.0
1980-08-26,2.8,,2.84,2.8,91800.0
1980-08-27,2.79,,2.8,2.78,100600.0
1980-08-28,2.78,,2.8,2.78,83700.0
1980-08-29,2.77,,2.79,2.77,82400.0
1980-09-02,2.83,,2.83,2.77,68900.0
1980-09-03,2.91,,2.91,2.84,200500.0
1980-09-04,2.92,,2.95,2.91,165700.0
1980-09-05,2.95,,2.95,2.91,210900.0
1980-09-08,2.92,,2.96,2.92,49000.0
1980-09-09,2.98,,2.99,2.91,76700.0
1980-09-10,2.97,,3.01,2.95,105900.0
1980-09-11,2.98,,2.98,2.95,190400.0
1980-09-12,2.98,,3.0,2.97,89400.0
1980-09-15,3.09,,3.09,2.99,134000.0
1980-09-16,3.16,,3.19,3.12,262900.0
1980-09-17,3.15,,3.19,3.14,451400.0
1980-09-18,3.1,,3.15,3.08,125100.0
1980-09-19,3.14,,3.15,3.11,132100.0
1980-09-22,3.14,,3.16,3.12,66900.0
1980-09-23,3.04,,3.12,3.0,75600.0
1980-09-24,2.97,,3.04,2.94,386800.0
1980-09-25,2.93,,2.97,2.92,143700.0
1980-09-26,2.88,,2.92,2.84,93600.0
1980-09-29,2.87,,2.87,2.83,134100.0
1980-09-30,2.91,,2.91,2.87,87900.0
1980-10-01,2.91,,2.92,2.88,42200.0
1980-10-02,2.94,,2.96,2.89,58100.0
1980-10-03,2.92,,2.95,2.91,56700.0
1980-10-06,2.95,,2.95,2.88,131100.0
1980-10-07,3.03,,3.03,2.97,132400.0
1980-10-08,3.05,,3.09,3.01,123500.0
1980-10-09,3.05,,3.08,3.03,39000.0
1980-10-10,3.03,,3.05,3.02,34700.0
1980-10-13,3.06,,3.08,3.02,13500.0
1980-10-14,3.14,,3.16,3.06,138200.0
1980-10-15,3.21,,3.21,3.14,151500.0
1980-10-16,3.16,,3.25,3.16,224600.0
1980-10-17,3.1,,3.13,3.08,89200.0
1980-10-20,3.07,,3.1,3.07,44100.0
1980-10-21,2.97,,3.09,2.95,100500.0
1980-10-22,2.96,,2.98,2.95,70700.0
1980-10-23,2.88,,2.96,2.88,58600.0
1980-10-24,2.9,,2.91,2.86,70100.0
1980-10-27,2.87,,2.95,2.87,47500.0
1980-10-28,2.8,,2.87,2.8,126000.0
1980-10-29,2.8,,2.82,2.78,156700.0
1980-10-30,2.76,,2.78,2.73,95900.0
1980-10-31,2.88,,2.88,2.73,181200.0
1980-11-03,2.89,,2.93,2.87,79800.0
1980-11-05,2.94,,3.05,2.91,122800.0
1980-11-06,2.8,,2.94,2.8,72700.0
1980-11-07,2.81,,2.84,2.77,126500.0
1980-11-10,2.82,,2.83,2.8,90900.0
1980-11-11,2.84,,2.84,2.81,82200.0
1980-11-12,2.92,,2.92,2.84,160700.0
1980-11-13,2.91,,2.93,2.89,76500.0
1980-11-14,2.91,,2.92,2.86,192900.0
1980-11-17,2.87,,2.91,2.87,142100.0
1980-11-18,2.91,,2.93,2.84,144000.0
1980-11-19,2.88,,2.93,2.88,119200.0
1980-11-20,2.91,,2.91,2.87,123600.0
1980-11-21,2.88,,2.9,2.87,101400.0
1980-11-24,2.89,,2.89,2.87,81100.0
1980-11-25,2.88,,2.92,2.88,164600.0
1980-11-26,2.85,,2.88,2.84,102000.0
1980-11-28,2.85,,2.87,2.81,60100.0
1980-12-01,2.79,,2.84,2.78,67700.0
1980-12-02,2.86,,2.86,2.78,65500.0
1980-12-03,2.86,,2.88,2.84,124500.0
1980-12-04,2.98,,3.0,2.88,165900.0
1980-12-05,3.0,,3.09,2.97,103300.0
1980-12-08,2.88,,2.99,2.88,164400.0
1980-12-09,2.8,,2.89,2.8,118200.0
1980-12-10,2.78,,2.85,2.77,82900.0
1980-12-11,2.79,,2.8,2.72,148100.0
1980-12-12,2.82,,2.82,2.75,110700.0
1980-12-15,2.8,,2.84,2.79,59900.0
1980-12-16,2.8,,2.8,2.78,86200.0
1980-12-17,2.86,,2.86,2.8,106600.0
1980-12-18,2.8,,2.9,2.8,391900.0
1980-12-19,2.81,,2.87,2.79,138400.0
1980-12-22,2.91,,2.91,2.83,296600.0
1980-12-23,2.93,,2.97,2.91,141900.0
1980-12-24,2.98,,2.98,2.91,103200.0
1980-12-26,3.02,,3.02,2.98,23700.0
1980-12-29,3.04,,3.06,3.01,40200.0
1980-12-30,3.05,,3.05,3.02,51100.0
1980-12-31,3.15,,3.15,3.09,86000.0
1981-01-02,3.19,,3.2,3.13,73700.0
1981-01-05,3.2,,3.24,3.13,156600.0
1981-01-06,3.21,,3.28,3.2,278600.0
1981-01-07,3.13,,3.16,3.02,179700.0
1981-01-08,3.14,,3.21,3.13,313200.0
1981-01-09,3.13,,3.16,3.1,141600.0
1981-01-12,3.1,,3.16,3.09,72100.0
1981-01-13,3.06,,3.12,3.04,110800.0
1981-01-14,3.03,,3.08,3.03,42600.0
1981-01-15,2.99,,3.05,2.96,97100.0
1981-01-16,3.05,,3.05,3.0,81000.0
1981-01-19,3.05,,3.12,3.03,83600.0
1981-01-20,2.97,,3.06,2.97,50800.0
1981-01-21,2.93,,2.99,2.9,103800.0
1981-01-22,2.88,,2.95,2.86,122100.0
1981-01-23,2.98,,2.98,2.88,87100.0
1981-01-26,3.1,,3.1,3.0,155100.0
1981-01-27,3.12,,3.17,3.09,165500.0
1981-01-28,3.09,,3.13,3.09,53800.0
1981-01-29,3.05,,3.1,3.04,57200.0
1981-01-30,3.08,,3.08,3.03,57600.0
1981-02-02,3.05,,3.08,3.04,55500.0
1981-02-03,3.12,,3.12,3.05,116600.0
1981-02-04,3.19,,3.22,3.13,106100.0
1981-02-05,3.23,,3.23,3.17,137900.0
1981-02-06,3.27,,3.34,3.24,184700.0
