Date,Close,Open,High,Low,Volume
2007-03-22,20.1,18.0,20.25,18.0,2908400.0
2007-03-23,20.33,20.1,22.9,20.05,3550900.0
2007-03-26,20.67,20.33,20.75,20.15,859900.0
2007-03-27,20.35,20.75,20.83,20.3,470400.0
2007-03-28,19.9,20.3,20.3,19.7,324100.0
2007-03-29,19.7,19.9,20.13,19.5,1799300.0
2007-03-30,19.7,19.8,19.95,19.64,12230800.0
2007-04-02,19.51,19.7,19.7,18.82,9470300.0
2007-04-03,19.07,19.48,19.5,18.49,7892900.0
2007-04-04,18.91,19.02,19.16,18.8,4738000.0
2007-04-05,19.38,18.75,19.81,18.7,4602900.0
2007-04-09,19.06,19.57,19.57,18.9,3600900.0
2007-04-10,19.22,18.68,19.44,18.6,3130800.0
2007-04-11,19.11,19.25,20.06,18.95,3356100.0
2007-04-12,19.2,19.06,19.27,18.89,2666300.0
2007-04-13,19.58,20.05,20.05,19.1,2981000.0
2007-04-16,19.86,19.62,19.9,19.62,1455800.0
2007-04-17,20.42,19.45,20.58,19.3,1567200.0
2007-04-18,20.68,20.23,20.72,19.96,1958200.0
2007-04-19,21.14,20.2,21.46,20.18,1890100.0
2007-04-20,21.08,21.37,21.77,21.0,2671300.0
2007-04-23,20.7,20.88,21.1,20.53,1531800.0
2007-04-24,20.61,20.7,20.7,20.5,1752700.0
2007-04-25,20.26,20.61,20.67,20.22,1029512.0
2007-04-26,20.06,19.78,20.14,19.7,1193200.0
2007-04-27,20.22,20.0,20.27,19.81,734500.0
2007-04-30,20.04,20.2,20.2,19.96,1581800.0
2007-05-01,20.04,19.96,20.11,19.86,1468800.0
2007-05-02,20.02,19.97,20.11,19.85,1460100.0
2007-05-03,20.3,20.05,20.44,20.01,1246500.0
2007-05-04,20.78,20.2,21.0,20.13,1242300.0
2007-05-07,21.01,20.76,21.04,20.52,1482300.0
2007-05-08,21.27,20.6,21.32,20.54,1294300.0
2007-05-09,21.4,21.12,21.85,21.08,2454100.0
2007-05-10,21.12,21.2,21.55,20.94,1278800.0
2007-05-11,21.43,21.13,21.45,21.1,468283.0
2007-05-14,21.31,21.33,21.36,21.12,662453.0
2007-05-15,20.84,21.31,21.41,20.84,1811800.0
2007-05-16,20.5,20.7,20.7,20.42,1595876.0
2007-05-17,20.65,20.12,20.73,20.1,893700.0
2007-05-18,20.46,20.6,20.75,20.3,1201800.0
2007-05-21,20.5,20.44,20.54,20.38,3019200.0
2007-05-22,20.39,20.62,20.62,20.35,1490500.0
2007-05-23,20.35,20.38,20.5,20.04,1014650.0
2007-05-24,20.02,20.01,20.33,20.0,1404600.0
2007-05-25,20.0,20.02,20.15,19.95,624200.0
2007-05-29,20.0,19.55,20.05,19.55,639000.0
2007-05-30,19.97,19.82,20.04,19.75,1164904.0
2007-05-31,20.24,19.99,20.25,19.9,953500.0
2007-06-01,19.93,20.31,20.42,19.75,886100.0
2007-06-04,19.85,19.68,20.0,19.66,967300.0
2007-06-05,19.93,19.75,20.08,19.65,847100.0
2007-06-06,19.45,19.78,19.81,19.28,1072800.0
2007-06-07,18.97,19.28,19.46,18.91,1127400.0
2007-06-08,19.14,18.99,19.18,18.91,627600.0
2007-06-11,19.27,19.06,19.31,19.0,2175300.0
2007-06-12,19.33,19.16,19.49,19.15,994400.0
2007-06-13,19.35,19.46,19.59,19.28,831900.0
2007-06-14,19.28,19.3,19.42,19.16,629800.0
2007-06-15,19.49,19.38,19.59,19.35,732300.0
2007-06-18,19.43,19.57,19.57,19.28,811300.0
2007-06-19,19.09,19.27,19.54,19.08,1422525.0
2007-06-20,19.11,19.02,19.14,18.99,1922200.0
2007-06-21,19.44,19.02,19.47,19.0,1592755.0
2007-06-22,19.9,19.43,20.0,19.43,1826000.0
2007-06-25,20.12,19.81,20.12,19.72,2052100.0
2007-06-26,19.9,20.25,20.25,19.76,1435300.0
2007-06-27,19.8,19.81,20.0,19.59,1720900.0
2007-06-28,19.41,19.81,19.83,19.22,1430600.0
2007-06-29,19.12,19.38,19.6,19.1,1323055.0
2007-07-02,19.34,19.23,19.38,19.09,848595.0
2007-07-03,19.72,19.31,19.85,19.25,322700.0
2007-07-05,19.6,19.81,19.84,19.51,669000.0
2007-07-06,19.76,19.53,19.92,19.53,492000.0
2007-07-09,20.34,19.76,20.46,19.46,1492100.0
2007-07-10,19.8,20.19,20.31,19.76,925900.0
2007-07-11,19.58,19.71,19.75,19.45,606100.0
2007-07-12,20.02,19.7,20.04,19.7,1520600.0
2007-07-13,19.89,20.07,20.29,19.8,475600.0
2007-07-16,20.19,19.83,20.24,19.8,566900.0
2007-07-17,20.14,20.1,20.5,20.02,873900.0
2007-07-18,20.04,20.02,20.21,19.85,1002633.0
2007-07-19,20.27,19.7,20.45,19.7,828100.0
2007-07-20,20.05,19.4,20.28,19.4,525000.0
2007-07-23,20.01,20.11,20.24,20.0,318300.0
2007-07-24,19.31,19.8,19.81,19.23,1680000.0
2007-07-25,19.14,19.49,19.5,18.83,1083600.0
2007-07-26,18.61,18.0,18.93,18.0,2262777.0
2007-07-27,17.97,18.57,18.67,17.97,921703.0
2007-07-30,17.87,18.0,18.11,17.79,1338496.0
2007-07-31,17.59,17.88,18.07,17.51,1855100.0
2007-08-01,17.06,16.73,18.12,16.16,2217500.0
2007-08-02,17.18,17.0,17.33,17.0,2219700.0
2007-08-03,17.05,17.25,17.3,16.73,1868000.0
2007-08-06,17.57,17.12,17.69,17.12,2274600.0
2007-08-07,17.55,17.43,17.75,17.4,1512092.0
2007-08-08,18.18,16.68,18.34,16.68,1097000.0
2007-08-09,17.99,16.43,18.96,15.82,1585400.0
2007-08-10,18.33,16.28,18.47,16.21,1597400.0
2007-08-13,17.79,18.3,18.71,17.69,945000.0
2007-08-14,18.11,17.75,18.38,17.5,714500.0
2007-08-15,17.61,18.11,18.11,17.49,979500.0
2007-08-16,17.45,17.25,17.81,16.7,2624500.0
2007-08-17,17.5,17.82,17.82,16.98,504900.0
2007-08-20,17.33,17.5,17.57,17.06,527500.0
2007-08-21,17.84,17.34,18.0,16.9,700600.0
2007-08-22,16.92,17.85,18.05,16.86,2301800.0
2007-08-23,16.29,16.2,16.4,15.27,2232600.0
2007-08-24,17.9,16.17,17.98,16.15,1597000.0
2007-08-27,17.78,17.77,17.9,17.63,608560.0
2007-08-28,17.6,17.6,17.81,17.54,851100.0
2007-08-29,17.87,17.72,17.87,17.61,815900.0
2007-08-30,18.13,17.82,18.24,17.77,819800.0
2007-08-31,18.17,18.25,18.4,18.11,615700.0
2007-09-04,18.51,18.05,18.54,17.96,1005800.0
2007-09-05,17.41,18.35,18.35,17.26,1004400.0
2007-09-06,17.13,17.43,17.43,16.92,598700.0
2007-09-07,16.71,16.89,16.89,16.52,762900.0
2007-09-10,17.46,16.73,17.52,16.73,816800.0
2007-09-11,17.23,17.47,17.6,17.15,1191000.0
2007-09-12,17.89,17.14,18.03,17.04,489000.0
2007-09-13,18.64,17.93,18.84,17.71,604400.0
2007-09-14,18.65,18.41,18.97,18.25,616600.0
2007-09-17,18.08,18.41,18.47,17.83,653300.0
2007-09-18,18.84,18.17,18.87,17.93,786400.0
2007-09-19,18.95,18.9,19.13,18.72,495600.0
2007-09-20,19.15,18.89,19.26,18.74,434200.0
2007-09-21,19.12,19.33,19.44,19.02,861200.0
2007-09-24,18.36,19.07,19.07,18.08,656800.0
2007-09-25,18.54,18.2,18.63,18.12,848200.0
2007-09-26,18.88,18.6,19.25,18.5,400900.0
2007-09-27,19.0,18.85,19.12,18.8,834300.0
2007-09-28,18.95,18.88,19.05,18.67,580500.0
2007-10-01,19.0,18.88,19.29,18.7,543100.0
2007-10-02,18.92,19.08,19.1,18.83,440900.0
2007-10-03,19.32,18.75,19.34,18.75,339300.0
2007-10-04,19.67,19.43,19.72,19.34,294200.0
2007-10-05,19.47,19.67,19.85,19.28,468700.0
2007-10-08,19.43,19.51,19.85,19.29,271700.0
2007-10-09,19.56,19.44,19.62,19.2,341900.0
2007-10-10,19.57,19.37,19.6,19.33,435900.0
2007-10-11,19.49,19.54,19.91,19.18,665500.0
2007-10-12,19.58,19.48,19.74,19.47,322300.0
2007-10-15,19.79,19.62,19.94,19.53,366800.0
2007-10-16,19.28,19.62,19.75,19.28,220500.0
2007-10-17,19.35,19.35,19.69,19.2,259700.0
2007-10-18,19.78,19.2,19.92,19.2,445000.0
2007-10-19,19.61,19.79,19.8,19.55,342400.0
2007-10-22,19.74,19.4,19.8,19.31,485000.0
2007-10-23,19.47,19.74,19.74,19.33,443100.0
2007-10-24,19.46,19.39,19.7,18.75,450800.0
2007-10-25,19.21,19.53,19.6,19.01,373400.0
2007-10-26,19.46,19.37,19.52,18.96,323500.0
2007-10-29,19.57,19.5,19.69,19.39,315900.0
2007-10-30,19.76,19.48,20.03,19.4,537400.0
2007-10-31,20.0,19.73,20.0,19.48,272000.0
2007-11-01,19.5,19.85,20.14,19.47,607900.0
2007-11-02,18.92,19.51,19.62,18.78,639400.0
2007-11-05,18.46,18.57,18.93,18.36,703300.0
2007-11-06,18.23,18.45,18.57,18.1,799000.0
2007-11-07,20.68,18.64,21.06,18.64,6138151.0
2007-11-08,22.0,20.78,22.7,20.54,2291032.0
2007-11-09,22.15,21.6,22.29,21.46,972480.0
2007-11-12,21.1,22.09,22.29,20.63,1641250.0
2007-11-13,21.65,21.2,21.77,21.14,825922.0
2007-11-14,21.42,21.72,21.72,21.21,471001.0
2007-11-15,22.18,21.44,22.2,21.19,942050.0
2007-11-16,21.91,22.21,22.27,21.68,1607222.0
2007-11-19,21.96,21.71,22.33,21.21,1469893.0
2007-11-20,22.18,21.91,22.22,21.78,870776.0
2007-11-21,21.44,21.99,22.14,21.4,422151.0
2007-11-23,21.14,21.53,21.88,21.12,282108.0
2007-11-26,20.84,21.0,21.44,20.84,972300.0
2007-11-27,21.2,20.89,21.61,20.77,1097575.0
2007-11-28,22.07,21.32,22.16,21.12,885601.0
2007-11-29,22.42,21.93,22.51,21.92,1434525.0
2007-11-30,22.77,22.6,23.0,22.26,1791225.0
2007-12-03,22.38,22.48,22.87,22.37,1222200.0
2007-12-04,22.93,22.14,22.95,22.05,1412804.0
2007-12-05,23.02,22.68,23.07,22.68,1392201.0
2007-12-06,23.48,22.94,23.5,22.68,911447.0
2007-12-07,23.7,23.58,23.8,23.36,1843227.0
2007-12-10,23.94,23.72,24.21,23.54,1161817.0
2007-12-11,23.24,23.95,24.2,23.24,704663.0
2007-12-12,23.96,23.62,24.07,23.54,954700.0
2007-12-13,23.95,23.79,23.95,23.68,618883.0
2007-12-14,23.72,23.75,24.0,23.72,800972.0
2007-12-17,22.93,23.56,24.14,22.93,718437.0
2007-12-18,22.93,23.1,23.3,22.28,692825.0
2007-12-19,22.57,22.79,23.2,22.52,466910.0
2007-12-20,22.71,22.67,22.77,22.37,605484.0
2007-12-21,22.89,23.0,23.0,22.64,1123125.0
2007-12-24,22.89,22.66,22.97,22.66,277150.0
2007-12-26,22.91,22.59,23.16,22.59,353919.0
2007-12-27,22.68,22.89,23.01,22.68,372500.0
2007-12-28,22.47,22.69,22.9,22.05,306544.0
2007-12-31,22.43,22.4,22.67,21.97,427013.0
2008-01-02,22.25,22.31,22.68,21.96,894500.0
2008-01-03,22.64,22.38,22.71,22.05,485300.0
2008-01-04,22.74,22.39,22.96,22.29,654140.0
2008-01-07,22.82,22.88,23.4,22.13,843880.0
2008-01-08,23.1,22.86,23.49,22.59,1343700.0
2008-01-09,23.05,23.35,23.36,22.74,1611298.0
2008-01-10,23.34,22.87,23.62,22.82,891500.0
2008-01-11,23.52,23.19,24.0,23.07,837700.0
2008-01-14,23.31,23.63,23.63,23.09,604592.0
2008-01-15,22.87,23.02,23.07,22.4,819300.0
2008-01-16,22.66,22.69,23.15,22.52,876610.0
2008-01-17,22.26,22.8,23.06,22.26,752766.0
2008-01-18,22.35,22.3,22.52,21.9,1284000.0
2008-01-22,21.78,21.56,22.09,20.59,1480755.0
2008-01-23,21.58,21.29,21.75,20.69,1065900.0
2008-01-24,22.39,21.55,22.64,21.46,1084900.0
2008-01-25,22.43,22.66,22.88,22.38,639740.0
2008-01-28,21.97,22.31,22.33,21.7,1002343.0
2008-01-29,21.8,22.12,22.2,21.27,1458100.0
2008-01-30,21.13,21.59,21.81,21.13,872448.0
2008-01-31,21.66,20.9,21.99,20.61,947425.0
2008-02-01,22.52,22.21,22.55,21.81,708346.0
2008-02-04,21.87,22.33,22.4,21.83,648795.0
2008-02-05,21.96,21.72,22.08,21.61,766455.0
2008-02-06,23.0,22.05,23.0,21.59,1304178.0
2008-02-07,21.51,22.83,22.83,21.02,1419200.0
2008-02-08,21.63,21.5,22.04,21.4,673488.0
2008-02-11,21.55,21.66,22.13,21.48,504350.0
2008-02-12,21.22,21.62,21.62,21.16,566962.0
2008-02-13,21.2,21.34,21.46,21.06,936590.0
2008-02-14,20.18,21.19,21.19,19.87,1565152.0
2008-02-15,20.05,20.07,20.2,19.88,620289.0
2008-02-19,19.29,20.17,20.2,19.25,1304646.0
2008-02-20,19.46,19.1,19.73,19.1,1359548.0
2008-02-21,19.02,19.54,19.62,19.0,813599.0
2008-02-22,19.6,19.1,19.6,18.75,892815.0
2008-02-25,18.97,19.52,19.52,18.64,982671.0
2008-02-26,20.5,18.87,20.57,18.87,1850436.0
2008-02-27,19.79,20.3,20.45,19.73,786235.0
2008-02-28,19.93,19.66,20.14,19.5,585115.0
2008-02-29,19.15,19.75,19.83,19.07,825700.0
2008-03-03,19.86,19.08,19.96,19.01,924248.0
2008-03-04,19.54,19.61,19.79,19.2,993423.0
2008-03-05,19.69,19.56,19.99,19.38,490036.0
2008-03-06,18.62,19.66,19.76,18.59,697069.0
2008-03-07,19.03,18.48,19.26,18.4,518200.0
2008-03-10,18.45,19.02,19.02,18.09,641600.0
2008-03-11,18.65,18.85,18.92,18.41,619220.0
2008-03-12,18.75,18.72,19.21,18.47,400974.0
2008-03-13,18.5,18.48,18.93,18.32,601700.0
2008-03-14,17.95,18.62,18.62,17.7,853780.0
2008-03-17,17.08,17.6,17.98,16.58,880386.0
2008-03-18,17.55,17.15,17.64,16.68,1311500.0
2008-03-19,17.45,17.46,17.99,17.31,838485.0
2008-03-20,18.22,17.44,18.22,17.35,934065.0
2008-03-24,17.93,18.22,18.25,17.76,943237.0
2008-03-25,18.05,17.9,18.31,17.65,689400.0
2008-03-26,18.04,17.95,18.16,17.91,501684.0
2008-03-27,17.92,18.0,18.19,17.87,687125.0
2008-03-28,17.72,17.91,18.1,17.48,441300.0
2008-03-31,17.6,17.63,17.82,17.43,781805.0
2008-04-01,18.5,17.6,18.5,17.45,737600.0
2008-04-02,18.58,18.55,18.98,18.2,576550.0
2008-04-03,18.62,18.52,18.78,18.21,345100.0
2008-04-04,18.44,18.65,18.81,18.16,409350.0
2008-04-07,18.32,18.52,18.66,18.29,345600.0
2008-04-08,16.9,17.93,18.42,15.25,5261236.0
2008-04-09,17.17,16.89,17.31,16.66,1143325.0
2008-04-10,17.18,17.13,17.25,17.1,1087516.0
2008-04-11,16.76,17.04,17.11,16.64,875446.0
2008-04-14,17.0,16.79,17.09,16.79,675740.0
2008-04-15,17.59,17.06,17.74,16.97,814751.0
2008-04-16,18.0,17.69,18.3,17.69,802467.0
2008-04-17,17.95,17.86,18.0,17.72,414083.0
2008-04-18,17.94,18.19,18.43,17.78,862335.0
2008-04-21,17.97,17.77,17.99,17.65,598908.0
2008-04-22,17.44,17.9,17.97,17.35,832954.0
2008-04-23,17.69,17.45,17.77,17.32,495453.0
2008-04-24,17.62,17.74,17.74,17.51,535252.0
2008-04-25,18.12,17.63,18.12,17.35,507992.0
2008-04-28,18.48,18.03,18.79,18.03,447259.0
2008-04-29,18.96,18.49,19.0,18.39,482824.0
2008-04-30,18.62,18.93,19.0,18.45,635516.0
2008-05-01,18.9,18.63,19.05,18.54,558124.0
2008-05-02,19.0,19.0,19.1,18.85,266951.0
2008-05-05,18.45,19.09,19.22,18.44,518962.0
2008-05-06,18.47,18.23,18.58,18.19,479336.0
2008-05-07,18.57,18.48,18.59,18.23,853495.0
2008-05-08,19.82,18.68,19.9,18.66,1294225.0
2008-05-09,19.6,19.63,19.9,19.51,518427.0
2008-05-12,19.86,19.59,19.93,19.36,481246.0
2008-05-13,20.97,19.84,21.08,19.74,1222619.0
2008-05-14,21.46,20.83,21.5,20.83,1082977.0
2008-05-15,21.31,21.3,21.5,21.02,705589.0
2008-05-16,21.68,21.47,21.84,21.36,568835.0
2008-05-19,21.95,21.65,22.19,21.52,740920.0
2008-05-20,21.98,21.94,22.28,21.8,730987.0
2008-05-21,22.29,22.05,22.33,21.92,852555.0
2008-05-22,22.59,22.26,22.68,22.2,819887.0
2008-05-23,22.27,22.56,22.58,22.17,534295.0
2008-05-27,21.91,22.28,22.62,21.81,970226.0
2008-05-28,22.63,22.02,22.79,21.85,899886.0
2008-05-29,22.42,22.54,22.86,22.28,907300.0
2008-05-30,22.54,22.41,22.6,21.96,1943266.0
2008-06-02,22.36,22.45,22.6,21.89,567798.0
2008-06-03,22.59,22.46,22.89,22.35,921253.0
2008-06-04,22.35,22.4,22.59,22.14,705997.0
2008-06-05,22.9,22.5,22.95,22.41,640258.0
2008-06-06,22.36,22.82,22.88,22.23,745417.0
2008-06-09,22.63,22.27,22.75,22.27,559775.0
2008-06-10,22.28,22.39,22.53,22.03,795984.0
2008-06-11,22.26,22.3,22.89,22.21,693949.0
