Date,Close,Open,High,Low,Volume
1996-05-09,23.2,22.2,24.4,22.2,85750.0
1996-05-10,24.0,24.0,24.2,23.6,21230.0
1996-05-13,23.9,24.0,24.1,23.3,14040.0
1996-05-14,23.6,24.0,24.1,23.1,6230.0
1996-05-15,23.2,23.6,23.7,23.0,10850.0
1996-05-16,22.6,23.1,23.1,22.3,7160.0
1996-05-17,22.8,22.6,23.0,22.6,6530.0
1996-05-20,22.5,22.9,23.0,22.4,4750.0
1996-05-21,22.6,22.7,22.8,22.3,4660.0
1996-05-22,22.0,22.7,22.7,21.8,5000.0
1996-05-23,22.1,22.0,22.2,21.7,4060.0
1996-05-24,21.6,22.1,22.1,21.4,3090.0
1996-05-28,21.2,21.9,22.1,21.2,4100.0
1996-05-29,20.8,21.0,21.3,20.7,2120.0
1996-05-30,20.5,20.7,20.8,20.0,6400.0
1996-05-31,20.4,20.2,20.4,19.8,4560.0
1996-06-03,20.1,20.4,20.5,20.0,1560.0
1996-06-04,21.4,20.1,21.4,20.1,2270.0
1996-06-05,21.86,21.4,22.0,21.3,3320.0
1996-06-06,21.7,21.86,22.0,21.7,1840.0
1996-06-07,21.6,21.5,21.8,21.2,1650.0
1996-06-10,21.2,21.7,21.9,21.1,1580.0
1996-06-11,21.4,21.2,21.7,21.2,1310.0
1996-06-12,22.0,21.6,22.0,21.4,2190.0
1996-06-13,22.06,22.0,22.2,21.9,1280.0
1996-06-14,22.0,22.2,22.2,21.7,840.0
1996-06-17,21.82,22.0,22.06,21.7,830.0
1996-06-18,21.66,21.86,21.86,21.5,920.0
1996-06-19,21.3,21.6,21.7,21.24,770.0
1996-06-20,20.7,21.4,21.46,20.5,1060.0
1996-06-21,20.7,20.5,20.7,20.48,1400.0
1996-06-24,20.6,20.66,20.8,20.5,1540.0
1996-06-25,20.4,20.6,20.7,20.1,2380.0
1996-06-26,20.4,20.52,20.6,20.3,1220.0
1996-06-27,20.2,20.3,20.36,20.06,1670.0
1996-06-28,20.66,20.1,20.66,20.1,2140.0
1996-07-01,21.5,20.66,21.5,20.6,2650.0
1996-07-02,21.7,21.66,21.8,21.46,1580.0
1996-07-03,21.3,21.76,21.76,21.1,840.0
1996-07-05,20.7,21.0,21.1,20.6,1590.0
1996-07-08,20.96,20.8,21.5,20.6,1560.0
1996-07-09,21.2,21.0,21.4,20.66,3390.0
1996-07-10,20.98,21.3,21.36,20.7,1390.0
1996-07-11,20.8,21.06,21.06,20.6,2380.0
1996-07-12,20.84,20.6,21.06,20.6,1820.0
1996-07-15,20.66,20.8,20.9,20.44,2080.0
1996-07-16,20.7,20.5,21.1,20.1,2870.0
1996-07-17,21.1,20.86,21.3,20.64,2590.0
1996-07-18,21.2,21.0,21.3,21.0,960.0
1996-07-19,21.1,21.2,21.36,21.0,1150.0
1996-07-22,20.84,21.0,21.1,20.84,1090.0
1996-07-23,20.4,20.84,21.2,20.4,1120.0
1996-07-24,20.5,20.1,20.5,20.1,1410.0
1996-07-25,20.5,20.6,20.72,20.4,1410.0
1996-07-26,20.4,20.4,20.6,20.4,620.0
1996-07-29,20.5,20.4,20.66,20.4,650.0
1996-07-30,20.54,20.4,20.9,20.4,1130.0
1996-07-31,20.52,20.54,20.54,20.4,460.0
1996-08-01,20.54,20.5,20.66,20.44,500.0
1996-08-02,20.96,20.68,20.96,20.66,1330.0
1996-08-05,20.8,20.96,21.12,20.8,1230.0
1996-08-06,20.8,20.8,20.86,20.5,860.0
1996-08-07,20.84,20.86,20.88,20.66,1150.0
1996-08-08,20.88,20.84,20.88,20.7,990.0
1996-08-09,20.8,20.72,20.86,20.7,860.0
1996-08-12,20.86,20.8,20.86,20.7,520.0
1996-08-13,20.72,20.76,20.8,20.64,990.0
1996-08-14,21.6,20.68,21.6,20.68,1690.0
1996-08-15,22.2,21.7,22.2,21.6,2990.0
1996-08-16,21.86,22.2,22.34,21.76,1750.0
1996-08-19,21.68,22.0,22.0,21.6,970.0
1996-08-20,21.4,21.6,21.8,21.36,1090.0
1996-08-21,21.2,21.42,21.42,21.2,580.0
1996-08-22,21.3,21.3,21.48,21.3,860.0
1996-08-23,21.34,21.34,21.34,21.24,560.0
1996-08-26,21.14,21.34,21.34,21.08,500.0
1996-08-27,21.2,21.26,21.34,21.12,590.0
1996-08-28,20.98,21.2,21.2,20.9,790.0
1996-08-29,20.7,21.02,21.02,20.7,1240.0
1996-08-30,20.82,20.76,20.88,20.68,650.0
1996-09-03,20.96,20.9,20.98,20.72,340.0
1996-09-04,21.0,20.96,21.08,20.88,450.0
1996-09-05,20.9,21.06,21.06,20.78,870.0
1996-09-06,21.04,20.9,21.12,20.86,640.0
1996-09-09,21.36,21.1,21.48,21.0,1410.0
1996-09-10,21.2,21.46,21.46,21.1,1070.0
1996-09-11,21.32,21.24,21.38,21.08,760.0
1996-09-12,21.44,21.38,21.44,21.3,810.0
1996-09-13,21.46,21.44,21.64,21.36,1060.0
1996-09-16,21.84,21.5,21.84,21.46,1440.0
1996-09-17,21.66,21.92,21.92,21.4,2900.0
1996-09-18,21.56,21.76,21.8,21.56,2120.0
1996-09-19,21.66,21.46,21.8,21.44,1250.0
1996-09-20,21.74,21.76,21.8,21.66,810.0
1996-09-23,21.52,21.66,21.66,21.44,590.0
1996-09-24,21.56,21.46,21.64,21.28,1310.0
1996-09-25,21.48,21.48,21.6,21.4,970.0
1996-09-26,21.48,21.58,21.62,21.4,870.0
1996-09-27,21.36,21.48,21.48,21.24,1110.0
1996-09-30,21.46,21.28,21.6,21.28,1090.0
1996-10-01,21.24,21.46,21.46,21.16,1350.0
1996-10-02,21.42,21.2,21.44,21.2,1510.0
1996-10-03,21.4,21.46,21.46,21.34,750.0
1996-10-04,21.4,21.36,21.46,21.32,1390.0
1996-10-07,21.3,21.44,21.44,21.3,1890.0
1996-10-08,21.16,21.24,21.34,21.16,1030.0
1996-10-09,21.28,21.16,21.28,21.1,2590.0
1996-10-10,21.22,21.32,21.32,21.16,710.0
1996-10-11,21.16,21.2,21.4,21.16,1190.0
1996-10-14,21.3,21.2,21.4,21.16,1410.0
1996-10-15,21.2,21.2,21.28,21.12,1440.0
1996-10-16,21.46,21.22,21.46,21.2,1860.0
1996-10-17,21.64,21.48,21.72,21.36,1780.0
1996-10-18,21.68,21.74,21.8,21.6,1230.0
1996-10-21,21.52,21.68,21.68,21.44,500.0
1996-10-22,21.76,21.5,21.76,21.5,1570.0
1996-10-23,21.58,21.64,21.64,21.44,400.0
1996-10-24,21.78,21.6,21.78,21.6,510.0
1996-10-25,21.72,21.78,21.88,21.72,780.0
1996-10-28,21.56,21.74,21.8,21.56,990.0
1996-10-29,21.62,21.46,21.68,21.46,810.0
1996-10-30,21.48,21.64,21.7,21.48,660.0
1996-10-31,21.58,21.56,21.64,21.48,470.0
1996-11-01,21.62,21.66,21.8,21.62,1700.0
1996-11-04,21.72,21.52,21.72,21.48,740.0
1996-11-05,21.94,21.7,21.98,21.7,1480.0
1996-11-06,21.92,21.98,22.0,21.84,1220.0
1996-11-07,21.86,21.94,21.94,21.72,1380.0
1996-11-08,21.88,21.8,21.92,21.6,1870.0
1996-11-11,21.92,21.8,21.96,21.8,1380.0
1996-11-12,22.22,22.0,22.34,21.97,2150.0
1996-11-13,22.18,22.3,22.58,22.12,3300.0
1996-11-14,22.24,22.14,22.28,21.98,1180.0
1996-11-15,22.08,22.2,22.28,22.08,1520.0
1996-11-18,22.16,22.14,22.16,21.9,1870.0
1996-11-19,22.24,22.16,22.28,22.08,890.0
1996-11-20,22.12,22.1,22.2,21.94,1520.0
1996-11-21,22.1,22.12,22.22,22.02,1720.0
1996-11-22,22.16,22.06,22.18,22.04,1120.0
1996-11-25,22.02,22.06,22.18,22.0,1540.0
1996-11-26,22.0,21.96,22.04,21.86,1500.0
1996-11-27,22.0,22.0,22.02,21.92,880.0
1996-11-29,22.06,22.0,22.06,21.94,1630.0
1996-12-02,22.16,21.94,22.16,21.94,4590.0
1996-12-03,22.06,22.1,22.16,22.0,1220.0
1996-12-04,21.86,21.94,21.94,21.7,2760.0
1996-12-05,21.8,21.86,21.86,21.64,3860.0
1996-12-06,21.72,21.7,22.0,21.56,3760.0
1996-12-09,22.02,22.0,22.14,21.94,1750.0
1996-12-10,22.1,21.94,22.26,21.92,4140.0
1996-12-11,22.06,22.04,22.28,22.0,1810.0
1996-12-12,21.88,22.02,22.14,21.86,2820.0
1996-12-13,21.94,21.8,22.04,21.8,2210.0
1996-12-16,21.9,21.88,22.08,21.88,2950.0
1996-12-17,21.8,21.8,21.92,21.66,2070.0
1996-12-18,21.82,21.8,22.0,21.8,3130.0
1996-12-19,22.08,21.9,22.16,21.86,5200.0
1996-12-20,22.06,22.2,22.2,22.06,3790.0
1996-12-23,21.98,22.06,22.14,21.98,1920.0
1996-12-24,22.24,22.0,22.24,22.0,3590.0
1996-12-26,22.64,22.3,23.5,22.3,6640.0
1996-12-27,22.6,22.6,22.76,22.54,3040.0
1996-12-30,22.42,22.56,22.56,22.36,1650.0
1996-12-31,22.24,22.36,22.36,22.1,5070.0
1997-01-02,21.94,22.2,22.2,21.9,7670.0
1997-01-03,22.12,22.0,22.18,22.0,1840.0
1997-01-06,22.18,22.12,22.28,22.12,2080.0
1997-01-07,22.08,22.14,22.18,22.0,2020.0
1997-01-08,21.92,22.12,22.26,21.76,12080.0
1997-01-09,22.12,21.86,22.12,21.86,4230.0
1997-01-10,22.12,22.04,22.2,22.0,3010.0
1997-01-13,22.14,22.04,22.2,22.04,4530.0
1997-01-14,22.52,22.14,22.54,22.14,6410.0
1997-01-15,22.54,22.48,22.58,22.34,3470.0
1997-01-16,22.78,22.6,22.78,22.56,3610.0
1997-01-17,23.0,22.72,23.0,22.72,2060.0
1997-01-20,23.18,22.96,23.18,22.92,4570.0
1997-01-21,23.18,23.14,23.26,23.08,3150.0
1997-01-22,23.26,23.16,23.28,23.14,2190.0
1997-01-23,23.14,23.2,23.26,23.1,2130.0
1997-01-24,22.86,23.12,23.12,22.76,3690.0
1997-01-27,22.72,22.78,22.9,22.6,3200.0
1997-01-28,22.78,22.7,22.88,22.7,3110.0
1997-01-29,23.24,22.76,23.24,22.74,1930.0
1997-01-30,23.18,23.24,23.3,23.14,1640.0
1997-01-31,23.1,23.1,23.2,23.04,2280.0
1997-02-03,23.24,23.2,23.24,23.06,1820.0
1997-02-04,23.34,23.32,23.44,23.26,8520.0
1997-02-05,23.68,23.46,23.94,23.46,4020.0
1997-02-06,23.58,23.62,23.64,23.46,1460.0
1997-02-07,23.94,23.64,23.94,23.64,2230.0
1997-02-10,24.0,23.96,24.02,23.94,1400.0
1997-02-11,23.98,24.02,24.02,23.9,1550.0
1997-02-12,24.28,23.98,24.28,23.98,3380.0
1997-02-13,24.76,24.4,25.0,24.4,10080.0
1997-02-14,24.36,24.78,24.78,24.3,2290.0
1997-02-18,23.96,24.06,24.1,23.88,2530.0
1997-02-19,24.12,24.02,24.14,23.86,3420.0
1997-02-20,24.04,24.32,24.32,23.9,2750.0
1997-02-21,24.12,24.0,24.24,23.94,940.0
1997-02-24,24.06,24.06,24.12,24.0,1050.0
1997-02-25,24.18,24.12,24.18,24.06,700.0
1997-02-26,24.04,24.2,24.24,24.04,820.0
1997-02-27,23.9,24.08,24.08,23.9,1420.0
1997-02-28,23.76,23.72,23.76,23.56,1940.0
1997-03-03,24.08,23.78,24.08,23.74,2300.0
1997-03-04,24.02,24.02,24.12,23.88,2030.0
1997-03-05,24.2,23.96,24.2,23.96,760.0
1997-03-06,24.28,24.32,24.96,24.26,2650.0
1997-03-07,24.86,24.66,24.94,24.56,3000.0
1997-03-10,24.74,24.92,24.92,24.46,1540.0
1997-03-11,24.86,24.72,24.86,24.7,1140.0
1997-03-12,24.94,24.88,25.04,24.82,3910.0
1997-03-13,24.54,24.92,24.92,24.46,2350.0
1997-03-14,24.66,24.52,24.82,24.52,1340.0
