Date,Close,Open,High,Low,Volume
8/13/1993,2.75,2.79,2.8,2.75,1849600.0
8/16/1993,2.72,2.76,2.76,2.67,427800.0
8/17/1993,2.68,2.69,2.72,2.68,91600.0
8/18/1993,2.72,2.68,2.75,2.68,135600.0
8/19/1993,2.78,2.71,2.78,2.69,104100.0
8/20/1993,2.8,2.78,2.82,2.76,58000.0
8/23/1993,2.76,2.79,2.79,2.76,18300.0
8/24/1993,2.75,2.78,2.78,2.75,44300.0
8/25/1993,2.78,2.75,2.78,2.75,26800.0
8/26/1993,2.78,2.78,2.8,2.78,35900.0
8/27/1993,2.8,2.78,2.83,2.78,41300.0
8/30/1993,2.8,2.82,2.83,2.79,15100.0
8/31/1993,2.82,2.82,2.82,2.79,29200.0
9/1/1993,2.8,2.79,2.8,2.79,24600.0
9/2/1993,2.75,2.8,2.8,2.75,16500.0
9/3/1993,2.69,2.75,2.78,2.69,6400.0
9/7/1993,2.72,2.72,2.78,2.72,123100.0
9/8/1993,2.64,2.75,2.75,2.6,26100.0
9/9/1993,2.63,2.61,2.64,2.61,34700.0
9/10/1993,2.53,2.64,2.64,2.52,19000.0
9/13/1993,2.53,2.53,2.58,2.53,40100.0
9/14/1993,2.39,2.56,2.56,2.39,151500.0
9/15/1993,2.53,2.34,2.53,2.25,225400.0
9/16/1993,2.52,2.53,2.53,2.45,31000.0
9/17/1993,2.6,2.49,2.61,2.49,98100.0
9/20/1993,2.56,2.64,2.67,2.56,60600.0
9/21/1993,2.49,2.53,2.53,2.45,30000.0
9/22/1993,2.46,2.49,2.49,2.43,19000.0
9/23/1993,2.41,2.45,2.45,2.39,118300.0
9/24/1993,2.47,2.41,2.49,2.41,60100.0
9/27/1993,2.54,2.47,2.56,2.47,10800.0
9/28/1993,2.54,2.54,2.56,2.54,12300.0
9/29/1993,2.75,2.75,2.75,2.71,98600.0
9/30/1993,2.9,2.75,2.91,2.75,158500.0
10/1/1993,2.86,2.9,2.9,2.8,68600.0
10/4/1993,2.82,2.83,2.86,2.82,48400.0
10/5/1993,2.67,2.76,2.76,2.67,60300.0
10/6/1993,2.69,2.67,2.69,2.67,5300.0
10/7/1993,2.71,2.68,2.71,2.68,1000.0
10/8/1993,2.75,2.71,2.75,2.71,113200.0
10/11/1993,2.89,2.74,2.89,2.74,89200.0
10/12/1993,2.89,2.87,2.9,2.86,22100.0
10/13/1993,2.86,2.9,2.9,2.86,43300.0
10/14/1993,2.9,2.89,2.93,2.89,47900.0
10/15/1993,2.9,2.91,2.93,2.9,18000.0
10/18/1993,2.9,2.9,2.94,2.9,20000.0
10/19/1993,2.9,2.91,2.91,2.89,49600.0
10/20/1993,2.91,2.9,2.91,2.9,38000.0
10/21/1993,2.91,2.91,2.93,2.91,11300.0
10/22/1993,2.91,2.91,2.93,2.91,10000.0
10/25/1993,2.91,2.91,2.93,2.91,10900.0
10/26/1993,2.86,2.93,2.93,2.86,62800.0
10/27/1993,2.82,2.86,2.86,2.82,5000.0
10/28/1993,2.86,2.82,2.86,2.82,11300.0
10/29/1993,2.93,2.86,2.94,2.85,51100.0
11/1/1993,2.91,2.91,2.91,2.9,8000.0
11/2/1993,2.91,2.91,2.91,2.87,35900.0
11/3/1993,2.9,2.9,2.9,2.87,5100.0
11/4/1993,2.86,2.87,2.89,2.86,6700.0
11/5/1993,2.8,2.85,2.85,2.8,14300.0
11/8/1993,2.83,2.83,2.83,2.8,18800.0
11/9/1993,2.82,2.8,2.85,2.8,9700.0
11/10/1993,2.79,2.8,2.8,2.76,11900.0
11/11/1993,2.78,2.76,2.79,2.76,8600.0
11/12/1993,2.76,2.78,2.82,2.76,33900.0
11/15/1993,2.76,2.76,2.76,2.76,1400.0
11/16/1993,2.78,2.75,2.79,2.75,15900.0
11/17/1993,2.63,2.75,2.75,2.63,37400.0
11/18/1993,2.61,2.61,2.63,2.61,2500.0
11/19/1993,2.57,2.61,2.61,2.57,3400.0
11/22/1993,2.57,2.56,2.57,2.56,1400.0
