Date,Close,Open,High,Low,Volume
6/18/1997,25.06,24.47,25.17,24.47,7918300.0
6/19/1997,24.94,25.17,25.29,24.82,1472400.0
6/20/1997,24.71,25.06,25.06,24.59,1030200.0
6/23/1997,24.47,24.71,24.71,24.47,628900.0
6/24/1997,24.41,24.53,24.59,24.41,541800.0
6/25/1997,24.76,24.59,24.88,24.59,570500.0
6/26/1997,25.29,25.06,25.29,24.88,488700.0
6/27/1997,25.17,25.29,25.41,25.06,586400.0
6/30/1997,25.53,25.12,25.76,24.59,629800.0
7/1/1997,24.94,25.41,25.41,24.94,269700.0
7/2/1997,24.71,24.71,24.94,24.71,350800.0
7/3/1997,24.94,24.76,25.06,24.76,173000.0
7/7/1997,25.06,25.17,25.23,24.82,449500.0
7/8/1997,25.0,25.0,25.17,24.94,239400.0
7/9/1997,24.88,24.94,25.0,24.82,226000.0
7/10/1997,24.71,24.82,24.82,24.65,425100.0
7/11/1997,24.76,24.71,24.82,24.65,326300.0
7/14/1997,25.06,25.0,25.47,24.94,311000.0
7/15/1997,25.0,25.23,25.23,24.88,534400.0
7/16/1997,25.17,25.0,25.29,24.94,443700.0
7/17/1997,25.35,25.23,25.47,25.23,443800.0
7/18/1997,24.94,25.29,25.35,24.71,359600.0
7/21/1997,25.12,24.71,25.17,24.59,422700.0
7/22/1997,25.12,25.12,25.23,25.06,246500.0
7/23/1997,25.12,25.23,25.23,25.12,196900.0
7/24/1997,25.35,25.23,25.41,25.06,481800.0
7/25/1997,25.58,25.47,25.64,25.41,225800.0
7/28/1997,25.58,25.47,25.64,25.29,127600.0
7/29/1997,25.7,25.53,25.82,25.47,350200.0
7/30/1997,25.82,25.7,25.88,25.29,126600.0
7/31/1997,26.11,25.82,26.23,25.76,203500.0
8/1/1997,26.11,26.17,26.17,25.53,85200.0
8/4/1997,26.11,26.17,26.23,25.47,115600.0
8/5/1997,26.34,25.93,26.52,25.82,152900.0
8/6/1997,27.52,26.23,27.52,26.17,234900.0
8/7/1997,27.4,27.46,27.52,27.4,358900.0
8/8/1997,27.16,27.16,27.16,26.23,387300.0
8/11/1997,26.4,27.05,27.11,25.88,164700.0
8/12/1997,26.17,26.46,26.58,26.17,437100.0
8/13/1997,25.93,26.23,26.46,25.76,323000.0
8/14/1997,25.76,25.82,25.99,25.76,89800.0
8/15/1997,25.88,25.88,25.99,25.76,120200.0
8/18/1997,26.05,25.82,26.05,25.76,177000.0
8/19/1997,26.46,26.05,26.52,25.99,161300.0
8/20/1997,26.87,26.58,27.11,26.4,206500.0
8/21/1997,27.16,26.87,27.22,26.75,133000.0
8/22/1997,27.4,26.87,27.63,26.64,449700.0
8/25/1997,27.46,27.4,27.52,27.28,227300.0
8/26/1997,27.4,27.52,27.52,27.4,266800.0
8/27/1997,27.46,27.4,27.63,27.4,183200.0
8/28/1997,27.69,27.52,27.87,27.4,177900.0
8/29/1997,27.93,27.69,28.1,27.69,176600.0
9/2/1997,27.98,27.87,28.28,27.81,194000.0
9/3/1997,28.04,28.1,28.45,27.98,296000.0
9/4/1997,27.75,28.1,28.16,27.63,250400.0
9/5/1997,28.92,27.75,29.51,27.75,395800.0
9/8/1997,29.21,29.27,29.39,29.04,193200.0
9/9/1997,29.04,29.1,29.45,29.04,242300.0
9/10/1997,28.63,29.15,29.33,28.57,328500.0
9/11/1997,28.22,28.63,28.86,28.16,110400.0
9/12/1997,28.63,28.51,28.69,28.45,63400.0
9/15/1997,29.04,28.75,29.04,28.57,249600.0
9/16/1997,29.8,29.15,30.03,29.15,425200.0
9/17/1997,29.74,30.21,30.97,29.62,552400.0
9/18/1997,29.97,29.62,30.03,29.62,223600.0
9/19/1997,29.97,30.21,30.33,29.74,110500.0
9/22/1997,29.92,29.92,30.21,29.8,213500.0
9/23/1997,29.56,29.86,29.92,29.39,198400.0
9/24/1997,29.86,29.68,29.86,29.62,83300.0
9/25/1997,30.09,29.74,30.09,29.74,111400.0
9/26/1997,30.38,29.92,30.38,29.74,116800.0
9/29/1997,31.15,30.68,31.15,30.5,59300.0
9/30/1997,30.74,31.03,31.03,30.68,282700.0
10/1/1997,31.61,30.68,31.73,30.68,67900.0
10/2/1997,31.85,31.67,32.08,31.67,136000.0
10/3/1997,31.79,31.96,32.32,31.61,73700.0
10/6/1997,31.38,31.79,31.91,31.15,235200.0
10/7/1997,30.74,31.15,31.15,30.38,101300.0
10/8/1997,31.09,30.85,31.38,30.85,98200.0
10/9/1997,30.74,30.97,30.97,30.62,88200.0
10/10/1997,30.44,30.62,30.74,29.51,158300.0
10/13/1997,30.68,30.62,30.68,30.5,130400.0
10/14/1997,31.15,30.62,31.26,30.62,215700.0
10/15/1997,31.2,31.15,31.38,31.09,247000.0
10/16/1997,30.33,31.15,31.26,30.21,167300.0
10/17/1997,29.97,30.09,30.15,29.62,266700.0
10/20/1997,29.92,29.86,29.97,29.74,57700.0
10/21/1997,29.51,29.92,29.97,29.51,178400.0
10/22/1997,29.74,29.62,30.21,29.62,100600.0
10/23/1997,29.21,29.62,29.62,28.55,85800.0
10/24/1997,29.86,29.27,29.86,29.27,203800.0
10/27/1997,28.92,29.74,29.74,28.92,145800.0
10/28/1997,28.1,26.7,28.1,26.7,472600.0
10/29/1997,28.86,28.1,29.1,28.1,205400.0
10/30/1997,28.16,28.75,28.75,28.04,322100.0
10/31/1997,29.97,29.51,29.97,29.51,757200.0
11/3/1997,31.61,30.09,31.61,30.09,206900.0
11/4/1997,31.91,31.44,31.91,31.15,106800.0
11/5/1997,31.38,31.5,31.61,30.97,112900.0
11/6/1997,31.61,31.26,31.79,31.26,91500.0
11/7/1997,31.5,31.38,31.79,31.15,103800.0
11/10/1997,30.97,31.67,31.85,30.91,75100.0
11/11/1997,30.56,30.91,31.03,30.44,102800.0
11/12/1997,30.38,30.33,30.5,30.21,84600.0
11/13/1997,29.92,30.03,30.09,29.8,135000.0
11/14/1997,31.15,29.92,31.15,29.92,194600.0
11/17/1997,31.85,31.26,32.2,31.26,215000.0
11/18/1997,31.85,31.85,32.26,31.73,263400.0
11/19/1997,32.02,31.61,32.08,31.61,55700.0
11/20/1997,32.2,31.91,32.26,31.91,57100.0
11/21/1997,32.14,32.02,32.2,31.91,40400.0
11/24/1997,31.85,32.26,32.26,31.67,72100.0
11/25/1997,31.79,31.85,31.96,31.73,57400.0
11/26/1997,30.68,31.26,31.38,30.44,119400.0
11/28/1997,30.56,30.74,30.74,30.5,9700.0
12/1/1997,31.15,30.44,31.15,30.44,82500.0
12/2/1997,31.73,31.03,31.73,30.91,63300.0
12/3/1997,32.2,31.73,32.2,31.73,26100.0
12/4/1997,32.2,32.2,32.26,30.91,124800.0
12/5/1997,31.79,32.08,32.2,31.73,46400.0
12/8/1997,31.73,31.79,31.85,31.67,36700.0
12/9/1997,32.2,31.85,33.02,31.5,171800.0
12/10/1997,31.91,32.32,32.32,31.85,89400.0
12/11/1997,31.73,31.85,31.91,31.2,85000.0
12/12/1997,31.38,31.61,31.73,31.09,19600.0
12/15/1997,31.91,31.61,31.96,31.5,63800.0
12/16/1997,31.73,31.79,31.79,31.61,88400.0
