Date,Close,Open,High,Low,Volume
1980-03-17,0.49,,0.49,0.49,300.0
1980-03-18,0.48,,0.49,0.48,1500.0
1980-03-19,0.48,,0.48,0.48,800.0
1980-03-20,0.48,,0.48,0.48,600.0
1980-03-21,0.46,,0.48,0.46,4900.0
1980-03-24,0.46,,0.47,0.46,3900.0
1980-03-25,0.46,,0.46,0.46,5300.0
1980-03-26,0.45,,0.46,0.45,1800.0
1980-03-27,0.44,,0.45,0.44,4500.0
1980-03-28,0.45,,0.46,0.45,4300.0
1980-03-31,0.45,,0.46,0.45,2600.0
1980-04-01,0.44,,0.45,0.44,1100.0
1980-04-02,0.45,,0.45,0.44,2400.0
1980-04-03,0.44,,0.45,0.44,2400.0
1980-04-07,0.44,,0.44,0.44,2500.0
1980-04-08,0.44,,0.44,0.44,3000.0
1980-04-09,0.45,,0.45,0.45,600.0
1980-04-10,0.46,,0.46,0.46,1400.0
1980-04-11,0.47,,0.47,0.46,1000.0
1980-04-14,0.46,,0.47,0.46,800.0
1980-04-15,0.46,,0.46,0.46,900.0
1980-04-16,0.46,,0.46,0.46,4100.0
1980-04-17,0.46,,0.46,0.46,2300.0
1980-04-18,0.46,,0.47,0.46,300.0
1980-04-21,0.45,,0.45,0.45,500.0
1980-04-22,0.46,,0.46,0.46,1000.0
1980-04-23,0.47,,0.47,0.46,4500.0
1980-04-24,0.46,,0.47,0.46,600.0
1980-04-25,0.46,,0.47,0.46,400.0
1980-04-28,0.44,,0.46,0.44,3900.0
1980-04-29,0.45,,0.45,0.45,1400.0
1980-04-30,0.44,,0.44,0.44,1100.0
1980-05-01,0.46,,0.46,0.45,3300.0
1980-05-02,0.47,,0.47,0.45,3000.0
1980-05-05,0.47,,0.47,0.47,1400.0
1980-05-06,0.47,,0.47,0.47,2900.0
1980-05-07,0.47,,0.47,0.46,900.0
1980-05-08,0.48,,0.48,0.47,1300.0
1980-05-09,0.48,,0.48,0.48,1300.0
1980-05-12,0.48,,0.48,0.48,300.0
1980-05-13,0.47,,0.48,0.46,2300.0
1980-05-14,0.47,,0.47,0.47,300.0
1980-05-15,0.47,,0.47,0.46,1800.0
1980-05-16,0.48,,0.48,0.48,200.0
1980-05-19,0.48,,0.48,0.47,1800.0
1980-05-20,0.48,,0.48,0.48,400.0
1980-05-21,0.47,,0.49,0.47,1200.0
1980-05-22,0.48,,0.49,0.48,1000.0
1980-05-23,0.5,,0.5,0.49,3900.0
1980-05-27,0.49,,0.5,0.49,1800.0
1980-05-28,0.51,,0.51,0.49,1400.0
1980-05-29,0.5,,0.52,0.5,2800.0
1980-05-30,0.5,,0.5,0.5,400.0
1980-06-02,0.52,,0.52,0.51,1100.0
1980-06-03,0.55,,0.55,0.52,2900.0
1980-06-04,0.54,,0.54,0.54,1500.0
1980-06-05,0.55,,0.55,0.55,5300.0
1980-06-06,0.55,,0.55,0.55,2500.0
1980-06-09,0.55,,0.55,0.55,2100.0
1980-06-10,0.55,,0.55,0.55,1000.0
1980-06-11,0.55,,0.55,0.55,1700.0
1980-06-12,0.58,,0.58,0.55,8600.0
1980-06-13,0.57,,0.58,0.57,4300.0
1980-06-16,0.58,,0.58,0.58,4900.0
1980-06-17,0.58,,0.58,0.58,14800.0
1980-06-18,0.59,,0.6,0.58,2500.0
1980-06-19,0.58,,0.59,0.58,1200.0
1980-06-20,0.58,,0.59,0.58,13100.0
1980-06-23,0.59,,0.59,0.58,7100.0
1980-06-24,0.58,,0.59,0.58,11800.0
1980-06-25,0.59,,0.59,0.58,8700.0
1980-06-26,0.59,,0.6,0.59,5900.0
1980-06-27,0.58,,0.59,0.58,2400.0
1980-06-30,0.58,,0.58,0.57,3600.0
1980-07-01,0.58,,0.58,0.58,3500.0
1980-07-02,0.6,,0.6,0.59,11100.0
1980-07-03,0.61,,0.61,0.6,8400.0
1980-07-07,0.61,,0.61,0.61,7300.0
1980-07-08,0.63,,0.64,0.62,28500.0
1980-07-09,0.66,,0.66,0.64,28800.0
1980-07-10,0.68,,0.68,0.65,39100.0
1980-07-11,0.69,,0.69,0.68,10800.0
1980-07-14,0.69,,0.69,0.68,5100.0
1980-07-15,0.69,,0.7,0.68,27700.0
1980-07-16,0.68,,0.69,0.68,1800.0
1980-07-17,0.68,,0.68,0.68,4800.0
1980-07-18,0.7,,0.7,0.68,11200.0
1980-07-21,0.7,,0.7,0.69,3000.0
1980-07-22,0.71,,0.72,0.69,5200.0
1980-07-23,0.71,,0.72,0.71,6900.0
1980-07-24,0.71,,0.72,0.71,2500.0
1980-07-25,0.71,,0.71,0.71,6800.0
1980-07-28,0.7,,0.71,0.7,2200.0
1980-07-29,0.7,,0.71,0.7,2000.0
1980-07-30,0.71,,0.72,0.71,2000.0
1980-07-31,0.71,,0.71,0.71,2400.0
1980-08-01,0.71,,0.71,0.71,1300.0
1980-08-04,0.72,,0.73,0.71,7100.0
1980-08-05,0.74,,0.75,0.72,5100.0
1980-08-06,0.75,,0.75,0.74,4300.0
