Date,Close,Open,High,Low,Volume
2020-03-18,,,,,
2020-03-19,12.0,12.0,12.0,12.0,100.0
2020-03-20,12.75,13.0,13.0,12.0,11500.0
2020-03-23,11.54,12.75,12.75,11.5,18710.0
2020-03-24,11.7,12.9,12.9,11.5,96074.0
2020-03-25,13.45,11.8,13.45,11.8,19242.0
2020-03-26,15.45,14.0,15.45,14.0,76379.0
2020-03-27,14.55,15.0,16.0,14.55,114014.0
2020-03-30,15.9,15.25,16.5,15.25,209978.0
2020-03-31,17.25,16.39,17.25,14.56,461468.0
2020-04-01,15.05,16.0,16.0,14.56,2998918.0
2020-04-02,13.28,15.66,15.9,12.12,15966330.0
2020-04-03,16.92,13.75,17.0,13.38,66584580.0
2020-04-06,15.44,17.06,17.15,14.85,37098281.0
2020-04-07,15.25,15.2,15.8,14.55,23486014.0
2020-04-08,14.26,14.5,15.25,13.73,49366607.0
2020-04-09,14.78,14.0,15.5,13.9,34992602.0
2020-04-13,13.99,14.5,14.5,13.98,21497372.0
2020-04-14,13.87,14.0,14.2,13.78,22350019.0
2020-04-15,13.36,13.53,13.66,12.94,14990657.0
2020-04-16,12.89,13.15,13.25,12.26,21745223.0
2020-04-17,13.74,13.3,13.83,12.93,20923266.0
2020-04-20,14.45,13.5,14.74,13.48,20013424.0
2020-04-21,14.69,14.22,15.25,14.18,15943710.0
2020-04-22,14.79,14.95,15.16,14.22,11787695.0
2020-04-23,15.72,14.7,15.92,14.61,12161036.0
2020-04-24,16.25,15.6,16.67,15.29,17249349.0
2020-04-27,16.8,16.17,16.81,15.98,12186367.0
2020-04-28,17.0,16.88,17.75,16.61,12983838.0
2020-04-29,17.64,17.46,18.08,17.17,12511196.0
2020-04-30,17.71,17.22,17.84,16.99,18852619.0
2020-05-01,16.77,17.33,17.35,16.62,10709285.0
2020-05-04,16.4,16.15,16.52,15.69,9700413.0
2020-05-05,15.97,16.68,16.76,15.84,16292998.0
2020-05-06,16.29,16.0,16.37,15.43,10622487.0
2020-05-07,16.41,16.21,17.04,15.88,12454867.0
2020-05-08,18.36,17.04,18.4,16.94,17645708.0
2020-05-11,18.35,18.43,18.75,18.02,9531070.0
2020-05-12,17.8,18.39,18.4,17.69,7743238.0
2020-05-13,16.44,17.21,17.44,16.1,10272114.0
2020-05-14,16.55,16.02,16.72,15.72,7793055.0
2020-05-15,16.71,16.3,16.97,16.0,7205530.0
2020-05-18,17.55,17.3,17.72,17.29,5678115.0
2020-05-19,17.77,17.44,17.92,17.15,8338088.0
2020-05-20,18.73,18.16,19.05,18.04,11909997.0
2020-05-21,19.45,18.54,19.52,18.5,9711545.0
2020-05-22,19.05,19.47,19.86,18.95,5936390.0
2020-05-26,19.51,19.61,20.6,19.34,7304530.0
2020-05-27,19.99,19.57,20.13,19.43,8969251.0
2020-05-28,19.6,20.08,20.46,19.51,8508570.0
2020-05-29,20.47,18.96,20.98,18.88,31997670.0
2020-06-01,21.82,20.55,21.95,20.55,7695651.0
2020-06-02,21.36,21.69,21.83,20.91,7010878.0
2020-06-03,22.22,21.47,22.58,21.38,8425147.0
2020-06-04,22.68,22.03,23.12,22.03,6616401.0
2020-06-05,23.56,23.54,24.4,23.38,7840911.0
2020-06-08,24.37,23.63,24.38,23.31,8455282.0
