Date,Close,Open,High,Low,Volume
1993-03-25,9.54,9.67,9.71,9.46,6682500.0
1993-03-26,9.58,9.54,9.71,9.5,1942000.0
1993-03-29,9.46,9.5,9.58,9.42,749800.0
1993-03-30,9.46,9.42,9.46,9.33,840300.0
1993-03-31,9.67,9.42,9.71,9.42,710300.0
1993-04-01,9.54,9.62,9.67,9.54,562100.0
1993-04-02,9.5,9.54,9.54,9.5,532000.0
1993-04-05,9.37,9.46,9.46,9.37,348100.0
1993-04-06,9.5,9.42,9.5,9.42,152700.0
1993-04-07,9.71,9.5,9.87,9.5,210700.0
1993-04-08,9.62,9.67,9.75,9.62,518500.0
1993-04-12,9.54,9.62,9.67,9.5,326700.0
1993-04-13,9.58,9.5,9.58,9.5,1507000.0
1993-04-14,9.54,9.58,9.62,9.54,128400.0
1993-04-15,9.67,9.58,9.71,9.54,159700.0
1993-04-16,9.71,9.67,9.75,9.67,105800.0
1993-04-19,9.67,9.62,9.71,9.58,63300.0
1993-04-20,9.42,9.67,9.67,9.42,560000.0
1993-04-21,9.46,9.42,9.46,9.42,146800.0
1993-04-22,9.42,9.42,9.46,9.37,130300.0
1993-04-23,9.46,9.46,9.46,9.33,233600.0
1993-04-26,9.17,9.42,9.42,9.17,346100.0
1993-04-27,9.21,9.17,9.21,9.17,201400.0
1993-04-28,9.17,9.21,9.21,9.17,271900.0
1993-04-29,9.17,9.21,9.25,9.17,159200.0
1993-04-30,9.54,9.21,9.54,9.21,362200.0
1993-05-03,9.67,9.5,9.67,9.5,218200.0
1993-05-04,9.92,9.92,10.0,9.87,351400.0
1993-05-05,10.58,10.25,10.58,10.21,374500.0
1993-05-06,10.37,10.67,10.67,10.33,233200.0
1993-05-07,10.33,10.29,10.42,10.29,65800.0
1993-05-10,10.33,10.33,10.37,10.17,96300.0
1993-05-11,10.37,10.29,10.37,10.29,132000.0
1993-05-12,10.37,10.33,10.37,10.29,142800.0
1993-05-13,10.04,10.33,10.33,10.04,45100.0
1993-05-14,10.04,10.0,10.08,10.0,134200.0
1993-05-17,9.96,10.04,10.04,9.87,40600.0
1993-05-18,9.96,9.96,9.96,9.92,30400.0
1993-05-19,10.21,9.87,10.21,9.87,67200.0
1993-05-20,10.08,10.21,10.21,10.0,46300.0
1993-05-21,10.04,10.12,10.12,10.04,81500.0
1993-05-24,10.04,10.04,10.08,10.0,54200.0
1993-05-25,9.87,10.0,10.0,9.87,10100.0
1993-05-26,9.67,9.92,9.92,9.58,46500.0
1993-05-27,9.62,9.75,9.83,9.62,132800.0
1993-05-28,9.54,9.67,9.67,9.5,87600.0
1993-06-01,9.5,9.54,9.62,9.46,68000.0
1993-06-02,9.42,9.5,9.58,9.42,101900.0
1993-06-03,9.33,9.46,9.46,9.33,162600.0
1993-06-04,9.25,9.33,9.42,9.25,80100.0
1993-06-07,9.0,9.17,9.25,9.0,106200.0
1993-06-08,8.79,8.92,8.92,8.79,142900.0
1993-06-09,8.83,8.79,8.87,8.71,345100.0
1993-06-10,8.79,8.79,8.83,8.71,70400.0
1993-06-11,8.67,8.67,8.75,8.62,424200.0
1993-06-14,8.71,8.67,8.75,8.67,11100.0
1993-06-15,8.62,8.75,8.83,8.5,184200.0
1993-06-16,8.58,8.62,8.67,8.58,126500.0
1993-06-17,8.58,8.62,8.67,8.58,163300.0
1993-06-18,8.67,8.67,8.75,8.62,183900.0
1993-06-21,8.92,8.71,8.92,8.58,160100.0
1993-06-22,9.12,9.12,9.25,9.08,312900.0
1993-06-23,9.17,9.08,9.25,9.08,115400.0
1993-06-24,9.25,9.17,9.25,9.12,153100.0
1993-06-25,9.54,9.33,9.58,9.33,78300.0
1993-06-28,9.58,9.58,9.67,9.58,13800.0
1993-06-29,9.67,9.67,9.67,9.58,104000.0
1993-06-30,9.92,9.67,9.92,9.67,10900.0
1993-07-01,9.83,9.92,10.0,9.83,125900.0
1993-07-02,9.83,9.83,9.83,9.75,15000.0
1993-07-06,9.71,9.75,9.75,9.71,52600.0
1993-07-07,9.5,9.67,9.67,9.5,146000.0
1993-07-08,9.54,9.54,9.54,9.5,63300.0
1993-07-09,9.67,9.54,9.67,9.54,66800.0
1993-07-12,9.83,9.67,9.83,9.67,36000.0
1993-07-13,9.87,9.79,9.87,9.79,55500.0
1993-07-14,9.75,9.83,9.83,9.75,441100.0
1993-07-15,9.83,9.75,9.83,9.75,13700.0
1993-07-16,9.75,9.79,9.83,9.75,25100.0
1993-07-19,9.75,9.83,9.83,9.75,21400.0
1993-07-20,9.75,9.75,9.79,9.71,29900.0
1993-07-21,9.58,9.62,9.67,9.58,20600.0
1993-07-22,9.46,9.58,9.62,9.46,9200.0
1993-07-23,9.42,9.42,9.5,9.42,16200.0
1993-07-26,9.5,9.42,9.5,9.33,20200.0
1993-07-27,9.37,9.42,9.58,9.37,17600.0
1993-07-28,9.42,9.29,9.42,9.29,25100.0
1993-07-29,9.46,9.5,9.5,9.37,16300.0
1993-07-30,9.37,9.42,9.42,9.37,1100.0
1993-08-02,9.33,9.37,9.46,9.33,37800.0
1993-08-03,9.5,9.37,9.54,9.37,22500.0
1993-08-04,9.62,9.5,9.62,9.46,41100.0
1993-08-05,9.75,9.67,9.75,9.67,7200.0
1993-08-06,10.17,9.83,10.21,9.83,73700.0
1993-08-09,10.87,10.33,10.87,10.29,169400.0
1993-08-10,10.75,10.87,11.0,10.75,77600.0
1993-08-11,10.79,10.79,10.79,10.71,71200.0
1993-08-12,10.79,10.83,10.87,10.75,51200.0
1993-08-13,10.79,10.75,10.79,10.75,93000.0
1993-08-16,10.83,10.79,10.96,10.79,123500.0
1993-08-17,10.87,10.87,10.92,10.83,229900.0
1993-08-18,11.17,10.79,11.17,10.79,136100.0
1993-08-19,11.79,11.25,11.79,11.25,65700.0
1993-08-20,12.0,11.75,12.0,11.71,117900.0
1993-08-23,11.67,12.0,12.0,11.67,126400.0
1993-08-24,11.33,11.58,11.58,11.21,452800.0
1993-08-25,11.46,11.37,11.5,11.33,183200.0
1993-08-26,11.46,11.42,11.5,11.42,200100.0
1993-08-27,11.37,11.46,11.46,11.37,34400.0
1993-08-30,11.54,11.37,11.54,11.37,62900.0
1993-08-31,11.58,11.54,11.62,11.54,22800.0
1993-09-01,11.62,11.58,11.62,11.5,49800.0
1993-09-02,11.58,11.62,11.67,11.54,93600.0
1993-09-03,11.54,11.5,11.58,11.5,40300.0
1993-09-07,11.54,11.54,11.54,11.5,57500.0
1993-09-08,11.46,11.46,11.58,11.46,6800.0
1993-09-09,11.37,11.37,11.42,11.33,180200.0
1993-09-10,11.29,11.33,11.33,11.29,6600.0
1993-09-13,11.25,11.33,11.33,11.17,17900.0
1993-09-14,11.17,11.21,11.25,11.17,18100.0
1993-09-15,11.25,11.17,11.29,11.17,82400.0
1993-09-16,11.21,11.29,11.29,11.21,72900.0
1993-09-17,11.17,11.17,11.25,11.17,72000.0
1993-09-20,11.17,11.25,11.25,11.17,264300.0
1993-09-21,10.92,11.12,11.12,10.83,545100.0
1993-09-22,10.96,11.0,11.08,10.92,392700.0
1993-09-23,11.08,10.92,11.12,10.92,442000.0
1993-09-24,10.92,11.0,11.04,10.79,94600.0
1993-09-27,11.04,10.92,11.04,10.92,53800.0
1993-09-28,11.0,11.04,11.04,11.0,333800.0
1993-09-29,11.0,11.0,11.04,11.0,29900.0
