Date,Close,Open,High,Low,Volume
2018-01-29,135.11,137.2,138.54,134.73,
2018-01-30,133.29,134.53,134.9,132.38,
2018-01-31,134.39,133.57,135.42,133.5,
2018-02-01,136.56,134.17,136.8,133.56,
2018-02-02,134.65,136.19,136.94,134.53,
2018-02-05,130.53,133.17,136.57,130.05,
2018-02-06,116.94,125.57,125.68,108.0,
2018-02-07,114.57,111.01,116.09,111.01,
2018-02-08,111.15,114.41,114.88,111.07,
2018-02-09,107.11,104.35,108.61,96.81,
2018-02-12,110.68,108.58,113.32,108.35,
2018-02-13,112.22,110.73,113.47,109.54,
2018-02-14,115.0,111.59,115.62,111.32,
2018-02-15,117.45,116.47,117.58,114.62,
2018-02-16,111.45,116.84,117.39,110.84,
2018-02-20,110.78,110.96,113.03,110.03,
2018-02-21,111.3,111.24,113.1,110.75,
2018-02-22,109.96,111.34,112.07,109.59,
2018-02-23,108.75,110.11,110.12,108.27,
2018-02-26,111.33,108.94,111.96,108.86,
2018-02-27,110.19,110.94,111.93,110.16,
2018-02-28,112.01,110.99,113.49,110.58,
2018-03-01,111.36,111.63,112.73,111.07,
2018-03-02,115.0,111.03,116.37,110.7,
2018-03-05,115.35,114.51,116.57,113.12,
2018-03-06,118.17,115.35,119.2,115.16,
2018-03-07,118.79,117.6,119.1,117.22,
2018-03-08,119.89,119.39,120.65,118.9,
2018-03-09,124.54,120.22,124.55,120.18,
2018-03-12,123.82,124.17,124.54,123.06,
2018-03-13,119.92,124.56,124.56,119.46,
2018-03-14,119.29,120.55,120.55,118.95,
2018-03-15,118.61,119.29,119.42,117.64,
2018-03-16,119.22,118.95,119.76,117.81,
2018-03-19,118.53,119.2,120.45,117.22,
2018-03-20,119.9,118.6,121.55,117.99,
2018-03-21,117.33,116.22,118.5,116.0,
2018-03-22,112.62,116.52,117.29,112.41,
2018-03-23,111.71,112.64,113.84,111.36,
2018-03-26,114.59,112.94,115.29,112.26,
2018-03-27,112.06,114.54,114.93,111.13,
2018-03-28,111.91,112.06,113.52,111.47,
2018-03-29,114.1,112.46,115.36,112.09,
2018-04-02,112.48,114.08,115.13,111.3,
2018-04-03,110.99,112.15,112.52,109.17,
2018-04-04,111.21,109.66,111.81,109.02,
2018-04-05,111.6,112.39,112.81,111.09,
2018-04-06,109.34,110.26,111.06,108.47,
2018-04-09,110.03,109.87,112.05,109.73,
2018-04-10,110.28,110.62,111.58,109.84,
2018-04-11,108.45,109.67,109.75,108.03,
2018-04-12,109.67,108.92,110.65,108.22,
2018-04-13,108.35,109.95,110.04,108.05,
2018-04-16,108.81,109.08,109.74,108.58,
2018-04-17,110.09,109.63,110.32,109.1,
2018-04-18,109.33,110.25,110.67,109.3,
2018-04-19,109.88,108.99,110.4,108.8,
2018-04-20,110.16,110.19,110.89,109.64,
2018-04-23,107.94,110.74,110.86,107.82,
2018-04-24,105.55,108.49,108.88,105.48,
2018-04-25,106.27,105.26,106.59,104.33,
2018-04-26,106.87,106.44,107.71,104.82,
2018-04-27,106.19,106.67,107.45,105.16,
2018-04-30,106.78,106.61,108.31,106.61,
2018-05-01,107.29,106.39,107.4,105.89,
2018-05-02,106.79,106.85,108.81,106.43,
2018-05-03,105.45,106.68,107.0,104.54,
2018-05-04,102.49,108.5,108.5,101.89,
2018-05-07,103.16,102.42,104.15,101.9,
2018-05-08,102.37,102.1,103.52,102.0,
2018-05-09,103.91,102.57,104.91,102.15,
2018-05-10,105.41,104.27,105.74,103.78,
2018-05-11,106.82,105.25,107.19,104.67,
2018-05-14,108.11,107.05,108.36,106.8,
2018-05-15,108.11,107.94,109.55,107.64,
2018-05-16,108.45,107.95,109.42,107.48,
2018-05-17,108.38,108.44,108.66,107.14,
2018-05-18,106.56,108.01,108.49,106.55,
2018-05-21,106.49,106.76,107.39,106.29,
2018-05-22,104.44,106.99,106.99,103.95,
