Date,Close,Open,High,Low,Volume
2017-12-01,43.19,43.47,43.51,41.77,2569914.0
2017-12-04,43.37,43.72,44.0,43.27,2335249.0
2017-12-05,43.61,43.32,44.0,43.17,2373948.0
2017-12-06,43.55,43.48,43.77,43.22,1186588.0
2017-12-07,43.82,43.43,44.04,43.28,1042441.0
2017-12-08,43.62,43.94,43.98,43.51,1153479.0
2017-12-11,43.35,43.54,43.64,43.2,1278828.0
2017-12-12,43.33,43.27,43.54,43.05,1497753.0
2017-12-13,43.2,43.36,43.67,43.01,1589988.0
2017-12-14,42.58,43.15,43.45,42.44,1823537.0
2017-12-15,43.25,42.9,43.32,42.78,4035802.0
2017-12-18,44.2,43.99,44.34,43.62,2258406.0
2017-12-19,43.5,44.24,44.32,43.33,1459843.0
2017-12-20,43.27,43.84,44.14,43.2,1427069.0
2017-12-21,43.32,43.5,43.53,43.29,1041571.0
2017-12-22,43.37,43.5,43.57,43.02,2295280.0
2017-12-26,43.56,43.32,43.58,43.14,736293.0
2017-12-27,43.76,43.63,43.9,43.6,3527051.0
2017-12-28,43.95,43.76,43.96,43.27,1878878.0
2017-12-29,43.31,44.13,44.13,43.31,1233803.0
2018-01-02,43.82,43.68,43.83,43.24,2389409.0
2018-01-03,44.19,43.75,44.23,43.52,2207411.0
2018-01-04,44.05,44.34,44.79,44.01,1774057.0
2018-01-05,44.27,44.16,44.38,44.06,2081539.0
2018-01-08,44.84,44.27,44.91,44.22,2151067.0
2018-01-09,45.15,44.91,45.5,44.85,1757159.0
2018-01-10,44.27,44.95,44.95,44.08,2227080.0
2018-01-11,45.12,44.41,45.17,44.25,1090314.0
2018-01-12,44.89,45.25,45.25,44.77,1176948.0
2018-01-16,44.65,45.18,45.52,44.59,1156975.0
2018-01-17,44.99,44.92,45.26,44.57,1640636.0
2018-01-18,45.19,45.0,45.3,44.62,1460655.0
2018-01-19,45.88,45.26,45.91,45.1,1509945.0
2018-01-22,45.73,45.88,45.98,45.23,1299143.0
2018-01-23,45.95,45.68,46.03,45.53,1087247.0
2018-01-24,45.21,45.25,45.59,44.58,1823205.0
2018-01-25,45.81,45.39,45.95,45.39,1478364.0
2018-01-26,46.21,46.01,46.24,45.66,1119102.0
2018-01-29,46.34,46.21,46.6,45.79,1430845.0
2018-01-30,45.66,46.1,46.44,45.55,2045899.0
2018-01-31,45.69,45.79,46.0,45.27,2508380.0
2018-02-01,45.81,45.5,45.82,45.06,2238794.0
2018-02-02,44.11,45.5,45.51,43.9,2750645.0
2018-02-05,41.78,43.73,44.11,41.69,3494878.0
2018-02-06,42.53,40.88,42.79,39.6,3217575.0
2018-02-07,42.54,42.55,43.49,42.36,2945261.0
2018-02-08,41.92,42.48,43.25,41.84,3619721.0
2018-02-09,41.9,42.56,42.71,40.59,3083368.0
2018-02-12,43.15,42.24,43.24,41.9,3063291.0
2018-02-13,44.14,42.9,44.25,42.9,2840015.0
2018-02-14,45.04,43.67,45.09,43.5,2888570.0
2018-02-15,44.93,45.48,45.77,44.54,2297345.0
2018-02-16,45.2,44.92,45.47,44.87,2098788.0
2018-02-20,44.9,44.91,45.32,44.4,2318909.0
2018-02-21,44.48,44.97,45.43,44.48,2547797.0
2018-02-22,44.78,44.76,45.37,44.69,2878153.0
2018-02-23,45.95,45.09,45.97,44.96,2174608.0
2018-02-26,46.64,46.02,46.76,45.54,1710116.0
2018-02-27,47.07,46.8,47.51,46.79,4719244.0
2018-02-28,46.75,47.23,47.81,46.75,2979950.0
2018-03-01,46.4,46.76,47.31,46.27,2700719.0
2018-03-02,46.1,45.87,46.19,45.41,3050287.0
2018-03-05,46.75,45.93,47.09,45.8,2547135.0
2018-03-06,46.96,47.1,47.47,46.86,3063290.0
2018-03-07,46.88,46.45,47.07,46.35,3038469.0
2018-03-08,46.98,47.02,47.2,46.67,2076636.0
2018-03-09,47.59,47.37,47.68,47.01,2189140.0
2018-03-12,47.67,47.68,48.27,47.49,2567250.0
2018-03-13,47.62,47.83,48.04,47.47,2170401.0
2018-03-14,47.25,47.9,47.9,47.22,2223632.0
2018-03-15,47.4,47.58,47.65,47.22,2343247.0
2018-03-16,47.42,47.41,47.69,47.3,4475584.0
2018-03-19,47.31,47.45,47.5,46.78,1398603.0
2018-03-20,47.88,43.0,47.9,43.0,1646496.0
2018-03-21,47.72,48.03,48.39,47.52,1332499.0
2018-03-22,46.48,47.53,47.76,46.44,2634443.0
2018-03-23,45.22,46.47,46.74,45.17,1798777.0
2018-03-26,46.75,45.85,46.83,45.6,1975430.0
2018-03-27,46.68,46.78,47.62,46.47,2174325.0
2018-03-28,46.7,46.83,47.06,46.27,1783194.0
2018-03-29,47.22,46.97,47.43,46.64,2158086.0
2018-04-02,46.46,47.03,47.21,45.83,2031793.0
2018-04-03,46.83,46.89,47.64,46.34,2577401.0
2018-04-04,47.25,46.35,47.32,45.88,1532078.0
2018-04-05,47.79,47.49,47.96,47.21,1194173.0
2018-04-06,46.73,47.37,47.67,46.44,1804882.0
2018-04-09,47.27,46.88,47.83,46.8,1377207.0
2018-04-10,47.87,47.92,48.0,47.49,2083250.0
2018-04-11,47.24,47.4,47.7,47.14,1326072.0
2018-04-12,47.21,47.64,47.72,47.13,1290769.0
2018-04-13,46.61,47.39,47.55,46.4,2054709.0
2018-04-16,47.58,47.06,47.74,46.61,1977830.0
2018-04-17,48.06,47.97,48.33,47.57,1702460.0
2018-04-18,47.9,48.26,48.44,47.88,1262535.0
2018-04-19,47.55,47.96,48.05,47.44,1532252.0
2018-04-20,47.43,47.63,47.94,47.38,2111681.0
2018-04-23,47.28,47.57,47.86,47.05,1451206.0
2018-04-24,46.89,47.63,47.78,46.59,2348980.0
2018-04-25,45.39,46.64,46.75,45.29,2486543.0
2018-04-26,45.22,45.45,45.91,45.18,2103788.0
2018-04-27,45.67,45.17,45.7,45.11,1779951.0
2018-04-30,45.31,45.82,46.16,45.26,1492229.0
2018-05-01,45.8,45.25,45.82,45.18,2287179.0
2018-05-02,46.29,46.01,46.55,45.05,4235204.0
2018-05-03,45.96,46.19,46.46,45.15,2072530.0
2018-05-04,46.73,45.69,47.03,45.68,1307596.0
2018-05-07,46.28,46.79,47.25,46.1,1746269.0
2018-05-08,46.48,46.4,46.67,46.06,2653926.0
2018-05-09,46.71,46.67,46.84,46.04,1826358.0
2018-05-10,47.24,47.0,47.7,46.99,2069340.0
2018-05-11,47.04,47.4,47.78,46.59,1659696.0
2018-05-14,46.96,47.25,47.56,46.8,1498219.0
2018-05-15,46.93,46.71,47.18,46.7,2365014.0
2018-05-16,47.42,46.85,47.66,46.75,1408077.0
2018-05-17,47.42,47.25,47.45,46.85,1305583.0
2018-05-18,47.43,47.48,47.69,47.25,1364802.0
2018-05-21,47.73,47.62,47.99,47.49,1255188.0
2018-05-22,47.68,47.72,47.88,47.43,1455035.0
2018-05-23,47.85,47.5,47.86,47.18,1596631.0
2018-05-24,47.75,47.79,48.16,47.07,1994410.0
2018-05-25,47.56,47.66,47.99,47.35,944924.0
2018-05-29,46.59,47.36,47.45,46.45,2011978.0
2018-05-30,47.08,46.84,47.3,46.4,1750054.0
2018-05-31,46.19,47.1,47.1,45.99,3589700.0
2018-06-01,46.07,46.61,46.61,45.74,1546766.0
2018-06-04,47.0,46.33,47.01,46.09,1554148.0
2018-06-05,47.57,47.09,47.63,46.81,2199154.0
2018-06-06,48.06,47.56,48.07,47.41,1352016.0
2018-06-07,47.82,48.09,48.28,47.65,1155250.0
2018-06-08,48.59,47.94,48.62,47.84,1282697.0
2018-06-11,48.54,48.54,48.8,48.39,1019066.0
2018-06-12,48.74,48.51,48.85,48.4,2316279.0
2018-06-13,47.94,48.66,48.95,47.88,1512928.0
2018-06-14,48.3,48.2,48.35,47.98,1292694.0
2018-06-15,48.64,47.97,48.67,47.96,2697918.0
2018-06-18,48.75,48.23,48.78,48.2,2140275.0
