Date,Close,Open,High,Low,Volume
1987-06-10,1.84,1.84,1.94,1.79,2310100.0
1987-06-11,1.74,1.74,1.87,1.74,496300.0
1987-06-12,1.74,1.74,1.79,1.74,249100.0
1987-06-15,1.74,1.74,1.79,1.74,403400.0
1987-06-16,1.69,1.69,1.76,1.69,152600.0
1987-06-17,1.74,1.74,1.74,1.66,198100.0
1987-06-18,1.69,1.69,1.74,1.69,28200.0
1987-06-19,1.71,1.71,1.71,1.69,141800.0
1987-06-22,1.69,1.69,1.71,1.69,61500.0
1987-06-23,1.66,1.66,1.71,1.64,123300.0
1987-06-24,1.66,1.66,1.66,1.64,74900.0
1987-06-25,1.64,1.64,1.64,1.64,3400.0
1987-06-26,1.64,1.64,1.66,1.64,55300.0
1987-06-29,1.48,1.48,1.66,1.48,79000.0
1987-06-30,1.36,1.36,1.53,1.36,17900.0
1987-07-01,1.53,1.53,1.53,1.36,64600.0
1987-07-02,1.59,1.59,1.59,1.46,56100.0
1987-07-06,1.53,1.53,1.64,1.53,21300.0
1987-07-07,1.66,1.66,1.74,1.53,104600.0
1987-07-08,1.64,1.64,1.71,1.64,60900.0
1987-07-09,1.59,1.59,1.71,1.59,27700.0
1987-07-10,1.59,1.59,1.69,1.59,2700.0
1987-07-13,1.48,1.48,1.64,1.48,19800.0
1987-07-14,1.53,1.53,1.56,1.48,25600.0
1987-07-15,1.48,1.48,1.56,1.48,21500.0
1987-07-16,1.56,1.56,1.59,1.53,6400.0
1987-07-17,1.59,1.59,1.59,1.59,1300.0
1987-07-20,1.48,1.48,1.59,1.48,2600.0
1987-07-21,1.59,1.59,1.59,1.53,2700.0
1987-07-22,1.51,1.51,1.59,1.48,42600.0
1987-07-23,1.51,1.51,1.56,1.51,16100.0
1987-07-24,1.51,1.51,1.56,1.51,1500.0
1987-07-27,1.51,1.51,1.53,1.51,22300.0
1987-07-28,1.51,1.51,1.53,1.51,33600.0
1987-07-29,1.51,1.51,1.51,1.51,600.0
1987-07-30,1.51,1.51,1.53,1.51,35200.0
1987-07-31,1.51,1.51,1.59,1.51,9100.0
1987-08-03,1.59,1.59,1.59,1.56,34200.0
1987-08-04,1.61,1.61,1.71,1.61,11900.0
1987-08-05,1.71,1.71,1.71,1.61,600.0
1987-08-06,1.69,1.69,1.69,1.64,1600.0
1987-08-07,1.64,1.64,1.69,1.64,3800.0
1987-08-10,1.59,1.59,1.66,1.59,400.0
1987-08-11,1.61,1.61,1.66,1.59,16400.0
1987-08-12,1.61,1.61,1.66,1.61,2500.0
1987-08-13,1.61,1.61,1.66,1.61,11300.0
1987-08-14,1.61,1.61,1.61,1.61,800.0
1987-08-18,1.61,1.61,1.66,1.61,1600.0
1987-08-19,1.61,1.61,1.61,1.61,3000.0
1987-08-20,1.59,1.59,1.64,1.59,14900.0
1987-08-21,1.61,1.61,1.66,1.59,62700.0
1987-08-24,1.59,1.59,1.61,1.59,15800.0
1987-08-25,1.64,1.64,1.69,1.59,32600.0
1987-08-26,1.69,1.69,1.69,1.59,34100.0
1987-08-27,1.69,1.69,1.69,1.61,18100.0
1987-08-28,1.74,1.74,1.74,1.66,9800.0
1987-08-31,1.76,1.76,1.76,1.66,29600.0
1987-09-01,1.76,1.76,1.84,1.69,75000.0
1987-09-02,1.76,1.76,1.84,1.76,21700.0
1987-09-03,1.76,1.76,1.76,1.76,1200.0
