Date,Close,Open,High,Low,Volume
6/27/2013,18.37,17.64,18.75,17.38,8286729.0
6/28/2013,18.62,18.4,19.17,18.38,717371.0
7/1/2013,18.34,18.65,18.9,18.34,394118.0
7/2/2013,19.22,18.34,19.64,18.26,223736.0
7/3/2013,19.08,18.99,19.21,18.67,103694.0
7/5/2013,19.22,18.8,19.36,18.55,111798.0
7/8/2013,19.23,19.05,19.48,18.86,110449.0
7/9/2013,19.5,19.13,19.92,19.06,206401.0
7/10/2013,19.1,19.47,19.95,19.05,334884.0
7/11/2013,19.58,19.05,19.65,19.05,108794.0
7/12/2013,19.51,19.23,19.54,19.21,114591.0
7/15/2013,19.56,19.36,19.75,19.22,177287.0
7/16/2013,20.1,19.04,20.65,19.04,239255.0
7/17/2013,20.37,20.01,20.47,19.72,139116.0
7/18/2013,20.83,20.5,21.0,20.06,161962.0
7/19/2013,20.84,21.0,21.39,20.77,631375.0
7/22/2013,20.34,20.6,20.7,20.22,492878.0
7/23/2013,20.22,20.29,20.69,20.0,41433.0
7/24/2013,20.57,20.23,20.69,20.05,43525.0
7/25/2013,21.98,20.34,21.98,20.0,232319.0
7/26/2013,21.59,22.12,22.14,21.05,141279.0
7/29/2013,21.7,21.5,22.0,21.06,85116.0
7/30/2013,21.6,21.71,21.8,20.8,94624.0
7/31/2013,21.5,21.79,21.79,21.19,52504.0
8/1/2013,21.66,21.45,21.8,21.17,181580.0
8/2/2013,22.43,21.67,22.5,21.17,225597.0
8/5/2013,22.79,22.43,23.0,22.26,104757.0
8/6/2013,22.81,22.83,23.1,22.59,419637.0
8/7/2013,22.95,22.8,22.99,22.64,82839.0
8/8/2013,23.07,23.0,23.1,22.8,74099.0
8/9/2013,23.05,22.85,23.12,22.85,67385.0
8/12/2013,23.16,22.85,23.2,22.85,116194.0
8/13/2013,23.4,23.14,23.55,22.85,102402.0
8/14/2013,23.36,23.3,23.4,23.15,72051.0
8/15/2013,23.0,23.4,23.4,22.8,280081.0
8/16/2013,23.05,22.98,23.09,22.8,82196.0
8/19/2013,23.09,23.0,23.14,22.7,196075.0
8/20/2013,23.11,23.07,23.75,22.87,137969.0
8/21/2013,23.03,23.07,23.3,22.8,89014.0
8/22/2013,23.01,23.05,23.3,22.85,52627.0
8/23/2013,23.27,22.96,23.31,22.87,38913.0
8/26/2013,22.98,23.27,23.27,22.96,126470.0
8/27/2013,22.22,22.87,22.91,22.0,280735.0
8/28/2013,21.98,22.21,22.44,21.9,78298.0
8/29/2013,22.08,21.86,22.14,21.27,171539.0
8/30/2013,21.93,22.01,22.16,21.85,110897.0
9/3/2013,22.53,22.16,23.17,21.78,94026.0
9/4/2013,23.01,22.46,23.01,22.02,117880.0
9/5/2013,23.32,22.91,23.75,22.8,84418.0
9/6/2013,23.24,23.31,23.75,22.99,102950.0
9/9/2013,22.96,23.27,23.52,22.66,123670.0
9/10/2013,23.03,23.0,23.24,22.59,125620.0
9/11/2013,23.42,22.9,23.52,22.51,124726.0
9/12/2013,23.09,23.4,23.54,23.02,672190.0
9/13/2013,23.5,23.02,23.52,22.9,213804.0
9/16/2013,23.87,23.65,23.97,23.25,186973.0
9/17/2013,23.23,23.82,23.98,23.09,315482.0
9/18/2013,23.79,23.08,23.99,22.96,273644.0
9/19/2013,23.46,23.6,23.9,23.16,336878.0
9/20/2013,22.89,23.36,23.53,22.68,1170867.0
9/23/2013,23.86,22.9,23.95,22.74,442359.0
9/24/2013,24.3,23.87,24.39,23.85,393995.0
9/25/2013,24.13,24.3,24.43,24.0,263198.0
9/26/2013,23.99,24.26,24.51,23.83,473409.0
9/27/2013,23.98,23.96,24.4,23.79,156884.0
9/30/2013,22.83,23.82,24.09,22.78,1433124.0
10/1/2013,23.2,22.7,23.2,22.63,118728.0
10/2/2013,22.78,23.13,23.15,22.27,177421.0
10/3/2013,23.32,22.72,23.32,22.64,91043.0
10/4/2013,23.35,23.34,23.37,23.16,110308.0
10/7/2013,23.05,23.19,23.32,22.97,56652.0
10/8/2013,23.12,23.0,23.29,22.81,127023.0
10/9/2013,22.68,23.18,23.33,22.51,64871.0
10/10/2013,23.05,22.81,23.32,22.74,108680.0
10/11/2013,22.99,23.06,23.27,22.87,71361.0
10/14/2013,22.78,22.94,22.95,22.52,91149.0
10/15/2013,22.65,22.79,22.91,22.51,77631.0
10/16/2013,22.67,22.7,22.91,22.36,74350.0
10/17/2013,22.78,22.56,23.07,22.14,100741.0
10/18/2013,22.99,22.8,23.15,22.57,93987.0
10/21/2013,22.56,22.99,23.13,22.5,40678.0
10/22/2013,22.8,22.58,22.91,22.02,46778.0
10/23/2013,22.72,22.72,23.1,21.71,126361.0
10/24/2013,22.01,22.7,22.7,21.2,237184.0
10/25/2013,22.15,22.0,22.65,21.49,163810.0
10/28/2013,22.05,22.26,22.47,21.84,121850.0
10/29/2013,21.95,22.17,22.36,21.76,68245.0
10/30/2013,22.1,21.92,22.18,21.08,170238.0
10/31/2013,21.99,22.0,22.24,21.31,149996.0
11/1/2013,22.05,23.0,23.56,21.9,304905.0
11/4/2013,22.94,21.8,23.04,21.7,216006.0
11/5/2013,23.0,22.76,23.35,22.63,173642.0
11/6/2013,22.99,23.0,23.25,22.8,113068.0
11/7/2013,22.98,22.96,23.24,22.62,301353.0
11/8/2013,22.95,22.96,23.06,22.54,554446.0
11/11/2013,21.72,22.39,22.39,21.61,172345.0
11/12/2013,21.09,21.59,21.65,20.7,478611.0
11/13/2013,20.79,20.72,21.23,20.55,932312.0
11/14/2013,20.66,21.02,21.46,20.61,6959280.0
11/15/2013,21.58,20.65,21.7,20.5,718701.0
11/18/2013,21.32,21.52,21.9,21.0,546573.0
11/19/2013,21.26,21.24,21.49,21.1,327296.0
11/20/2013,21.73,21.22,21.95,21.11,388610.0
11/21/2013,21.99,21.68,22.37,21.41,432839.0
11/22/2013,22.17,22.01,22.43,21.85,405015.0
11/25/2013,22.3,22.54,22.98,22.26,542365.0
11/26/2013,22.21,22.32,22.48,22.04,336398.0
11/27/2013,22.2,22.19,22.47,21.78,244650.0
11/29/2013,22.3,22.25,22.34,22.01,215963.0
12/2/2013,22.46,22.22,22.59,22.06,445660.0
12/3/2013,22.46,22.3,22.56,22.23,194428.0
12/4/2013,22.9,22.35,23.0,22.15,618246.0
12/5/2013,22.51,22.78,22.92,22.21,369246.0
12/6/2013,22.59,22.63,22.75,22.36,415118.0
12/9/2013,22.62,22.56,22.65,22.47,261979.0
12/10/2013,22.49,22.48,22.58,22.25,324241.0
12/11/2013,22.35,22.52,22.55,22.05,488302.0
12/12/2013,22.55,22.25,22.76,22.21,816921.0
12/13/2013,22.25,22.48,22.83,22.02,504592.0
12/16/2013,22.45,22.26,22.6,21.92,314639.0
12/17/2013,22.15,22.35,22.44,22.04,604103.0
12/18/2013,22.39,22.13,22.45,21.96,826880.0
12/19/2013,22.06,22.33,22.43,22.04,354960.0
12/20/2013,22.37,22.01,22.44,21.99,1034987.0
12/23/2013,22.29,22.44,22.54,22.04,620736.0
12/24/2013,22.62,22.38,22.76,22.3,453099.0
12/26/2013,22.9,22.64,23.09,22.61,359489.0
12/27/2013,23.0,22.98,23.2,22.66,465750.0
12/30/2013,23.22,22.91,23.34,22.85,543837.0
12/31/2013,23.36,23.35,23.56,22.94,379118.0
1/2/2014,23.38,23.36,23.7,23.14,538850.0
1/3/2014,23.37,23.48,23.62,23.2,485044.0
1/6/2014,23.75,23.49,23.96,22.81,666590.0
1/7/2014,23.98,23.76,24.2,23.62,419032.0
1/8/2014,23.98,23.9,24.22,23.86,582532.0
1/9/2014,24.5,24.1,24.5,24.02,453356.0
1/10/2014,24.88,24.4,25.01,24.4,569418.0
1/13/2014,24.69,24.77,25.58,24.63,569628.0
1/14/2014,24.48,24.75,24.97,24.41,581029.0
1/15/2014,24.46,24.43,24.53,24.27,403111.0
1/16/2014,24.47,24.44,24.55,24.25,361004.0
1/17/2014,24.44,24.34,24.51,24.16,252620.0
1/21/2014,24.8,24.62,24.91,24.29,319704.0
1/22/2014,24.5,24.86,25.16,24.41,391372.0
1/23/2014,24.35,24.49,24.54,24.17,382497.0
1/24/2014,23.62,24.23,24.23,23.55,173209.0
1/27/2014,23.3,23.65,24.44,23.22,237730.0
1/28/2014,23.7,23.43,23.76,23.14,207212.0
1/29/2014,22.98,23.39,23.54,22.83,509528.0
1/30/2014,23.57,23.07,23.59,23.07,117346.0
1/31/2014,23.67,23.36,24.04,23.29,141337.0
2/3/2014,23.08,23.67,23.77,22.72,298911.0
2/4/2014,23.37,23.2,23.58,22.95,230778.0
2/5/2014,23.3,23.32,23.42,23.09,207019.0
2/6/2014,23.4,23.31,23.67,23.11,362679.0
2/7/2014,23.55,23.42,23.68,23.23,193895.0
2/10/2014,23.14,23.56,23.62,23.13,220418.0
2/11/2014,23.08,23.13,23.46,22.94,285867.0
2/12/2014,23.67,23.15,23.94,22.82,395672.0
2/13/2014,24.84,23.85,24.86,23.11,406235.0
2/14/2014,24.31,23.15,24.93,23.01,475375.0
2/18/2014,24.66,24.24,24.95,24.0,313687.0
2/19/2014,24.7,24.56,25.14,24.56,278733.0
2/20/2014,24.76,24.64,24.96,24.6,257722.0
2/21/2014,24.65,24.64,24.72,24.52,162480.0
2/24/2014,24.64,24.61,25.06,24.56,120626.0
2/25/2014,24.29,24.54,24.75,24.14,139084.0
2/26/2014,24.73,24.41,24.9,24.1,214011.0
2/27/2014,25.54,24.71,25.63,24.71,226788.0
2/28/2014,26.17,25.49,26.43,25.49,805278.0
3/3/2014,25.93,25.91,26.16,25.54,195349.0
3/4/2014,26.14,26.16,26.3,25.9,180347.0
3/5/2014,26.7,26.25,26.79,25.91,314266.0
3/6/2014,26.8,26.64,26.96,26.48,199007.0
3/7/2014,25.75,26.01,26.11,25.54,3790974.0
3/10/2014,25.68,25.77,26.3,25.51,497235.0
3/11/2014,25.59,26.25,26.31,25.47,624769.0
3/12/2014,25.39,25.62,25.66,25.3,608675.0
3/13/2014,24.85,25.46,25.81,24.76,424557.0
3/14/2014,24.79,24.77,25.31,24.24,660503.0
3/17/2014,25.47,24.9,25.52,24.9,496537.0
3/18/2014,25.44,25.41,25.75,25.19,354267.0
3/19/2014,25.5,25.34,25.74,25.34,490631.0
3/20/2014,25.39,25.34,25.82,25.16,441032.0
3/21/2014,25.32,25.42,25.74,25.12,1162038.0
3/24/2014,25.29,25.3,25.5,25.15,750798.0
3/25/2014,26.25,25.37,26.25,25.05,378763.0
3/26/2014,26.32,26.27,26.5,25.95,326758.0
3/27/2014,26.36,26.24,26.5,26.01,381464.0
3/28/2014,26.71,26.55,26.98,26.42,870978.0
3/31/2014,27.44,26.86,27.53,26.65,850579.0
4/1/2014,28.43,27.54,28.45,27.49,1096255.0
4/2/2014,28.6,28.37,28.63,28.09,404331.0
4/3/2014,28.06,28.69,28.79,27.9,518129.0
4/4/2014,27.97,28.4,28.91,27.84,702934.0
4/7/2014,27.56,27.73,27.95,27.34,468771.0
4/8/2014,27.37,27.5,27.8,27.25,511523.0
4/9/2014,28.26,27.47,28.36,27.36,479088.0
4/10/2014,27.93,28.26,29.36,27.82,973949.0
4/11/2014,27.39,27.73,27.91,27.11,283028.0
4/14/2014,27.55,27.67,27.84,27.22,183327.0
4/15/2014,27.82,27.85,27.93,27.42,306413.0
4/16/2014,28.35,27.99,28.46,27.97,198952.0
4/17/2014,28.44,28.31,28.5,27.3,152994.0
4/21/2014,28.41,28.52,28.79,26.7,457659.0
4/22/2014,28.66,28.46,28.85,27.6,200535.0
4/23/2014,28.56,28.71,28.71,28.27,276373.0
4/24/2014,28.4,28.74,28.96,28.27,433808.0
4/25/2014,27.84,28.33,28.66,27.5,727598.0
4/28/2014,27.96,27.9,28.11,27.29,285436.0
4/29/2014,27.89,28.1,28.37,27.54,220731.0
4/30/2014,28.19,27.94,28.2,27.74,254240.0
5/1/2014,28.21,27.94,28.57,27.94,400118.0
5/2/2014,28.34,28.19,28.49,27.92,236758.0
5/5/2014,28.54,28.23,28.56,27.95,138634.0
5/6/2014,28.14,28.54,28.64,28.13,157890.0
5/7/2014,27.75,28.12,28.69,27.46,486790.0
5/8/2014,28.68,28.1,28.73,27.93,287100.0
5/9/2014,29.3,28.72,29.7,28.21,646002.0
5/12/2014,30.02,29.2,30.42,29.11,463842.0
5/13/2014,29.89,30.01,30.19,29.66,228432.0
5/14/2014,29.65,29.72,29.96,29.64,174075.0
5/15/2014,29.71,29.49,29.84,29.25,427194.0
5/16/2014,29.84,29.83,29.92,29.17,397469.0
5/19/2014,29.42,29.65,29.9,29.37,316167.0
5/20/2014,29.24,29.36,29.78,29.16,401335.0
5/21/2014,29.64,29.42,29.87,29.28,298172.0
5/22/2014,28.11,28.1,28.24,27.68,4304426.0
5/23/2014,28.45,28.22,28.67,28.13,1255787.0
5/27/2014,28.82,28.7,28.97,28.58,1427840.0
5/28/2014,28.99,28.94,29.01,28.77,1081053.0
5/29/2014,29.12,29.15,29.24,28.85,1194313.0
5/30/2014,29.41,29.04,29.52,28.9,3738628.0
6/2/2014,29.49,29.47,29.62,29.03,674792.0
6/3/2014,29.57,29.33,29.76,29.31,574412.0
6/4/2014,29.77,29.57,29.84,29.54,628349.0
6/5/2014,29.98,29.92,30.0,29.7,690423.0
6/6/2014,30.07,30.1,30.21,29.74,569712.0
6/9/2014,30.28,30.09,30.49,29.82,1083730.0
6/10/2014,30.46,30.34,30.67,30.25,729854.0
6/11/2014,30.46,30.38,30.6,30.32,239411.0
6/12/2014,30.3,30.41,30.52,30.21,313089.0
6/13/2014,30.5,30.56,30.67,30.38,542942.0
6/16/2014,30.72,30.38,30.81,30.37,1550358.0
6/17/2014,31.33,30.72,31.38,30.65,1510094.0
6/18/2014,31.32,31.24,31.65,31.22,630779.0
6/19/2014,31.75,31.5,31.79,31.41,833118.0
6/20/2014,32.1,31.8,32.17,31.62,1248085.0
6/23/2014,31.98,32.03,32.28,31.84,764359.0
6/24/2014,31.76,31.95,32.06,31.65,769731.0
6/25/2014,32.22,31.65,32.25,31.41,753904.0
6/26/2014,32.05,32.3,32.41,31.89,628080.0
6/27/2014,31.68,32.02,32.13,31.59,5245351.0
6/30/2014,31.88,31.8,32.16,31.72,819021.0
