Date,Close,Open,High,Low,Volume
2014-09-24,23.08,21.5,23.22,21.35,60456032.0
2014-09-25,23.05,22.56,23.41,22.45,8430850.0
2014-09-26,23.25,23.18,23.37,22.91,2504353.0
2014-09-29,23.23,23.14,23.45,22.91,4832916.0
2014-09-30,23.42,23.11,23.57,23.05,4103103.0
2014-10-01,23.44,23.22,23.61,23.11,3915508.0
2014-10-02,23.34,23.34,23.59,23.3,3121384.0
2014-10-03,23.23,23.38,23.47,23.01,1585901.0
2014-10-06,22.64,23.28,23.37,22.61,1208403.0
2014-10-07,22.52,22.56,22.74,22.26,1508726.0
2014-10-08,22.75,22.11,23.15,22.11,1649208.0
2014-10-09,22.48,23.0,23.0,22.24,1229058.0
2014-10-10,22.28,22.39,22.56,22.14,924069.0
2014-10-13,22.45,22.13,22.66,22.12,1382774.0
2014-10-14,22.45,22.5,22.79,22.3,1605776.0
2014-10-15,21.85,22.13,22.2,21.5,3405401.0
2014-10-16,21.8,21.51,21.95,21.47,3105758.0
2014-10-17,21.92,21.89,22.07,21.73,2750608.0
2014-10-20,22.38,21.82,22.38,21.82,1870599.0
2014-10-21,22.82,22.11,22.93,22.11,1165506.0
2014-10-22,22.6,22.78,23.0,22.4,884653.0
2014-10-23,23.03,22.97,23.08,22.59,1154177.0
2014-10-24,23.18,23.32,23.49,22.77,1357806.0
2014-10-27,22.85,23.15,23.19,22.73,2898819.0
2014-10-28,23.28,23.16,23.59,22.93,1500595.0
2014-10-29,23.48,23.35,23.53,23.2,1302330.0
2014-10-30,23.44,23.46,23.69,23.3,1153587.0
2014-10-31,23.62,23.59,23.92,23.37,1238628.0
2014-11-03,24.0,23.49,24.0,23.16,1826936.0
2014-11-04,23.6,23.74,23.91,23.43,1474474.0
2014-11-05,23.9,23.8,23.95,23.55,1097594.0
2014-11-06,24.3,23.79,24.46,23.75,1010740.0
2014-11-07,23.97,24.48,24.48,23.96,600659.0
2014-11-10,23.95,24.04,24.25,23.75,1531257.0
2014-11-11,23.94,23.97,24.22,23.75,658274.0
2014-11-12,23.86,23.75,23.98,23.51,940834.0
2014-11-13,23.82,23.62,23.96,23.58,1149713.0
2014-11-14,23.96,23.74,24.0,23.74,1111501.0
2014-11-17,24.0,24.11,24.11,23.56,992390.0
2014-11-18,23.73,24.04,24.04,23.71,586010.0
2014-11-19,23.72,23.8,24.0,23.51,812772.0
2014-11-20,23.71,23.57,23.87,23.5,745775.0
2014-11-21,23.77,23.95,24.21,23.7,725247.0
2014-11-24,24.25,23.8,24.36,23.68,836847.0
2014-11-25,24.03,24.24,24.3,24.02,701615.0
2014-11-26,24.23,24.11,24.27,23.92,703711.0
2014-11-28,24.63,24.22,25.09,24.05,713406.0
2014-12-01,23.98,24.62,24.9,23.49,2282591.0
2014-12-02,24.2,24.02,24.43,23.8,1369272.0
2014-12-03,24.23,24.33,24.59,24.19,1854537.0
2014-12-04,24.4,24.32,24.56,24.09,1433907.0
2014-12-05,25.15,24.45,25.22,24.45,1008380.0
2014-12-08,25.04,25.08,25.14,24.68,2244927.0
2014-12-09,25.16,24.71,25.33,24.5,1141758.0
2014-12-10,24.65,25.15,25.41,24.62,630958.0
2014-12-11,24.69,24.85,25.28,24.51,1709147.0
2014-12-12,24.46,24.52,24.83,24.4,950809.0
2014-12-15,24.49,24.68,24.81,24.27,1175223.0
2014-12-16,24.25,24.53,24.88,24.22,1315552.0
2014-12-17,24.56,24.22,24.8,24.22,2160460.0
2014-12-18,25.08,24.75,25.14,24.68,1768470.0
2014-12-19,25.0,25.04,25.6,24.84,7523121.0
2014-12-22,25.1,25.16,25.28,24.66,1689581.0
