Date,Close,Open,High,Low,Volume
2009-12-02,36.5,36.5,36.5,36.5,1431.0
2009-12-03,39.81,39.81,39.81,39.81,50000.0
2009-12-04,40.09,43.96,43.96,40.09,99719.0
2009-12-08,40.37,40.09,40.37,40.09,68602.0
2009-12-09,39.81,40.09,40.37,39.81,18250.0
2009-12-10,39.54,39.54,39.65,39.54,100000.0
2009-12-11,39.26,39.81,39.81,39.26,25100.0
2009-12-14,39.81,39.81,39.81,39.81,300.0
2009-12-15,38.71,38.98,38.98,38.71,38244.0
2009-12-16,38.98,38.98,38.98,38.71,15065.0
2009-12-17,38.43,38.43,38.43,38.43,100.0
2009-12-18,38.98,38.6,38.98,38.43,5390.0
2009-12-24,38.16,38.16,38.16,38.16,1500.0
2009-12-31,39.26,38.16,39.81,35.39,1706.0
2010-01-04,38.16,39.26,39.26,38.16,47500.0
2010-01-05,38.71,38.71,38.71,38.71,10000.0
2010-01-07,38.71,38.98,39.26,38.71,9800.0
2010-01-08,37.05,38.21,38.21,37.05,32147.0
2010-01-11,37.05,37.05,37.05,37.05,3659.0
2010-01-12,37.05,37.05,37.1,37.05,5100.0
2010-01-13,36.22,36.51,36.51,35.94,226275.0
2010-01-14,36.22,36.22,36.22,36.22,150500.0
2010-01-15,35.67,35.94,35.94,35.67,45445.0
2010-01-19,35.39,35.67,35.67,35.11,19400.0
2010-01-20,35.11,34.84,35.11,34.84,531.0
2010-01-21,34.95,34.84,34.95,34.84,588.0
2010-01-22,34.84,34.84,34.84,34.84,200.0
2010-01-25,34.56,34.4,34.56,34.28,1300.0
2010-01-26,34.01,34.28,34.28,34.01,233.0
2010-01-27,34.01,33.79,34.28,33.79,77000.0
2010-01-28,34.01,34.28,34.28,34.01,10325.0
2010-01-29,33.88,34.12,34.12,33.73,30679.0
2010-02-01,33.73,33.46,33.73,33.46,3500.0
2010-02-02,33.73,33.73,33.73,33.73,586.0
2010-02-03,32.9,33.29,33.29,32.9,5173.0
2010-02-04,33.46,33.18,33.46,33.18,29400.0
2010-02-05,33.73,33.71,33.73,33.18,1751.0
2010-02-08,33.01,33.18,33.18,32.9,47392.0
2010-02-09,32.96,32.18,32.96,32.18,29639.0
2010-02-10,32.9,32.51,33.01,32.51,107557.0
2010-02-11,32.89,32.89,32.89,32.63,10000.0
2010-02-12,32.89,32.89,32.89,32.89,100.0
2010-02-18,32.85,32.18,32.85,32.18,1700.0
2010-02-22,32.85,32.18,32.87,32.18,19700.0
2010-02-25,32.63,32.63,32.85,32.63,2800.0
2010-02-26,32.9,32.35,32.9,32.35,2638.0
2010-03-01,33.29,32.9,33.29,32.9,24800.0
2010-03-02,33.62,33.29,33.62,33.18,29041.0
2010-03-03,34.01,33.73,34.01,33.73,131800.0
2010-03-04,34.31,34.28,34.84,34.01,16930.0
2010-03-05,35.11,34.56,35.11,34.56,48814.0
2010-03-08,35.11,34.84,35.11,34.84,49071.0
2010-03-09,36.22,35.39,36.22,35.37,134900.0
2010-03-10,36.5,36.44,36.5,35.39,110979.0
2010-03-11,35.94,36.5,36.5,35.94,33080.0
2010-03-12,35.94,36.5,36.5,35.94,207565.0
2010-03-15,36.5,36.5,37.05,35.94,247042.0
2010-03-16,36.22,35.67,36.5,35.67,16493.0
2010-03-17,37.6,36.5,37.6,36.5,114916.0
2010-03-18,38.43,37.6,38.43,37.6,15310.0
2010-03-19,38.43,38.16,38.43,38.16,1250.0
2010-03-22,38.08,38.43,38.43,37.88,5968.0
2010-03-23,38.71,37.88,38.98,37.88,53643.0
2010-03-24,38.71,38.71,38.71,38.71,1400.0
2010-03-25,38.16,38.43,38.71,38.16,90921.0
2010-03-26,38.43,38.71,38.71,38.43,57800.0
2010-03-29,38.16,38.16,38.71,38.04,205600.0
2010-03-30,38.1,38.16,38.18,38.1,43915.0
2010-03-31,38.16,38.16,38.16,37.88,91628.0
2010-04-01,38.71,38.16,38.71,37.99,59513.0
2010-04-05,38.71,38.16,38.71,38.16,45500.0
2010-04-06,38.21,38.71,38.71,38.21,1246.0
2010-04-07,38.21,38.21,38.71,38.21,51746.0
2010-04-09,38.38,38.21,38.38,38.21,50420.0
2010-04-12,38.71,38.43,38.98,38.43,190402.0
2010-04-14,38.98,38.98,39.54,38.98,35000.0
2010-04-15,39.81,39.21,39.81,39.04,11620.0
2010-04-16,39.92,39.92,39.92,39.92,900.0
2010-04-19,39.83,39.81,39.87,39.81,36570.0
2010-04-21,39.27,39.27,39.27,39.27,100.0
2010-04-22,39.81,39.81,39.81,39.76,16400.0
2010-04-23,40.09,40.09,40.09,40.09,2678.0
2010-04-26,40.37,40.11,40.37,40.11,3693.0
2010-04-27,40.37,40.37,40.37,40.37,1700.0
2010-04-28,40.37,40.37,40.37,40.18,16799.0
2010-04-29,41.2,40.37,41.2,40.37,50373.0
2010-04-30,41.92,41.47,42.03,41.2,130337.0
2010-05-03,43.69,42.58,43.69,42.58,26600.0
2010-05-04,43.96,43.69,44.23,43.13,9650.0
2010-05-05,43.69,43.69,43.96,43.13,82091.0
2010-05-06,42.41,43.13,43.13,40.92,43405.0
2010-05-07,41.86,41.8,42.03,41.47,4000.0
2010-05-10,41.75,41.47,42.3,41.47,40600.0
2010-05-11,42.03,41.75,42.03,41.75,2200.0
2010-05-12,42.03,42.03,42.03,42.03,3200.0
2010-05-14,41.58,41.64,41.64,41.47,900.0
2010-05-17,42.03,41.58,42.03,41.58,4400.0
2010-05-18,41.2,40.92,41.2,40.92,5968.0
2010-05-19,42.25,40.92,42.25,40.92,5800.0
2010-05-20,40.92,42.03,42.03,40.92,126600.0
2010-05-21,40.64,40.7,40.7,40.37,1900.0
2010-05-24,40.15,40.37,40.37,40.09,72044.0
2010-05-25,39.81,39.81,40.37,38.98,5300.0
2010-05-26,39.81,39.81,39.81,39.81,4954.0
2010-05-27,39.82,39.96,39.98,39.81,145421.0
2010-05-28,39.81,39.81,39.81,39.81,400.0
2010-06-01,39.68,39.81,39.81,39.68,43797.0
2010-06-02,38.71,38.98,39.04,38.71,8277.0
