Date,Close,Open,High,Low,Volume
3/17/1980,0.77,,0.8,0.77,53700.0
3/18/1980,0.78,,0.78,0.77,82100.0
3/19/1980,0.77,,0.78,0.75,71900.0
3/20/1980,0.75,,0.77,0.75,113200.0
3/21/1980,0.73,,0.75,0.73,108000.0
3/24/1980,0.7,,0.73,0.7,95900.0
3/25/1980,0.73,,0.73,0.69,137300.0
3/26/1980,0.74,,0.77,0.73,81300.0
3/27/1980,0.73,,0.73,0.69,78300.0
3/28/1980,0.73,,0.77,0.73,126700.0
3/31/1980,0.73,,0.74,0.72,77900.0
4/1/1980,0.74,,0.74,0.72,140700.0
4/2/1980,0.72,,0.73,0.71,178900.0
4/3/1980,0.72,,0.73,0.71,125200.0
4/7/1980,0.71,,0.73,0.71,88900.0
4/8/1980,0.77,,0.79,0.7,247800.0
4/9/1980,0.78,,0.8,0.77,193500.0
4/10/1980,0.77,,0.78,0.76,266700.0
4/11/1980,0.77,,0.78,0.76,122700.0
4/14/1980,0.77,,0.78,0.77,158700.0
4/15/1980,0.8,,0.83,0.77,99500.0
4/16/1980,0.77,,0.82,0.77,160000.0
4/17/1980,0.78,,0.79,0.77,103800.0
4/18/1980,0.78,,0.8,0.77,51600.0
4/21/1980,0.74,,0.77,0.74,150700.0
4/22/1980,0.8,,0.8,0.75,85500.0
4/23/1980,0.8,,0.82,0.79,214200.0
4/24/1980,0.79,,0.8,0.79,78300.0
4/25/1980,0.77,,0.77,0.76,80400.0
4/28/1980,0.79,,0.8,0.78,259400.0
4/29/1980,0.79,,0.8,0.77,132000.0
4/30/1980,0.79,,0.8,0.77,129200.0
5/1/1980,0.79,,0.79,0.78,269000.0
5/2/1980,0.77,,0.78,0.77,327100.0
5/5/1980,0.83,,0.84,0.79,338700.0
5/6/1980,0.86,,0.86,0.83,174900.0
5/7/1980,0.91,,0.91,0.85,725800.0
5/8/1980,0.9,,0.91,0.88,505800.0
5/9/1980,0.9,,0.9,0.88,231800.0
5/12/1980,0.88,,0.88,0.86,133600.0
5/13/1980,0.88,,0.89,0.88,111100.0
5/14/1980,0.9,,0.9,0.88,784900.0
5/15/1980,0.92,,0.93,0.9,393100.0
5/16/1980,0.94,,0.94,0.91,613600.0
5/19/1980,0.93,,0.94,0.93,316800.0
5/20/1980,0.92,,0.93,0.91,159800.0
5/21/1980,0.9,,0.92,0.9,160500.0
5/22/1980,0.91,,0.92,0.91,336900.0
5/23/1980,0.92,,0.94,0.91,179000.0
5/27/1980,0.92,,0.93,0.92,104000.0
5/28/1980,0.93,,0.93,0.92,169300.0
5/29/1980,0.91,,0.93,0.91,237800.0
5/30/1980,0.91,,0.92,0.9,94700.0
6/2/1980,0.9,,0.91,0.89,94800.0
6/3/1980,0.9,,0.9,0.88,237000.0
6/4/1980,0.91,,0.91,0.89,187000.0
6/5/1980,0.91,,0.92,0.9,204500.0
6/6/1980,0.9,,0.91,0.89,133200.0
6/9/1980,0.89,,0.91,0.89,95400.0
6/10/1980,0.88,,0.9,0.88,181200.0
6/11/1980,0.88,,0.9,0.87,131500.0
6/12/1980,0.88,,0.91,0.88,121600.0
6/13/1980,0.88,,0.88,0.87,171500.0
6/16/1980,0.88,,0.88,0.87,96700.0
6/17/1980,0.88,,0.88,0.87,259500.0
6/18/1980,0.87,,0.88,0.86,111800.0
6/19/1980,0.84,,0.87,0.84,125200.0
6/20/1980,0.84,,0.85,0.82,105900.0
6/23/1980,0.86,,0.86,0.84,105200.0
6/24/1980,0.89,,0.89,0.86,196800.0
6/25/1980,0.91,,0.91,0.89,127900.0
6/26/1980,0.89,,0.92,0.88,87100.0
6/27/1980,0.89,,0.89,0.88,69100.0
6/30/1980,0.88,,0.89,0.88,58900.0
7/1/1980,0.88,,0.88,0.88,134900.0
7/2/1980,0.93,,0.93,0.88,216800.0
7/3/1980,0.98,,0.98,0.93,584400.0
7/7/1980,0.97,,0.97,0.95,262300.0
7/8/1980,0.95,,0.97,0.95,172700.0
7/9/1980,0.95,,0.96,0.95,214000.0
7/10/1980,0.96,,0.97,0.95,424000.0
7/11/1980,0.98,,0.98,0.95,138600.0
7/14/1980,0.97,,0.98,0.96,207800.0
7/15/1980,0.97,,0.98,0.95,174300.0
7/16/1980,0.97,,0.98,0.96,177600.0
7/17/1980,0.98,,0.98,0.97,93900.0
7/18/1980,0.99,,0.99,0.98,572400.0
7/21/1980,0.98,,0.99,0.96,218700.0
7/22/1980,0.95,,0.97,0.95,147600.0
7/23/1980,0.94,,0.96,0.94,115100.0
7/24/1980,0.95,,0.96,0.95,84800.0
7/25/1980,0.93,,0.95,0.92,225800.0
7/28/1980,0.92,,0.93,0.91,79200.0
7/29/1980,0.93,,0.93,0.9,104600.0
7/30/1980,0.92,,0.93,0.91,133300.0
7/31/1980,0.93,,0.93,0.91,95100.0
8/1/1980,0.94,,0.95,0.92,90900.0
8/4/1980,0.97,,0.97,0.92,159000.0
8/5/1980,0.97,,0.98,0.97,183400.0
8/6/1980,0.95,,0.97,0.95,150000.0
8/7/1980,0.95,,0.95,0.94,213700.0
8/8/1980,0.96,,0.96,0.95,155700.0
8/11/1980,0.97,,0.97,0.94,240400.0
8/12/1980,0.95,,0.97,0.94,127300.0
8/13/1980,0.94,,0.95,0.93,110900.0
8/14/1980,0.95,,0.95,0.93,94100.0
8/15/1980,0.95,,0.95,0.94,174700.0
8/18/1980,0.91,,0.95,0.89,159500.0
8/19/1980,0.94,,0.94,0.91,124700.0
8/20/1980,0.97,,0.97,0.94,233500.0
8/21/1980,1.0,,1.0,0.98,564900.0
8/22/1980,1.0,,1.0,0.93,297000.0
8/25/1980,0.98,,1.0,0.96,171900.0
8/26/1980,0.98,,0.98,0.98,95800.0
8/27/1980,0.97,,0.98,0.96,98100.0
8/28/1980,0.95,,0.97,0.95,96800.0
8/29/1980,0.96,,0.96,0.95,60900.0
9/2/1980,0.96,,0.97,0.95,121100.0
9/3/1980,0.97,,0.97,0.96,87300.0
9/4/1980,0.96,,0.98,0.96,125000.0
9/5/1980,0.96,,0.97,0.95,74600.0
9/8/1980,0.95,,0.98,0.95,79800.0
9/9/1980,0.97,,0.97,0.94,164700.0
9/10/1980,1.03,,1.04,0.98,964600.0
9/11/1980,1.08,,1.09,1.05,613400.0
9/12/1980,1.07,,1.1,1.07,482000.0
9/15/1980,1.06,,1.08,1.02,138100.0
9/16/1980,1.04,,1.06,1.04,155400.0
9/17/1980,1.05,,1.05,1.04,147300.0
9/18/1980,1.05,,1.05,1.03,156000.0
9/19/1980,1.04,,1.07,1.03,105500.0
9/22/1980,1.03,,1.05,1.02,105800.0
9/23/1980,1.01,,1.03,1.01,129900.0
9/24/1980,1.02,,1.02,0.99,151800.0
9/25/1980,1.02,,1.03,1.01,136600.0
9/26/1980,1.01,,1.01,0.98,113000.0
9/29/1980,0.98,,0.98,0.97,202500.0
9/30/1980,0.99,,1.0,0.98,92100.0
10/1/1980,0.99,,1.0,0.96,89400.0
10/2/1980,0.98,,0.99,0.98,69600.0
10/3/1980,1.02,,1.03,0.98,190700.0
10/6/1980,1.02,,1.05,1.01,65600.0
10/7/1980,0.99,,1.01,0.98,108600.0
10/8/1980,1.0,,1.01,0.98,68000.0
10/9/1980,0.98,,0.99,0.96,88200.0
10/10/1980,0.98,,0.98,0.97,66800.0
10/13/1980,0.98,,0.98,0.96,69000.0
10/14/1980,0.99,,0.99,0.98,138100.0
10/15/1980,0.99,,1.01,0.98,155300.0
10/16/1980,0.98,,1.0,0.98,195700.0
10/17/1980,0.98,,0.98,0.96,137600.0
10/20/1980,0.98,,0.98,0.96,67900.0
10/21/1980,0.95,,0.96,0.95,93500.0
10/22/1980,0.94,,0.95,0.94,87600.0
10/23/1980,0.91,,0.95,0.91,135700.0
10/24/1980,0.91,,0.91,0.89,196900.0
10/27/1980,0.91,,0.91,0.91,90900.0
