Date,Close,Open,High,Low,Volume
3/17/1980,1.06,,1.09,1.06,34900.0
3/18/1980,1.06,,1.08,1.06,32800.0
3/19/1980,1.08,,1.09,1.06,35000.0
3/20/1980,1.06,,1.09,1.06,26600.0
3/21/1980,1.09,,1.09,1.06,19100.0
3/24/1980,1.05,,1.08,1.03,19900.0
3/25/1980,1.03,,1.06,1.03,27700.0
3/26/1980,1.02,,1.06,1.02,19900.0
3/27/1980,1.0,,1.02,0.98,59400.0
3/28/1980,1.02,,1.03,1.0,25900.0
3/31/1980,1.05,,1.06,1.03,26400.0
4/1/1980,1.08,,1.08,1.03,21900.0
4/2/1980,1.06,,1.09,1.05,18600.0
4/3/1980,1.03,,1.06,1.03,14200.0
4/7/1980,1.03,,1.05,1.02,20300.0
4/8/1980,1.05,,1.06,1.02,23900.0
4/9/1980,1.03,,1.05,1.02,18000.0
4/10/1980,1.03,,1.06,1.02,27600.0
4/11/1980,1.05,,1.05,1.03,27300.0
4/14/1980,1.05,,1.06,1.03,18100.0
4/15/1980,1.05,,1.06,1.03,25400.0
4/16/1980,1.05,,1.06,1.03,20700.0
4/17/1980,1.05,,1.05,1.02,19800.0
4/18/1980,1.06,,1.08,1.06,23900.0
4/21/1980,1.08,,1.09,1.06,20100.0
4/22/1980,1.14,,1.14,1.05,77500.0
4/23/1980,1.09,,1.16,1.09,133100.0
4/24/1980,1.16,,1.16,1.11,18800.0
4/25/1980,1.11,,1.13,1.09,14000.0
4/28/1980,1.13,,1.13,1.09,16800.0
4/29/1980,1.11,,1.13,1.09,16600.0
4/30/1980,1.11,,1.11,1.08,81400.0
5/1/1980,1.08,,1.11,1.08,28300.0
5/2/1980,1.08,,1.11,1.08,20700.0
5/5/1980,1.19,,1.19,1.08,286500.0
5/6/1980,1.17,,1.2,1.16,29300.0
5/7/1980,1.17,,1.17,1.16,41600.0
5/8/1980,1.16,,1.2,1.16,30000.0
5/9/1980,1.16,,1.19,1.16,12400.0
5/12/1980,1.19,,1.2,1.16,25100.0
5/13/1980,1.23,,1.23,1.19,33800.0
5/14/1980,1.25,,1.25,1.22,24600.0
5/15/1980,1.25,,1.25,1.23,24300.0
5/16/1980,1.25,,1.25,1.23,33300.0
5/19/1980,1.23,,1.25,1.22,32900.0
5/20/1980,1.23,,1.23,1.19,24300.0
5/21/1980,1.23,,1.23,1.19,25600.0
5/22/1980,1.28,,1.31,1.22,66300.0
5/23/1980,1.25,,1.28,1.23,21200.0
5/27/1980,1.25,,1.27,1.23,22200.0
5/28/1980,1.25,,1.27,1.23,30400.0
5/29/1980,1.22,,1.27,1.22,29000.0
5/30/1980,1.25,,1.25,1.2,30400.0
6/2/1980,1.23,,1.25,1.22,22100.0
6/3/1980,1.22,,1.23,1.22,14100.0
6/4/1980,1.22,,1.22,1.2,26100.0
6/5/1980,1.22,,1.25,1.2,26600.0
6/6/1980,1.22,,1.23,1.2,16700.0
6/9/1980,1.23,,1.25,1.22,15900.0
6/10/1980,1.22,,1.25,1.2,26300.0
6/11/1980,1.2,,1.22,1.2,34700.0
6/12/1980,1.19,,1.22,1.19,38800.0
6/13/1980,1.19,,1.22,1.19,26300.0
6/16/1980,1.19,,1.22,1.19,21800.0
6/17/1980,1.19,,1.22,1.19,37500.0
6/18/1980,1.19,,1.2,1.19,43800.0
6/19/1980,1.17,,1.2,1.17,33500.0
6/20/1980,1.19,,1.19,1.14,59300.0
6/23/1980,1.17,,1.19,1.16,26900.0
6/24/1980,1.23,,1.23,1.16,576100.0
6/25/1980,1.31,,1.39,1.28,203500.0
6/26/1980,1.3,,1.34,1.28,44900.0
6/27/1980,1.3,,1.31,1.27,19400.0
6/30/1980,1.27,,1.31,1.25,26200.0
7/1/1980,1.31,,1.33,1.27,43800.0
7/2/1980,1.33,,1.34,1.31,69900.0
7/3/1980,1.31,,1.33,1.28,80100.0
7/7/1980,1.33,,1.34,1.3,31700.0
7/8/1980,1.28,,1.34,1.28,28400.0
7/9/1980,1.28,,1.3,1.28,36200.0
7/10/1980,1.31,,1.31,1.27,121700.0
7/11/1980,1.33,,1.33,1.28,71500.0
7/14/1980,1.34,,1.34,1.25,170800.0
7/15/1980,1.28,,1.34,1.28,70700.0
7/16/1980,1.3,,1.31,1.28,20500.0
7/17/1980,1.3,,1.31,1.28,36800.0
7/18/1980,1.3,,1.31,1.28,41400.0
7/21/1980,1.28,,1.3,1.27,46200.0
7/22/1980,1.27,,1.31,1.27,67300.0
7/23/1980,1.27,,1.28,1.25,55600.0
7/24/1980,1.28,,1.28,1.25,31400.0
7/25/1980,1.28,,1.28,1.27,33900.0
7/28/1980,1.25,,1.28,1.23,46600.0
7/29/1980,1.27,,1.28,1.23,52500.0
7/30/1980,1.27,,1.27,1.25,42400.0
7/31/1980,1.23,,1.27,1.23,25600.0
8/1/1980,1.25,,1.25,1.23,40000.0
8/4/1980,1.25,,1.25,1.23,19100.0
8/5/1980,1.25,,1.27,1.23,61600.0
8/6/1980,1.3,,1.3,1.23,168900.0
8/7/1980,1.28,,1.31,1.28,92700.0
8/8/1980,1.3,,1.31,1.28,49000.0
8/11/1980,1.34,,1.34,1.3,68100.0
8/12/1980,1.31,,1.34,1.31,44800.0
8/13/1980,1.3,,1.33,1.28,59400.0
8/14/1980,1.31,,1.31,1.3,36000.0
8/15/1980,1.3,,1.31,1.28,82400.0
8/18/1980,1.3,,1.31,1.27,55600.0
8/19/1980,1.3,,1.3,1.27,19000.0
8/20/1980,1.27,,1.3,1.27,54400.0
8/21/1980,1.31,,1.31,1.27,33300.0
8/22/1980,1.31,,1.33,1.3,68300.0
8/25/1980,1.28,,1.31,1.28,24200.0
8/26/1980,1.3,,1.31,1.28,19400.0
8/27/1980,1.28,,1.31,1.28,25200.0
8/28/1980,1.27,,1.31,1.27,42600.0
8/29/1980,1.28,,1.28,1.25,49700.0
9/2/1980,1.27,,1.28,1.27,25400.0
9/3/1980,1.28,,1.28,1.27,50200.0
9/4/1980,1.28,,1.28,1.27,74800.0
9/5/1980,1.3,,1.3,1.27,47800.0
9/8/1980,1.34,,1.39,1.28,275100.0
9/9/1980,1.45,,1.47,1.36,661100.0
9/10/1980,1.42,,1.47,1.38,265000.0
9/11/1980,1.44,,1.44,1.39,68500.0
9/12/1980,1.41,,1.42,1.39,49800.0
9/15/1980,1.41,,1.41,1.38,368500.0
9/16/1980,1.41,,1.47,1.41,101800.0
9/17/1980,1.41,,1.44,1.41,59100.0
9/18/1980,1.41,,1.44,1.38,70400.0
9/19/1980,1.39,,1.42,1.38,49200.0
9/22/1980,1.39,,1.39,1.36,42900.0
9/23/1980,1.34,,1.41,1.34,56100.0
9/24/1980,1.34,,1.36,1.31,36800.0
9/25/1980,1.31,,1.36,1.31,56000.0
9/26/1980,1.28,,1.34,1.27,48300.0
9/29/1980,1.27,,1.3,1.25,42300.0
9/30/1980,1.31,,1.31,1.27,40900.0
10/1/1980,1.28,,1.33,1.27,40200.0
10/2/1980,1.28,,1.3,1.27,14600.0
10/3/1980,1.28,,1.31,1.27,29000.0
10/6/1980,1.3,,1.31,1.27,26300.0
10/7/1980,1.28,,1.31,1.27,19400.0
10/8/1980,1.27,,1.3,1.27,16600.0
10/9/1980,1.27,,1.28,1.27,29000.0
10/10/1980,1.27,,1.28,1.27,26100.0
10/13/1980,1.33,,1.33,1.27,50900.0
10/14/1980,1.3,,1.34,1.3,58800.0
10/15/1980,1.3,,1.33,1.3,41900.0
10/16/1980,1.27,,1.33,1.27,86400.0
10/17/1980,1.28,,1.28,1.27,48000.0
10/20/1980,1.3,,1.31,1.27,20900.0
10/21/1980,1.28,,1.33,1.28,44600.0
10/22/1980,1.28,,1.31,1.28,27300.0
10/23/1980,1.27,,1.3,1.27,23000.0
10/24/1980,1.27,,1.3,1.25,37600.0
10/27/1980,1.3,,1.3,1.27,14800.0
10/28/1980,1.25,,1.28,1.25,27300.0
10/29/1980,1.25,,1.28,1.25,18000.0
10/30/1980,1.25,,1.28,1.23,40100.0
10/31/1980,1.28,,1.28,1.23,28200.0
11/3/1980,1.3,,1.3,1.27,44600.0
11/5/1980,1.33,,1.36,1.3,88200.0
11/6/1980,1.31,,1.33,1.3,81900.0
11/7/1980,1.31,,1.31,1.28,92700.0
11/10/1980,1.3,,1.31,1.27,21800.0
11/11/1980,1.33,,1.39,1.31,137900.0
11/12/1980,1.33,,1.36,1.31,43300.0
11/13/1980,1.33,,1.33,1.31,38000.0
11/14/1980,1.34,,1.34,1.31,56500.0
11/17/1980,1.33,,1.36,1.31,37200.0
11/18/1980,1.3,,1.34,1.3,63300.0
11/19/1980,1.3,,1.31,1.27,40800.0
11/20/1980,1.3,,1.31,1.27,18900.0
11/21/1980,1.27,,1.3,1.27,40900.0
11/24/1980,1.27,,1.27,1.22,64100.0
11/25/1980,1.25,,1.28,1.25,28900.0
11/26/1980,1.23,,1.27,1.23,37500.0
11/28/1980,1.27,,1.27,1.23,61100.0
12/1/1980,1.25,,1.28,1.25,63600.0
12/2/1980,1.27,,1.27,1.23,79200.0
12/3/1980,1.27,,1.28,1.25,36900.0
12/4/1980,1.28,,1.3,1.25,36200.0
12/5/1980,1.27,,1.28,1.25,44600.0
12/8/1980,1.23,,1.25,1.23,23500.0
12/9/1980,1.23,,1.25,1.23,35900.0
12/10/1980,1.23,,1.25,1.23,30400.0
12/11/1980,1.22,,1.25,1.22,75200.0
12/12/1980,1.23,,1.23,1.2,30900.0
12/15/1980,1.22,,1.23,1.22,33100.0
12/16/1980,1.2,,1.23,1.2,31400.0
12/17/1980,1.22,,1.23,1.2,40100.0
12/18/1980,1.23,,1.25,1.22,70800.0
12/19/1980,1.22,,1.23,1.22,36600.0
12/22/1980,1.23,,1.27,1.22,63800.0
12/23/1980,1.28,,1.28,1.23,58500.0
12/24/1980,1.3,,1.3,1.27,33400.0
12/26/1980,1.3,,1.3,1.27,21900.0
12/29/1980,1.27,,1.3,1.25,51200.0
12/30/1980,1.27,,1.28,1.25,36100.0
12/31/1980,1.27,,1.28,1.25,41000.0
1/2/1981,1.27,,1.27,1.25,26000.0
1/5/1981,1.3,,1.31,1.27,59900.0
1/6/1981,1.33,,1.33,1.3,54500.0
1/7/1981,1.23,,1.25,1.22,147900.0
1/8/1981,1.25,,1.27,1.23,47700.0
1/9/1981,1.27,,1.28,1.22,95100.0
1/12/1981,1.27,,1.31,1.27,43200.0
1/13/1981,1.27,,1.27,1.25,46900.0
1/14/1981,1.25,,1.28,1.25,34300.0
1/15/1981,1.25,,1.28,1.25,43300.0
1/16/1981,1.27,,1.28,1.25,240200.0
1/19/1981,1.3,,1.31,1.27,133600.0
1/20/1981,1.27,,1.34,1.27,139700.0
1/21/1981,1.3,,1.3,1.25,47700.0
1/22/1981,1.36,,1.36,1.28,116500.0
1/23/1981,1.34,,1.36,1.31,95500.0
1/26/1981,1.38,,1.39,1.31,104000.0
1/27/1981,1.34,,1.38,1.33,96300.0
1/28/1981,1.33,,1.36,1.3,90200.0
1/29/1981,1.33,,1.33,1.3,45900.0
1/30/1981,1.3,,1.33,1.28,68100.0
2/2/1981,1.3,,1.3,1.27,35900.0
2/3/1981,1.28,,1.28,1.27,84300.0
2/4/1981,1.28,,1.28,1.27,231400.0
