Date,Close,Open,High,Low,Volume
1980-03-17,0.66,,0.69,0.66,601.0
1980-03-18,0.66,,0.69,0.66,2301.0
1980-03-19,0.65,,0.68,0.65,3200.0
1980-03-20,0.7,,0.73,0.7,5901.0
1980-03-21,0.72,,0.75,0.72,2001.0
1980-03-24,0.72,,0.75,0.72,1401.0
1980-03-25,0.69,,0.72,0.69,3200.0
1980-03-26,0.69,,0.72,0.69,101.0
1980-03-27,0.56,,0.59,0.56,9401.0
1980-03-28,0.59,,0.62,0.59,2401.0
1980-03-31,0.62,,0.65,0.62,1701.0
1980-04-01,0.64,,0.67,0.64,1101.0
1980-04-02,0.64,,0.67,0.64,201.0
1980-04-03,0.64,,0.67,0.64,401.0
1980-04-07,0.62,,0.65,0.62,1001.0
1980-04-08,0.61,,0.64,0.61,101.0
1980-04-09,0.61,,0.64,0.61,801.0
1980-04-10,0.64,,0.67,0.64,3001.0
1980-04-11,0.64,,0.67,0.64,1801.0
1980-04-14,0.63,,0.66,0.63,1101.0
1980-04-15,0.63,,0.66,0.63,2601.0
1980-04-18,0.63,,0.66,0.63,201.0
1980-04-21,0.63,,0.66,0.63,101.0
1980-04-23,0.63,,0.66,0.63,1001.0
1980-04-24,0.63,,0.66,0.63,1101.0
1980-04-25,0.65,,0.68,0.65,3401.0
1980-04-28,0.66,,0.69,0.66,1201.0
1980-04-29,0.67,,0.7,0.67,1301.0
1980-05-01,0.67,,0.7,0.67,1101.0
1980-05-02,0.67,,0.7,0.67,701.0
1980-05-05,0.67,,0.7,0.67,401.0
1980-05-06,0.68,,0.71,0.68,701.0
1980-05-07,0.68,,0.71,0.68,1301.0
1980-05-08,0.7,,0.73,0.7,2101.0
1980-05-09,0.72,,0.75,0.72,3701.0
1980-05-12,0.74,,0.77,0.74,1601.0
1980-05-13,0.79,,0.82,0.79,4901.0
1980-05-14,0.75,,0.78,0.75,3601.0
1980-05-15,0.78,,0.8,0.78,1501.0
1980-05-16,0.82,,0.87,0.82,5101.0
1980-05-19,0.81,,0.86,0.81,1201.0
1980-05-20,0.8,,0.85,0.8,3001.0
1980-05-21,0.81,,0.86,0.81,2601.0
1980-05-22,0.81,,0.86,0.81,2401.0
1980-05-23,0.89,,0.93,0.89,6001.0
1980-05-27,0.87,,0.91,0.87,5201.0
1980-05-28,0.87,,0.91,0.87,801.0
1980-05-29,0.87,,0.91,0.87,4201.0
1980-05-30,0.87,,0.91,0.87,1001.0
1980-06-02,0.86,,0.9,0.86,2001.0
1980-06-03,0.81,,0.86,0.81,2101.0
1980-06-04,0.82,,0.87,0.82,1701.0
1980-06-05,0.81,,0.86,0.81,1801.0
1980-06-06,0.81,,0.86,0.81,2701.0
1980-06-09,0.89,,0.93,0.89,10601.0
1980-06-10,0.88,,0.92,0.88,3501.0
1980-06-11,0.88,,0.92,0.88,1101.0
1980-06-12,0.85,,0.89,0.85,2101.0
1980-06-13,0.85,,0.89,0.85,1101.0
1980-06-16,0.85,,0.89,0.85,1801.0
1980-06-17,0.85,,0.89,0.85,1501.0
1980-06-18,0.85,,0.89,0.85,501.0
1980-06-19,0.83,,0.88,0.83,2801.0
1980-06-20,0.82,,0.87,0.82,601.0
1980-06-23,0.83,,0.88,0.83,2201.0
1980-06-24,0.83,,0.88,0.83,3801.0
1980-06-25,0.85,,0.89,0.85,3301.0
1980-06-26,0.86,,0.9,0.86,2501.0
1980-06-27,0.85,,0.89,0.85,601.0
1980-06-30,0.85,,0.89,0.85,601.0
1980-07-01,0.86,,0.9,0.86,4501.0
1980-07-02,0.88,,0.92,0.88,2901.0
1980-07-03,0.88,,0.92,0.88,2001.0
1980-07-07,0.89,,0.92,0.89,301.0
1980-07-08,0.88,,0.89,0.88,1501.0
1980-07-09,0.89,,0.9,0.89,2501.0
1980-07-10,0.89,,0.9,0.89,701.0
1980-07-11,0.89,,0.9,0.89,901.0
1980-07-14,0.89,,0.91,0.89,1001.0
1980-07-15,0.9,,0.91,0.9,801.0
1980-07-16,0.89,,0.91,0.89,1201.0
1980-07-17,0.92,,0.94,0.92,2401.0
1980-07-18,0.96,,0.97,0.96,3701.0
1980-07-21,0.93,,0.96,0.93,4701.0
1980-07-22,0.94,,0.96,0.94,1401.0
1980-07-23,0.96,,0.98,0.96,2001.0
1980-07-24,0.96,,0.98,0.96,901.0
1980-07-25,0.96,,0.98,0.96,601.0
1980-07-28,0.97,,0.99,0.97,1101.0
1980-07-29,0.97,,1.0,0.97,801.0
1980-07-30,0.97,,1.0,0.97,1600.0
1980-07-31,0.97,,1.0,0.97,3801.0
1980-08-01,0.98,,1.0,0.98,301.0
1980-08-04,0.98,,1.0,0.98,401.0
1980-08-05,1.02,,1.04,1.02,6301.0
1980-08-06,1.1,,1.13,1.1,6201.0
1980-08-07,1.17,,1.21,1.17,6101.0
1980-08-08,1.22,,1.24,1.22,7601.0
1980-08-11,1.22,,1.25,1.22,3301.0
1980-08-12,1.22,,1.25,1.22,6201.0
1980-08-13,1.21,,1.23,1.21,7501.0
1980-08-14,1.21,,1.23,1.21,701.0
1980-08-15,1.23,,1.27,1.23,1901.0
1980-08-18,1.23,,1.26,1.23,1701.0
1980-08-19,1.23,,1.26,1.23,1001.0
1980-08-20,1.23,,1.26,1.23,401.0
1980-08-21,1.23,,1.26,1.23,1301.0
1980-08-22,1.24,,1.27,1.24,1401.0
1980-08-25,1.22,,1.25,1.22,1001.0
1980-08-26,1.23,,1.25,1.23,2901.0
1980-08-27,1.23,,1.25,1.23,1101.0
1980-08-28,1.23,,1.25,1.23,3001.0
1980-08-29,1.23,,1.25,1.23,5301.0
1980-09-02,1.23,,1.25,1.23,601.0
1980-09-03,1.24,,1.27,1.24,1401.0
1980-09-04,1.25,,1.28,1.25,901.0
1980-09-05,1.25,,1.3,1.25,1201.0
1980-09-08,1.31,,1.34,1.31,3301.0
1980-09-09,1.32,,1.34,1.32,1201.0
1980-09-10,1.38,,1.42,1.38,7601.0
1980-09-11,1.38,,1.42,1.38,2501.0
1980-09-12,1.32,,1.34,1.32,2601.0
1980-09-15,1.28,,1.31,1.28,11801.0
1980-09-16,1.3,,1.33,1.3,4101.0
1980-09-17,1.27,,1.3,1.27,1401.0
1980-09-18,1.3,,1.32,1.3,8201.0
1980-09-19,1.35,,1.38,1.35,2801.0
1980-09-22,1.39,,1.42,1.39,5601.0
1980-09-23,1.43,,1.45,1.43,12101.0
1980-09-24,1.43,,1.47,1.43,701.0
1980-09-25,1.43,,1.46,1.43,1701.0
1980-09-26,1.42,,1.44,1.42,4301.0
1980-09-29,1.35,,1.38,1.35,3701.0
1980-09-30,1.34,,1.37,1.34,1001.0
1980-10-01,1.34,,1.37,1.34,2401.0
1980-10-02,1.34,,1.36,1.34,2001.0
1980-10-03,1.34,,1.36,1.34,1001.0
1980-10-06,1.3,,1.32,1.3,2301.0
1980-10-07,1.28,,1.3,1.28,4800.0
1980-10-08,1.27,,1.28,1.27,101801.0
1980-10-09,1.25,,1.27,1.25,13001.0
1980-10-10,1.16,,1.19,1.16,23801.0
1980-10-13,1.24,,1.25,1.24,26401.0
1980-10-14,1.23,,1.24,1.23,30801.0
1980-10-15,1.28,,1.3,1.28,35200.0
1980-10-16,1.28,,1.31,1.28,51701.0
1980-10-17,1.26,,1.28,1.26,24801.0
1980-10-20,1.27,,1.3,1.27,8201.0
1980-10-21,1.27,,1.28,1.27,10901.0
1980-10-22,1.3,,1.32,1.3,12800.0
1980-10-23,1.28,,1.32,1.28,13101.0
1980-10-24,1.27,,1.28,1.27,5301.0
1980-10-27,1.25,,1.27,1.25,4601.0
1980-10-28,1.25,,1.26,1.25,2501.0
1980-10-29,1.25,,1.26,1.25,1600.0
1980-10-30,1.24,,1.26,1.24,2101.0
1980-10-31,1.23,,1.25,1.23,6201.0
1980-11-03,1.23,,1.24,1.23,11601.0
1980-11-05,1.22,,1.24,1.22,3001.0
1980-11-06,1.19,,1.21,1.19,6501.0
1980-11-07,1.19,,1.2,1.19,2901.0
1980-11-10,1.19,,1.21,1.19,4001.0
1980-11-11,1.24,,1.27,1.24,10901.0
1980-11-12,1.27,,1.3,1.27,4401.0
1980-11-13,1.27,,1.3,1.27,6301.0
1980-11-14,1.28,,1.32,1.28,6601.0
1980-11-17,1.28,,1.31,1.28,7601.0
1980-11-18,1.3,,1.32,1.3,4201.0
