Date,Close,Open,High,Low,Volume
2002-12-06,7.49,6.81,7.54,6.79,31557333.0
2002-12-09,7.34,7.46,7.47,7.18,3607485.0
2002-12-10,7.46,7.34,7.56,7.27,1973550.0
2002-12-11,7.87,7.46,7.94,7.39,2919663.0
2002-12-12,7.67,7.87,7.87,7.61,1552610.0
2002-12-13,7.62,7.67,7.68,7.55,1131097.0
2002-12-16,7.53,7.6,7.64,7.5,914041.0
2002-12-17,7.56,7.51,7.68,7.47,1885353.0
2002-12-18,7.45,7.54,7.54,7.43,849898.0
2002-12-19,7.39,7.43,7.46,7.36,783463.0
2002-12-20,7.76,7.4,7.79,7.33,1036028.0
2002-12-23,7.58,7.74,7.78,7.57,731347.0
2002-12-24,7.52,7.61,7.61,7.5,249700.0
2002-12-26,7.44,7.53,7.53,7.43,372259.0
2002-12-27,7.33,7.42,7.42,7.29,951267.0
2002-12-30,7.39,7.39,7.48,7.35,1233039.0
2002-12-31,7.62,7.38,7.65,7.38,2036548.0
2003-01-02,7.63,7.62,7.67,7.59,360805.0
2003-01-03,8.0,7.63,8.0,7.6,986775.0
2003-01-06,8.4,7.86,8.44,7.86,2147080.0
2003-01-07,8.38,8.38,8.49,8.25,1584109.0
2003-01-08,8.38,8.39,8.43,8.32,470765.0
2003-01-09,8.56,8.4,8.59,8.32,743374.0
2003-01-10,8.55,8.53,8.62,8.51,966730.0
2003-01-13,8.66,8.56,8.67,8.53,927786.0
2003-01-14,8.57,8.66,8.73,8.57,634560.0
2003-01-15,8.22,8.45,8.45,8.16,1671160.0
2003-01-16,7.92,8.21,8.21,7.9,830426.0
2003-01-17,7.86,7.9,7.95,7.82,676367.0
2003-01-21,7.76,7.87,7.89,7.73,536054.0
2003-01-22,7.71,7.74,7.75,7.7,187275.0
2003-01-23,7.93,7.72,7.99,7.71,545217.0
2003-01-24,8.2,7.92,8.22,7.86,784609.0
2003-01-27,8.08,8.17,8.19,8.07,239391.0
2003-01-28,8.03,8.08,8.13,8.03,417503.0
2003-01-29,8.12,8.01,8.21,7.99,459884.0
2003-01-30,7.72,8.12,8.14,7.65,841880.0
2003-01-31,7.42,7.68,7.69,7.34,3305668.0
2003-02-03,7.39,7.41,7.49,7.36,893423.0
2003-02-04,7.33,7.37,7.37,7.26,847607.0
2003-02-05,7.29,7.32,7.33,7.22,1327536.0
2003-02-06,7.25,7.28,7.34,7.24,1234184.0
2003-02-07,7.35,7.26,7.36,7.26,852761.0
2003-02-10,7.51,7.35,7.58,7.34,318998.0
2003-02-11,7.49,7.51,7.6,7.49,254854.0
2003-02-12,7.49,7.46,7.5,7.42,407195.0
2003-02-13,7.6,7.48,7.63,7.48,304107.0
2003-02-14,7.77,7.63,7.82,7.63,1097307.0
2003-02-18,7.77,7.81,7.82,7.71,863070.0
2003-02-19,7.82,7.78,7.86,7.75,481647.0
2003-02-20,7.86,7.82,7.87,7.81,182121.0
2003-02-21,7.92,7.86,7.97,7.86,235955.0
2003-02-24,7.95,7.86,8.0,7.86,209038.0
2003-02-25,7.98,7.94,8.0,7.92,165512.0
2003-02-26,7.92,7.99,8.03,7.87,245118.0
2003-02-27,7.56,7.9,7.9,7.56,1082417.0
2003-02-28,7.52,7.55,7.65,7.49,646586.0
2003-03-03,7.53,7.52,7.61,7.51,241682.0
2003-03-04,7.48,7.53,7.55,7.48,172957.0
2003-03-05,7.38,7.48,7.5,7.37,308689.0
2003-03-06,7.39,7.35,7.45,7.35,403758.0
2003-03-07,7.39,7.39,7.46,7.37,201020.0
2003-03-10,7.4,7.38,7.45,7.38,186702.0
2003-03-11,7.38,7.4,7.46,7.36,119695.0
2003-03-12,7.4,7.4,7.43,7.32,357369.0
2003-03-13,7.42,7.42,7.46,7.41,233664.0
2003-03-14,7.54,7.42,7.58,7.42,540063.0
2003-03-17,8.02,7.54,8.07,7.54,695267.0
2003-03-18,8.04,8.03,8.18,7.98,548081.0
2003-03-19,8.2,8.05,8.2,8.05,171239.0
2003-03-20,7.95,8.2,8.2,7.95,654032.0
2003-03-21,8.22,7.98,8.23,7.98,724475.0
2003-03-24,8.38,8.21,8.42,8.16,1273701.0
2003-03-25,8.46,8.37,8.48,8.37,624823.0
2003-03-26,8.47,8.45,8.54,8.45,1232466.0
2003-03-27,8.54,8.45,8.54,8.35,890560.0
2003-03-28,8.49,8.52,8.52,8.45,351069.0
2003-03-31,8.41,8.48,8.48,8.34,498255.0
2003-04-01,8.38,8.41,8.41,8.31,265736.0
2003-04-02,8.41,8.27,8.43,8.25,613942.0
2003-04-03,8.43,8.42,8.59,8.42,725047.0
2003-04-04,8.45,8.44,8.52,8.43,368250.0
2003-04-07,8.15,8.5,8.53,8.15,1270838.0
2003-04-08,8.11,8.14,8.17,8.06,455875.0
2003-04-09,8.16,8.13,8.19,8.08,446711.0
2003-04-10,8.23,8.17,8.23,8.13,257145.0
2003-04-11,8.17,8.24,8.24,8.14,204456.0
2003-04-14,8.3,8.17,8.31,8.15,243400.0
2003-04-15,8.29,8.29,8.32,8.28,227364.0
2003-04-16,8.31,8.3,8.37,8.3,320716.0
2003-04-17,8.56,8.49,8.67,8.48,1239339.0
2003-04-21,8.51,8.53,8.54,8.43,278908.0
2003-04-22,8.69,8.56,8.83,8.41,1840682.0
2003-04-23,8.82,8.78,8.95,8.73,1763939.0
2003-04-24,9.01,8.82,9.01,8.82,737647.0
2003-04-25,9.16,9.01,9.2,9.01,1036600.0
2003-04-28,9.67,9.19,9.81,9.19,3112665.0
2003-04-29,9.72,9.68,9.8,9.57,1666579.0
2003-04-30,9.87,9.71,9.91,9.62,1014265.0
2003-05-01,9.74,9.87,9.92,9.74,1324672.0
2003-05-02,9.95,9.72,10.04,9.72,848179.0
2003-05-05,9.92,9.96,10.13,9.89,793772.0
2003-05-06,9.87,9.92,9.92,9.78,757119.0
2003-05-07,9.71,9.83,9.88,9.66,806945.0
2003-05-08,9.67,9.67,9.7,9.59,809808.0
2003-05-09,9.73,9.69,9.83,9.61,528036.0
2003-05-12,9.9,9.72,10.0,9.69,524027.0
2003-05-13,10.23,9.88,10.3,9.88,1241057.0
2003-05-14,10.21,10.22,10.34,10.19,873951.0
2003-05-15,10.24,10.21,10.28,10.16,320143.0
2003-05-16,10.48,10.23,10.48,10.14,570416.0
2003-05-19,10.22,10.37,10.39,10.19,627114.0
2003-05-20,10.22,10.21,10.35,10.21,528609.0
2003-05-21,10.33,10.21,10.34,10.14,406622.0
2003-05-22,10.42,10.38,10.51,10.35,667777.0
2003-05-23,10.51,10.43,10.52,10.43,184411.0
2003-05-27,10.39,10.42,10.42,10.34,468474.0
2003-05-28,10.56,10.39,10.59,10.39,580152.0
