Date,Close,Open,High,Low,Volume
2006-01-26,0.88,0.9,0.97,0.79,660970000.0
2006-01-27,0.84,0.9,0.9,0.84,57540000.0
2006-01-30,0.9,0.84,0.91,0.83,36810000.0
2006-01-31,0.95,0.91,0.99,0.91,55560000.0
2006-02-01,0.93,0.98,0.98,0.91,30335000.0
2006-02-02,0.9,0.96,0.96,0.89,20190000.0
2006-02-03,0.93,0.9,0.93,0.89,12265000.0
2006-02-06,0.95,0.95,0.96,0.92,17505000.0
2006-02-07,0.93,0.95,0.96,0.91,13360000.0
2006-02-08,0.91,0.92,0.93,0.9,8720000.0
2006-02-09,0.88,0.92,0.92,0.86,11015000.0
2006-02-10,0.85,0.87,0.87,0.83,18775000.0
2006-02-13,0.83,0.84,0.85,0.82,9955000.0
2006-02-14,0.86,0.83,0.87,0.82,9895000.0
2006-02-15,0.85,0.86,0.87,0.84,4905000.0
2006-02-16,0.89,0.88,0.89,0.85,14650000.0
2006-02-17,0.88,0.89,0.9,0.88,6900000.0
2006-02-21,0.86,0.88,0.88,0.86,3405000.0
2006-02-22,0.88,0.86,0.88,0.86,4795000.0
2006-02-23,0.92,0.9,0.92,0.9,12465000.0
2006-02-24,0.93,0.92,0.94,0.92,6915000.0
2006-02-27,0.93,0.94,0.94,0.92,5040000.0
2006-02-28,0.91,0.93,0.93,0.91,4375000.0
2006-03-01,0.91,0.91,0.92,0.89,9505000.0
2006-03-02,0.92,0.91,0.93,0.9,11450000.0
2006-03-03,0.91,0.92,0.93,0.9,4455000.0
2006-03-06,0.92,0.91,0.92,0.9,8445000.0
2006-03-07,0.9,0.89,0.91,0.89,16415000.0
2006-03-08,0.85,0.9,0.9,0.84,15330000.0
2006-03-09,0.83,0.86,0.86,0.83,8075000.0
2006-03-10,0.84,0.83,0.86,0.82,15695000.0
2006-03-13,0.87,0.85,0.88,0.85,9710000.0
2006-03-14,0.97,0.93,0.98,0.92,62790000.0
2006-03-15,1.04,0.96,1.06,0.96,57105000.0
2006-03-16,1.1,1.04,1.14,1.04,84885000.0
2006-03-17,1.08,1.11,1.11,1.07,19810000.0
2006-03-20,1.0,1.08,1.08,1.0,43175000.0
2006-03-21,1.04,1.01,1.05,1.0,18030000.0
2006-03-22,1.1,1.06,1.1,1.06,28990000.0
2006-03-23,1.08,1.1,1.1,1.06,25280000.0
2006-03-24,1.09,1.08,1.1,1.07,13850000.0
2006-03-27,1.08,1.09,1.09,1.07,11045000.0
2006-03-28,1.06,1.08,1.08,1.06,8785000.0
2006-03-29,1.08,1.07,1.09,1.06,7400000.0
2006-03-30,1.11,1.08,1.11,1.08,10470000.0
2006-03-31,1.11,1.1,1.13,1.09,38520000.0
2006-04-03,1.14,1.11,1.15,1.1,18505000.0
2006-04-04,1.14,1.14,1.15,1.13,8370000.0
2006-04-05,1.14,1.14,1.14,1.12,4965000.0
2006-04-06,1.11,1.15,1.16,1.11,15085000.0
2006-04-07,1.09,1.11,1.11,1.09,11055000.0
2006-04-10,1.07,1.09,1.11,1.07,16905000.0
2006-04-11,1.09,1.07,1.1,1.06,17975000.0
2006-04-12,1.08,1.09,1.1,1.08,10640000.0
2006-04-13,1.06,1.08,1.08,1.05,7405000.0
2006-04-17,1.08,1.06,1.09,1.06,4985000.0
2006-04-18,1.08,1.08,1.09,1.08,5215000.0
2006-04-19,1.08,1.08,1.09,1.08,7525000.0
2006-04-20,1.06,1.08,1.08,1.06,4970000.0
2006-04-21,1.07,1.08,1.08,1.06,5955000.0
2006-04-24,1.07,1.07,1.07,1.06,8345000.0
2006-04-25,1.04,1.06,1.06,1.03,15455000.0
2006-04-26,1.02,1.04,1.05,1.02,8310000.0
2006-04-27,1.02,0.98,1.02,0.97,40650000.0
2006-04-28,1.04,1.01,1.05,1.0,7980000.0
2006-05-01,1.03,1.04,1.04,1.03,7745000.0
2006-05-02,1.09,1.06,1.11,1.05,34005000.0
2006-05-03,1.1,1.09,1.1,1.09,10240000.0
2006-05-04,1.11,1.11,1.12,1.1,9710000.0
2006-05-05,1.14,1.11,1.14,1.11,8190000.0
2006-05-08,1.19,1.15,1.19,1.14,39700000.0
2006-05-09,1.34,1.31,1.36,1.25,125770000.0
2006-05-10,1.3,1.34,1.34,1.29,25945000.0
2006-05-11,1.28,1.29,1.31,1.28,16135000.0
2006-05-12,1.27,1.28,1.29,1.26,13430000.0
2006-05-15,1.24,1.27,1.27,1.23,18845000.0
2006-05-16,1.28,1.24,1.31,1.24,22845000.0
2006-05-17,1.28,1.28,1.3,1.27,12850000.0
2006-05-18,1.25,1.3,1.31,1.25,44505000.0
2006-05-19,1.24,1.24,1.27,1.23,113020000.0
2006-05-22,1.22,1.23,1.24,1.19,29670000.0
2006-05-23,1.22,1.22,1.25,1.22,19550000.0
2006-05-24,1.2,1.22,1.22,1.19,18535000.0
2006-05-25,1.23,1.21,1.24,1.21,13570000.0
2006-05-26,1.22,1.22,1.23,1.22,4785000.0
2006-05-30,1.16,1.22,1.22,1.15,21320000.0
2006-05-31,1.16,1.16,1.18,1.13,23285000.0
2006-06-01,1.2,1.16,1.2,1.16,12035000.0
2006-06-02,1.21,1.2,1.21,1.19,14700000.0
2006-06-05,1.18,1.21,1.21,1.18,8120000.0
2006-06-06,1.16,1.18,1.18,1.15,11885000.0
2006-06-07,1.17,1.17,1.2,1.16,13055000.0
2006-06-08,1.15,1.16,1.16,1.1,21205000.0
2006-06-09,1.13,1.15,1.17,1.13,8575000.0
2006-06-12,1.14,1.13,1.15,1.11,12470000.0
2006-06-13,1.12,1.14,1.15,1.12,12590000.0
2006-06-14,1.16,1.12,1.17,1.12,10635000.0
2006-06-15,1.24,1.18,1.24,1.18,35885000.0
2006-06-16,1.24,1.25,1.25,1.23,20605000.0
2006-06-19,1.22,1.24,1.24,1.21,10170000.0
2006-06-20,1.21,1.22,1.24,1.21,6385000.0
2006-06-21,1.26,1.22,1.28,1.22,14615000.0
2006-06-22,1.26,1.25,1.27,1.24,13905000.0
2006-06-23,1.24,1.26,1.26,1.23,11520000.0
2006-06-26,1.26,1.24,1.26,1.24,4190000.0
2006-06-27,1.24,1.25,1.27,1.23,11050000.0
2006-06-28,1.2,1.24,1.24,1.19,13115000.0
2006-06-29,1.22,1.2,1.23,1.19,22235000.0
2006-06-30,1.22,1.23,1.25,1.2,14380000.0
2006-07-03,1.21,1.23,1.23,1.2,5420000.0
2006-07-05,1.19,1.21,1.21,1.17,20820000.0
2006-07-06,1.18,1.19,1.2,1.17,16455000.0
2006-07-07,1.12,1.18,1.18,1.12,26275000.0
2006-07-10,1.07,1.12,1.13,1.06,28670000.0
2006-07-11,1.1,1.07,1.11,1.04,22730000.0
2006-07-12,1.09,1.1,1.11,1.08,6660000.0
2006-07-13,1.1,1.08,1.11,1.05,22675000.0
2006-07-14,1.08,1.1,1.1,1.06,10135000.0
2006-07-17,1.11,1.08,1.12,1.08,12940000.0
2006-07-18,1.08,1.12,1.13,1.06,28765000.0
2006-07-19,1.08,1.08,1.11,1.06,15950000.0
2006-07-20,1.02,1.08,1.08,1.0,40635000.0
2006-07-21,0.99,1.02,1.02,0.97,33095000.0
2006-07-24,1.01,0.99,1.03,0.99,18290000.0
2006-07-25,1.06,1.01,1.07,1.01,21170000.0
2006-07-26,1.05,1.05,1.06,1.03,17810000.0
2006-07-27,1.02,1.05,1.06,1.01,14840000.0
2006-07-28,1.0,1.02,1.05,1.0,26630000.0
2006-07-31,1.05,1.0,1.06,0.99,60870000.0
2006-08-01,1.04,1.0,1.06,1.0,59695000.0
2006-08-02,1.05,1.04,1.06,1.03,29840000.0
2006-08-03,1.08,1.04,1.08,1.03,25630000.0
2006-08-04,1.1,1.1,1.13,1.08,19180000.0
2006-08-07,1.09,1.09,1.09,1.07,8905000.0
2006-08-08,1.07,1.09,1.09,1.06,40440000.0
2006-08-09,1.01,1.07,1.07,1.01,32885000.0
2006-08-10,0.97,1.0,1.0,0.95,45515000.0
2006-08-11,0.99,0.98,1.0,0.96,24460000.0
2006-08-14,1.0,1.0,1.01,0.99,21165000.0
2006-08-15,1.01,1.01,1.02,1.0,26160000.0
2006-08-16,1.07,1.02,1.07,1.01,27010000.0
2006-08-17,1.06,1.06,1.08,1.05,21045000.0
2006-08-18,1.04,1.07,1.07,1.03,15950000.0
2006-08-21,1.02,1.03,1.03,1.01,15235000.0
2006-08-22,1.01,1.02,1.02,1.01,7825000.0
2006-08-23,1.0,1.01,1.02,0.99,8955000.0
2006-08-24,0.98,1.0,1.01,0.98,12815000.0
2006-08-25,0.98,0.98,0.99,0.98,7180000.0
2006-08-28,0.98,0.98,0.99,0.97,4665000.0
2006-08-29,1.0,0.98,1.0,0.98,14045000.0
2006-08-30,1.01,0.99,1.02,0.99,11030000.0
2006-08-31,0.99,1.01,1.01,0.98,7900000.0
2006-09-01,1.01,0.99,1.02,0.99,12530000.0
2006-09-05,1.01,1.01,1.03,1.01,14290000.0
2006-09-06,1.0,1.01,1.01,0.99,9420000.0
2006-09-07,1.0,1.0,1.0,0.98,8555000.0
2006-09-08,0.96,1.0,1.0,0.92,147590000.0
2006-09-11,0.98,0.96,0.99,0.95,26120000.0
2006-09-12,1.03,0.99,1.04,0.97,30560000.0
2006-09-13,1.04,1.03,1.05,1.03,28715000.0
2006-09-14,1.02,1.02,1.03,1.01,25930000.0
2006-09-15,1.02,1.03,1.03,1.01,15240000.0
2006-09-18,1.02,1.02,1.03,1.01,8735000.0
2006-09-19,1.01,1.01,1.02,1.0,12270000.0
2006-09-20,1.02,1.01,1.04,1.01,18260000.0
2006-09-21,1.06,1.03,1.08,1.02,47575000.0
2006-09-22,1.04,1.05,1.05,1.02,26795000.0
2006-09-25,1.06,1.04,1.07,1.04,33835000.0
2006-09-26,1.05,1.07,1.07,1.03,19535000.0
2006-09-27,1.0,1.04,1.05,0.99,38105000.0
2006-09-28,0.99,1.0,1.01,0.97,39220000.0
2006-09-29,0.99,0.99,1.0,0.99,37200000.0
2006-10-02,0.98,0.99,1.0,0.97,33000000.0
2006-10-03,0.99,0.98,1.0,0.98,50870000.0
2006-10-04,1.02,0.99,1.03,0.98,163960000.0
2006-10-05,1.0,1.02,1.02,0.97,195070000.0
2006-10-06,1.03,1.01,1.03,0.97,338285000.0
2006-10-09,1.11,1.05,1.14,1.05,227965000.0
2006-10-10,1.13,1.11,1.15,1.1,212405000.0
2006-10-11,1.11,1.13,1.15,1.09,86500000.0
