Date,Close,Open,High,Low,Volume
3/17/1980,7.48,,7.55,7.48,55900.0
3/18/1980,7.52,,7.58,7.35,81600.0
3/19/1980,7.68,,7.72,7.58,53400.0
3/20/1980,7.58,,7.68,7.55,38700.0
3/21/1980,7.35,,7.55,7.31,74200.0
3/24/1980,7.08,,7.35,7.04,26500.0
3/25/1980,7.11,,7.21,7.04,58800.0
3/26/1980,7.21,,7.28,7.18,20800.0
3/27/1980,7.31,,7.31,7.08,34700.0
3/28/1980,7.28,,7.45,7.18,27200.0
3/31/1980,7.28,,7.38,7.21,46100.0
4/1/1980,7.38,,7.45,7.28,36900.0
4/2/1980,7.48,,7.48,7.35,68400.0
4/3/1980,7.38,,7.45,7.35,27000.0
4/7/1980,7.28,,7.45,7.21,184900.0
4/8/1980,7.31,,7.31,7.24,25900.0
4/9/1980,7.41,,7.45,7.24,79900.0
4/10/1980,7.38,,7.45,7.35,33800.0
4/11/1980,7.38,,7.48,7.38,157900.0
4/14/1980,7.38,,7.45,7.38,134300.0
4/15/1980,7.41,,7.45,7.41,159400.0
4/16/1980,7.48,,7.55,7.41,157900.0
4/17/1980,7.55,,7.55,7.45,151500.0
4/18/1980,7.58,,7.65,7.58,241700.0
4/21/1980,7.65,,7.68,7.62,159900.0
4/22/1980,7.79,,7.82,7.65,109200.0
4/23/1980,7.82,,7.89,7.79,88400.0
4/24/1980,7.92,,7.96,7.79,88300.0
4/25/1980,7.99,,8.02,7.82,312600.0
4/28/1980,7.99,,8.06,7.96,177300.0
4/29/1980,7.92,,7.99,7.92,37600.0
4/30/1980,7.85,,7.96,7.65,53500.0
5/1/1980,7.79,,7.85,7.72,153700.0
5/2/1980,7.85,,7.85,7.75,42100.0
5/5/1980,7.96,,7.99,7.85,143600.0
5/6/1980,7.96,,7.99,7.89,28000.0
5/7/1980,8.02,,8.06,7.96,88900.0
5/8/1980,7.89,,8.02,7.82,155400.0
5/9/1980,7.62,,7.68,7.52,66100.0
5/12/1980,7.55,,7.62,7.52,36800.0
5/13/1980,7.58,,7.65,7.55,154400.0
5/14/1980,7.58,,7.58,7.55,71200.0
5/15/1980,7.55,,7.62,7.52,351600.0
5/16/1980,7.52,,7.55,7.52,29700.0
5/19/1980,7.45,,7.52,7.45,155300.0
5/20/1980,7.45,,7.52,7.45,26800.0
5/21/1980,7.52,,7.52,7.45,81000.0
5/22/1980,7.55,,7.58,7.48,36000.0
5/23/1980,7.65,,7.68,7.55,53700.0
5/27/1980,7.58,,7.65,7.52,99800.0
5/28/1980,7.55,,7.55,7.45,259200.0
5/29/1980,7.58,,7.68,7.58,172500.0
5/30/1980,7.62,,7.65,7.55,194200.0
6/2/1980,7.55,,7.58,7.55,34900.0
6/3/1980,7.38,,7.58,7.31,75800.0
6/4/1980,7.31,,7.48,7.31,126700.0
6/5/1980,7.38,,7.41,7.31,130100.0
6/6/1980,7.52,,7.55,7.41,139300.0
6/9/1980,7.52,,7.58,7.41,67400.0
6/10/1980,7.48,,7.55,6.97,120500.0
6/11/1980,7.55,,7.58,7.48,174200.0
6/12/1980,7.58,,7.62,7.55,308500.0
6/13/1980,7.79,,7.79,7.65,242700.0
6/16/1980,7.99,,7.99,7.79,178000.0
6/17/1980,7.92,,7.99,7.92,80300.0
6/18/1980,7.79,,7.96,7.65,161700.0
6/19/1980,7.85,,7.85,7.75,123400.0
6/20/1980,7.92,,7.96,7.82,29900.0
6/23/1980,7.92,,7.96,7.89,32900.0
6/24/1980,7.92,,7.92,7.89,38400.0
