Date,Close,Open,High,Low,Volume
1983-01-21,7.16,,7.33,7.16,618640.0
1983-01-24,7.63,,7.67,7.63,2626506.0
1983-01-25,8.05,,8.1,8.05,1357840.0
1983-01-26,8.05,,8.1,8.05,688746.0
1983-01-27,8.48,,8.52,8.48,652666.0
1983-01-28,8.35,,8.39,8.35,655013.0
1983-01-31,8.22,,8.31,8.22,557333.0
1983-02-01,7.97,,8.01,7.97,349066.0
1983-02-02,7.93,,7.97,7.93,381626.0
1983-02-03,8.01,,8.05,8.01,222640.0
1983-02-04,8.05,,8.1,8.05,153413.0
1983-02-07,8.1,,8.18,8.1,347013.0
1983-02-08,8.1,,8.14,8.1,237600.0
1983-02-09,8.05,,8.1,8.05,166613.0
1983-02-10,8.1,,8.14,8.1,119680.0
1983-02-11,8.1,,8.14,8.1,175706.0
1983-02-14,8.1,,8.14,8.1,286586.0
1983-02-15,7.93,,7.97,7.93,180400.0
1983-02-16,7.97,,8.01,7.97,144613.0
1983-02-17,7.8,,7.88,7.8,167493.0
1983-02-18,7.88,,7.93,7.88,124080.0
1983-02-22,7.88,,7.97,7.88,110880.0
1983-02-23,7.84,,7.93,7.84,140213.0
1983-02-24,7.88,,7.93,7.88,185973.0
1983-02-25,7.93,,7.97,7.93,275146.0
1983-02-28,7.84,,7.88,7.84,114986.0
1983-03-01,7.5,,7.54,7.5,176586.0
1983-03-02,7.41,,7.5,7.41,186266.0
1983-03-03,7.33,,7.37,7.33,88000.0
1983-03-04,7.29,,7.37,7.29,126133.0
1983-03-07,7.41,,7.5,7.41,101786.0
1983-03-08,7.76,,7.88,7.76,239066.0
1983-03-09,7.97,,8.01,7.97,124080.0
1983-03-10,7.84,,8.01,7.84,123493.0
1983-03-11,7.84,,7.93,7.84,38720.0
1983-03-14,7.71,,7.76,7.71,152240.0
1983-03-15,7.63,,7.67,7.63,57200.0
1983-03-16,7.59,,7.67,7.59,49866.0
1983-03-17,7.33,,7.37,7.33,48986.0
1983-03-18,7.24,,7.37,7.24,115866.0
1983-03-21,7.24,,7.33,7.24,78026.0
