Date,Close,Open,High,Low,Volume
2017-10-04,10.5,10.5,10.7,10.1,130654.0
2017-10-05,9.88,10.5,10.18,10.0,117105.0
2017-10-06,9.25,9.88,9.75,9.5,62000.0
2017-10-09,8.38,9.25,9.01,8.1,281500.0
2017-10-10,8.38,8.38,8.49,8.25,114856.0
2017-10-11,8.38,,,,
2017-10-12,9.13,8.25,9.29,8.26,467910.0
2017-10-13,9.13,9.13,9.15,8.75,407761.0
2017-10-16,9.13,9.13,8.9,8.9,93704.0
2017-10-17,8.75,9.13,8.8,8.75,99435.0
2017-10-18,8.75,,,,
2017-10-19,8.75,8.75,8.7,8.7,5581.0
2017-10-20,8.63,8.75,8.55,8.55,8008.0
2017-10-23,8.63,8.63,8.53,8.5,32925.0
2017-10-24,8.63,,,,
2017-10-25,8.63,8.63,8.53,8.53,35000.0
2017-10-26,8.63,8.63,8.55,8.55,10000.0
2017-10-27,8.38,8.63,8.5,8.45,31630.0
2017-10-30,8.38,8.38,8.31,8.31,12134.0
2017-10-31,8.38,8.38,8.43,8.43,1180.0
2017-11-01,8.38,8.38,8.59,8.31,151429.0
2017-11-02,8.38,,,,
2017-11-03,8.38,8.38,8.43,8.43,100.0
2017-11-06,8.38,8.38,8.43,8.43,4280.0
2017-11-07,8.63,8.63,8.43,8.43,1039.0
2017-11-08,8.63,8.63,8.43,8.43,15000.0
2017-11-09,8.63,8.63,8.43,8.43,54918.0
2017-11-10,8.63,,,,
2017-11-13,8.63,8.63,8.74,8.4,166878.0
2017-11-14,8.63,,,,
2017-11-15,8.25,8.63,8.31,8.25,64280.0
2017-11-16,8.13,8.25,8.16,8.03,100000.0
2017-11-17,8.13,,,,
2017-11-20,7.88,8.13,8.0,7.81,110000.0
2017-11-21,7.88,7.88,7.81,7.81,4435.0
2017-11-22,7.88,7.88,7.95,7.95,734.0
2017-11-23,7.88,,,,
2017-11-24,7.88,7.88,7.81,7.81,54918.0
2017-11-27,8.38,7.88,8.39,8.0,362500.0
2017-11-28,8.38,,,,
2017-11-29,8.38,,,,
2017-11-30,8.38,,,,
2017-12-01,8.38,8.38,8.01,8.01,9304.0
2017-12-04,8.38,8.38,8.29,8.01,63000.0
2017-12-05,7.88,8.38,8.0,7.81,65000.0
2017-12-06,8.13,8.13,8.4,8.19,73400.0
2017-12-07,8.13,8.13,7.85,7.85,25000.0
2017-12-08,8.13,,,,
2017-12-11,8.13,,,,
2017-12-12,8.13,,,,
