Date,Close,Open,High,Low,Volume
3/17/1980,1.64,,1.7,1.63,19100.0
3/18/1980,1.67,,1.67,1.63,16700.0
3/19/1980,1.69,,1.71,1.67,51200.0
3/20/1980,1.69,,1.7,1.69,11200.0
3/21/1980,1.66,,1.7,1.66,17600.0
3/24/1980,1.65,,1.7,1.65,6900.0
3/25/1980,1.63,,1.66,1.63,9100.0
3/26/1980,1.63,,1.65,1.63,24500.0
3/27/1980,1.58,,1.63,1.58,8700.0
3/28/1980,1.64,,1.67,1.58,8700.0
3/31/1980,1.67,,1.68,1.64,10800.0
4/1/1980,1.64,,1.68,1.63,26900.0
4/2/1980,1.65,,1.65,1.61,15800.0
4/3/1980,1.64,,1.66,1.63,6800.0
4/7/1980,1.63,,1.64,1.63,6100.0
4/8/1980,1.65,,1.65,1.62,3100.0
4/9/1980,1.68,,1.7,1.65,9600.0
4/10/1980,1.73,,1.73,1.69,4500.0
4/11/1980,1.73,,1.77,1.72,8400.0
4/14/1980,1.73,,1.77,1.73,4700.0
4/15/1980,1.73,,1.77,1.71,5700.0
4/16/1980,1.72,,1.77,1.72,5600.0
4/17/1980,1.7,,1.73,1.7,2500.0
4/18/1980,1.69,,1.71,1.69,2900.0
4/21/1980,1.66,,1.68,1.66,11300.0
4/22/1980,1.7,,1.7,1.66,4400.0
4/23/1980,1.67,,1.7,1.66,23700.0
4/24/1980,1.67,,1.7,1.66,7200.0
4/25/1980,1.7,,1.71,1.66,19600.0
4/28/1980,1.7,,1.72,1.7,48200.0
4/29/1980,1.72,,1.72,1.7,26800.0
4/30/1980,1.72,,1.72,1.7,11300.0
5/1/1980,1.7,,1.72,1.69,16800.0
5/2/1980,1.73,,1.73,1.69,10800.0
5/5/1980,1.74,,1.74,1.7,83500.0
5/6/1980,1.75,,1.76,1.72,8000.0
5/7/1980,1.83,,1.84,1.75,7000.0
5/8/1980,1.81,,1.83,1.81,2700.0
5/9/1980,1.8,,1.81,1.75,24800.0
5/12/1980,1.8,,1.8,1.77,9500.0
5/13/1980,1.81,,1.83,1.8,4300.0
5/14/1980,1.79,,1.83,1.79,3700.0
5/15/1980,1.81,,1.81,1.78,6400.0
5/16/1980,1.81,,1.83,1.79,7800.0
5/19/1980,1.78,,1.81,1.77,3700.0
5/20/1980,1.78,,1.81,1.77,4900.0
5/21/1980,1.78,,1.8,1.77,9500.0
5/22/1980,1.78,,1.78,1.77,7800.0
5/23/1980,1.8,,1.8,1.77,21600.0
5/27/1980,1.78,,1.8,1.78,5700.0
5/28/1980,1.77,,1.78,1.77,9200.0
5/29/1980,1.77,,1.77,1.77,3800.0
5/30/1980,1.77,,1.77,1.76,8100.0
6/2/1980,1.78,,1.78,1.78,2500.0
6/3/1980,1.78,,1.79,1.78,150500.0
6/4/1980,1.78,,1.8,1.78,3900.0
6/5/1980,1.81,,1.81,1.79,30500.0
6/6/1980,1.81,,1.82,1.78,4800.0
6/9/1980,1.81,,1.83,1.81,64100.0
6/10/1980,1.81,,1.82,1.8,5900.0
6/11/1980,1.84,,1.84,1.81,13000.0
6/12/1980,1.87,,1.87,1.83,8600.0
6/13/1980,1.94,,1.94,1.88,9000.0
6/16/1980,1.91,,1.94,1.9,4600.0
6/17/1980,1.91,,1.93,1.89,12200.0
6/18/1980,1.91,,1.92,1.89,8900.0
6/19/1980,1.88,,1.91,1.88,7000.0
6/20/1980,1.88,,1.88,1.88,4400.0
6/23/1980,1.88,,1.88,1.86,5700.0
6/24/1980,1.88,,1.9,1.87,2400.0
