Date,Close,Open,High,Low,Volume
7/22/1993,21.89,21.65,21.89,21.53,3159100.0
7/23/1993,22.12,21.89,22.48,21.89,609900.0
7/26/1993,21.65,22.12,22.12,21.65,218400.0
7/27/1993,21.65,21.77,21.77,21.65,183800.0
7/28/1993,21.89,21.65,22.0,21.65,192900.0
7/29/1993,21.77,21.89,22.0,21.77,114100.0
7/30/1993,21.77,21.77,21.77,21.65,57200.0
8/2/1993,21.65,21.77,21.89,21.65,79800.0
8/3/1993,21.89,21.77,21.89,21.65,155100.0
8/4/1993,22.0,21.89,22.0,21.77,81000.0
8/5/1993,21.77,21.89,22.0,21.77,94500.0
8/6/1993,21.89,21.77,21.89,21.77,137000.0
8/9/1993,21.77,21.77,21.89,21.77,119200.0
8/10/1993,21.41,21.77,21.77,21.41,75700.0
8/11/1993,21.29,21.53,21.53,21.17,37100.0
8/12/1993,21.17,21.29,21.29,21.17,21400.0
8/13/1993,21.29,21.05,21.41,20.93,49500.0
8/16/1993,21.29,21.29,21.29,21.29,9800.0
8/17/1993,21.41,21.29,21.41,21.17,29900.0
8/18/1993,21.05,21.29,21.29,21.05,61500.0
8/19/1993,21.29,21.05,21.41,21.05,56300.0
8/20/1993,21.17,21.17,21.17,21.05,37100.0
8/23/1993,21.65,21.41,21.65,21.41,51700.0
8/24/1993,22.36,21.89,22.36,21.89,87400.0
8/25/1993,22.36,22.36,22.48,22.12,42200.0
8/26/1993,22.24,22.36,22.36,22.12,25100.0
8/27/1993,22.36,22.24,22.36,22.12,22000.0
8/30/1993,22.36,22.36,22.48,22.24,38600.0
8/31/1993,22.84,22.48,22.96,22.48,79300.0
9/1/1993,23.31,22.96,23.55,22.96,69200.0
9/2/1993,23.07,23.43,23.43,22.96,46800.0
9/3/1993,23.31,23.19,23.31,22.96,27800.0
9/7/1993,23.31,23.31,23.43,23.19,23900.0
9/8/1993,23.31,23.31,23.31,23.07,36800.0
9/9/1993,23.31,23.19,23.43,23.19,20800.0
9/10/1993,23.55,23.43,23.55,23.31,10700.0
9/13/1993,23.79,23.55,24.03,23.43,24600.0
9/14/1993,23.79,23.67,24.03,23.55,25500.0
9/15/1993,24.38,23.79,24.74,23.67,51700.0
9/16/1993,24.38,24.38,24.38,24.15,16600.0
9/17/1993,24.62,24.26,24.62,24.15,38100.0
9/20/1993,24.38,24.5,24.62,24.38,28200.0
9/21/1993,24.26,24.38,24.38,23.91,53200.0
9/22/1993,24.26,24.26,24.5,24.15,26100.0
9/23/1993,24.26,24.15,24.38,24.15,20700.0
9/24/1993,24.15,24.03,24.15,24.03,23000.0
9/27/1993,24.38,24.26,24.38,24.26,35400.0
9/28/1993,25.22,24.62,25.22,24.5,235900.0
9/29/1993,25.45,25.22,25.57,25.22,36300.0
9/30/1993,26.05,25.57,26.17,25.22,66100.0
10/1/1993,26.05,26.05,26.29,25.93,55500.0
10/4/1993,25.57,25.45,25.69,25.33,88600.0
10/5/1993,25.33,25.45,25.57,25.22,43900.0
10/6/1993,25.1,25.22,25.22,24.98,34200.0
10/7/1993,24.62,24.5,24.74,24.38,204200.0
10/8/1993,24.62,24.62,24.74,24.5,126000.0
10/11/1993,24.98,24.5,25.22,24.5,20300.0
10/12/1993,25.57,24.86,25.93,24.86,76100.0
10/13/1993,25.22,25.69,25.69,25.22,48800.0
10/14/1993,24.98,25.33,25.33,24.86,19600.0
10/15/1993,25.22,24.86,25.22,24.74,74900.0
10/18/1993,25.33,25.1,25.45,25.1,10000.0
10/19/1993,24.98,25.45,25.57,24.98,12500.0
10/20/1993,24.98,25.1,25.1,24.98,40600.0
10/21/1993,25.1,25.22,25.33,24.98,27700.0
10/22/1993,25.22,25.1,25.33,24.98,39600.0
10/25/1993,25.22,25.1,25.22,25.1,15200.0
10/26/1993,24.98,25.33,25.33,24.86,30300.0
10/27/1993,24.38,24.86,24.86,24.26,40800.0
10/28/1993,24.03,24.26,24.26,23.79,23700.0
10/29/1993,24.62,24.03,24.62,24.03,112100.0
11/1/1993,24.62,24.62,24.74,24.62,16600.0
11/2/1993,24.86,24.62,24.98,24.62,127900.0
11/3/1993,24.74,24.98,24.98,24.74,27800.0
11/4/1993,24.74,24.74,24.98,24.62,71300.0
11/5/1993,24.62,24.74,24.74,24.5,16700.0
11/8/1993,24.62,24.5,24.74,24.5,6400.0
11/9/1993,24.98,24.74,24.98,24.74,4800.0
11/10/1993,24.98,25.1,25.1,24.86,7300.0
11/11/1993,24.74,24.98,24.98,24.74,36000.0
11/12/1993,24.62,24.74,24.74,24.5,33000.0
11/15/1993,24.26,24.62,24.62,24.26,7400.0
11/16/1993,24.15,24.26,24.26,24.15,5900.0
11/17/1993,23.67,24.03,24.03,23.55,8900.0
11/18/1993,22.84,23.55,23.55,22.36,83300.0
11/19/1993,22.96,22.84,23.07,22.6,16600.0
11/22/1993,22.48,22.84,22.84,22.48,78500.0
11/23/1993,22.84,22.72,22.84,22.72,13900.0
11/24/1993,22.84,22.84,22.96,22.72,6400.0
11/26/1993,22.96,22.84,22.96,22.84,1000.0
11/29/1993,22.84,22.96,23.07,22.84,4700.0
11/30/1993,22.84,22.84,22.96,22.6,53800.0
12/1/1993,23.07,22.84,23.07,22.84,8100.0
12/2/1993,23.19,23.07,23.31,23.07,32200.0
12/3/1993,22.96,22.96,23.07,22.72,84600.0
12/6/1993,23.07,22.96,23.07,22.96,5500.0
12/7/1993,22.6,23.07,23.07,22.36,96000.0
12/8/1993,22.48,22.6,22.72,22.36,21500.0
12/9/1993,22.12,22.48,22.48,22.0,101100.0
12/10/1993,22.36,22.12,22.36,22.0,4700.0
12/13/1993,22.24,22.36,22.48,22.12,8000.0
12/14/1993,21.77,22.12,22.24,21.53,49400.0
12/15/1993,22.24,21.77,22.36,21.77,72200.0
12/16/1993,22.6,22.24,22.84,22.24,19000.0
12/17/1993,22.84,22.84,22.84,22.84,27900.0
12/20/1993,22.6,22.84,22.84,22.48,23900.0
12/21/1993,22.48,22.6,22.72,22.24,49400.0
12/22/1993,22.36,22.48,22.48,22.36,9900.0
12/23/1993,22.24,22.24,22.24,21.89,27500.0
12/27/1993,22.0,21.89,22.0,21.89,8100.0
12/28/1993,22.72,22.24,22.84,22.12,49900.0
12/29/1993,23.19,22.84,23.19,22.84,13000.0
12/30/1993,23.43,23.43,23.67,23.19,12500.0
12/31/1993,24.03,23.31,24.03,23.31,11200.0
1/3/1994,23.55,24.03,24.03,23.31,15100.0
1/4/1994,23.55,23.79,23.79,23.43,18500.0
1/5/1994,23.55,23.55,23.55,23.43,11300.0
1/6/1994,23.43,23.55,23.55,23.31,7900.0
1/7/1994,23.31,23.31,23.43,23.31,18900.0
1/10/1994,23.19,23.43,23.43,23.07,6100.0
1/11/1994,22.96,23.19,23.19,22.84,25500.0
1/12/1994,22.84,23.19,23.19,22.84,9200.0
1/13/1994,23.31,23.07,23.31,22.84,65700.0
1/14/1994,23.07,23.31,23.31,23.07,63600.0
1/17/1994,22.84,23.07,23.07,22.84,8900.0
1/18/1994,22.84,22.96,22.96,22.6,10200.0
1/19/1994,22.84,22.84,22.84,22.72,16200.0
1/20/1994,22.84,22.96,22.96,22.72,40000.0
1/21/1994,22.84,22.84,22.84,22.6,12800.0
1/24/1994,22.84,23.07,23.07,22.72,21700.0
1/25/1994,22.72,22.96,22.96,22.48,54600.0
1/26/1994,23.31,22.96,23.31,22.84,12400.0
1/27/1994,23.31,23.31,23.43,23.07,11200.0
1/28/1994,23.31,23.43,23.43,23.19,27000.0
1/31/1994,22.96,23.55,23.67,22.96,82200.0
2/1/1994,23.43,23.19,23.43,23.07,28300.0
2/2/1994,23.07,23.43,23.43,23.07,61200.0
2/3/1994,23.19,23.31,23.31,23.19,4500.0
2/4/1994,23.07,23.31,23.31,22.96,24800.0
2/7/1994,23.19,22.84,23.19,22.84,11000.0
2/8/1994,23.79,23.31,23.91,23.31,59200.0
2/9/1994,24.15,23.79,24.26,23.55,36300.0
2/10/1994,24.26,24.26,24.38,24.15,16600.0
2/11/1994,24.03,24.15,24.15,23.79,10300.0
2/14/1994,23.91,24.03,24.03,23.91,13000.0
2/15/1994,24.15,23.91,24.15,23.91,29700.0
2/16/1994,24.38,24.03,24.62,23.91,47500.0
2/17/1994,24.86,24.5,24.98,24.5,27300.0
2/18/1994,24.98,24.62,24.98,24.62,10000.0
2/22/1994,25.45,25.22,25.57,25.22,63800.0
2/23/1994,25.69,25.45,25.69,25.22,40000.0
2/24/1994,25.57,25.69,25.69,25.22,39200.0
2/25/1994,25.1,25.33,25.33,25.1,26800.0
2/28/1994,25.22,25.1,25.33,25.1,40800.0
3/1/1994,25.33,25.22,25.33,24.98,34500.0
3/2/1994,24.98,25.33,25.33,24.62,10400.0
3/3/1994,25.33,25.1,25.33,24.98,10100.0
3/4/1994,25.22,25.22,25.22,25.22,600.0
3/7/1994,25.22,25.22,25.33,25.1,39800.0
3/8/1994,25.22,25.1,25.22,24.86,6400.0
3/9/1994,24.5,24.98,24.98,24.5,5900.0
3/10/1994,24.86,24.74,24.86,24.74,3000.0
3/11/1994,24.74,24.86,25.1,24.74,1900.0
3/14/1994,24.5,24.74,24.74,24.26,19800.0
3/15/1994,24.74,24.62,24.74,24.38,6000.0
3/16/1994,24.98,24.98,25.1,24.74,3900.0
3/17/1994,24.98,24.86,24.98,24.86,12900.0
3/18/1994,24.98,24.98,24.98,24.98,600.0
3/21/1994,25.22,25.1,25.33,25.1,7300.0
3/22/1994,25.22,25.1,25.22,24.86,23300.0
3/23/1994,25.1,25.1,25.1,25.1,5900.0
3/24/1994,25.33,25.1,25.33,25.1,25800.0
3/25/1994,24.98,24.98,24.98,24.98,200.0
3/28/1994,25.22,25.22,25.22,24.98,1200.0
3/29/1994,24.74,24.98,25.1,24.74,10200.0
3/30/1994,24.5,24.74,24.74,24.38,10600.0
3/31/1994,24.15,24.62,24.62,24.15,12200.0
4/4/1994,23.67,23.91,23.91,23.43,62200.0
4/5/1994,23.55,23.67,23.79,23.55,3100.0
4/6/1994,23.43,23.55,23.67,23.43,40400.0
4/7/1994,23.43,23.43,23.67,23.43,12400.0
4/8/1994,23.55,23.55,23.67,23.43,17800.0
4/11/1994,22.96,23.67,23.67,22.6,15200.0
4/12/1994,23.31,23.19,23.31,23.19,40800.0
4/13/1994,22.96,23.31,23.31,22.84,81500.0
4/14/1994,22.84,23.07,23.19,22.84,42400.0
4/15/1994,23.07,22.84,23.07,22.84,1132400.0
4/18/1994,22.96,23.19,23.19,22.84,103100.0
4/19/1994,23.07,23.07,23.19,23.07,66100.0
4/20/1994,23.07,23.19,23.31,22.96,50700.0
4/21/1994,23.07,23.19,23.31,23.07,22500.0
4/22/1994,23.19,23.19,23.31,22.96,73400.0
4/25/1994,23.31,23.31,23.31,23.19,76300.0
4/26/1994,23.43,23.19,23.43,23.19,77400.0
4/28/1994,23.07,23.43,23.43,23.07,65100.0
4/29/1994,23.19,23.19,23.31,23.07,13100.0
5/2/1994,23.19,23.31,23.31,23.19,20600.0
5/3/1994,23.31,23.19,23.43,23.19,55200.0
5/4/1994,23.31,23.43,23.43,23.31,12900.0
5/5/1994,23.55,23.43,23.67,23.31,11700.0
5/6/1994,23.55,23.55,23.67,23.43,30900.0
5/9/1994,23.31,23.43,23.55,23.31,38800.0
