Date,Close,Open,High,Low,Volume
6/23/2000,22.0,19.5,23.63,18.5,7986500.0
6/26/2000,21.88,21.75,21.88,20.88,1005000.0
6/27/2000,21.56,21.94,21.94,21.13,421000.0
6/28/2000,21.56,21.63,21.69,20.63,567500.0
6/29/2000,21.19,21.5,21.5,21.19,140300.0
6/30/2000,22.19,21.19,22.75,20.88,528300.0
7/3/2000,22.19,22.19,22.25,21.75,81800.0
7/5/2000,22.44,22.0,24.25,21.5,198800.0
7/6/2000,23.75,22.5,23.75,22.0,155000.0
7/7/2000,23.63,23.75,24.5,23.0,302900.0
7/10/2000,24.75,23.38,24.81,23.25,65200.0
7/11/2000,25.25,25.0,26.88,24.69,325000.0
7/12/2000,24.88,25.5,26.5,24.75,244500.0
7/13/2000,26.25,25.0,26.38,24.44,199100.0
7/14/2000,24.25,26.0,26.0,24.19,93900.0
7/17/2000,23.69,24.5,24.63,23.31,499600.0
7/18/2000,24.75,23.69,25.0,23.69,299500.0
7/19/2000,24.88,24.88,25.69,24.75,202700.0
7/20/2000,24.56,24.88,24.88,24.5,25900.0
7/21/2000,24.19,24.5,24.5,24.0,69400.0
7/24/2000,25.5,24.19,26.38,24.19,366400.0
7/25/2000,24.81,25.5,25.5,24.81,82200.0
7/26/2000,27.25,24.75,27.38,24.63,196700.0
7/27/2000,28.25,27.31,28.63,27.31,212200.0
7/28/2000,27.56,28.19,28.19,27.5,109000.0
7/31/2000,30.19,27.44,30.19,27.31,437600.0
8/1/2000,28.5,30.0,30.0,27.88,170000.0
8/2/2000,28.19,28.44,28.5,28.13,54500.0
8/3/2000,30.38,28.5,30.5,28.5,351900.0
8/4/2000,29.88,30.63,31.0,29.25,91700.0
8/7/2000,33.0,29.75,33.5,29.75,422500.0
8/8/2000,33.06,33.0,33.5,32.81,138100.0
8/9/2000,31.69,33.19,33.19,31.38,126100.0
8/10/2000,30.63,31.81,31.88,30.63,117500.0
8/11/2000,29.38,30.56,30.63,29.38,54500.0
8/14/2000,27.94,29.13,29.13,27.94,72300.0
8/15/2000,26.38,27.94,27.94,24.5,396200.0
8/16/2000,25.81,26.38,26.44,25.31,160700.0
8/17/2000,25.81,25.81,25.88,25.56,92200.0
8/18/2000,26.25,25.69,26.75,24.75,214500.0
8/21/2000,25.5,26.31,26.31,24.63,183200.0
8/22/2000,26.38,25.63,26.44,25.0,56000.0
8/23/2000,27.94,26.38,28.13,26.38,149200.0
8/24/2000,28.0,27.88,28.63,27.38,101800.0
8/25/2000,27.56,27.88,27.88,27.5,35000.0
8/28/2000,27.94,27.56,27.94,27.25,47600.0
8/29/2000,27.88,27.94,27.94,27.69,92100.0
8/30/2000,27.5,27.88,27.88,27.5,72500.0
8/31/2000,27.44,27.38,27.44,27.31,18200.0
9/1/2000,27.69,27.56,27.75,27.31,40800.0
9/5/2000,27.44,27.75,27.75,27.13,57400.0
9/6/2000,27.5,27.5,27.63,27.5,58300.0
9/7/2000,27.25,27.56,27.56,27.19,62200.0
9/8/2000,26.63,27.25,27.25,26.38,124500.0
9/11/2000,26.81,26.81,26.88,26.63,48000.0
9/12/2000,26.44,26.81,26.81,26.44,43900.0
9/13/2000,26.0,26.31,26.38,26.0,190600.0
9/14/2000,25.81,26.0,26.13,25.75,25200.0
9/15/2000,24.88,25.94,25.94,24.88,72200.0
9/18/2000,23.0,24.63,24.63,22.94,128000.0
9/19/2000,21.5,22.88,22.88,21.5,96800.0
9/20/2000,22.06,21.63,22.31,21.38,94700.0
9/21/2000,22.5,22.13,22.63,22.13,75000.0
9/22/2000,23.0,22.38,23.88,22.38,179400.0
9/25/2000,26.75,23.13,26.88,23.13,247300.0
9/26/2000,28.56,27.25,28.63,27.13,122900.0
9/27/2000,29.56,29.88,30.25,29.56,387300.0
9/28/2000,31.75,29.81,32.5,29.75,140800.0
9/29/2000,34.0,31.5,34.0,30.75,148000.0
10/2/2000,31.56,34.0,34.0,31.5,108100.0
10/3/2000,31.13,31.56,31.56,30.44,54500.0
10/4/2000,29.0,31.13,31.13,29.0,17600.0
10/5/2000,27.88,29.06,29.38,27.63,93500.0
10/6/2000,26.81,28.13,28.13,26.75,71000.0
10/9/2000,26.13,26.69,26.69,25.06,46600.0
10/10/2000,25.0,25.94,25.94,25.0,110300.0
10/11/2000,24.44,25.0,25.0,24.25,65200.0
10/12/2000,24.0,24.38,24.44,24.0,32200.0
10/13/2000,24.13,23.88,24.25,23.75,91900.0
10/16/2000,25.94,24.25,26.13,24.13,83200.0
10/17/2000,25.38,26.13,26.25,25.0,176700.0
10/18/2000,27.13,25.31,27.38,24.38,107300.0
