Date,Close,Open,High,Low,Volume
2019-06-12,58.0,63.5,67.0,56.0,19449162.0
2019-06-13,67.56,63.86,69.67,61.6,10923944.0
2019-06-14,64.16,69.78,70.79,63.02,6264212.0
2019-06-17,70.01,64.75,70.01,62.0,3247471.0
2019-06-18,76.5,73.0,78.7,71.5,6612626.0
2019-06-19,77.22,78.75,79.79,73.56,3319070.0
2019-06-20,74.85,78.0,78.22,70.69,3429610.0
2019-06-21,72.23,72.46,73.93,68.3,2657468.0
2019-06-24,67.97,71.05,72.39,65.08,2448037.0
2019-06-25,61.52,67.1,68.99,61.17,2482213.0
2019-06-26,62.65,63.3,64.92,62.01,1625502.0
2019-06-27,63.28,63.39,65.0,62.57,914612.0
2019-06-28,68.29,64.36,68.38,63.3,1474303.0
2019-07-01,63.2,69.1,69.73,61.81,2675367.0
2019-07-02,64.52,63.3,65.03,61.72,1738845.0
2019-07-03,67.24,64.68,67.48,64.52,1564108.0
2019-07-05,67.21,67.15,67.25,64.84,805222.0
2019-07-08,66.91,68.26,71.71,66.9,4567154.0
2019-07-09,68.45,67.42,69.2,66.88,1782694.0
2019-07-10,74.34,70.0,74.5,69.5,2719347.0
2019-07-11,70.88,74.5,74.98,70.5,2351834.0
2019-07-12,73.5,71.6,75.2,70.5,1838306.0
2019-07-15,71.6,74.0,74.3,71.4,1325082.0
2019-07-16,69.54,71.93,73.09,69.0,1582319.0
2019-07-17,71.0,70.0,71.56,69.59,1037007.0
2019-07-18,72.75,71.0,74.19,70.15,3389964.0
2019-07-19,83.52,85.16,85.85,80.75,13669036.0
2019-07-22,87.68,82.27,88.5,82.08,5357744.0
2019-07-23,86.74,88.32,89.44,84.49,2529779.0
2019-07-24,87.46,86.79,87.85,85.5,1250712.0
2019-07-25,92.28,87.5,93.34,87.0,3270376.0
2019-07-26,92.88,93.04,95.5,91.91,2053022.0
2019-07-29,87.23,93.69,93.9,82.65,3317799.0
2019-07-30,94.0,86.0,96.19,84.0,3127169.0
2019-07-31,89.07,94.0,94.8,86.82,2475977.0
2019-08-01,91.53,90.07,94.32,89.44,2238247.0
2019-08-02,88.01,91.54,92.78,86.91,1801007.0
2019-08-05,85.48,83.34,86.92,82.25,2196373.0
2019-08-06,85.24,87.2,89.76,82.71,1357428.0
2019-08-07,84.22,83.69,86.45,82.8,990406.0
2019-08-08,91.65,85.49,91.86,85.49,1692269.0
2019-08-09,94.9,90.25,98.0,90.0,3063879.0
2019-08-12,93.01,94.25,98.2,91.53,1895649.0
2019-08-13,99.65,92.84,100.5,92.84,3034908.0
2019-08-14,94.02,96.52,97.73,91.6,2822881.0
2019-08-15,93.66,95.99,97.14,91.37,1520342.0
2019-08-16,96.05,95.0,98.1,93.4,1530550.0
2019-08-19,99.39,98.8,101.48,95.6,2801463.0
2019-08-20,99.16,99.23,101.88,97.26,1439345.0
2019-08-21,96.58,100.59,100.96,96.27,1805604.0
2019-08-22,92.97,96.29,96.58,92.8,1767533.0
2019-08-23,88.43,91.37,91.56,86.0,3050846.0
2019-08-26,88.88,90.24,90.84,86.13,1463680.0
2019-08-27,84.08,89.28,89.95,83.23,1828841.0
2019-08-28,86.99,84.0,87.52,82.61,1921251.0
2019-08-29,83.82,88.3,89.35,83.29,1789971.0
2019-08-30,81.28,84.02,84.94,78.89,1910152.0
2019-09-03,83.76,80.85,83.8,80.25,1832813.0
2019-09-04,85.31,85.0,87.77,82.89,2412963.0
2019-09-05,86.85,86.25,87.19,82.5,3971133.0
2019-09-06,75.98,79.7,81.5,75.31,8672342.0
2019-09-09,67.1,76.11,76.12,64.34,8598237.0
2019-09-10,71.65,65.7,71.8,65.7,4672469.0
2019-09-11,69.11,69.21,70.93,67.2,3113980.0
2019-09-12,69.66,69.68,72.4,69.06,2923450.0
2019-09-13,64.86,69.86,70.31,64.71,4166281.0
2019-09-16,67.86,63.71,68.86,63.5,2804534.0
2019-09-17,71.04,68.64,71.33,68.13,2820589.0
2019-09-18,70.85,70.12,71.88,68.8,2003010.0
2019-09-19,68.93,71.5,71.87,67.64,1690628.0
2019-09-20,66.97,68.95,69.46,66.19,3374383.0
2019-09-23,66.91,67.12,68.57,66.54,826629.0
2019-09-24,62.52,67.02,67.37,62.0,2615966.0
2019-09-25,62.02,62.0,63.39,60.11,2466798.0
2019-09-26,58.3,62.05,62.36,57.66,2892188.0
2019-09-27,53.46,58.27,58.33,52.84,4516813.0
2019-09-30,58.31,53.5,58.65,51.61,4104029.0
2019-10-01,57.89,58.3,59.51,55.65,2841737.0
2019-10-02,56.63,56.81,57.66,54.07,1589815.0
2019-10-03,62.14,59.48,62.4,56.75,5076359.0
2019-10-04,63.84,62.0,64.46,61.55,2157446.0
2019-10-07,68.78,63.36,69.7,62.72,3621793.0
2019-10-08,65.3,67.4,68.43,64.48,2766793.0
2019-10-09,63.08,66.35,66.43,62.5,2207773.0
2019-10-10,61.41,62.6,63.61,60.4,2306927.0
2019-10-11,60.27,58.77,61.48,57.27,3331606.0
2019-10-14,54.52,55.8,57.85,53.2,4458071.0
2019-10-15,55.21,55.01,56.41,54.03,1982381.0
2019-10-16,52.03,53.57,55.77,51.8,2597819.0
2019-10-17,50.44,51.76,53.15,50.33,2785744.0
2019-10-18,47.04,50.0,50.32,46.46,3675231.0
2019-10-21,47.4,46.93,48.97,46.22,2411137.0
2019-10-22,46.2,47.25,48.48,44.58,2707238.0
2019-10-23,47.87,47.0,50.43,46.03,3707978.0
2019-10-24,51.84,48.6,52.18,48.11,2050992.0
2019-10-25,50.11,50.88,52.07,49.41,1532804.0
2019-10-28,47.95,50.26,51.31,47.71,2761081.0
2019-10-29,47.8,47.43,48.37,46.21,1740730.0
2019-10-30,51.45,47.72,52.48,46.78,2224354.0
2019-10-31,49.91,51.2,51.64,48.1,1052905.0
2019-11-01,48.5,49.94,50.85,47.75,1441265.0
2019-11-04,49.65,49.15,50.48,48.01,1311746.0
2019-11-05,48.7,50.18,50.6,47.77,1468191.0
2019-11-06,47.83,48.56,48.71,46.9,1028805.0
2019-11-07,45.5,48.26,48.5,45.38,1669002.0
2019-11-08,47.21,45.02,47.21,44.8,1977289.0
2019-11-11,46.2,46.5,47.0,45.46,1287808.0
2019-11-12,47.05,47.5,47.85,46.11,1740792.0
2019-11-13,52.0,46.83,52.44,46.65,2868214.0
2019-11-14,52.73,51.31,54.92,50.64,2834077.0
2019-11-15,59.75,53.0,59.99,53.0,4004328.0
2019-11-18,57.07,60.0,60.0,55.52,2243460.0
2019-11-19,56.0,57.45,57.56,53.76,1598494.0
2019-11-20,54.88,55.24,58.31,53.39,2260907.0
2019-11-21,53.77,55.46,55.46,52.85,963275.0
2019-11-22,54.2,54.19,55.3,53.75,1029525.0
2019-11-25,55.84,55.32,56.17,54.86,1849286.0
2019-11-26,55.58,56.5,58.02,54.26,1998927.0
2019-11-27,56.29,56.37,56.67,55.23,986792.0
2019-11-29,58.0,56.96,59.5,56.32,1244410.0
2019-12-02,55.01,58.5,58.6,52.54,2925143.0
2019-12-03,57.37,53.29,57.59,53.01,1402740.0
2019-12-04,54.98,56.61,57.0,54.3,1607973.0
2019-12-05,52.95,55.0,55.21,51.61,3557577.0
2019-12-06,50.89,54.0,55.1,50.5,8010354.0
2019-12-09,49.0,49.14,50.96,48.41,13807012.0
2019-12-10,47.55,49.92,50.02,47.22,5719393.0
2019-12-11,47.73,47.01,48.8,46.33,9367919.0
2019-12-12,47.3,47.95,48.5,46.32,5651213.0
2019-12-13,49.41,47.5,49.86,46.7,6356744.0
2019-12-16,49.45,50.0,50.11,48.15,5035127.0
2019-12-17,48.39,49.34,49.44,47.52,4745321.0
2019-12-18,50.14,48.96,50.3,48.6,5660591.0
2019-12-19,49.47,50.45,50.45,49.2,3047153.0
2019-12-20,49.49,49.91,50.0,48.58,3120594.0
2019-12-23,47.85,49.25,49.3,47.61,4589110.0
2019-12-24,47.75,48.0,48.72,47.15,1508382.0
2019-12-26,50.03,48.41,50.06,48.09,4779941.0
2019-12-27,48.92,50.3,50.38,48.2,3510623.0
2019-12-30,50.03,50.0,50.56,48.39,5709659.0
2019-12-31,49.87,49.34,50.34,48.9,3279955.0
2020-01-02,49.44,50.03,50.75,49.25,4427985.0
2020-01-03,50.75,48.92,51.99,48.79,11087024.0
2020-01-06,55.11,51.85,56.17,51.03,21771072.0
2020-01-07,54.75,54.55,56.5,54.5,12638949.0
2020-01-08,55.66,54.2,55.86,53.3,7526569.0
2020-01-09,55.94,56.95,57.25,55.1,6521874.0
2020-01-10,57.2,56.49,58.3,56.0,8129948.0
2020-01-13,58.97,57.36,59.74,57.0,7045548.0
2020-01-14,59.24,59.23,60.66,57.5,7789240.0
2020-01-15,60.25,59.23,61.97,59.23,7973345.0
2020-01-16,62.24,61.5,62.75,61.0,6164623.0
2020-01-17,63.45,63.05,63.7,62.06,6199570.0
2020-01-21,62.24,63.02,63.39,61.26,6086676.0
2020-01-22,62.57,63.0,64.04,62.3,4257778.0
2020-01-23,61.55,62.57,62.66,60.71,4071701.0
2020-01-24,59.25,62.0,63.05,57.84,6530377.0
2020-01-27,58.06,56.58,58.16,55.31,4414201.0
2020-01-28,59.07,58.66,59.64,58.13,3068909.0
2020-01-29,60.26,60.0,61.78,59.74,3470153.0
2020-01-30,62.45,60.0,62.56,58.94,4143802.0
2020-01-31,61.09,62.5,63.0,60.25,4044550.0
2020-02-03,61.08,61.13,61.46,59.65,3706758.0
2020-02-04,63.56,61.92,64.33,61.15,4618990.0
2020-02-05,61.82,64.21,64.8,60.06,3998594.0
2020-02-06,62.19,61.6,62.98,60.18,2259841.0
2020-02-07,62.09,62.0,63.72,61.82,3052167.0
2020-02-10,63.3,62.33,63.86,61.45,3877454.0
2020-02-11,65.19,66.0,66.84,63.66,7978151.0
2020-02-12,65.08,65.19,65.5,62.72,5448316.0
2020-02-13,65.31,64.25,66.2,64.13,4124467.0
2020-02-14,64.85,65.81,65.83,63.87,4191649.0
2020-02-18,66.04,65.0,66.28,64.55,4326970.0
2020-02-19,66.03,66.63,67.56,65.61,5306912.0
2020-02-20,63.38,65.7,65.98,60.03,6179145.0
2020-02-21,60.93,62.58,62.64,59.26,4623795.0
2020-02-24,58.08,56.4,59.25,56.02,4638814.0
2020-02-25,57.74,59.5,59.79,56.06,5337941.0
2020-02-26,58.46,58.39,60.26,57.51,4429001.0
2020-02-27,57.5,56.15,59.45,54.35,4874094.0
2020-02-28,59.64,55.6,60.02,55.5,4401216.0
2020-03-02,59.13,60.2,60.97,58.0,4013660.0
2020-03-03,56.48,59.61,60.73,55.01,4071468.0
2020-03-04,57.2,57.18,58.08,56.06,2320969.0
2020-03-05,55.92,56.08,57.44,54.55,3212544.0
2020-03-06,51.96,54.24,54.87,50.36,5111870.0
2020-03-09,45.74,46.81,48.89,45.65,5816707.0
2020-03-10,46.91,48.47,48.47,45.0,4569922.0
2020-03-11,42.85,45.96,46.3,42.23,5395728.0
2020-03-12,37.82,38.6,40.2,35.98,6636462.0
2020-03-13,39.55,39.9,40.08,36.59,4972091.0
2020-03-16,33.01,36.0,36.0,32.12,6816301.0
2020-03-17,38.01,33.93,38.3,31.95,5664702.0
2020-03-18,38.63,35.76,41.47,35.5,6358453.0
2020-03-19,41.74,40.43,44.49,38.2,7442733.0
2020-03-20,49.01,49.96,51.97,46.81,14178022.0
2020-03-23,51.45,46.24,53.0,46.01,11127193.0
2020-03-24,57.33,54.92,58.65,54.28,8087964.0
2020-03-25,55.78,56.0,59.5,55.6,5517240.0
2020-03-26,58.64,55.84,59.1,55.04,5840860.0
2020-03-27,58.79,57.02,59.87,56.02,3826133.0
2020-03-30,57.72,58.81,59.83,56.27,4423587.0
2020-03-31,55.68,57.03,60.03,55.26,4925797.0
2020-04-01,54.58,54.0,56.55,53.53,3113910.0
2020-04-02,56.69,54.51,56.92,54.11,3058704.0
2020-04-03,57.82,55.85,59.25,55.85,4552031.0
2020-04-06,59.07,59.08,60.53,58.66,4823626.0
2020-04-07,59.6,59.45,61.3,57.75,7472839.0
2020-04-08,60.32,59.65,60.88,59.05,4335456.0
2020-04-09,58.15,60.48,60.79,57.5,3752874.0
2020-04-13,58.77,58.0,59.37,57.36,2867117.0
2020-04-14,60.89,59.99,62.0,58.5,6485718.0
2020-04-15,61.82,59.34,62.64,58.73,4196854.0
2020-04-16,63.45,62.0,64.45,61.54,4967142.0
2020-04-17,64.74,64.46,65.62,63.25,4053808.0
2020-04-20,68.43,64.87,70.2,64.39,6494661.0
2020-04-21,66.07,68.66,70.5,62.77,6877527.0
2020-04-22,68.07,67.67,69.31,67.23,3630351.0
2020-04-23,68.91,68.06,69.96,68.0,3059491.0
2020-04-24,72.0,69.0,74.65,68.9,9465211.0
2020-04-27,73.6,73.0,75.0,72.02,4360219.0
2020-04-28,70.13,74.0,74.71,68.39,4634072.0
2020-04-29,69.28,71.0,71.6,68.19,6111394.0
2020-04-30,67.66,69.28,69.28,67.12,2216753.0
2020-05-01,69.21,66.28,70.19,65.8,2997771.0
2020-05-04,73.43,68.35,73.67,67.81,3899618.0
2020-05-05,71.59,74.27,75.0,70.88,3743180.0
2020-05-06,72.44,71.94,73.62,69.32,4480260.0
2020-05-07,75.49,74.0,76.75,73.66,5661630.0
2020-05-08,76.7,76.55,77.96,75.0,3439817.0
2020-05-11,76.23,77.05,78.35,76.15,2411370.0
2020-05-12,76.15,77.0,80.63,75.31,4514351.0
2020-05-13,76.57,77.86,79.3,73.12,4333098.0
2020-05-14,77.14,76.0,77.4,74.53,3321386.0
2020-05-15,77.14,77.5,80.29,76.33,3289368.0
2020-05-18,76.1,78.11,78.99,75.78,2863039.0
2020-05-19,78.55,76.53,79.58,76.5,2675401.0
2020-05-20,80.97,80.72,81.74,79.15,3564140.0
2020-05-21,80.6,81.62,81.87,78.81,2072322.0
2020-05-22,82.22,81.0,82.7,80.0,2805836.0
2020-05-26,79.35,83.39,83.4,77.95,4119014.0
2020-05-27,77.99,79.0,79.0,71.51,7015199.0
2020-05-28,79.5,78.2,82.28,78.0,3457232.0
2020-05-29,87.81,83.19,88.0,81.2,13080868.0
2020-06-01,94.84,90.56,95.8,90.21,12028839.0
2020-06-02,92.25,96.59,96.8,90.03,12883326.0
2020-06-03,98.1,99.98,103.8,95.6,20876180.0
2020-06-04,95.98,94.23,98.49,91.83,16371219.0
2020-06-05,93.93,92.73,95.98,88.87,9527921.0
2020-06-08,95.43,93.87,97.5,93.62,7438417.0
