Date,Close,Open,High,Low,Volume
2/16/1990,0.08,0.08,0.08,0.07,3266100.0
2/20/1990,0.08,0.08,0.08,0.07,527300.0
2/21/1990,0.08,0.08,0.08,0.08,244900.0
2/22/1990,0.08,0.08,0.08,0.08,157000.0
2/23/1990,0.08,0.08,0.08,0.08,155200.0
2/26/1990,0.08,0.08,0.08,0.08,93500.0
2/27/1990,0.08,0.08,0.08,0.08,88800.0
2/28/1990,0.08,0.08,0.08,0.08,236000.0
3/1/1990,0.08,0.08,0.08,0.08,98700.0
3/2/1990,0.08,0.08,0.08,0.08,29300.0
3/5/1990,0.08,0.08,0.08,0.08,8400.0
3/6/1990,0.08,0.08,0.08,0.08,83000.0
3/7/1990,0.08,0.08,0.08,0.08,63100.0
3/8/1990,0.08,0.08,0.08,0.08,116400.0
3/9/1990,0.08,0.08,0.08,0.08,38700.0
3/12/1990,0.08,0.08,0.08,0.08,70500.0
3/13/1990,0.08,0.08,0.08,0.08,184100.0
3/14/1990,0.09,0.09,0.09,0.08,303300.0
3/15/1990,0.09,0.09,0.09,0.09,134100.0
3/16/1990,0.09,0.09,0.09,0.09,69200.0
3/19/1990,0.09,0.09,0.09,0.09,149400.0
3/20/1990,0.08,0.08,0.09,0.08,150100.0
3/21/1990,0.08,0.08,0.09,0.08,69100.0
3/22/1990,0.08,0.08,0.09,0.08,152000.0
3/23/1990,0.08,0.08,0.08,0.08,58700.0
3/26/1990,0.08,0.08,0.08,0.08,144800.0
3/27/1990,0.09,0.09,0.09,0.08,55300.0
3/28/1990,0.09,0.09,0.09,0.09,34000.0
3/29/1990,0.09,0.09,0.09,0.08,56500.0
3/30/1990,0.08,0.08,0.08,0.08,99800.0
4/2/1990,0.08,0.08,0.08,0.08,55100.0
4/3/1990,0.08,0.08,0.08,0.08,29000.0
4/4/1990,0.08,0.08,0.08,0.08,49600.0
4/5/1990,0.08,0.08,0.08,0.08,28900.0
4/6/1990,0.08,0.08,0.08,0.08,37400.0
4/9/1990,0.08,0.08,0.08,0.08,23200.0
4/10/1990,0.08,0.08,0.08,0.07,120800.0
4/11/1990,0.08,0.08,0.08,0.08,86100.0
4/12/1990,0.08,0.08,0.08,0.08,45700.0
4/16/1990,0.08,0.08,0.08,0.08,19500.0
4/17/1990,0.08,0.08,0.08,0.08,22800.0
4/18/1990,0.08,0.08,0.08,0.08,85000.0
4/19/1990,0.08,0.08,0.08,0.08,87300.0
4/20/1990,0.08,0.08,0.08,0.08,30400.0
4/23/1990,0.08,0.08,0.08,0.08,18600.0
4/24/1990,0.08,0.08,0.08,0.08,35700.0
4/25/1990,0.08,0.08,0.08,0.08,23500.0
4/26/1990,0.08,0.08,0.08,0.08,37200.0
4/27/1990,0.08,0.08,0.08,0.08,14600.0
4/30/1990,0.08,0.08,0.08,0.08,119200.0
5/1/1990,0.08,0.08,0.08,0.08,99900.0
5/2/1990,0.08,0.08,0.08,0.08,10900.0
5/3/1990,0.09,0.09,0.09,0.08,25100.0
5/4/1990,0.09,0.09,0.09,0.08,19800.0
5/7/1990,0.09,0.09,0.09,0.09,47000.0
5/8/1990,0.09,0.09,0.09,0.09,50300.0
5/9/1990,0.09,0.09,0.09,0.09,33600.0
5/10/1990,0.09,0.09,0.09,0.09,9700.0
5/11/1990,0.09,0.09,0.09,0.09,103900.0
5/14/1990,0.09,0.09,0.09,0.09,52900.0
5/15/1990,0.09,0.09,0.09,0.09,83800.0
5/16/1990,0.09,0.09,0.09,0.09,65000.0
5/17/1990,0.09,0.09,0.09,0.09,22900.0
5/18/1990,0.09,0.09,0.09,0.08,157700.0
5/21/1990,0.09,0.09,0.09,0.08,14000.0
5/22/1990,0.09,0.09,0.09,0.09,79800.0
5/23/1990,0.08,0.08,0.09,0.08,137900.0
5/24/1990,0.09,0.09,0.09,0.08,28200.0
5/25/1990,0.08,0.08,0.09,0.08,13900.0
