Date,Close,Open,High,Low,Volume
1998-07-01,0.92,0.9,0.95,0.9,752400.0
1998-07-02,0.98,0.93,0.98,0.92,36900.0
1998-07-06,1.01,0.98,1.06,0.98,188100.0
1998-07-07,1.03,1.04,1.05,1.03,20100.0
1998-07-08,1.01,1.01,1.05,1.0,86400.0
1998-07-09,1.05,1.03,1.05,1.01,15800.0
1998-07-10,0.98,1.07,1.07,0.98,96200.0
1998-07-13,1.0,1.03,1.03,0.99,93500.0
1998-07-14,0.98,0.99,1.0,0.96,60500.0
1998-07-15,0.98,0.96,0.99,0.95,61900.0
1998-07-16,0.96,0.96,0.98,0.96,13700.0
1998-07-17,0.98,0.98,0.98,0.98,4200.0
1998-07-20,1.01,0.99,1.02,0.99,38800.0
1998-07-21,1.0,1.01,1.03,1.0,30400.0
1998-07-22,1.02,0.96,1.03,0.96,22300.0
1998-07-23,1.01,1.01,1.06,1.0,47500.0
1998-07-24,1.03,1.04,1.04,1.0,22700.0
1998-07-27,0.98,1.03,1.03,0.96,9300.0
1998-07-28,0.95,1.01,1.01,0.94,25900.0
1998-07-29,0.98,0.99,0.99,0.95,111900.0
1998-07-30,1.09,0.99,1.09,0.99,27300.0
1998-07-31,1.08,1.09,1.09,1.08,4600.0
1998-08-03,1.04,1.05,1.05,1.04,6200.0
1998-08-04,0.99,1.03,1.03,0.99,25700.0
1998-08-05,0.98,1.0,1.0,0.98,18700.0
1998-08-06,0.95,0.98,1.01,0.95,159900.0
1998-08-07,0.96,0.96,0.96,0.95,97200.0
1998-08-10,0.96,0.98,0.98,0.96,81800.0
1998-08-11,0.9,0.94,0.94,0.9,44700.0
1998-08-12,0.92,0.9,0.92,0.9,11000.0
1998-08-13,0.9,0.92,0.92,0.9,6100.0
1998-08-14,0.9,0.92,0.92,0.9,22500.0
1998-08-17,0.9,0.89,0.9,0.88,34500.0
1998-08-18,0.86,0.88,0.89,0.86,20700.0
1998-08-19,0.88,0.86,0.88,0.86,3500.0
1998-08-20,0.84,0.86,0.86,0.84,12700.0
1998-08-21,0.8,0.84,0.84,0.8,29500.0
1998-08-24,0.81,0.8,0.81,0.8,2200.0
1998-08-25,0.84,0.81,0.84,0.81,18400.0
1998-08-26,0.8,0.8,0.83,0.8,9500.0
1998-08-27,0.73,0.78,0.78,0.7,37300.0
1998-08-28,0.7,0.73,0.73,0.7,2500.0
1998-08-31,0.66,0.7,0.7,0.66,6300.0
1998-09-01,0.66,0.66,0.68,0.64,50400.0
1998-09-02,0.63,0.63,0.65,0.63,18200.0
1998-09-03,0.61,0.63,0.63,0.61,6800.0
1998-09-04,0.61,0.63,0.63,0.61,21300.0
1998-09-08,0.63,0.63,0.63,0.61,22600.0
1998-09-09,0.63,0.63,0.63,0.63,85100.0
1998-09-10,0.6,0.6,0.61,0.55,41400.0
1998-09-11,0.55,0.56,0.57,0.55,14800.0
1998-09-14,0.56,0.57,0.57,0.56,19300.0
1998-09-15,0.61,0.6,0.61,0.56,11500.0
1998-09-16,0.66,0.58,0.66,0.58,15900.0
1998-09-17,0.65,0.61,0.65,0.61,3600.0
1998-09-18,0.73,0.68,0.73,0.65,53100.0
1998-09-22,0.73,0.7,0.75,0.7,17300.0
