Date,Close,Open,High,Low,Volume
1990-02-08,1.44,,1.45,1.42,751000.0
1990-02-09,1.43,,1.46,1.43,290300.0
1990-02-12,1.42,,1.44,1.4,165200.0
1990-02-13,1.41,,1.42,1.41,184400.0
1990-02-14,1.4,,1.42,1.4,54800.0
1990-02-15,1.36,,1.41,1.34,124500.0
1990-02-16,1.36,,1.38,1.35,53200.0
1990-02-20,1.33,,1.36,1.33,99200.0
1990-02-21,1.33,,1.34,1.33,22700.0
1990-02-22,1.35,,1.35,1.33,3200.0
1990-02-23,1.29,,1.33,1.29,95300.0
1990-02-26,1.28,,1.3,1.28,26400.0
1990-02-27,1.29,,1.29,1.28,27100.0
1990-02-28,1.34,,1.34,1.29,39600.0
1990-03-01,1.36,,1.36,1.33,35700.0
1990-03-02,1.38,,1.38,1.35,113700.0
1990-03-05,1.36,,1.38,1.35,20100.0
1990-03-06,1.39,,1.39,1.36,35900.0
1990-03-07,1.38,,1.4,1.38,16900.0
1990-03-08,1.38,,1.38,1.38,66100.0
1990-03-09,1.34,,1.36,1.33,14300.0
1990-03-12,1.3,,1.32,1.3,88300.0
1990-03-13,1.33,,1.33,1.31,7500.0
1990-03-14,1.32,,1.33,1.32,10600.0
1990-03-15,1.32,,1.33,1.31,47600.0
1990-03-16,1.35,,1.35,1.32,25200.0
1990-03-19,1.35,,1.35,1.34,1200.0
1990-03-20,1.32,,1.35,1.32,19000.0
1990-03-21,1.29,,1.31,1.29,27400.0
1990-03-22,1.29,,1.29,1.29,4000.0
1990-03-26,1.31,,1.31,1.29,4200.0
1990-03-27,1.32,,1.32,1.31,17000.0
1990-03-28,1.32,,1.32,1.32,200.0
1990-03-29,1.31,,1.31,1.3,700.0
1990-04-02,1.28,,1.29,1.28,13400.0
1990-04-03,1.3,,1.3,1.29,3000.0
1990-04-04,1.32,,1.33,1.31,13500.0
1990-04-05,1.3,,1.33,1.3,12600.0
1990-04-06,1.31,,1.32,1.28,22800.0
1990-04-09,1.33,,1.33,1.31,5400.0
1990-04-10,1.33,,1.33,1.33,5000.0
1990-04-11,1.31,,1.33,1.29,24800.0
1990-04-12,1.29,,1.31,1.29,1600.0
1990-04-16,1.28,,1.29,1.28,24100.0
1990-04-18,1.25,,1.28,1.25,38700.0
1990-04-19,1.24,,1.24,1.23,38200.0
1990-04-20,1.23,,1.23,1.23,2300.0
1990-04-23,1.2,,1.23,1.18,32800.0
1990-04-24,1.17,,1.18,1.17,31300.0
1990-04-25,1.19,,1.19,1.19,1700.0
1990-04-26,1.21,,1.21,1.19,1200.0
1990-04-27,1.19,,1.21,1.19,6600.0
1990-04-30,1.19,,1.19,1.18,9000.0
1990-05-01,1.19,,1.21,1.19,17400.0
1990-05-02,1.19,,1.19,1.19,400.0
1990-05-03,1.2,,1.2,1.19,15700.0
1990-05-04,1.19,,1.19,1.19,3500.0
1990-05-07,1.21,,1.22,1.2,4400.0
1990-05-08,1.2,,1.2,1.2,2500.0
1990-05-09,1.21,,1.21,1.2,6100.0
1990-05-10,1.21,,1.21,1.21,4000.0
1990-05-11,1.22,,1.24,1.21,16900.0
1990-05-14,1.25,,1.26,1.24,6900.0
1990-05-15,1.24,,1.25,1.24,10100.0
1990-05-16,1.28,,1.28,1.26,3000.0
1990-05-17,1.31,,1.32,1.28,11100.0
1990-05-21,1.33,,1.33,1.31,5000.0
1990-05-22,1.33,,1.36,1.33,13400.0
1990-05-23,1.33,,1.35,1.33,16700.0
1990-05-24,1.33,,1.33,1.32,105600.0
1990-05-25,1.31,,1.31,1.3,9300.0
1990-05-29,1.32,,1.32,1.31,31000.0
1990-05-30,1.33,,1.33,1.33,15000.0
1990-05-31,1.33,,1.35,1.33,25500.0
1990-06-01,1.33,,1.33,1.33,16400.0
1990-06-04,1.35,,1.35,1.34,2500.0
1990-06-05,1.36,,1.38,1.35,1200.0
1990-06-06,1.36,,1.36,1.35,15600.0
1990-06-07,1.35,,1.36,1.35,7300.0
1990-06-08,1.36,,1.38,1.35,26500.0
1990-06-11,1.38,,1.38,1.38,500.0
1990-06-12,1.4,,1.4,1.38,3400.0
1990-06-13,1.39,,1.41,1.39,4500.0
1990-06-14,1.39,,1.39,1.39,1100.0
1990-06-15,1.39,,1.39,1.39,500.0
1990-06-18,1.4,,1.4,1.39,5900.0
1990-06-19,1.4,,1.4,1.39,1800.0
1990-06-20,1.38,,1.39,1.38,2300.0
1990-06-21,1.39,,1.39,1.39,10000.0
1990-06-22,1.4,,1.4,1.38,30300.0
1990-06-25,1.4,,1.42,1.4,99600.0
1990-06-26,1.36,,1.39,1.36,9300.0
1990-06-27,1.36,,1.38,1.35,20300.0
1990-06-28,1.34,,1.34,1.33,30100.0
1990-06-29,1.36,,1.36,1.36,1900.0
1990-07-02,1.36,,1.36,1.36,100.0
1990-07-03,1.35,,1.35,1.35,20800.0
1990-07-09,1.36,,1.36,1.36,300.0
1990-07-11,1.36,,1.36,1.35,1900.0
1990-07-12,1.35,,1.36,1.35,3000.0
1990-07-13,1.4,,1.42,1.38,23000.0
1990-07-16,1.41,,1.42,1.41,2400.0
1990-07-17,1.42,,1.42,1.41,5000.0
1990-07-18,1.41,,1.41,1.4,43300.0
1990-07-19,1.39,,1.4,1.38,27400.0
1990-07-20,1.39,,1.39,1.39,100.0
1990-07-23,1.36,,1.36,1.36,300.0
1990-07-24,1.38,,1.38,1.36,700.0
1990-07-25,1.39,,1.39,1.39,3000.0
1990-07-26,1.36,,1.38,1.35,12900.0
1990-07-27,1.36,,1.36,1.36,200.0
1990-07-30,1.38,,1.38,1.36,8900.0
1990-07-31,1.43,,1.43,1.39,17100.0
1990-08-01,1.44,,1.45,1.41,23800.0
1990-08-02,1.49,,1.5,1.48,37100.0
1990-08-03,1.49,,1.5,1.48,10200.0
1990-08-06,1.49,,1.5,1.49,54100.0
1990-08-07,1.47,,1.5,1.47,1200.0
1990-08-08,1.46,,1.47,1.46,2600.0
1990-08-09,1.45,,1.45,1.45,5500.0
1990-08-10,1.44,,1.44,1.44,100.0
1990-08-13,1.43,,1.44,1.42,2900.0
1990-08-14,1.41,,1.43,1.41,5400.0
1990-08-15,1.42,,1.42,1.41,43000.0
1990-08-16,1.38,,1.4,1.38,10100.0
1990-08-17,1.4,,1.4,1.4,200.0
1990-08-20,1.41,,1.42,1.4,3900.0
1990-08-22,1.41,,1.42,1.4,21100.0
1990-08-23,1.39,,1.4,1.39,10500.0
1990-08-24,1.4,,1.4,1.39,3400.0
1990-08-27,1.42,,1.43,1.41,14300.0
1990-08-28,1.42,,1.43,1.42,10800.0
1990-08-29,1.42,,1.43,1.42,2800.0
1990-08-30,1.42,,1.44,1.42,600.0
1990-08-31,1.43,,1.43,1.43,2300.0
1990-09-04,1.45,,1.45,1.42,25100.0
1990-09-05,1.49,,1.49,1.46,10700.0
1990-09-06,1.48,,1.5,1.48,1300.0
1990-09-07,1.5,,1.51,1.49,4200.0
1990-09-10,1.48,,1.52,1.48,1200.0
1990-09-11,1.49,,1.5,1.49,2000.0
1990-09-12,1.52,,1.52,1.5,22500.0
1990-09-13,1.52,,1.52,1.51,39300.0
1990-09-14,1.5,,1.51,1.5,12000.0
1990-09-18,1.49,,1.49,1.49,200.0
1990-09-19,1.5,,1.5,1.5,1200.0
1990-09-20,1.49,,1.49,1.49,12000.0
1990-09-21,1.5,,1.51,1.5,1800.0
1990-09-24,1.52,,1.52,1.5,10900.0
1990-09-25,1.52,,1.52,1.51,6400.0
1990-09-26,1.5,,1.52,1.5,7300.0
1990-09-27,1.51,,1.51,1.5,300.0
1990-09-28,1.51,,1.51,1.48,6400.0
1990-10-02,1.5,,1.5,1.5,100.0
1990-10-03,1.52,,1.52,1.5,2600.0
1990-10-04,1.54,,1.54,1.52,1000.0
1990-10-05,1.5,,1.52,1.5,2600.0
1990-10-08,1.52,,1.52,1.51,6300.0
1990-10-09,1.49,,1.49,1.49,5000.0
1990-10-10,1.49,,1.49,1.49,1100.0
1990-10-11,1.47,,1.47,1.47,3700.0
1990-10-12,1.49,,1.49,1.49,4200.0
1990-10-16,1.48,,1.48,1.47,700.0
1990-10-18,1.46,,1.46,1.46,1000.0
1990-10-19,1.47,,1.47,1.47,1000.0
1990-10-22,1.46,,1.46,1.46,600.0
1990-10-24,1.41,,1.42,1.41,3100.0
1990-10-26,1.41,,1.42,1.41,32500.0
1990-10-29,1.44,,1.46,1.43,25000.0
1990-10-30,1.42,,1.42,1.42,800.0
1990-10-31,1.42,,1.42,1.42,8700.0
1990-11-01,1.42,,1.42,1.4,10000.0
1990-11-05,1.42,,1.42,1.42,15600.0
1990-11-06,1.41,,1.44,1.41,17100.0
1990-11-07,1.44,,1.44,1.42,39900.0
1990-11-08,1.45,,1.45,1.44,18600.0
1990-11-09,1.44,,1.46,1.44,6800.0
1990-11-12,1.44,,1.44,1.44,900.0
1990-11-13,1.43,,1.44,1.43,2600.0
1990-11-14,1.42,,1.42,1.42,1000.0
1990-11-15,1.42,,1.42,1.42,5000.0
1990-11-16,1.42,,1.42,1.42,2100.0
1990-11-19,1.43,,1.44,1.42,9900.0
1990-11-20,1.44,,1.44,1.44,700.0
1990-11-21,1.42,,1.42,1.42,30900.0
1990-11-27,1.42,,1.43,1.42,33500.0
1990-11-28,1.39,,1.4,1.39,100000.0
1990-11-29,1.39,,1.39,1.39,500.0
1990-11-30,1.42,,1.42,1.39,7700.0
1990-12-04,1.38,,1.4,1.38,2000.0
1990-12-07,1.35,,1.35,1.35,100.0
1990-12-10,1.33,,1.33,1.33,200.0
1990-12-12,1.33,,1.33,1.33,6100.0
1990-12-13,1.32,,1.33,1.32,1700.0
1990-12-18,1.32,,1.32,1.32,100.0
1990-12-19,1.33,,1.33,1.32,5000.0
1990-12-20,1.31,,1.31,1.31,2000.0
1990-12-21,1.32,,1.32,1.3,6300.0
1990-12-26,1.31,,1.31,1.31,10000.0
1990-12-27,1.28,,1.29,1.28,1700.0
1990-12-28,1.32,,1.32,1.28,31100.0
1990-12-31,1.32,,1.32,1.32,21500.0
1991-01-02,1.3,,1.3,1.3,1100.0
1991-01-04,1.31,,1.31,1.29,18200.0
1991-01-07,1.26,,1.29,1.26,5900.0
1991-01-08,1.25,,1.25,1.25,12600.0
1991-01-09,1.27,,1.27,1.27,5400.0
1991-01-10,1.26,,1.26,1.25,10900.0
1991-01-11,1.22,,1.25,1.22,26800.0
1991-01-14,1.18,,1.21,1.18,2200.0
1991-01-15,1.19,,1.19,1.18,1000.0
1991-01-16,1.17,,1.17,1.17,6400.0
1991-01-17,1.19,,1.19,1.19,500.0
1991-01-21,1.16,,1.17,1.15,2900.0
1991-01-22,1.16,,1.16,1.16,1000.0
1991-01-24,1.15,,1.16,1.15,600.0
1991-01-25,1.17,,1.17,1.16,18000.0
1991-01-28,1.16,,1.16,1.15,900.0
1991-01-31,1.15,,1.15,1.15,1300.0
1991-02-01,1.15,,1.16,1.15,4300.0
1991-02-04,1.14,,1.15,1.14,800.0
1991-02-05,1.13,,1.14,1.11,16500.0
1991-02-06,1.15,,1.15,1.13,71300.0
1991-02-07,1.19,,1.19,1.16,30100.0
1991-02-08,1.23,,1.23,1.2,6000.0
1991-02-11,1.24,,1.24,1.22,6300.0
1991-02-12,1.23,,1.24,1.23,1200.0
1991-02-13,1.24,,1.24,1.23,15200.0
1991-02-14,1.22,,1.22,1.22,11000.0
1991-02-15,1.23,,1.24,1.23,7800.0
1991-02-19,1.22,,1.22,1.21,8000.0
1991-02-21,1.22,,1.22,1.22,15100.0
1991-02-22,1.23,,1.23,1.21,18700.0
1991-02-25,1.25,,1.25,1.24,76000.0
1991-02-26,1.22,,1.23,1.22,63100.0
1991-02-27,1.28,,1.28,1.2,89600.0
1991-02-28,1.28,,1.29,1.27,32000.0
1991-03-01,1.27,,1.28,1.26,63700.0
1991-03-04,1.32,,1.32,1.28,29000.0
1991-03-05,1.31,,1.32,1.31,900.0
1991-03-06,1.32,,1.32,1.31,12400.0
1991-03-07,1.3,,1.31,1.3,1600.0
1991-03-08,1.31,,1.31,1.31,16600.0
1991-03-11,1.31,,1.31,1.31,200.0
1991-03-12,1.33,,1.33,1.31,39200.0
1991-03-13,1.34,,1.34,1.33,7900.0
1991-03-14,1.34,,1.34,1.33,14900.0
1991-03-15,1.33,,1.33,1.33,60000.0
1991-03-18,1.33,,1.34,1.33,12800.0
1991-03-19,1.32,,1.33,1.31,31200.0
1991-03-20,1.32,,1.32,1.32,94300.0
1991-03-21,1.31,,1.32,1.31,6600.0
1991-03-26,1.29,,1.29,1.28,10200.0
1991-03-27,1.26,,1.27,1.26,55800.0
1991-03-28,1.25,,1.27,1.24,58800.0
1991-04-01,1.26,,1.26,1.25,9300.0
1991-04-02,1.26,,1.26,1.25,8000.0
1991-04-03,1.26,,1.26,1.25,24900.0
1991-04-04,1.29,,1.3,1.28,101900.0
1991-04-05,1.33,,1.33,1.32,29500.0
1991-04-08,1.33,,1.35,1.33,37600.0
1991-04-09,1.35,,1.38,1.34,128900.0
1991-04-10,1.38,,1.38,1.34,102000.0
1991-04-11,1.38,,1.38,1.38,300.0
1991-04-12,1.38,,1.38,1.36,3300.0
1991-04-15,1.4,,1.4,1.38,8700.0
1991-04-16,1.44,,1.44,1.4,18800.0
1991-04-17,1.49,,1.51,1.46,76700.0
1991-04-18,1.5,,1.5,1.47,56700.0
1991-04-19,1.42,,1.48,1.42,34000.0
1991-04-22,1.41,,1.42,1.41,47500.0
1991-04-23,1.39,,1.41,1.39,23600.0
1991-04-24,1.39,,1.39,1.36,44500.0
1991-04-25,1.35,,1.38,1.35,72200.0
1991-04-26,1.32,,1.34,1.32,13600.0
1991-04-29,1.32,,1.34,1.32,8800.0
1991-04-30,1.32,,1.33,1.32,6600.0
1991-05-01,1.36,,1.38,1.32,54300.0
1991-05-02,1.35,,1.36,1.35,54100.0
1991-05-03,1.34,,1.35,1.34,31800.0
1991-05-06,1.35,,1.38,1.34,6600.0
1991-05-07,1.38,,1.38,1.35,16300.0
1991-05-08,1.34,,1.35,1.34,33700.0
1991-05-09,1.34,,1.34,1.33,3300.0
1991-05-10,1.34,,1.34,1.33,27900.0
1991-05-13,1.34,,1.34,1.33,1700.0
1991-05-14,1.33,,1.34,1.33,171200.0
1991-05-15,1.35,,1.35,1.34,125000.0
1991-05-16,1.38,,1.38,1.35,4400.0
1991-05-17,1.38,,1.38,1.36,1700.0
1991-05-20,1.35,,1.36,1.35,118600.0
1991-05-21,1.33,,1.34,1.33,16100.0
1991-05-22,1.31,,1.33,1.3,42200.0
1991-05-23,1.29,,1.3,1.29,18900.0
1991-05-24,1.31,,1.31,1.27,152400.0
1991-05-28,1.33,,1.33,1.31,33600.0
1991-05-29,1.34,,1.35,1.32,106800.0
1991-05-30,1.32,,1.34,1.32,20200.0
1991-05-31,1.38,,1.39,1.36,142000.0
1991-06-03,1.38,,1.39,1.38,42500.0
1991-06-04,1.38,,1.39,1.36,51500.0
1991-06-05,1.38,,1.39,1.36,21700.0
1991-06-06,1.38,,1.38,1.34,99200.0
1991-06-07,1.38,,1.39,1.36,30800.0
1991-06-10,1.38,,1.39,1.36,21200.0
1991-06-11,1.36,,1.38,1.36,33900.0
1991-06-12,1.35,,1.38,1.35,18100.0
1991-06-13,1.35,,1.36,1.35,18700.0
1991-06-14,1.38,,1.38,1.35,15200.0
1991-06-17,1.35,,1.35,1.35,14200.0
1991-06-18,1.38,,1.39,1.36,37000.0
1991-06-19,1.36,,1.38,1.35,25900.0
1991-06-20,1.35,,1.36,1.35,2100.0
1991-06-21,1.36,,1.36,1.35,64700.0
1991-06-24,1.33,,1.36,1.33,37200.0
1991-06-25,1.29,,1.31,1.29,31500.0
1991-06-26,1.23,,1.29,1.23,80200.0
1991-06-27,1.24,,1.24,1.21,73100.0
1991-06-28,1.24,,1.24,1.17,144100.0
1991-07-01,1.23,,1.27,1.23,61300.0
1991-07-02,1.23,,1.23,1.21,27200.0
1991-07-03,1.22,,1.23,1.22,9900.0
1991-07-08,1.23,,1.23,1.23,10100.0
1991-07-09,1.23,,1.25,1.23,89900.0
1991-07-10,1.25,,1.25,1.24,48500.0
1991-07-11,1.33,,1.33,1.27,32500.0
1991-07-12,1.31,,1.33,1.31,25200.0
1991-07-15,1.35,,1.35,1.33,26900.0
1991-07-16,1.39,,1.39,1.34,17500.0
1991-07-17,1.41,,1.42,1.4,18700.0
1991-07-18,1.38,,1.41,1.38,29400.0
1991-07-19,1.35,,1.36,1.35,4800.0
1991-07-22,1.35,,1.36,1.33,8300.0
1991-07-23,1.32,,1.33,1.32,27900.0
1991-07-24,1.34,,1.35,1.31,40500.0
1991-07-25,1.35,,1.35,1.34,2000.0
1991-07-26,1.34,,1.34,1.34,5000.0
1991-07-29,1.36,,1.36,1.34,2100.0
1991-07-30,1.35,,1.35,1.34,400.0
1991-07-31,1.39,,1.39,1.38,2900.0
1991-08-01,1.35,,1.36,1.35,17000.0
1991-08-02,1.35,,1.35,1.35,1200.0
1991-08-05,1.36,,1.38,1.36,32000.0
1991-08-06,1.35,,1.36,1.35,14300.0
1991-08-07,1.38,,1.39,1.36,4800.0
1991-08-08,1.35,,1.35,1.34,26000.0
1991-08-09,1.34,,1.35,1.34,49200.0
1991-08-12,1.35,,1.36,1.35,21200.0
1991-08-13,1.36,,1.36,1.35,3500.0
1991-08-14,1.35,,1.35,1.35,12200.0
1991-08-15,1.35,,1.35,1.35,48800.0
1991-08-16,1.35,,1.35,1.35,200.0
1991-08-19,1.36,,1.36,1.35,5700.0
1991-08-20,1.38,,1.38,1.36,8500.0
1991-08-21,1.42,,1.42,1.39,10000.0
1991-08-22,1.42,,1.43,1.42,25100.0
1991-08-23,1.41,,1.41,1.41,2500.0
1991-08-26,1.41,,1.42,1.41,20300.0
1991-08-27,1.42,,1.42,1.42,97200.0
1991-08-28,1.43,,1.44,1.41,19200.0
1991-08-29,1.44,,1.45,1.44,15600.0
1991-08-30,1.46,,1.46,1.44,3300.0
1991-09-03,1.45,,1.45,1.45,400.0
1991-09-04,1.45,,1.46,1.45,11400.0
1991-09-05,1.45,,1.45,1.45,1400.0
1991-09-06,1.46,,1.47,1.46,5000.0
1991-09-09,1.46,,1.47,1.46,8400.0
1991-09-10,1.45,,1.46,1.45,11500.0
1991-09-11,1.44,,1.45,1.44,82700.0
1991-09-12,1.44,,1.44,1.43,22300.0
1991-09-13,1.42,,1.43,1.42,15300.0
1991-09-16,1.36,,1.39,1.36,44400.0
1991-09-17,1.36,,1.38,1.36,73800.0
1991-09-18,1.36,,1.36,1.35,16100.0
1991-09-19,1.35,,1.35,1.35,40900.0
1991-09-20,1.34,,1.38,1.34,37300.0
1991-09-23,1.35,,1.35,1.34,29200.0
1991-09-24,1.38,,1.38,1.34,139700.0
1991-09-25,1.39,,1.39,1.36,6600.0
1991-09-26,1.38,,1.41,1.38,38000.0
1991-09-27,1.36,,1.38,1.36,30000.0
1991-09-30,1.39,,1.39,1.36,3200.0
1991-10-01,1.39,,1.41,1.39,31400.0
