Date,Close,Open,High,Low,Volume
6/19/1998,0.21,0.21,0.22,0.2,1280300.0
6/22/1998,0.21,0.21,0.21,0.21,145400.0
6/23/1998,0.21,0.21,0.21,0.2,200800.0
6/24/1998,0.21,0.21,0.21,0.21,36100.0
6/25/1998,0.23,0.22,0.24,0.22,383700.0
6/26/1998,0.25,0.24,0.27,0.23,213900.0
6/29/1998,0.26,0.25,0.27,0.25,95600.0
6/30/1998,0.25,0.26,0.26,0.25,98900.0
7/1/1998,0.25,0.25,0.25,0.25,341700.0
7/2/1998,0.25,0.25,0.25,0.25,69900.0
7/6/1998,0.25,0.25,0.25,0.25,46000.0
7/7/1998,0.25,0.25,0.25,0.25,76100.0
7/8/1998,0.25,0.25,0.25,0.25,26800.0
7/9/1998,0.29,0.25,0.33,0.25,307700.0
7/10/1998,0.3,0.29,0.3,0.29,26900.0
7/13/1998,0.29,0.31,0.31,0.29,104700.0
7/14/1998,0.32,0.29,0.32,0.29,113700.0
7/15/1998,0.33,0.32,0.37,0.32,167000.0
7/16/1998,0.33,0.33,0.34,0.31,98200.0
7/17/1998,0.34,0.33,0.34,0.32,20300.0
7/20/1998,0.35,0.34,0.37,0.33,111400.0
7/21/1998,0.37,0.37,0.39,0.36,222600.0
7/22/1998,0.36,0.38,0.38,0.32,96700.0
7/23/1998,0.35,0.36,0.37,0.33,44100.0
7/24/1998,0.34,0.35,0.35,0.32,39200.0
7/27/1998,0.34,0.33,0.34,0.32,973900.0
7/28/1998,0.32,0.34,0.34,0.31,63600.0
7/29/1998,0.33,0.33,0.33,0.31,52800.0
7/30/1998,0.34,0.33,0.34,0.32,62800.0
7/31/1998,0.33,0.34,0.34,0.33,19200.0
8/3/1998,0.33,0.33,0.34,0.33,84000.0
8/4/1998,0.33,0.33,0.34,0.33,75700.0
8/5/1998,0.35,0.33,0.37,0.33,179000.0
8/6/1998,0.33,0.34,0.34,0.33,4400.0
8/7/1998,0.35,0.35,0.36,0.35,68800.0
8/10/1998,0.36,0.38,0.38,0.35,45500.0
8/11/1998,0.35,0.36,0.36,0.32,47200.0
8/12/1998,0.36,0.36,0.37,0.35,27500.0
8/13/1998,0.36,0.36,0.37,0.36,35400.0
8/14/1998,0.37,0.37,0.38,0.36,43600.0
8/17/1998,0.36,0.37,0.37,0.36,47600.0
8/18/1998,0.4,0.37,0.41,0.37,206300.0
8/19/1998,0.39,0.4,0.41,0.39,125600.0
8/20/1998,0.38,0.4,0.4,0.38,21700.0
8/21/1998,0.38,0.37,0.38,0.34,79100.0
8/24/1998,0.37,0.39,0.39,0.36,56200.0
8/25/1998,0.39,0.39,0.4,0.38,101700.0
8/26/1998,0.37,0.38,0.38,0.36,142900.0
8/27/1998,0.33,0.35,0.36,0.32,164200.0
8/28/1998,0.32,0.33,0.34,0.31,95900.0
8/31/1998,0.25,0.33,0.33,0.25,135400.0
9/1/1998,0.31,0.26,0.33,0.24,117800.0
9/2/1998,0.31,0.32,0.35,0.3,99100.0
9/3/1998,0.3,0.27,0.3,0.27,45300.0
9/4/1998,0.3,0.3,0.32,0.29,30400.0
9/8/1998,0.34,0.32,0.35,0.3,61400.0
9/9/1998,0.33,0.33,0.34,0.31,28500.0
9/10/1998,0.32,0.31,0.32,0.31,130900.0
9/11/1998,0.32,0.33,0.33,0.31,8400.0
9/14/1998,0.33,0.33,0.34,0.32,13800.0
9/15/1998,0.32,0.33,0.33,0.32,16600.0
9/16/1998,0.31,0.32,0.32,0.31,26300.0
9/17/1998,0.31,0.3,0.31,0.3,60400.0
9/18/1998,0.31,0.3,0.31,0.3,2700.0
9/21/1998,0.32,0.3,0.32,0.3,28700.0
9/22/1998,0.32,0.32,0.32,0.32,45100.0
9/23/1998,0.33,0.32,0.34,0.32,70100.0
9/24/1998,0.32,0.32,0.34,0.32,34400.0
9/25/1998,0.33,0.32,0.34,0.32,37300.0
9/28/1998,0.33,0.33,0.34,0.33,32000.0
9/29/1998,0.33,0.33,0.34,0.32,35100.0
9/30/1998,0.32,0.32,0.33,0.32,32100.0
10/1/1998,0.32,0.32,0.33,0.31,27000.0
10/2/1998,0.34,0.32,0.34,0.32,22200.0
10/5/1998,0.32,0.33,0.33,0.32,99600.0
10/6/1998,0.27,0.32,0.32,0.27,72600.0
10/7/1998,0.26,0.25,0.26,0.25,25000.0
10/8/1998,0.19,0.24,0.25,0.15,183800.0
10/9/1998,0.23,0.22,0.24,0.22,49900.0
10/12/1998,0.23,0.24,0.25,0.23,31400.0
10/13/1998,0.26,0.26,0.3,0.25,274300.0
10/14/1998,0.26,0.26,0.26,0.24,59200.0
10/15/1998,0.27,0.27,0.28,0.27,23500.0
10/16/1998,0.28,0.27,0.28,0.27,17000.0
10/19/1998,0.3,0.28,0.31,0.28,45900.0
10/20/1998,0.32,0.31,0.33,0.31,69500.0
10/21/1998,0.35,0.35,0.35,0.33,484900.0
10/22/1998,0.36,0.37,0.37,0.35,137900.0
10/23/1998,0.38,0.37,0.4,0.37,151000.0
10/26/1998,0.43,0.4,0.45,0.39,269900.0
10/27/1998,0.47,0.5,0.5,0.44,398500.0
10/28/1998,0.46,0.49,0.5,0.45,231400.0
10/29/1998,0.44,0.45,0.46,0.41,209000.0
10/30/1998,0.46,0.43,0.47,0.43,131000.0
11/2/1998,0.48,0.49,0.49,0.47,160200.0
11/3/1998,0.47,0.48,0.48,0.46,67900.0
11/4/1998,0.47,0.48,0.48,0.46,80600.0
11/5/1998,0.42,0.46,0.47,0.38,192300.0
11/6/1998,0.4,0.42,0.42,0.38,216600.0
11/9/1998,0.41,0.4,0.41,0.39,100400.0
11/10/1998,0.42,0.42,0.42,0.41,23600.0
11/11/1998,0.4,0.42,0.42,0.4,72500.0
11/12/1998,0.4,0.4,0.4,0.4,36700.0
11/13/1998,0.41,0.4,0.42,0.4,121600.0
11/16/1998,0.4,0.41,0.41,0.4,29900.0
11/17/1998,0.4,0.41,0.41,0.37,60000.0
11/18/1998,0.4,0.41,0.41,0.39,28100.0
11/19/1998,0.41,0.41,0.42,0.4,29500.0
