Date,Close,Open,High,Low,Volume
1980-03-17,1.55,,1.56,1.52,36900.0
1980-03-18,1.57,,1.58,1.55,18400.0
1980-03-19,1.59,,1.62,1.57,13700.0
1980-03-20,1.57,,1.61,1.56,19800.0
1980-03-21,1.57,,1.59,1.57,9900.0
1980-03-24,1.59,,1.6,1.56,13800.0
1980-03-25,1.56,,1.59,1.55,11500.0
1980-03-26,1.59,,1.59,1.56,10800.0
1980-03-27,1.6,,1.61,1.58,22300.0
1980-03-28,1.66,,1.66,1.62,15400.0
1980-03-31,1.64,,1.69,1.58,32200.0
1980-04-01,1.69,,1.69,1.62,49800.0
1980-04-02,1.66,,1.67,1.65,26200.0
1980-04-03,1.66,,1.67,1.65,9700.0
1980-04-07,1.66,,1.67,1.64,20400.0
1980-04-08,1.7,,1.7,1.66,9400.0
1980-04-09,1.73,,1.75,1.72,7300.0
1980-04-10,1.7,,1.73,1.7,22300.0
1980-04-11,1.72,,1.74,1.72,38700.0
1980-04-14,1.7,,1.7,1.7,11300.0
1980-04-15,1.7,,1.7,1.66,30900.0
1980-04-16,1.73,,1.78,1.7,33700.0
1980-04-17,1.72,,1.72,1.7,17800.0
1980-04-18,1.65,,1.7,1.65,11200.0
1980-04-21,1.66,,1.67,1.65,2500.0
1980-04-22,1.75,,1.75,1.65,12500.0
1980-04-23,1.73,,1.75,1.71,23900.0
1980-04-24,1.73,,1.73,1.73,127400.0
1980-04-25,1.73,,1.73,1.71,25500.0
1980-04-28,1.72,,1.73,1.72,10000.0
1980-04-29,1.72,,1.75,1.72,4600.0
1980-04-30,1.73,,1.73,1.72,10000.0
1980-05-01,1.74,,1.74,1.72,56900.0
1980-05-02,1.72,,1.73,1.72,2100.0
1980-05-05,1.75,,1.75,1.75,4500.0
1980-05-06,1.83,,1.84,1.76,24100.0
1980-05-07,1.83,,1.84,1.8,58200.0
1980-05-08,1.83,,1.84,1.8,34100.0
1980-05-09,1.8,,1.85,1.8,19500.0
1980-05-12,1.79,,1.8,1.79,9500.0
1980-05-13,1.83,,1.83,1.79,23900.0
1980-05-14,1.88,,1.88,1.82,106400.0
1980-05-15,1.93,,1.93,1.88,30700.0
1980-05-16,1.89,,1.91,1.89,17400.0
1980-05-19,1.95,,1.98,1.88,13200.0
1980-05-20,1.91,,1.93,1.91,23600.0
1980-05-21,1.9,,1.91,1.9,27700.0
1980-05-22,1.93,,1.95,1.91,22500.0
1980-05-23,1.97,,1.98,1.94,109400.0
1980-05-27,2.0,,2.05,2.0,49600.0
1980-05-28,2.0,,2.04,2.0,37700.0
1980-05-29,1.95,,2.01,1.95,13500.0
1980-05-30,1.95,,1.95,1.92,48000.0
1980-06-02,1.93,,1.93,1.89,5800.0
1980-06-03,1.94,,1.94,1.91,42500.0
1980-06-04,1.91,,1.93,1.91,17000.0
1980-06-05,1.98,,2.01,1.92,81700.0
1980-06-06,1.99,,2.01,1.96,5600.0
1980-06-09,2.02,,2.02,1.98,57000.0
1980-06-10,2.03,,2.03,2.01,32200.0
1980-06-11,2.05,,2.05,2.04,41100.0
1980-06-12,2.04,,2.05,2.04,58900.0
1980-06-13,2.04,,2.05,2.02,186700.0
